Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
AUTOPOLIS A.s.,13732296.0,"Slovakia, Bratislavský, Bratislava, 32 Panónska Cesta, 85104",https://www.linkedin.com/company/autopolis-s.r.o,www.autopolis.sk,"HYUNDAI and FORD dealership in Bratislava. Warranty and after-warranty service, used cars, car rental, accessories etc.",Slovakia,13.732296,,,
AVIS SLOVAKIA,6779903.0,"Slovakia, Bratislavský, Bratislava, 4358/43 Ivánska Cesta, 820 01",https://www.linkedin.com/company/avissk,www.avis.sk,"AVIS predstavuje vedúcu spoločnosť vo svete v oblasti požičiavania automobilov. Slogan spoločnosti ""We try harder."" - ""Vynakladáme viac úsilia."", sa stal vyjadrením firemnej filozofie zamestnancov spoločnosti. Základným kritériom činnosti AVIS-u je neustále skvalitňovanie služieb. AVIS - medzinárodná požičovňa automobilov –  má v Slovenskej Republike vo svojej flotile takmer 1400 vozidiel v 28 kategóriách. AVIS má na Slovensku aktuálne 5 divízií.  - AVIS Rent-a-car sa špecializuje na krátkodobý prenájom osobných vozidiel - AVIS Rent-a-van zabezpečuje krátkodobý prenájom úžitkových vozidiel - AVIS MaxiRent je unifikovaný program prenájmu osobných a úžitkových vozidiel s viazanosťou na    12 mesiacov - AVIS Lease poskytuje dlhodobý prenájom s viazanosťou od 24 do 72 mesiacov vrátane full-service Vo filozofii firmy AVIS je zákazník vždy na prvom mieste. Základným cieľom je dosahovanie dlhodobých partnerských vzťahov, sledovanie potrieb zákazníka a navrhovanie optimálnych riešení zabezpečenia vozového parku.",Slovakia,6.779903,,,
Institut Français De Slovaquie,5092681.0,"Slovakia, Bratislavský, Bratislava, 7 Sedlárska, 81101",https://www.linkedin.com/company/institut-français-de-slovaquie,institutfrancais.sk,"Francúzsky inštitút na Slovensku vznikol v roku 1990 a je členom celosvetovej siete 98 Francúzskych inštitútov, 850 Francúzskych aliancií a 131 oddelení pre spoluprácu a kultúrnu činnosť pod vedením francúzskeho Ministerstva zahraničných vecí. Ako multidisciplinárne kultúrne centrum sa zasadzujeme o podporu a rozvoj francúzskeho jazyka, kultúry a poznatkov na celom území Slovenska. Našim cieľom je povzbudiť stretnutia prostredníctvom rôznorodých kultúrnych podujatí, vzdelávacích a študijných projektov v oblasti vedy a výskumu, verejných diskusií, a vytvoriť tak silné a dlhodobé puto medzi oboma našimi krajinami.     Či už ste študent, pedagóg, manažér podniku, člen združenia, umelec, či turista, naše dvere sú otvorené všetkým tým, ktorí majú radi Francúzsko, chcú sa o ňom dozvedieť niečo viac, alebo majú záujem o spoluprácu. Náš tím zamestnancov je vám plne k dispozícii. ________ Fondé en 1990, l’Institut français de Slovaquie est membre d’un réseau mondial de 98 Instituts français, 850 Alliances Françaises et 131 départements de coopération et d’action culturelle sous la direction du ministère de l’Europe et des Affaires étrangères. En tant que centre culturel multidisciplinaire, nous œuvrons pour la promotion et le développement de la langue et de la culture françaises dans toute la Slovaquie. Notre objectif est d’encourager les rencontres et les échanges à travers divers événements culturels ; projets éducatifs, scientifiques et universitaires ; et débats d’idées créant ainsi un lien solide et durable entre les deux pays. Que vous soyez étudiant, enseignant, chef d’entreprise, membre d’une association, artiste ou touriste, nos portes sont ouvertes à tous ceux qui aiment la France, veulent en savoir plus ou coopérer avec nous. Notre équipe est à votre disposition.",Slovakia,5.092681,,,
Delta-Truck S.r.o,4698269.0,"Slovakia, Bratislavský, Bratislava, 17 Poľná, 90301",https://www.linkedin.com/company/delta-truck-s-r-o,viarent.sk,"Delta-Truck s.r.o is part of the Delta Group.  We are the official Slovak distributor of Ford Trucks.  We are at the service of our customers with VIARENT, our vehicle rental service, and our second-hand vehicle sales brand, Top Quality.",Slovakia,4.698269,,,
VOLPI S.r.o.,3965810.0,"Slovakia, Bratislavský, Bratislava, 9 Bajkalská, 83104",https://www.linkedin.com/company/volpisro,volpi-partners.com,"Notre objectif est de permettre aux donneurs d’ordre français d’améliorer leurs coûts par la sous-traitance en les faisant bénéficier de notre connaissance du milieu industriel en Slovaquie, de notre compétence technique, de notre expérience dans le domaine des achats et de notre dynamisme, tout en facilitant leur contact et le suivi de leurs projets.",Slovakia,3.96581,,,
LIONCAR SK,3965810.0,Slovakia,https://www.linkedin.com/company/lioncar-sk,www.lioncar.sk,"Predaj nových automobilov značky PEUGEOT, NISSAN a CITROËN. Banská Bystrica  - servis automobilov  - kúpu a predaj jazdených vozidiel  - predaj náhradných dielov  - poistenie vozidla  - prenájom vozidiel  - umývanie vozidiel  - prihlasovanie a odhlasovanie vozidiel",Slovakia,3.96581,,,
TUCAN S.r.o.,1964444.0,"Slovakia, Bratislavský, Bratislava, 1 Za Kasarnou, 831 03",https://www.linkedin.com/company/tucan-cestovná-kancelária,tucan.sk,"We offer the complete package of passenger air transport services to our clients: from finding the best possible flight connection and ensuring the reservations of free spaces to securing additional baggage, special dietary requirements, airport assistance for immobile travellers or the elderly and transportation of pets as well as many other special services.  Our services do not begin and end with the purchase and issuance of flight tickets, but they also include the handling of visa arrangements, accommodation, car rental, travel insurance, tickets for sports and cultural events, airport transport and much more.  Most of our clients are business passengers or experienced travellers. We pride ourselves in our individual approach towards each customer, while trying to find a tailor-made solution for everyone. Our experience with air travel passengers goes back to 1996 and as an IATA (International Air Transport Association) accredited travel company we fall under the guarantee of the strict financial criteria of UniCredit Bank.",Slovakia,1.964444,,,
WILI SLOVAKIA S.r.o.,1269770.0,Slovakia,https://www.linkedin.com/company/wili-holding,www.wilislovakia.sk,"V oblasti cestovného ruchu sa pohybujeme už od roku 1992, kedy naša spoločnosť vznikla. Založil ju bývalý podpredseda Národnej rady Slovenskej republiky, úspešný podnikateľ, JUDr. Viliam Veteška, ktorý sa stal v roku 1998 držiteľom Zlatého podnikateľského biatecu a v rokoch 1998 a 1999 bol Prominentom ekonomiky Slovenskej republiky. S pôvodným zámerom vytvorenia prvej holdingovej spoločnosti cestovného ruchu bol pilierom spoločnosti Hotel WILI v Púchove, ktorý sa v roku 2004 stal Hotelom roka. Hostili sme osobnosti z celého sveta zo spoločenskej, kultúrnej, ale aj športovej oblasti. Získali sme bohaté cateringové skúsenosti v zahraničí i na Slovensku. Naše, vo svojej dobe najmodernejšie hotelové wellness centrum na Slovensku, otvárali úspešní hráči NHL Pavol Demitra, Rastislav Pavlikovský a Richard Zedník. A päť rokov sme boli domovom pre Slovenskú hokejovú reprezentáciu do 20 rokov. Súčasťou holdingu sa neskôr stali spoločnosti na prenájom áut, sprievodcovských služieb, obchodu, ale aj cestovná kancelária WILI Travel, ktorá sa starala nielen o obsadzovanie vlastných hotelových kapacít, ale organizovala pobyty zahraničných hostí na Slovensku (lyžovačky, športové sústredenia, detské tábory). Mali sme aj 2 vlastné zastúpenia v zahraničí. Ďalším hotelom v našej sieti bol Hotel WILI v Tatranskej Lomnici (bývalý hotel Družba), ktorý v roku 2006 prešiel rozsiahlou rekonštrukciou a stal sa z neho nádherný apartmánový dom, kde 80% apartmánov vlastnia súkromné osoby a naša spoločnosť prenajíma zvyšných 20%, ako WILI TATRY. Vďaka tomu, že nás to vždy tiahlo do prírody, v roku 1999 vznikol nápad postaviť a prevádzkovať chaty v nádhernom prostredí Veľkej Fatry, v Liptovských Revúcach. Tie sú, dnes už ako WILI HUNTER, veľmi obľúbené aj pre možnosť pozorovania medveďov v ich prirodzenom prostredí. V rovnakom roku ako sme previedli Hotel WILI v Púchove (2010), sa súčasťou našej holdingovej spoločnosti stala vila WILI ROYAL v Belušských Slatinách, ktorú sme do tej doby prenajímali. Tenisový kurt (v dnešnej dobe multifunkčné ihrisko) pôvodne otváral slovenský olympionik Miloš Mečíř, spolu s ďalšími úspešnými slovenskými tenistami. Začiatkom roka 2018 sa turizmové aktivity spoločnosti (prenájom apartmánov WILI TATRY a chát WILI HUNTER) pretransferovali na spoločnosť WILI SLOVAKIA s.r.o. Náplňou tejto spoločnosti je aj prenájom kancelárskych priestorov v Púchove a správcovské úkony v Tatranskej Lomnici. Sídlo spoločnosti WILI SLOVAKIA s.r.o. je v súčasnej dobe v Púchove.",Slovakia,1.26977,,,
BRAVACAR,1043062.0,"Slovakia, Bratislavský, Bratislava",https://www.linkedin.com/company/bravacar-s.r.o.,www.bravacar.sk,"Bravacar poskytuje služby šité Vám na mieru - prenájom vozidiel, letiskové transfery a preprava osôb za férové ceny  bez skrytých poplatkov. Enjoy your trip in comfort. That is our goal. We operate in the car rental business for over a decade. We use the gained experience to provide flexible and efficient customer care. Because we enjoy doing so.",Slovakia,1.043062,,,
Audain S.r.o.,1043062.0,"Slovakia, Bratislavský, Bratislava, 85105",https://www.linkedin.com/company/audain-s.r.o.,www.audain.sk,"- Independent consulting company in automotive field for aftersales maintenance - estimation of TCO especially for fleet management like leasing companies, big car fleet, car rental etc. - professional auditing of maintenance invoices and processes at customers, with a professional auditing report with recommendations and next steps - solution of online managing for service, maintenance and car repair  - repair cost estimation, - service for automotive fleet - distribution of software for aftersales services, like maintenance, labour times, wiring diagrams, information from manufacturer´s service bulletins etc. - exlusive partner of AuDaCon AG for Slovakia",Slovakia,1.043062,,,
3P Trade S. R. O.,754556.0,"Slovakia, Žilinský, Žilina",https://www.linkedin.com/company/3p-trade-s-r-o,tripcar.sk,Tripcar.sk - Car rental & Road freight transport. Prenájom 8 a 9-miestnych automobilov a dodávok. Preprava tovaru a kuriérske služby.,Slovakia,0.754556,,,
Compass Vacation Club S.r.o.,208224.0,"Slovakia, Bratislavský, Bratislava",https://www.linkedin.com/company/compass-vacation-club-s-r-o-,www.galileocompass.sk,"Sme prvá slovenská spoločnosť, ktorá založila prvý dovolenkový klub na Slovensku. Víziou klubu je napĺňať  Vaše dovolenkové sny a každoročne Vám dopriať nezabudnuteľnú dovolenku v hoteli Galileo alebo vo Vami vybranej exkluzívnej svetovej destinácii. Členstvom v Galileo Compass clube si zakupujete výhradné právo na ubytovanie počas jedného týždňa v roku, vo Vami vybranom apartmáne alebo štúdiu hotela Galileo. Členstvom získate zároveň možnosť  výmeny zakúpeného týždňa za akýkoľvek iný týždeň, v akejkoľvej Vami vybranej svetovej destinácii siete Interval International. Ako člen klubu budete mať možnosť využívať ďalšie  jeho výhody a služby, v podobe exkluzívnych pobytov za klubové ceny v programe GETAWAY. Program Getaway (Last minute)  dáva možnosť využitia neobmedzeného počtu týždňov každoročne, v bezkonkurenčných cenách a v exkluzívnych svetových rezortoch. Zoznam rezortov nájdete po prihlásení na stránke www.intervalworld.com v sekcii Resort directory. Garantujeme Vám vysokú kvalitu ubytovania a hotelových služieb tých najlepších 4 a 5 **** hotelov. Členstvo Vám taktiež umožní čerpať zľavy na ubytovanie pri obchodných cestách, zľavy na lety, golfové kurzy, stravovanie, nakupovanie zvýhodnené vstupenky do vybraných zábavných centier, bezplatné členstvo v Hertz #1 Club Gold s možnosťou zliav na prenájom áut. Členstvom v klube sa bude svet okolo Vás točiť ešte viac......",Slovakia,0.208224,,,
R Transfer Service,205816.0,"Slovakia, Bratislavský, Bratislava, 1938/20 Nábrežie Armádneho Generála Ludvíka Svobodu, 811 02",https://www.linkedin.com/company/rtransfer,www.rtransfer.sk,"R Transfer Service offers comfortable transport with fully air-conditioned luxury Škoda Superb (2019) limousines that will bring you to your destination in a timely and comfortable way. We guarantee professionalism, security, discretion and reliability.  We specialize in airport transfers, wedding limousines, various meetings transfer, car rental, wine tours and other personal and small group transporation services. Our priority is to maximize customers satisfaction. Our drivers are experienced profesionals with many years of experience and are always representativelly dressed. In each vehicle there is a payment terminal for card payment and a cash register. We also offer billing options for businesses.",Slovakia,0.205816,,,
RentalPort.com A.s.,82486.0,"Slovakia, Bratislavský, Bratislava, 27 Drieňová, 821 01",https://www.linkedin.com/company/rentalport-com-a-s,www.rentalport.com,"Rentalport is your online car rental that covers:  5 countries: SK, CZ, RO, BG, SI  60+ car rental companies more than  15 000+ vehicles for hire  200+ car rental branches across Europe  What can we do for you?  We will help you to find the best car rental deals as we cooperate closely with well-known car rental companies.  We will save your time since you do not need to waste it on searching for the best car rental deals on various websites.  We will save your money because you can always choose the best car rental offer that is currently available.  Your convenience is also enhanced by online payment, which you can make through the Stripe payment interface directly on our site.  Since we want to eliminate unpleasant surprises, we have started an evaluation program, thanks to which you know who you are buying from. Once your car rental is over, you have the opportunity to share your rating or review with other customers.  In addition, we have a perfect customer service. Our operators are available on weekdays from 8:00 am to 5:00 pm.",Slovakia,0.082486,,,
