Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Capfun,345621010.0,"France, Mouans Sartoux, 73 Avenue De La Quiera, 06370",https://www.linkedin.com/company/franceloc,www.capfun.com,"FranceLoc est propriétaire de 58 campings et 35 résidences de tourisme dans toute la France et à l’étranger. Nous sommes l'un des leader du camping en France. Nous offrons à tous nos clients : -	Des hébergements customisés : chalets, roulottes, cabanes dans les arbres, tentes, paillotes, tipis, etc., -	Des parcs aquatiques magiques avec piscines chauffées, balnéothérapie, pataugeoire, piscine couverte, jeux aquatiques pour enfants, toboggans extravagants,  -	Des aires de jeux pour enfants insolites,  -	Des vacances de qualité, -	Un moment féerique avec la fée Carabouille. (http://www.carabouille.fr) 92% de nos clients déclarent revenir sur un camping Franceloc. Visitez notre site internet et découvrez comment vous pouvez devenir acteur de la vie de Franceloc: http://www.franceloc.fr  rubrique ""FranceLoc recrute"" A bientôt!",France,345.62101,,,
Ternelia,39018708.0,"France, Auvergne-rhône-alpes, Annecy",https://www.linkedin.com/company/ternelia,,"Ternelia is a vacation company that specializes in providing dream holiday experiences through its various holiday villages, including the Domaine de Sainte-Montaine in Sologne. The company aims to create memorable stays for families and groups by offering a range of accommodations, activities, and tailored excursions. Ternelia's mission is to ensure guests enjoy a relaxing and enriching experience, with amenities such as heated pools, seminar facilities, and diverse recreational options like cycling, hiking, and water sports. The company caters to a wide clientele, including families, corporate groups, and tourists seeking leisure and adventure in beautiful natural settings. With a commitment to quality service and customer satisfaction, Ternelia partners with local attractions and service providers to enhance the overall guest experience.",France,39.018708,,,
Club Med,2228661620.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/club-med,www.clubmed.com,"Since it was founded in 1950 and it created the all-inclusive vacation concept, Club Med has been the world leader on its market, and has developed a resolutely upscale, friendly and multicultural spirit. Club Med boasts 70 resorts located in the most beautiful sites in the world, a cruise ship and Luxury Villas & Chalets and, now more than ever, is associated with dreams and happiness. There are 20,000 Gentle Organizers (G.Os) and Gentle Employees (G.Es) at Club Med, who work in the villages, but also at the Paris, Lyon, Singapore, Shanghai, Rio de Janeiro and Miami headquarters, in the sales offices situated in dozens of countries and in travel agencies.",France,2228.66162,,,
Les Villages Clubs Du Soleil,750000000.0,"France, Provence-alpes-côte D'azur, Marseille",https://www.linkedin.com/company/villagesclubsdusoleil,www.villagesclubsdusoleil.com,"Les Villages Clubs Du Soleil is a leading provider of all-inclusive vacation experiences in France, offering a diverse range of destinations in both mountain and coastal settings. With 17 holiday villages, the company focuses on delivering a comprehensive package that includes accommodation, full board meals, children's clubs, activities, excursions, and wellness options, ensuring a stress-free holiday for families and individuals alike. Their mission is to create memorable and enjoyable vacation experiences for all guests, from families with young children to seniors seeking relaxation. The company partners with various organizations to cater to group bookings and seminars, while targeting a broad market that includes families, singles, and seniors looking for affordable and enriching holiday options. With a commitment to quality and customer satisfaction, Les Villages Clubs Du Soleil aims to provide a welcoming and engaging environment for all its visitors.",France,750.0,,,
Belambra,650085112.0,"France, Île-de-france, Bourg-la-reine",https://www.linkedin.com/company/belambra,www.belambra.fr,"Belambra is a prominent player in the hospitality industry, specializing in the operation of clubs and hotels that cater to both family and corporate clients. The company is dedicated to providing exceptional experiences in unique natural settings, such as its club located in a 23-hectare pine forest, which features diverse wildlife and original architectural designs. Belambra's mission revolves around creating memorable stays through a combination of quality accommodations, varied dining options, and extensive recreational facilities, including a 1000 m² aquatic space. The company partners with various stakeholders to enhance guest experiences and is committed to ensuring customer satisfaction through its services. With a focus on both leisure and business travelers, Belambra aims to be a leading choice for those seeking relaxation and adventure in picturesque environments.",France,650.085112,,,
Evian Resort,478423235.0,"France, Evian-les-bains, 74501",https://www.linkedin.com/company/evian-resort,www.evianresort.com,"Au pied des Alpes, l’Evian Resort est l’un des plus prestigieux Resort au monde. À seulement 45 km de Genève et de son aéroport international, ce havre de paix offre deux hôtels de luxe, le Royal *****, tout juste rénové, et l’Ermitage****, 11 restaurants & bars, 2 spas, les Thermes d’evian, un casino, un parcours de golf 18 trous et son centre d’entraînement, un club enfants, un service Sport & Culture et l’auditorium de la Grange au Lac.   Chaque année, l’Evian Resort organise de multiples événements dont deux d’envergure internationale : l’Evian Championship, seul tournoi Majeur d’Europe Continentale de golf féminin ; et le festival de musique de chambre des Rencontres Musicales d’Evian.   L’Evian Resort est une société du groupe Danone, une des entreprises les plus dynamiques du secteur alimentaire. ------------------------------------ NOTRE MISSION Fidéliser une clientèle exigeante nationale et internationale, en proposant des expériences mémorables, luxueuses, authentiques et exceptionnelles de ressourcement et de bien-être. ------------------------------------ NOS VALEURS - Humanisme : Dans toutes ses actions, l’Evian Resort respecte la dimension humaine. - Ouverture : L’Evian Resort se rend disponible pour mieux comprendre l’autre. - Proximité : L’Evian Resort maintien en permanence le lien avec l’autre. - Enthousiasme : L’Evian Resort transmet une énergie positive dans toutes ses actions.",France,478.423235,,,
Azureva,250032735.0,"France, Auvergne-rhône-alpes, Bourg-en-bresse",https://www.linkedin.com/company/11147241,www.azureva-vacances.com,"Fort de plus de 75 ans d’existence, Azureva, l'Accueil en terres de partage : spécialiste des séjours en Villages, Hôtels & Résidences touristiques, compte aujourd’hui 31 destinations et 42 établissements dans les plus belles localités de France, sur le littoral, à la montagne ou à la campagne. Depuis 2016, en cohérence avec ses valeurs d’origine (partage, authenticité, découverte et convivialité), Azureva s’est engagée dans un vaste programme de renouvellement et modernisation de son offre répondant ainsi aux attentes des vacanciers actuels à la recherche d’expériences touristiques enrichies et de séjours avec un excellent rapport qualité-prix. Plus d’informations sur : www.azureva-vacances.com",France,250.032735,,,
UCPA,170647400.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/ucpa,www.ucpa.asso.fr,"UCPA est une association à but non lucratif reconnue d’utilité publique, dont la mission est de rendre le sport accessible à tous en offrant des expériences sportives enrichissantes qui favorisent le bien-être et les rencontres authentiques. L'organisation se consacre à promouvoir la diversité et l'inclusion, en s'efforçant de développer les compétences, l'autonomie et la confiance en soi de ses participants, qu'ils soient adultes ou jeunes. Le Village sportif UCPA de Tignes, situé à 2100 mètres d'altitude, propose une large gamme d'activités sportives, notamment le ski alpin, le snowboard et le VTT, attirant principalement un public adulte, tant individuel que groupé. UCPA offre également des séjours multisports, de la randonnée et du trek, tout en mettant l'accent sur le respect de la nature et l'esprit de groupe.  Les clients d'UCPA incluent des adultes et des jeunes, avec des groupes limités à 15 participants pour garantir une ambiance conviviale et personnalisée. L'organisation collabore avec des guides francophones et des experts passionnés, assurant ainsi une immersion culturelle et sportive dans des destinations variées. UCPA s'engage à créer un environnement de travail solidaire et humain pour ses 55 collaborateurs, tout en garantissant des séjours de qualité grâce à des partenariats diversifiés. En somme, UCPA vise à développer les compétences et l'autonomie de ses participants, leur permettant de découvrir leur potentiel dans un cadre dynamique et solidaire.",France,170.6474,,,
Vacancéole,157483305.0,France,https://www.linkedin.com/company/vacancéole,www.vacanceole.com,"Dans le top 5 des gestionnaires de produits locatifs en France, Vacancéole propose des séjours qui répondent à tous les besoins, toutes les envies, tous les budgets, sur l’ensemble du territoire français : à la mer, à la montagne, à la campagne. Depuis sa création en 2009, l’entreprise assure la gestion, l’exploitation et la commercialisation de près de 100 résidences de vacances en France 🇫🇷 Vacancéole c’est aujourd’hui + de 70 destinations, 6000 appartements, 30 000 lits et 350 collaborateurs. Depuis juillet 2023, Vacancéole a rejoint le groupe Villages clubs du Soleil 🌞 Mais au-delà de ces éléments très factuels, nous voulons être la marque qui donne “plus de saveur” aux vacances, qui les rend inoubliables grâce à tous les moments passés et la force des relations (re)créées sur place et bien entendu aussi par la qualité des logements et des services. La marque qui renforce les liens entre tous et qui fait des vacances une parenthèse “enchantée” 🌈 Les vacances sont une période clé, une véritable rupture avec le quotidien. C’est pourquoi nous nous devons de tout faire pour que ce moment soit une réussite 🫶 🤝 Notre mission : Nous avons une approche humaine, empathique et défendons une approche quasi artisanale du séjour. Nous cherchons constamment à améliorer les liens que nous tissons avec nos clients et sommes de fervents défenseurs du territoire Français. 💙 Ce qui nous définit : L’Humain, l’adaptabilité et la flexibilité, la proximité et l’audace.",France,157.483305,,,
TUI France,110762784.0,"France, Île-de-france, Clichy",https://www.linkedin.com/company/tui-france,www.nouvelles-frontieres.fr,"TUI France est une agence de voyage renommée, spécialisée dans la création de séjours sur mesure, offrant une gamme variée de services et de produits de qualité pour des vacances inoubliables. Située à Kingersheim, l'agence dispose d'une équipe de conseillers expérimentés qui accompagnent les clients dans la planification de leurs voyages, que ce soit en famille, entre amis, en couple ou en solo, tout en respectant différents budgets et envies. La mission de TUI France est de garantir des vacances uniques et personnalisées, en proposant des séjours tout compris, des circuits et des options de personnalisation adaptées aux besoins de chaque voyageur.  L'agence collabore avec divers partenaires pour offrir des séjours dans des établissements tels que Club Marmara et Club Lookéa, ciblant principalement les familles et les groupes d'amis à la recherche d'expériences enrichissantes et de détente. Avec plus de 50 ans d'expérience dans le secteur du tourisme, TUI France s'engage à fournir un service client de qualité, soutenu par des avis positifs de voyageurs satisfaits. En tant que filiale du groupe TUI, l'entreprise se spécialise dans l'organisation de voyages et de séjours touristiques, proposant une large gamme de services, incluant des séjours tout compris dans des clubs de vacances, des circuits, ainsi que des offres de transport aérien. TUI France s'adresse principalement aux familles, couples et groupes d'amis, en collaborant avec divers partenaires hôteliers et transporteurs pour offrir des destinations variées, notamment en Méditerranée, avec une attention particulière portée sur la Grèce et ses îles. L'objectif de l'entreprise est de fournir des vacances mémorables et de qualité à ses clients, en mettant l'accent sur l'expérience client et la satisfaction. En intégrant des éléments de durabilité et de responsabilité sociale, TUI France vise à promouvoir un tourisme respectueux de l'environnement tout en offrant des expériences authentiques et enrichissantes à ses clients.",France,110.762784,,,
