Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Club Esse Hotels & Resorts,135936144.0,"Italy, Latium, Rome",https://www.linkedin.com/company/club-esse-hotels-resorts,www.clubesse.it,"Club Esse Hotels & Resorts is a prominent player in the hospitality industry, dedicated to providing high-quality vacation experiences across its various resorts. With a mission centered on excellence in guest reception and a commitment to sustainable tourism, the company emphasizes the importance of teamwork and continuous professional development among its staff. The annual APP event serves as a cornerstone for training and collaboration, allowing employees to enhance their skills and strengthen their connections with colleagues and clients alike. Celebrating 15 years of hotel management, Club Esse focuses on delivering memorable stays through meticulous attention to detail and a warm, authentic welcome. The company targets a diverse clientele seeking enriching holiday experiences, partnering with tourism professionals to ensure that every guest enjoys unforgettable vacations.",Italy,135.936144,,,
TH Resorts,133540317.0,"Italy, Veneto, Padova",https://www.linkedin.com/company/tivigest-hotels-resorts,www.th-resorts.com,"Hotels Managing Company, located in Padova, Italy. OUR STRUCTURES: SUMMER BY THE SEA: TH Ortano - Ortano Mare Village & Residence, Isola d'Elba TH Tirrenia - Green Park Resort, Toscana TH San Teodoro - Liscia Eldi Village, Sardegna  TH Costa Rei - Free Beach Resort, Sardegna TH Chia - Chia Tower Park, Sardegna TH Cinisi - Florio Park Hotel, Sicilia TH Gioiosa Marea - Capo Calavà Village, Sicilia TH Pizzo Calabro - Porto Ada Village, Calabria TH Simeri - Simeri Village, Calabria TH Le Castella - Baia degli Achei, Calabria TH Capo Rizzuto - Capo Rizzuto, Calabria TH Marina di Sibari - Baia degli Achei Village, Calabria TH Marina di Pisticcci - Ti Blu Village, Basilicata TH Ostuni - Ostuni Village, Puglia TOURING CLUB ITALIANO: La Maddalena, Sardegna Isole Tremiti, Puglia Marina di Camerota, Campania SUMMER IN THE MOUNTAINS: TH La Thuile – Planibel Residence, Valle d’Aosta TH Courmayeur - Courmayeur, Valle d'Aosta TH Pila - Pila, Valle d'Aosta TH Marilleva - Marilleva, Trentino TH Madonna di Campiglio – Golf Hotel, Trentino TH Corvara – Greif Hotel, Alto Adige TH Borca di Cadore - Park Hotel Des Dolomites, Veneto TH San Martino di Castrozza – Majestic Dolomiti Hotel, Trentino WINTER: TH Sestriere - Villaggio Olimpico, Piemonte TH Courmayeur - Courmayeur, Valle d'Aosta TH La Thuile - Planibel Hotel & Residence, Valle d’Aosta TH Pila – Pila, Valle d’Aosta TH Marilleva 1400 – Marilleva, Trentino  TH 1400 - Marilleva, Trentino TH Madonna di Campiglio - Golf Hotel, Trentino TH Corvara - Greif Hotel, Alto Adige TH San Martino di Castrozza - Majestic Dolomiti Hotel, Trentino ART CITIES: TH Roma - Domus Mariae, Lazio TH Assisi - Hotel Cenacolo, Umbria TH Assisi - Casa Leonori, Umbria LAKE: TH Lazise, Hotel Parchi del Garda, Veneto",Italy,133.540317,,,
Club Del Sole,85766940.0,"Italy, Emilia-romagna, Forlì",https://www.linkedin.com/company/club-del-sole,www.clubdelsole.com,"Club Del Sole S.r.l. is Italy's leading operator in the open-air hospitality sector, managing a diverse portfolio of family-friendly camping villages across the country. With 20 locations in seven regions and a capacity of over 28,000 beds, the company is dedicated to providing memorable vacation experiences that blend comfort, nature, and adventure. Club Del Sole's mission is to become the benchmark in outdoor tourism by integrating style, tradition, and eco-sustainability into its offerings, ensuring that guests can enjoy the beauty of nature without sacrificing modern amenities. The company caters primarily to families, with a significant portion of its clientele being international visitors from countries such as Germany, Switzerland, France, and Poland. The accommodations offered by Club Del Sole include bungalows, mobile homes, lodge tents, and pitches for campers, allowing guests to choose the option that best suits their needs. The company emphasizes sustainability and environmental responsibility, partnering with organizations like Legambiente to enhance its eco-friendly practices. Club Del Sole also focuses on community engagement, collaborating with local suppliers to enrich the guest experience and support regional economies.  In addition to its commitment to sustainability, Club Del Sole offers a range of recreational activities and services, including water sports, adventure parks, and culinary experiences, ensuring that families and adventure seekers have plenty of options for entertainment. The company’s innovative initiatives, such as the Teen Social program and the Spina Adventures park, highlight its dedication to creating engaging environments for guests of all ages. With a vision of promoting eco-friendly tourism and fostering a sense of community, Club Del Sole aims to provide high-quality vacation experiences that leave lasting memories for all visitors.",Italy,85.76694,,,
Club Ristorazione,85323700.0,"Italy, Emilia-romagna, Forlì",https://www.linkedin.com/company/11016770,www.ristoranti.club,"Club Ristorazione è un team di esperti del divertimento e del viver bene che gestisce stabilimenti balneari, ristoranti e market del gruppo Club del Sole, il più grande network di camping-village in Italia. Lavoriamo ogni giorno con professionalità e attenzione per garantire ai nostri clienti un’esperienza speciale e per farli sentire ""come a casa"".",Italy,85.3237,,,
Club Medici,50855351.0,"Italy, Campania, Naples",https://www.linkedin.com/company/clubmedici-italia,www.clubmedici.it,Club Medici è l’associazione dei medici per i medici che opera sul territorio nazionale ed è aperta a tutti gli iscritti agli albi provinciali. Da oltre trenta anni si prende cura del medico nel suo percorso professionale e di vita.,Italy,50.855351,,,
The Wilde,46157394.0,"Italy, Lombardy, Milan, 16 Via Dei Giardini, 20121",https://www.linkedin.com/company/the-wilde-milan,thewilde.com,"A new generation of private members’ clubs for a global community. The Wilde will offer exceptional hospitality, world-class cultural programming, and a dynamic digital member experience. Founded in London by seasoned members’ club professionals, The Wilde will expand to Milan, London, New York, LA and other vibrant international destinations. ‘The Wilde sets the stage for incredible encounters’. JOIN THE WILDE TEAM TODAY! Elevate your career and become a part of the legacy of excellence at The Wilde.  Join us in delivering unparalleled service and creating unforgettable memories for our members. Submit your resume and cover letter to recruiting.milan@thewilde.com and let us know why you’d be a perfect fit for our team. Don’t forget to specify the position you're applying for in the subject line of your email.",Italy,46.157394,,,
Saint Jane Hotels & Suites,41352653.0,"Italy, Sondrio, Tirano, 2 Via Pio Rajna, 23037",https://www.linkedin.com/company/saint-jane-hotels-suites,www.saintjane.it,"La tradizione di ospitalità del gruppo Saint Jane inizia nel 1950 ad Aprica, con il glorioso Hotel Sangiani. Nel 1968 Piero Sangiani acquista l'Hotel Cristallo, adiacente alle funivie del Palabione. L’hotel diventerà negli anni a seguire una struttura di riferimento di Aprica, contribuendo a renderla una delle mete turistiche più rinomate della Valtellina, e definirà gli altissimi standard di ospitalità e qualità che ancora oggi caratterizzanno l’offerta del gruppo Saint Jane.   Oggi le nostre strutture sono situate in tutta Italia in luoghi di per se pieni di bellezza paesaggistica dove si respira tranquillità, circondate da piccoli borghi suggestivi dove troverete i sapori di una volta ma non solo…percorsi del gusto, relax termale, sport invernali ed estivi per tutti i gusti. Ma a rendere ancora più piacevole il vostro soggiorno ci sarà la qualità, il comfort, la professionalità e la familiarità che Saint jane Hotels & Suites offre perché ogni ospite per noi è unico. Il nostro staff saprà consigliarvi  al meglio nelle vostre scelte, Vi sarà d’appoggio per qualsiasi necessità durante la vostra permanenza, saprà indicarvi e proporvi servizi aggiuntivi, idee e suggerimenti per vivere un’indimenticabile vacanza. I Nostri Hotels: LOMBARDIA Cristallo Club & Wellness Hotel **** Appartamenti Vacanze Aprica  Hotel Sant Anton **** Albergo le Due Corti **** Hotel Piandineve **** Lifestyle Room Binario Zero **** Design Suite Tirano **** Hotel Centrale **** Hotel Corona *** Hotel Bernina *** TRENTINO Park Hotel Folgarida **** SARDEGNA Limone Beach **** Alma Resort **** CALABRIA Nicotera Beach Village **** PUGLIA Villaggio Eden ***",Italy,41.352653,,,
Miramis,38958778.0,"Italy, Tuscany, Porto Ercole",https://www.linkedin.com/company/miramis-hospitality,www.miramis.com,"Miramis is the new luxury hospitality brand launched by Qarlbo AB, the Swedish investment group founded by the Jonsson family, known for developing long-term business models driven by values inspired by sustainability and innovation. Miramis' mission is to enhance the potential of extraordinary places by combining high-end design and personalized guest services with a deep respect for local communities and the environment. The brand's starting point will be the project portfolio of Erqole, whose values and vision align with Miramis' dedication to authenticity, sustainability, and quality. Among the most iconic properties located in southern Tuscany are Hotel La Roqqa and Isolotto Beach Club in Porto Ercole, Hotel Torre di Cala Piccola in Porto Santo Stefano, and Fattoria La Capitana in Magliano in Toscana, all of which will undergo significant renovations, as well as a new hotel is planned for the area of the former Cirio factory in Porto Ercole.",Italy,38.958778,,,
Baja Hotels SpA,37760040.0,"Italy, Loc. Baja Sardinia",https://www.linkedin.com/company/baja-hotels-spa,www.bajahotels.it,"Baja Hotels is a hotel group that was set up in 1970 in Baja Sardinia before expanding to take in the Costa Smeralda and, from this year, also the western coast of Sardinia. The Club Hotel, overlooking the bay of Baja Sardinia, was the group’s first establishment. Over time, the beauty of this place encouraged us to make other acquisitions, since we did not have sufficient space to meet the demand: from the Hotel La Bisaccia (located on the other side of the bay from the Club Hotel) to the Grand Relais dei Nuraghi, both overlooking the Maddalena archipelago. Over the years, the hotel chain has attained a position of leadership in the Costa Smeralda area. 2022 saw the start of a process of renewal and expansion for the hotel chain, which consolidated its reputation as the leading name in Baja Sardinia with the Club Hotel and the Hotel La Bisaccia in the 4-star Superior segment, and with the Grand Relais dei Nuraghi in the upscale, 5-star Luxury segment. A major new development is the entry of a new hotel, planned for the 2023 season: the Is Arenas Resort. This 5-star resort, immersed within an extensive pine forest on the western coast of the island, directly overlooks a 6-mile-long beach.",Italy,37.76004,,,
Conrad Chia Laguna Sardinia,33793806.0,"Italy, Sud Sardegna, Ballas, 52 Viale Dei Fenicotteri, 09010",https://www.linkedin.com/company/conradchials,www.chialagunaresort.com,"A breathtaking view of the turquoise sea and the lagoon with its pink flamingos. The elegant and harmonic style. The constant pursuit of excellence. A sense of absolute tranquility. All of this makes the Conrad Chia Laguna Sardinia the perfect location to let the ancient land of Sardinia inspire you.  Conrad Chia Laguna Sardinia is the first Conrad Hotel & Resort in Italy! The hotel is open since 13th of April 2022 and offers 107 rooms and suites, 3 restaurants, 2 swimming pools, a Conrad spa, Gym and a Beach Club. Perched on the southern-most tip of the Mediterranean island, the property is surrounded by outstanding natural beauty. Sand dunes, coastal flora and fauna and pink flamingos give way to two of Italy’s most beautiful beaches: Monte Cogoni and Dune di Campana. These spectacular vistas are visible from every corner of the property – with rooms, suites, restaurants and pools boasting panoramic views across the iconic Chia bay. As part of our mission, we are seeking passionate, talented professionals who are ready to make a difference and step above the crowd.",Italy,33.793806,,,
