Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Grupo Vips,3587272075.0,"Spain, Madrid, Madrid",https://www.linkedin.com/company/74856,www.grupovips.com,"Grupo Vips, fundado en 1969, es uno de los grupos multimarca y multiformato líderes del sector de la hostelería en España. Nuestra oferta integra restaurantes y cafeterías, así como una fábrica de sándwiches premium y un club de fidelización único en el sector. Somos una empresa en permanente evolución, cuyas señales de identidad han sido, desde el primer día hace más de 45 años, una vocación y pasión inquebrantables por el sector servicios.",Spain,3587.272075,,,
Ushuaïa Ibiza Beach Hotel,1888002000.0,"Spain, Balearic Islands, Ibiza",https://www.linkedin.com/company/ushuaiaibizabeachhotel,www.ushuaiabeachhotel.com,"Ushuaïa Ibiza Beach Hotel is the place where you can find what you always dreamed of enjoying in Ibiza, it is the concept that changed the island forever.  Enjoy performances by the best DJs in the world on the spectacular stage next to the pool and from your room, surrounded by a modern, designer setting, with all types of comfort, luxury and exclusive VIP services. The best daytime parties combined with the delicacies from its restaurants and some outstanding facilities, with the best rooms, all located on the waterfront of the most stimulating beach on the sexiest island in the world. The Ushuaïa Ibiza Beach Hotel is made up of two establishments that are next to each other. The Ushuaïa Club, if you want to live the pure Ushuaïa experience and enjoy its parties first hand, even from your room, and The Ushuaïa Tower, if you want more exclusivity and intimacy but always maintaining the spirit of Ushuaïa. - Hotel not recommended for those under 22 years old. Only for adults. - Rooms with AC, large flat screen satellite TVs, WIFI, i-docking stations,Chromotherapy - 24 hr rooms service, maxi-bar with top brands - Live shows: world´s top DJs, state of the art DJ booth, go-gos, fashion shows,.. - Suites with indoor Jacuzzi - Swim up rooms –direct access to pool - VIP boxes with exclusive service. - 2 outdoor pools, large Balinese-type beds, cocktail bars around pool area. - Wellness center and fully equipped gym - Japanese restaurant, teppanyaki tables and Zen garden. - Beach Club with Mediterranean cuisine & direct access to the beach. - Cocktail music bar in reception. - Professional recording studio",Spain,1888.002,,,
Marina D'Or,796235810.0,"Spain, Valencia, Oropesa Del Mar",https://www.linkedin.com/company/marina-d'or,www.marinador.com,"Marina D'Or, operating under the brand Magic World Resort, is a leading tourism company based in Oropesa del Mar, Spain, specializing in family-friendly vacation experiences. The company offers a diverse range of accommodations, including themed hotels such as Hotel Magic Sports, Hotel Magic Games, and Hotel Magic Fantasy, catering to various interests and age groups. Marina D'Or's mission is to provide unforgettable holiday experiences filled with magic and adventure, ensuring that every family member finds their own unique enjoyment. The resort features numerous amenities, including water parks, themed attractions, and wellness services at the Pontiana Thalasso Hotel, appealing to both leisure travelers and families. With a focus on customer satisfaction, Marina D'Or fosters loyalty through its Magic Amigos Club, offering exclusive discounts and benefits to returning guests. The company aims to create a welcoming environment where guests feel like friends, enhancing their overall vacation experience.",Spain,796.23581,,,
Hipotels - Hotels & Resorts,794753062.0,"Spain, Baleares, Cala Millor, 18 C/ Sestanyol, 07560",https://www.linkedin.com/company/hipotels,www.hipotels.com,"Hipotels Hotels & Resorts is a premier hospitality company that specializes in providing exceptional hotel and resort experiences across popular destinations such as Mallorca, Cádiz, Lanzarote, and Cancún. The company is dedicated to rewarding guest loyalty through its innovative Hipotels Vibes Club, a tiered loyalty program that offers exclusive benefits and discounts for members who book directly through their official website. With a mission to create unforgettable stays filled with happiness and relaxation, Hipotels aims to enhance customer satisfaction by offering personalized services and unique experiences tailored to their guests' needs. The target market includes leisure travelers seeking comfort and quality, as well as event organizers looking for versatile venues for celebrations and conferences. Through strategic partnerships and a commitment to excellence, Hipotels strives to be a leader in the hospitality industry, ensuring that every guest feels valued and appreciated.",Spain,794.753062,,,
Supersol Spain,503900000.0,"Spain, Madrid, Alcobendas",https://www.linkedin.com/company/supersol-spain,www.supersol.es,"Supersol Spain, operating under the brand Correduría de Seguros Carrefour, S.A.U., is a prominent insurance brokerage that serves as an intermediary between clients and insurance companies, providing tailored advice and solutions in the insurance sector. The company's mission is to facilitate the selection of appropriate insurance products that meet the specific needs of its clients, ensuring high-quality service and compliance with current legal regulations. Supersol Spain caters to a diverse clientele, including individuals and families, and collaborates closely with various insurance providers and entities within the Carrefour Group, enabling it to offer a wide range of products and services. The company primarily targets members of the Club Carrefour, utilizing its extensive database to personalize offers and enhance the customer experience. Supersol Spain is particularly recognized for its leading position in the pet insurance market, dedicated to safeguarding the well-being and protection of pets against unforeseen events. It offers a variety of insurance plans specifically designed for dogs and cats aged between three months and nine years, focusing on comprehensive coverage that includes civil liability, veterinary assistance for accidents and illnesses, as well as additional services like hospitalization and burial costs. The company's vision emphasizes optimizing customer relationships through a satisfaction and trust-based approach, ensuring that each client receives the attention and support they require in the insurance domain. By partnering with Generali, one of the largest insurance groups globally, Supersol leverages over 30 years of experience in the insurance industry to provide reliable and affordable pet insurance solutions. The target market includes pet owners who prioritize their pets' health and safety, as well as those looking to meet legal requirements for pet identification and insurance.",Spain,503.9,,,
Global Great Hotels,459112160.0,"Spain, Ad",https://www.linkedin.com/company/global-great-hotels,globalgreathotels.com,"Créé en 1997, Global Great Hotels est un club hôtelier offrant de nombreux avantages à ses adhérents pour leurs voyages, réservations hôtelière et de multiples autres services associés à la conciergerie.  Depuis bientôt vingt ans, spécialisées dans l'organisation de vacances de luxe, nos équipes de professionnels du tourisme ont déjà créé plus de 15.000 vacances de luxe et des milliers de membres, familles et amis, ont profité de nombreux avantages exceptionnels à travers des dizaines de pays, sur les cinq continents, combinant hôtels, villas et résidences de standing, expériences familiales, romantiques ou culturelles inoubliables.  Notre principale mission est d'offrir un nouvel accès au monde à nos adhérents tout en demeurant un club d’élite, leur permettant de voyager à des tarifs concurrentiels.",Spain,459.11216,,,
Camiral,308051615.0,"Spain, Girona, Caldes De Malavella, Crta. N-ii Km 701, 17455",https://www.linkedin.com/company/camiral-golfwellness,www.camiral.com,"Camiral Golf & Wellness, located within the Quinta do Lago Girona resort, is dedicated to providing an exceptional golfing experience complemented by wellness offerings. The company focuses on enhancing the game of golfers of all skill levels through world-class practice facilities, expert tuition, and premium equipment rentals, ensuring both performance and enjoyment. With a mission to create a seamless and enjoyable golfing environment, Camiral offers services such as dedicated Caddy Masters, secure club storage, and state-of-the-art electric golf carts. The resort attracts a diverse clientele, including seasoned players and newcomers, and partners with leading brands like TaylorMade to provide top-quality equipment. Camiral aims to be a premier destination for golf enthusiasts seeking a blend of sport and relaxation in the stunning natural beauty of the Costa Brava.",Spain,308.051615,,,
Taco Bell España,281844350.0,"Spain, Madrid, Pozuelo De Alarcón",https://www.linkedin.com/company/taco-bell-espana,www.tacobell.es,"Taco Bell España is a prominent fast-food chain specializing in Mexican-inspired cuisine, offering a diverse menu that includes tacos, burritos, and nachos, all made fresh to order. The company's mission is to provide high-quality food while maintaining rigorous standards of food safety and quality, ensuring that all suppliers align with its commitment to customer satisfaction. Taco Bell España targets a broad demographic, appealing to young adults and families looking for quick, flavorful meals. The company also emphasizes customer engagement through its Taco Bell Club loyalty program, allowing customers to earn and redeem points for discounts, thereby fostering a loyal customer base. With a focus on innovation and quality, Taco Bell España aims to enhance the dining experience while expanding its presence in the competitive fast-food market.",Spain,281.84435,,,
Marbella Club Hotel · Golf Resort & Spa,259480943.0,"Spain, Andalusia, Marbella",https://www.linkedin.com/company/marbella-club-hotel-·-golf-resort-&-spa,www.marbellaclub.com,"Marbella Club Hotel · Golf Resort & Spa is a luxurious Mediterranean beachfront destination that embodies the true spirit of Andalusia. The resort offers a unique blend of heritage and innovation, providing guests with a tranquil environment to enjoy family, community, and relaxation. With a focus on holistic wellbeing, the hotel features a renowned Thalasso Spa, wellness programs, and a variety of dining options that celebrate local, seasonal ingredients. Targeting discerning travelers seeking a serene escape, Marbella Club caters to families, couples, and wellness enthusiasts alike, ensuring a memorable experience in a stunning natural setting. The hotel's mission is to nurture the important aspects of life while promoting a lifestyle of balance and rejuvenation.",Spain,259.480943,,,
Anfi Group,223413570.0,"Spain, Canary Islands, Mogán",https://www.linkedin.com/company/anfi-group,anfi.com,"Anfi Group is a prominent company specializing in the promotion and management of timeshare resorts in Gran Canaria, Spain. With a mission to provide luxurious vacation experiences, Anfi Group operates several high-end resorts, including Anfi del Mar, Anfi Beach Club, and Club Monte Anfi, offering a range of amenities such as pools, restaurants, and wellness centers. The company aims to deliver exceptional service and flexibility to its clients, allowing them to enjoy unique holiday experiences in a stunning natural environment. Anfi Group caters to a diverse clientele, including families and individuals seeking quality leisure time, and partners with various service providers to enhance the overall guest experience. Through its commitment to excellence and customer satisfaction, Anfi Group continues to be a leader in the timeshare industry.",Spain,223.41357,,,
