Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Holding MALGEN,12707918.0,"Czech Republic, Praha, Prague, 916/9a Na Harfě, 19000",https://www.linkedin.com/company/holdingmalgen,www.malgen.cz,"Sdružení obchodních společností Holding MALGEN zajišťuje široké spektrum služeb pro začínající i fungující firmy, jejich majitele, manažery i zaměstnance. Naším cílem je nabídnout portfolio služeb formou all-in-one. Specializujeme se především na kompletní portfolio služeb FACILITY (ostraha, úklid, správa a údržba), CONCIERGE (osobní služby, rezervace, organizace volného času) a CONSULTING (právní a daňové poradenství, daňové optimalizace, dluhové poradenství) a REAL ESTATE (realitní zprostředkování, komerční nemovitosti, investice do nemovitostí) a nově FVE.",Czech Republic,12.707918,,,
Concierge Services,1880649.0,"Czech Republic, Praha, Prague, 270/201 Sokolovská, 19000",https://www.linkedin.com/company/re-max-concierge-cz,www.conciergeservices.cz,"Concierge Services je profesionální poradenská společnost, která se zaměřuje na poskytování end-to-end poradenských a řízených služeb pro privátní | firemní | VIP klientelu, po celé ČR, se změřením na nemovitosti /TOP residenční; investiční; podnikatelské/ | aktiva /privátní; firemní/ | finance /úvěry; volné prostředky/. Concierge Services is a professional advisory company in the Czech Republic. Main company focus is arranging end-to-end consulting and managed services for retail | corporate | VIP clients across the Czech Republic. Main segments, where the company able to manage business, are real estates /TOP residential; investment; commercial/ | assets /private; corporate/ | finance /loans; equity/.",Czech Republic,1.880649,,,
TOPDeal-business,510211.0,"Czech Republic, Praha, Prague, 145/14 Roháčova, 13000",https://www.linkedin.com/company/topdeal-business,www.topdealbusiness.cz,"🔹 Byznys concierge služba- když máte o něco zájem (poptávku), ale nevíte kde hledat, koho a chcete co nejlepší výsledek pro uspokojení svého zájmu s minimální investicí svého času a energie. 🔹 Vyjednávání- chvíle, kdy máte konflikt s klíčovými klienty nebo dodavateli a chcete zůstat ve spolupráci nebo jí ukončit s co nejmenšími ztráty. Stojíme za Vašimi zájmy. 🔹 Konzultace dohody před uzavřením spolupráce. Protože jasná a srozumitelná dohoda snižuje potenciálu vzniku konfliktu. 🔹 Vzdělávání v oblasti autentického vystupování, práce s emocemi na schůzce. Soulad mezi hlavou a emocemi je základ k autentickému jednání. 🔹 Exkluzivní akce pro obchodníky, CEO, majitele firem, investory- networkingové akce 🔹 Pomoc s vytvářením hlubších vztahů s klíčovými zákazníky a dodavateli",Czech Republic,0.510211,,,
MyTimi,22656024.0,"Czech Republic, Hlavní Město Praha, 2449 Voctářova, 180 00",https://www.linkedin.com/company/mytimi,www.mytimi.cz,"In the beginning, there were 3 friends, who were disappointed by the level of services in the Czech Republic (some of us were angry at the restaurant, in the post office, in the negotiations with the supplier or in the kindergarten). These friends had very little free time, so they wanted someone to get rid of ""unproductive activities"" and give them the most valuable - time. Now they have the time and the desire to realize their pampered thought (a friend who relieves them from worries) and so ... an idea for MyTimi was born (my time :)) Our goal is to provide top-level personal assistance / concierge services. We will do whatever the customer wants (if it is legal). For every task we try to get the so-called ""extra mile,"" a feeling of extraordinary service. We try to grab even the simplest assignment and do everything we see our client ""in the eyes"". We always try to get to our client maximum of free time. In fulfilling the tasks we are obsessed with the speed and quality of customer service, there is nothing but the best for us.",Czech Republic,22.656024,,,
Program Health Plus,11984342.0,"Czech Republic, Praha, Prague, 3274/10 Kartouzská",https://www.linkedin.com/company/program-h-plus-soukroma-klinika,www.programhplus.cz,"NĚCO PLUS je častým znakem pro snahu upozornit, že před vámi a pro vás existuje něco, co má v sobě užitek navíc. My v poliklinice Program Health Plus se staráme o vaše zdraví a přemýšlíme, jak to dělat s výraznějším efektem. Za posledních dvacet let jsme zažili úspěšnou snahu o zavedení nových léků, nových přístrojů i nových postupů. Medicína je dnes daleko účinnější, přesnější a méně invazivní, tedy i méně nepříjemná. Zažíváme tlak na kvalitu, léčba je určitě mnohem bezpečnější, komplikace jsou stále výjimečnější a ohledy na jednotlivce se dostávají více do popředí. Plošné screeningy, očkování, preventivní prohlídky a specifické cesty mohou, máme-li zájem je využívat, upozornit na velkou část nemocí ještě v zárodku, a tak nejen, že nepocítíme rušivě onemocnění, ale i léčebný proces. Přesto se často cítíme ztraceni v záplavě odbornosti, technologie a informací. Chybí nám partner, který by měl cílený zájem o nás, o naše přání, o naše pocity. Základem je individuální přístup – concierge medicine - plné soustředění na přání a potřeby klienta. Aby však tato služba byla opravdu nejlepší, je nutné mít možnost pracovat se všemi dostupnými informacemi. Cítíme, že vysoce erudovaný odborník s individualizovaným přístupem opírající se o digitalizaci všech informací, je zárukou úspěšné prevence, diagnostiky i následné léčby. A to umožňuje zachovat plné zdraví a kondici našim klientům.",Czech Republic,11.984342,,,
ALAKARTE,1530633.0,"Czech Republic, Praha, Prague, V Bokach Iii, 15200",https://www.linkedin.com/company/alakarte,www.alakarte.cz,"Alakarte.cz serves as the restaurant concierge in the Czech Republic. Are you looking for a unique dining experience? Tired of visiting the same restaurants? We will help you select the right quality restaurant for your special occassion or business meeting. We also organize numerous food festivals throughout the year. Whether the festivals promote seasonal ingredients or geografical cuisines, they certainly provide our customers with a unique culinary experience. Alakarte.cz inspires, motivates and provides comfort to diners in the Czech Republic. We want to become the place where people go to learn what's new in restaurants, find an appetite for something unique, get comfort booking tables online in real time and appreciate the various special offers at restaurants. Alakarte.cz Discover Your Taste",Czech Republic,1.530633,,,
Concierge Advisory,1530633.0,"Czech Republic, Praha, Prague, 2a Ukrajinska, 10100",https://www.linkedin.com/company/concierge-advisory,www.coadv.eu,"Concierge Advisory is a new exciting company specialized in sourcing, cost management and cost optimization. Concierge Advisory expertise is based on a successful track record of delivering major projects with leading global corporations. Concierge Advisory expertise was primarily gained within the IT and Telecoms industries working on project from 1M€ to 100M€, but has recently extended their services to cover other business sectors. Concierge Advisory is a flexible, dynamic company who will adapt their approach and working practices to align with its customer's requirements to ensure all project benefits are delivered successfully.",Czech Republic,1.530633,,,
LUXFEEL HOLDING S.r.o.,1812279.0,Czech Republic,https://www.linkedin.com/company/luxfeel-holding,www.luxfeel.cz,"LUXFEEL HOLDING, s.r.o. se zabývá těmito činnostmi: *zajištění vstupenek na sportovní a kulturní akce - hokej, fotbal, formule 1, olympijské hry, koncerty *concierge službami pro firmy a rodiny *zprostředkováním zaměstnanců pro výrobní podniky *aplikací pro milovníky fashion",Czech Republic,1.812279,,,
AF Capital,629334.0,"Czech Republic, Praha, Prague, 716/24 Rybna",https://www.linkedin.com/company/pafadvisers,afcapital.fund,"We have teamed up to create integrated solutions for wealthy people, at the intersection of finance, law and business management. Our experts deeply analyze both the client’s task and the initial situation, so that to provide the optimal solution, considering the variety of products and services already existing at the market. Personal consultations are always available for our clients, as well as a full support at all stages, audit and coordination of all the contractors, “one-stop shop” and concierge services.",Czech Republic,0.629334,,,
JSV International Assistant Service S.r.o.,110814.0,"Czech Republic, Praha, Prague, 808/66 Václavské Náměstí, 11000",https://www.linkedin.com/company/2702099,www.internationalassistant.eu,"We provide comprehensive Administrative & Secretary and Executive Personal Assistant support for CEO´s, Consultants, Investments Company, Developers, Start-up projects, Private entrepreneurs, Financial advisers. We communicate in more than 60 world’s languages and entire Personal Assistant´s staff is dedicated to serving You. Translation and localization Solutions & Communicate with your customers, business partners, associate in their own language. Business is based in Prague, Czech Republic, we operates internationally, 24/7. JSV was established in the end of 2009. Services: • Secretarial & Commercial services & Business solutions • Executive & Virtual & International Travel Assistant • Translation & Interpreting & Conference simultaneous interpreting • Facility Management & Family Office & Financial consultancy • Time Management & Task Management • Wealth management & Accounting and Bookkeeping • Relocation service & Concierge & Lifestyle & Counseling We offer: Flexible booking options: 1 UP 10 hours to use over a month structured fees. 10 UP 50 hours 20% discount of structured fees. 50 UP 100 hours 30% discount of structured fees. Why choose us: There is no VAT to pay, NO long term commitment, No office overheads. NO hidden fees. These are the languages we are most proficient working with: Arabic, Albanian , Armenian, Azerbaijani, Belarussian, Bengali, Bosnian, Bulgarian, Burmese, Catalan, Chechen, Chinese Simplified, Chinese Traditional, Croatian, Danish, Darish, Dutch, English, Esperanto, Estonian, Finnish, French, Furland, German, Georgian, Greek, Hebrew, Hungarian, Icelandic, Indonesian, Italian, Japanese, Kazakh, Korean, Kurdish, Kyrgian, Latin, Latvian, Lithuanian, Moldavian, Montenegrin, Mongolian, Norwegian, Persian, Polish, Portuguese, Punjabi, Romanian, Russian, Serbian, Sinhala, Slovak, Slovenian, Spanish, Swedish, Tajikistani, Thai, Turkish, Ukrainian, Urdu, Uzbekistani, Vietnamese and more. Services we offer: 1) Language Translation 2) Localization (Software / Website / Mobile APP) 3) Interpretation 4) Transcription 5) Voiceover and Dubbing 6) Subtitling",Czech Republic,0.110814,,,
