Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Pénélope Groupe,1141770937.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/groupe-penelope,www.penelope.fr,"Société française créée en 1971, Pénélope Agency s’est imposée comme un acteur majeur des métiers de l’accueil en entreprise, de la téléphonie, de l’animation commerciale et des études marketing terrain ainsi que de l’événementiel en s’appuyant sur des valeurs de proximité et de fidélité. Le groupe a également une société de travail temporaire, Fiva, et une société spécialisée dans les services administratifs aux entreprises (comptabilité, payes…), BGME. PENELOPE ACCUEIL & SERVICES gère l’externalisation du service accueil visiteurs des entreprises et de services complémentaires tels que la conciergerie mutualisée (« Bien-être à la carte » en partenariat avec le Groupe Edenred) et un package de logiciels de gestion informatisée des accueils (ep@ck by Pénélope). Pénélope Agency propose 3 niveaux de services entièrement modulables et adaptés aux différentes typologies d’entreprises (Offre Grands Comptes, Offre PME et Offre Prestige).",France,1141.770937,,,
GROUPE ETIC,424660197.0,"France, Provence-alpes-côte D'azur, Marseille",https://www.linkedin.com/company/groupe-etic,www.etic-groupe.com,"Le Groupe ETIC réalise, depuis 20 ans, des prestations de services aux entreprises dans les domaines suivants via 5 filiales :  - ETIC ACCUEIL : Prestations d'accueil externalisé en entreprises (accueil physique / téléphonique / gestion du courrier...) et de Conciergerie. - ETIC CONGRES : Prestations d'accueil événementiel (salons, foires, congrés, événements sportifs...), d'animations commerciales, de street marketing... - ETIC SECURITE : Prestations de Surveillance et de Sécurité des biens et des personnes et de télésurveillance. - ALTA ETIC : Centre de relation clientèle, plateforme de centre d'appels basée à Marseille (Standard centralisé, hotline technique...). - ETIC CONSEIL : Formations et Audit / Conseil en Sécurité Incendie. Pour toute information, n'hésitez pas à nous contacter :  Tel : 04 96 15 13 40 Email : infos@etic-groupe.com. www.etic-groupe.com",France,424.660197,,,
Le Collectionist,225402645.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/le-collectionist,www.lecollectionist.com,"Le Collectionist is a luxury vacation rental company that specializes in offering a curated collection of extraordinary properties across some of the world's most sought-after destinations, including France, Spain, Italy, Greece, and the Caribbean. The company's mission is to provide bespoke travel experiences that combine exceptional accommodations with personalized concierge services, ensuring that every stay is unique and memorable. Catering primarily to affluent travelers and families seeking exclusive holiday experiences, Le Collectionist partners with property owners to showcase stunning villas and homes that reflect local charm and luxury. With a focus on creating unforgettable moments, the company emphasizes a responsible approach to travel, aiming to connect guests with the culture and beauty of their chosen destinations. Through its dedicated team of advisors, Le Collectionist offers tailored recommendations and support, making it a preferred choice for discerning clients looking for a seamless and enriching travel experience.",France,225.402645,,,
Les Clefs D'Or International,176026944.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/lesclefsdor,www.lesclefsdor.org,"Les Clefs d’Or is a professional association of hotel concierges in virtually every corner of the world. Our organization has over 4000 members in 80 countries and 536 locations. Our members are easily identified by the crossed golden keys on our lapels. We are an elite association, globally connected, committed to professional development, and driven to setting new standards for guest service perfection. With roots dating back to 1929, officially founded in France in 1952, Les Clefs d  ́Or is a not-for-profit organization based on two pillars: service and friendship. To earn the right to wear the golden keys, aspiring concierges must have several years of experience as a hotel concierge, pass comprehensive testing and prove beyond doubt their ability to deliver the highest quality of service.  We are local experts with access to our global network of members. No one knows the world like Les Clefs d’Or.  Never outsourced, Les Clefs d’Or Concierges are directly employed by the hotels we work in. We offer an unbiased service not aligned with tour companies or other service providers. We always have your best interest at heart. The golden keys are your assurance that everything we recommend is the best choice for you! This is our promise. Our recommendations are based on personal experiences and „up to date“ knowledge. Our members are local experts because we go where we recommend. Serving more than 100 million guests every year, Les Clefs d’Or members fulfil an infinite variety of requests from the everyday to the extraordinary.",France,176.026944,,,
Welcome At Work!,129426727.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/atrois,welcomeatwork.com,"Welcome at Work! est le premier concept dédié à la création, la gestion et l’animation des parties communes des immeubles de bureau, favorisant l’épanouissement des résidents.   Welcome at Work! simplifie la vie des résidents par une offre de services adaptés (accueil, conciergerie, cafétéria, salle de sport, collectstore, studio zen,…), et ajoute une touche de vie dans l’immeuble en organisant des évènements sportifs, culturels, networking et bon plans.",France,129.426727,,,
Phone Régie,115734659.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/phone-regie,www.phone-regie.com,"Chez Phone Régie, nous composons des expériences d'accueil  physique et téléphonique pour assurer des parcours clients et visiteurs sur mesure. Notre mission : offrir un accueil d'excellence, orchestré avec précision pour créer une expérience fluide et harmonieuse, en parfaite résonance avec l’identité de votre entreprise.  Nous orchestrons un large éventail de services : • 	Accueil des visiteurs et réception téléphonique • 	Conciergerie et bien-être des collaborateurs  • 	Gestion de la relation client externalisée Phone Régie est une marque d'ARMONIA, leader des services en entreprise, dont la mission est d’imaginer et de créer des solutions sur mesure pour rendre les lieux de travail plus harmonieux, plus humains, et plus efficaces.",France,115.734659,,,
Groupe Terrésens,73228279.0,"France, Auvergne-rhône-alpes, Lyon",https://www.linkedin.com/company/groupe-terr-sens,www.terresens-hr.com,"Expert de l’immobilier géré, Terrésens opère depuis 2008 dans la réalisation de programmes immobiliers touristiques. Notre expertise métier nous permet d’intervenir tout au long du projet immobilier : promotion immobilière, commercialisation, gestion et exploitation.  Ces métiers nous donnent une vision à 360° de l’immobilier de loisirs (mer, montagne, campagne). Fort de notre croissance, nous avons développé le concept de la ""CRT"" (Copropriétés Résidentielles de Tourisme).  La CRT est une copropriété classique d’habitations verticales (immeubles collectifs) ou horizontales (ensemble de châlets) qui offre un service exclusif de conciergerie et s’adresse à des propriétaires souhaitant profiter de leur bien tout en la rentabilisant par une mise en location.  Nos missions, une intervention transversale de l'immobilier géré :  - Montage d'opérations - Promotion immobilière - Commercialisation de l'opération - Gestion et exploitation",France,73.228279,,,
Maison VALLAT,62158888.0,"France, Auvergne-rhône-alpes, Annecy",https://www.linkedin.com/company/vallatgroupe,vallat.fr,"Avec bientôt 70 ans d’existence, le groupe VALLAT a une approche à 360°. Le groupe familial rassemble tous les métiers de l’immobilier : du conseil financier au projet de construction, et plus rare, jusqu’aux services de conciergerie. « Les différents métiers de l’immobilier tels que je les envisage ont pour seul but d’offrir au client la sensation d’être chez soi comme à l’hôtel » affirme Joffray Vallat qui dirige le groupe familial. De Courchevel à Monaco, il se positionne comme un acteur global pour créer des lieux d’un nouveau genre. Et ce, exclusivement dans des endroits d'exception.",France,62.158888,,,
Generali Concierge Services,49558529.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/generali-concierge-services,generali-concierge-services.com,"Generali Concierge Services a été créée en 2016, filiale à 100% d'Europ Assistance, entreprise du groupe Generali. Elle est la nouvelle référence de conciergerie personnalisée : parce que chacun de nos clients est unique, nous développons une offre et un programme sur-mesure en marque blanche : respectueux de leur image, et en phase avec les besoins spécifiques de leurs clients, collaborateurs ou membres.  Grâce à l’écoute experte 24/24h de nos conseillers lifestyle, à la personnalisation de nos offres, combinés à des solutions technologiques de pointe, les demandes des membres, même les plus exigeants, sont satisfaites.  Nous veillons à accompagner nos clients avec une approche stratégique et marketing 360° : une parfaite connaissance des membres et de leurs besoins nous permet de mettre en place une animation ciblée et personnalisée pour chaque programme de conciergerie, c’est ainsi que nous faisons grandir l’attachement émotionnel des clients à leur marque.",France,49.558529,,,
Régie Des Ecrivains,37832364.0,"France, Grand Est, Schiltigheim",https://www.linkedin.com/company/regie-des-ecrivains,regiedesecrivains.com,"La Régie des Ecrivains est une entreprise d'insertion basée à Schiltigheim (Grand-Est) et qui propose des prestations dans le domaine du nettoyage des locaux, l'entretien des espaces verts, la propreté urbaine, la conciergerie d'immeubles et le maraîchage.",France,37.832364,,,
