Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Technika És Security,416448.0,"Hungary, Budapest, Budapest, 1072",https://www.linkedin.com/company/team-event-security,www.tesec.hu,"Fő Profilunk:   * Telephelyek, raktárak, irodaházak, oktatási intézmények őrzésvédelmi feladatainak ellátása, * Rendezvények, zenei-, sport-, és egyéb kulturális események biztosítására, * Portaszolgálat, Üzemeltetés, Profittermelés Jelenleg négy olyan veszélyeztetett terület van Magyarországon, ahol fontos lehet a személy-, és vagyonvédelemmel, illetve ehhez kapcsolódó eszközös biztonságtechnikával foglalkozó cégek alkalmazása. *	Az egyik legnagyobb felelősséget igénylő terület a fegyveres szolgálat,  *	A másik - nem kevésbé fontos terület - a vagyonvédelem *	Nagyobb létszámot és komoly eszközös felszereltséget igényel a rendezvénybiztosítás,  *	Végül az eszközös védelem, amely raktárak, irodák, telephelyek védelmére, állagának megőrzésére irányul A felsorolt négy alaptevékenység mellett egy új ágazat is előtérbe került. Ez egy perszonális, bizalmi szolgáltatás, amely speciálisan a személyes-, vagy céges ügyintézés sajnálatos velejárójaként jelentkezik. Ebben a körben felmerülő problémák megoldása inkább már egy speciális nyomozati, érdekvédelmi munka, a bevezetőben ismertetett személy és vagyonvédelmi tevékenységgel szemben. A Technika és Security Kft (elődjével a Te-Sec Kft-vel együtt értve) a biztonsági szolgáltatás területén több mint 20 évre visszamenő tapasztalattal rendelkezik.  Biztonságtechnika: Vállaljuk a biztonsági rendszerek tervezését, telepítését, karbantartását, beléptető rendszer, ipari kamera, mozgásérzékelő, riasztó stb. telepítését, Mobilkerítés, mobilkonténer, mobil WC és a kapcsolattartáshoz szükséges adó-vevő készülékek bérbeadását is A Technika és Security Kft a nagy létszámú rendezvénybiztosításnál jelen van. Az elmúlt 10-15 évben átlagosan 3-5 különböző időtartamú zenei/kulturális/sport rendezvény biztosítását végezte gyakran 100 fő feletti létszámmal.",Hungary,0.416448,,,
LángVéd Ltd.,2086463.0,"Hungary, Budapest, Budapest",https://www.linkedin.com/company/langved,www.langved.hu,"2011 óta országosan szolgáltatunk: -telephelyőrzés, portaszolgálat, -takarítás, parkgondozás, -biztonságtechnika.  Ajánlatkérés, információ: iroda@langved.hu",Hungary,2.086463,,,
VBP Logistic Service P.Co. Ltd.,1239155.0,"Hungary, Pest, Budapest, 1211",https://www.linkedin.com/company/vbp-logistic-service-p-co-ltd-,vbp.hu,"Office, warehouse and truck stop rental services. Variety of sizes and amenities for your convenience.  Paved outdoor area specifically designed for parking of trucks. Specialized technical service partners of high quality to maintain and supply your fleet and staff. Our office's reception for demanding interior design, private car parking is available. Tenants are safe with the operation of non-stop concierge and security service.",Hungary,1.239155,,,
Danube Destinations - Discover Central Europe,1029415.0,Hungary,https://www.linkedin.com/company/discover-central-europe,www.danubedestinations.com,"RUTA LLC. Subsidiaries: Danube Destinations and Discover Central Europe MISSION STATEMENT  Our mission is to provide a travel service center for foreign visitors. Here at RUTA LLC (DMC and Tour Operator, parent company of “Danube Destinations” and Discover Central Europe), we maintain the highest standards of service while creating quality and unique travel and cultural experiences of Hungary which present the true beauty of the country. Our goal is to exceed your expectations! WHO WE ARE? RUTA LLC (DMC and Tour Operator) is your full-service travel concierge, specialized in creating cultural and special-interest tours, events, and programs in Hungary for the individual traveller, tour groups, and expatriates living in Hungary.  Our activities are built on the high level of competence and dedication of our team of specialists who have 20+ years of experience in the tourism business. Throughout our professional career, we gathered the skills and experience in organising domestic and international cultural and educational tours or events and we are proud to have many satisfied clients and returning travellers. WHY DID WE START?  We started our company with the goal of providing specialized and uniquely individualized programs and services for those visitors interested in a more culturally and socially focused way of discovering Hungary. OUR VALUES: Our company strives to provide a highly personalised, unique travel experience in Budapest and Hungary which is aimed to exceed all your expectations! Our programs and tours are lead by a group of enthusiastic and knowledgeable local guides, telling about the history, architecture, social situation of Budapest as well as sharing personal experiences. An unrivalled cultural experience is guaranteed by our team of experts: professors of various national and international Universities and educational institutions, who are extremely knowledgeable and passionate about their field. We are particularly proud to volunteer at local cultural institutions. WHAT WE DO? Please click here to see: http://www.danubedestinations.com/about-us/",Hungary,1.029415,,,
Your Concierge Hungary,497436.0,"Hungary, Budapest, Budapest, 23-25 Csörsz U., 1126",https://www.linkedin.com/company/your-concierge-hungary,www.yourconcierge.hu,"Your Concierge is a one stop shop to simplify expatriate families' day-to-day lives in Hungary.  Our business starts where relocations companies' stop. Once settled in, we assist families with getting mobile phone and internet service at the house, arrange for babysitters and pet care, deal with local government and utilities so they don’t have to, take care of the entire hassle of car ownership (insurance, local license plates, maintenance)… We go the whole nine yards.   We also provide emergency assistance to our members, whether a car accident, a medical emergency, or a case of lost keys on the way back from dinner. Our expat assistance services are currently available in English, German and French, with additional foreign languages coming soon.",Hungary,0.497436,,,
TAIGENT,1114158.0,"Hungary, Budapest, Budapest, 1083",https://www.linkedin.com/company/mytaigent,www.taigent.com,"TAIGENT is your AI based online personal travel AIgent for all things related to flights, hotel, car rental and other travel needs using deep machine learning to deliver hyper personalized experiences. It provides smooth travel experiences for travelers. TAIGENT makes planning travel as easy as enjoying it. Powered by Artificial Intelligence, with 24/7 concierge for traveling travelers can find solutions & results via our text or voice communication. Travel like a VIP and TAIGENT will handle from airport check in to choosing your best seat, rescheduling, cancellation, and everything in between.",Hungary,1.114158,,,
BPresidence,1888002.0,Hungary,https://www.linkedin.com/company/bpresidence,www.bpresidence.hu,"BPresidence , the Airbnb & Booking.com concierge, innovates and creates the future of vacation rental agencies, offering owners complete and simplified management of their properties. BPresidence is an actor integrated into Airbnb, distinguished by its tech DNA. Our service includes: creation and dissemination of advertisements on OTA's (Airbnb, HomeAway, Booking.com), welcoming travelers, professional photos, pricing, 24/7 customer service, cleaning, maintenance and insurance for each rental. With Us, you can take advantage of your absences to rent your apartment without any effort. We takes care of everything! Whether you leave for three weeks or three months a year, We takes care of your home. You travel with peace of mind and your guests benefit from quality service. After five years of existence, We form a close-knit team of +50 people in Budapest. We welcomes more than 5,000 travelers each month, simplifies the lives of more than 200 owners and this is just the beginning.",Hungary,1.888002,,,
Oasis Apartments Budapest,379587.0,"Hungary, Budapest, Budapest",https://www.linkedin.com/company/oasis-apartments,www.oasisapartments.eu,"Oasis Apartments offers designer apartments & concierge services across central Budapest. All of our properties are personally selected for their style, comfort, and location. With the amenities and services of a five-star hotel but the space and privacy of a real home, Oasis Apartments is pioneering a new standard in self-catered accommodation. Guests are greeted on arrival by one of our friendly and knowledgeable ground staff. Need help planning a romantic river cruise, or personalised walking tour? We're always on hand to help. Every Oasis Apartments property exudes character and charm and is furnished and maintained to meticulous standards to ensure our guests enjoy a truly memorable stay.",Hungary,0.379587,,,
Stratos Magasépítő Zrt.,5756498.0,"Hungary, Budapest, Budapest",https://www.linkedin.com/company/stratos-magasepito-zrt,www.stratosepito.hu,"Cégünk 2021 szeptemberében alakult, és azóta elkötelezettek vagyunk abban, hogy kiváló szolgáltatásokat nyújtsunk a magasépítés területén. Azt a célt tűztük ki magunk elé, hogy kiemelkedő concierge stílusú pincérmentalitással, valamint értékteremtő (cost management, value engineering) szolgáltatásokkal javítsuk versenyképességünket és hatékonyságunkat az iparágban. Munkánk középpontjában a digitális alapokra helyezett működés áll, mely lehetővé teszi számunkra, hogy standardizált megoldásokat alkalmazzunk. Ezáltal nem csak teljesítményünket növeljük, hanem kiszámíthatóságot, pontosságot és biztonságot nyújtunk munkatársaink, szerződött ügyfeleink és partnereink felé. Az évek során gyűjtött tapasztalat és a szakértelem, amit csapatunk képvisel, lehetővé teszi számunkra, hogy magas minőségű munkát végezzünk minden egyes projekten. Hiszünk abban, hogy a szorgalmas munka mindig kifizetődik, ezért elkötelezettek vagyunk az állandó fejlődés és a kitartó munka iránt. Az őszinte kommunikáció alapvető érték számunkra. Minden kapcsolatunkat tisztelettel és nyíltsággal kezeljük. Az átláthatóság és a bizalomépítés kulcsfontosságú a hosszú távú és sikeres együttműködés szempontjából. Célunk, hogy olyan építészeti megoldásokat és szolgáltatásokat nyújtsunk, amelyek nem csak kiemelkedő minőségűek, de megfelelnek ügyfeleink egyedi igényeinek és követelményeinek is. Ügyfeleink elégedettsége mindig az elsődleges célkitűzésünk, és ezért mindent megteszünk annak érdekében, hogy a projekt során a legjobb eredményeket érjük el. A Stratos Zrt. csapata elkötelezett és lelkes szakemberekből áll, akik mindig készen állnak a kihívásokra. Büszkék vagyunk arra, hogy tapasztalt és képzett csapatunk mindig a legújabb trendekkel és technológiákkal lépést tartva végez kiváló munkát.",Hungary,5.756498,,,
Bonomi,2745108.0,"Hungary, Vat, 17 Angyal U., hu23835360",https://www.linkedin.com/company/bonomi,bonomi.io,"Welcome to Bonomi, where we are revolutionizing the hospitality industry with cutting-edge AI technology. Our mission is to enhance guest experiences and streamline hotel operations through intelligent, automated solutions. Serving over 100 international clients from Budapest to Cancun, and Cape Town, Bonomi is dedicated to making exceptional hospitality the new standard. Products & Services 1. Bonomi Assistant: Our flagship product, Bonomi Assistant, serves as a 24/7 AI Reservation Agent and Concierge. It simplifies booking processes, personalizes guest interactions, and ensures seamless service from check-in to check-out. 2. Bonomi Companion: The Bonomi Companion Chrome Extension brings the capabilities of Bonomi Assistant to your browser. Manage guest communications across various platforms, respond to reviews, boost marketing efforts, and streamline HR processes all from one place. 3. Bonomi Inbox: A centralized communication hub designed to consolidate guest messages from multiple platforms. Bonomi Inbox ensures timely responses, automates routine tasks, and integrates seamlessly with your Property Management System (PMS). 4. Bonomi Concierge: An AI-driven concierge service that offers personalized recommendations, multilingual support, and instant responses, enhancing the overall guest experience and operational efficiency. Why Choose Bonomi? Enhanced Efficiency: Automate routine tasks and reduce operational costs, allowing your staff to focus on high-touch guest interactions. Personalized Service: Deliver tailored experiences to guests with our advanced AI algorithms that understand and anticipate their needs. Multilingual Support: Communicate effectively with international guests in over 130 languages. Integrated Solutions: Seamlessly integrate with existing Property Management Systems and third-party services, ensuring real-time updates and comprehensive guest data management.",Hungary,2.745108,,,
