Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Kempinski Hotels,8989645343.0,"Germany, Bavaria, Munich, 17 Maximilianstrasse, 80539",https://www.linkedin.com/company/19051,www.kempinski.jobs,"Founded in Germany in 1897, Kempinski Hotels has long reflected the finest traditions of European hospitality. Today, as ever, Kempinski is synonymous with distinctive luxury. Located in many of the world's most well-known cities and resorts, the Kempinski collection includes hotels in a grand manner, pace-setting modern establishments and older hotels of individual charm. All blend gracefully into their surroundings and offer luxurious accommodation, superb cuisine and unrivalled facilities - complemented by impeccable service. For leisure and business guests alike, the name Kempinski has long been synonymous with style, mobility and efficiency. Put simply, they are the first choice for the discerning individual. In addition to operating many of the finest city hotels in the world, Kempinski is a name that can now be found in many exciting resort locations, each combining local flair and ambience with the international standards of service and luxury that Kempinski guests have come to expect. To see all the different Kempinski jobs and apply please go to https://kempinski.jobs It is also possible to search and find the Kempinski jobs in LinkedIn's  ""Jobs""​ section.",Germany,8989.645343,,,
Travel Charme Hotels & Resorts,750000000.0,"Germany, Berlin, Berlin, 30l Wittestr., 13509",https://www.linkedin.com/company/travel-charme-hotels-resorts,www.travelcharme.com,"Bright eyes. Vacation dreams. Favourite places. Travel Charme Hotels & Resorts, which the Hirmer Group took over in 2018, stands for unique experiences and genuine hospitality. The portfolio of the upscale holiday hotel expert currently includes eleven individual establishments: the Kurhaus Binz and the Nordperd & Villen Göhren on Rügen, the Strandhotel Bansin and the Strandidyll Heringsdorf on Usedom, the Ostseehotel Kühlungsborn, the Hotel Gothisches Haus in Wernigerode and the Bergresort Werfenweng in the Salzburg region, the Fürstenhaus on Lake Achensee in Tyrol, the Ifen Hotel in the Kleinwalsertal and also the Badeschloss and the Straubinger Grand Hotel in Bad Gastein. The individual hotels not only impress with their unique dreamy locations, they also inspire their guests with an unmistakable mixture of personal service, a pinch of adventure and a lot of passion.",Germany,750.0,,,
Event Hotels,750000000.0,"Germany, North Rhine-westphalia, Köln",https://www.linkedin.com/company/event-hotels,www.eventhotels.com,"Alle Infos zu Aktionen, Karriere, Datenschutz & Impressum sind im Shared Link aufzufinden ⬇️ Gut zu wissen: …unsere 59 Häuser verfügen in Summe über 9.993 Zimmer. …jene Hotels werden nicht nur über die beiden Zentralen in Köln, sondern auch von Berlin, Frankfurt, Amsterdam, Liechtenstein und Luxemburg aus gesteuert. …in allen zentralen Büros arbeiten derzeit über 200 Kolleg*innen. …und in allen Hotels aktuell mehr als 2.500 Mitarbeiter*innen. …wir beschreiben uns als fair, kreativ, modern, zuverlässig, aufgeschlossen und ambitioniert. Unsere Geschichte: Event Hotels fand seine Entstehung im Jahre 1992 und ist ein Gründer- und Inhabergeführtes Unternehmen. Anders Braks (CEO) übernahm zu jenem Zeitpunkt das erste Hotel und begründete damit die Erfolgsgeschichte der Event Hotels, denn mittlerweile werden durch Event Hotels 59 Häuser in Europa (Deutschland, Niederlande und Italien) betrieben. Innerhalb des Investment Rankings wird Event Hotels mit AA bewertet. Event Hotels ist spezialisiert auf die Akquisition, Verwaltung und den Verkauf von Investment-Grade-Hotels und Portfolios mit besonderer Expertise in den Bereichen Sourcing, Finanzierung, Hotelbetrieb, Sanierung, Raumplanung, Projektmanagement und Exit-Strukturierung. Mit der Bereitstellung aller notwendigen Ressourcen für diese Bereiche im eigenen Haus und der Konzentration auf das individuelle Management und den Erfolg jedes einzelnen Hotels ist Event Hotels heute ein einzigartiger Schlüsselspieler im wettbewerbsintensiven internationalen Hotelimmobilien-Investmentbereich.",Germany,750.0,,,
MHP Hotel AG,750000000.0,"Germany, Bavaria, Munich",https://www.linkedin.com/company/munich-hotel-partners,www.mhphotels.com,"MHP Hotel AG, formerly known as Munich Hotel Partners GmbH, is an independent hotel investment and management platform headquartered in Munich, specializing in premium and luxury hotels. The company is dedicated to sustainability, integrating environmental protection, resource conservation, and climate neutrality into its operations, as demonstrated by the LEED O+M Platinum certification awarded to the Basel Marriott Hotel. Operating as a white-label hotel operator, MHP establishes strong partnerships with major hotel brands and property owners, emphasizing transparent communication and long-term relationships. Its impressive portfolio features notable properties such as Le Méridien in various cities, the JW Marriott in Frankfurt, and the upcoming Conrad Hamburg, catering to both business and leisure travelers in prime urban locations. MHP Hotel AG's mission is encapsulated in its motto ""You Matter,"" highlighting the significance of guests, employees, and investors in creating a positive and inclusive hospitality experience. The company is a prominent player in the hospitality industry, managing operations across key cities in Germany and Austria, including Hamburg, Düsseldorf, Frankfurt, Stuttgart, Munich, and Vienna. MHP is committed to providing exceptional service and crafting memorable experiences for its guests, reflecting its mission to enhance the quality of hospitality. By collaborating with a diverse range of partners and clients, MHP focuses on meeting the evolving needs of modern travelers, whether they are on leisure or business trips. With a strong commitment to excellence and innovation, MHP Hotel AG strives to be a leader in the hotel sector, ensuring that each property under its management adheres to the highest standards of comfort and service.",Germany,750.0,,,
Hotel Bayerischer Hof München,670953000.0,"Germany, Bavaria, Munich",https://www.linkedin.com/company/hotel-bayerischer-hof-münchen,www.bayerischerhof.de,"Hotel Bayerischer Hof München is a prestigious luxury hotel situated in the heart of Munich, celebrated for its exceptional hospitality and commitment to creating magical moments for its guests. With a rich history that seamlessly blends tradition with modernity, the hotel continuously evolves to offer new highlights, including exquisite dining options and elegantly designed accommodations, such as newly developed suites. The hotel's mission is to provide exceptional service and a unique atmosphere, particularly during festive seasons like Christmas and New Year's Eve, where guests can indulge in gourmet menus and celebratory events. Catering to a diverse clientele, including families, business travelers, and event organizers, Hotel Bayerischer Hof features a variety of venues for private and corporate gatherings. The hotel also partners with local cultural institutions to enhance the guest experience, offering a holistic approach to luxury hospitality. Among its luxurious amenities are the renowned Blue Spa and fine dining restaurants, which aim to provide both relaxation and vibrant city life. The sophisticated beauty center within the hotel offers a range of cosmetic treatments and wellness services, ensuring a rejuvenating experience for all clients. The experienced team at the beauty center is dedicated to personalized care and indulgence, further enhancing the overall guest experience. Hotel Bayerischer Hof München targets discerning guests seeking luxury accommodations, fine dining, and exclusive wellness experiences in a historic and elegant setting, making it a premier destination in Munich.",Germany,670.953,,,
Deutsche Hospitality,645273040.0,"Germany, Hesse, Frankfurt Am Main",https://www.linkedin.com/company/deutsche-hospitality,www.deutschehospitality.com,"Deutsche Hospitality stands for an exceptional portfolio comprising more than 130 hotels in 20 countries on three continents, about 30 hotels are currently under development. Deutsche Hospitality stands for an exceptional portfolio comprising more than 130 hotels in 20 countries on three continents, about 30 hotels are currently under development. The unique and varied Deutsche Hospitality portfolio includes Steigenberger Porsche Design Hotels, Steigenberger ICONs, Steigenberger Hotels & Resorts, MAXX by Deutsche Hospitality, our lifestyle option, Jaz in the City, the IntercityHotels at busy hubs such as railway stations and airports and the Zleep Hotels with quality and design at an affordable price.",Germany,645.27304,,,
Motel One Group,572189600.0,"Germany, Bavaria, Munich",https://www.linkedin.com/company/motelone,www.motel-one.de,"Motel One Group is a leading budget design hotel chain that operates over 95 hotels across 13 countries, primarily in major European cities. The company is known for its modern design, high service standards, and prime urban locations, offering guests a comfortable and stylish stay at competitive prices. With a mission to create a welcoming environment that feels like a home away from home, Motel One emphasizes appreciation, openness, and teamwork among its staff, fostering a strong sense of community. The target market includes both business and leisure travelers seeking quality accommodations without the high price tag, and the company is committed to sustainability, utilizing eco-friendly practices in its operations. As a pioneer in the budget design hotel concept, Motel One continues to expand its footprint, providing numerous career opportunities for ambitious individuals in the hospitality industry.",Germany,572.1896,,,
Victor's Group,497494887.0,"Germany, Berlin, Berlin",https://www.linkedin.com/company/victorsgroup,www.victors-group.com,"Wir sind Gastgeber und Allesgeber. Helfende Hand mit offenem Ohr. Feinschmecker und Entdecker. Pfleger und Verleger. Wir sind groß, erfahren und international. In unserem Mittelpunkt steht immer der Mensch. Mit dem großen Ziel, Menschen durch besten Service mehr Lebensqualität zu bieten, eröffnete Hartmut Ostermann im Jahr 1977 seine erste Seniorenresidenz – und legte damit den Grundstein für die Victor’s Group, die heute vorrangig in drei großen Geschäftsfeldern tätig ist. Pflege und medizinische Dienstleistungen: Die Victor’s Group betreibt unter den Marken Pro Seniore, Residenz Ambiente, SenVital, Best Care und weiteren Einzelmarken deutschlandweit über 120 Einrichtungen im Gesundheitswesen. Damit zählt sie zu den größten Anbietern von Pflege- und Wohneinrichtungen in Deutschland. Hotellerie und Gastronomie: In Deutschland sprechen 14 Victor’s Residenz-Hotels sowohl Freizeit- als auch Businessgäste an. Nahe Lissabon betreibt Victor’s die Ferienhausanlage Victor’s Portugal Malveira-Guincho. Catering und Gebäudemanagement: Victor’s Health Care wurde 1990 in Mannheim gegründet und ist seitdem bundesweit als Spezialist für Catering und Service im Gesundheits- und Sozialbereich im Einsatz. All das ist natürlich nur mit kompetenten, motivierten Menschen möglich: In der Victor’s Group sind rund 12.500 Mitarbeiterinnen und Mitarbeiter beschäftigt – Tendenz steigend. Mit mehreren unternehmenseigenen Fachschulen sowie lebendigen Aus- und Weiterbildungssystemen investiert Victor’s permanent in neue Fach- und Führungskräfte, bietet aber auch langjährigen Mitarbeitern beste Aufstiegschancen. Alle Mitarbeiter der Victor’s Group profitieren zudem von attraktiven Vorteilen, zum Beispiel von ganzjährigen Rabatten in allen Victor’s Residenz-Hotels und der Ferienhausanlage Victor’s Portugal Malveira-Guincho sowie Vergünstigungen in zahlreichen bekannten Onlineshops.",Germany,497.494887,,,
Trivago NV,478776026.0,"Germany, North Rhine-westphalia, Düsseldorf, 5 7 Kesselstrasse",https://www.linkedin.com/company/trivagonv,company.trivago.com,"trivago NV is a holding company, which engages in the provision of a global hotel and accommodation search platform. The company is headquartered in Dusseldorf, Nordrhein-Westfalen and currently employs 668 full-time employees. The company went IPO on 2016-12-16. The firm and its subsidiaries offer online meta-search for hotel and accommodation through online travel agencies (OTAs), hotel chains and independent hotels. The firm is focused on focused on reshaping the way travelers search for and compare hotels while enabling hotel advertisers to grow their businesses by providing access to a broad audience of travelers through the Company's websites and apps. The platform allows travelers to make informed decisions by personalizing their hotel search and providing access to a deep supply of hotel information and prices. The firm operates in three operating segments namely the Americas, Developed Europe and the Rest of the World. The firm offer marketing tools to help promote their listings on platform and drive traffic to their websites. The tools and services, including the subscription-based trivago Business Studio Pro Apps Package.",Germany,478.776026,,,
NOVUM Hospitality,446252045.0,"Germany, Hamburg, Hamburg",https://www.linkedin.com/company/novum-group,www.novum-hospitality.com,"NOVUM Hospitality is one of Europe's largest family-owned hotel groups, operating over 150 hotels across more than 60 locations. Founded in 1988 and headquartered in Hamburg, the company has established itself as a key player in the midscale and upper midscale hotel segments, known for its diverse range of centrally located accommodations. With a mission to provide exceptional hospitality experiences, NOVUM Hospitality emphasizes community engagement and sustainability, aiming to create a welcoming environment for all guests. The company has recently entered a strategic partnership with IHG Hotels & Resorts, positioning itself as a major global franchise partner and launching the innovative co-brand Holiday Inn – the niu. This collaboration enhances NOVUM's offerings, allowing it to cater to a broader audience, including business and leisure travelers seeking modern, locally inspired hotel experiences.",Germany,446.252045,,,
GCH Hotel Group,409167387.0,"Germany, Berlin, Berlin",https://www.linkedin.com/company/gch-hotel-group,www.gchhotelgroup.com,"GCH Hotel Group is a leading hotel management company in Europe, operating over 80 hotels in Germany and Austria, with an additional 40 properties across Europe, totaling more than 15,000 rooms and serving over 3 million guests annually. The company is dedicated to providing exceptional hospitality through a centralized professional management approach, allowing individual hotels to focus on delivering outstanding guest experiences. GCH Hotel Group's mission is encapsulated in their motto ""Let’s Grow, Create, Host,"" emphasizing their commitment to growth, creativity, and responsibility. Their target market includes business travelers, families, and event organizers, with properties like the Wyndham Hannover Atrium offering extensive amenities such as meeting rooms, fitness facilities, and award-winning dining options. The company values trust, engagement, and flexibility, striving to be the most valuable hotel management entity in Europe.",Germany,409.167387,,,
