Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Maldron Hotel Glasgow City,722702820.0,"Ireland, Leinster, Dublin",https://www.linkedin.com/company/maldron-hotel-glasgow,www.maldronhotelglasgowcity.com,"Maldron Hotel Glasgow City is a premier hospitality establishment located on Renfrew Street, ideally situated just a short walk from Glasgow Central and Queen Street stations. This central location makes it a perfect base for both leisure and business travelers seeking comfort and convenience. The hotel offers a variety of fully air-conditioned accommodations, complemented by complimentary Wi-Fi, ensuring a pleasant and connected stay for all guests. With a strong commitment to exceptional service and a welcoming atmosphere, Maldron Hotel Glasgow City strives to create memorable experiences for its visitors. The hotel caters to a diverse clientele, including corporate guests who benefit from discounted rates for extended stays, families looking for a comfortable getaway, and tourists eager to explore the vibrant city of Glasgow. By partnering with local attractions and businesses, Maldron Hotel Glasgow City enhances the overall experience for its guests, promoting the rich culture, shopping, and nightlife that Glasgow has to offer.  The hotel's mission is to create a home away from home for its guests, while its vision includes a dedication to sustainability and community engagement. This commitment not only enriches the guest experience but also fosters a sense of connection with the local community. Targeting a wide range of visitors, including families, couples, and business professionals, Maldron Hotel Glasgow City is dedicated to providing a stylish and comfortable environment that reflects the dynamic spirit of Glasgow.",Ireland,722.70282,,,
Dalata Hotel Group PLC,677560191.0,"Ireland, Leinster, Dublin, 3 Termini",https://www.linkedin.com/company/dalata-hotel-group,dalatahotelgroup.com,"Dalata Hotel Group Plc is a holding company, which through its subsidiaries, engages in the operation of hotels. The company is headquartered in Dublin, Dublin and currently employs 5,283 full-time employees. The company went IPO on 2014-03-19. The firm operates two hotel brands, Clayton Hotels and Maldron Hotels. The firm also owns sub-brands, including Grain & Grill, Club Vitae, and Red Bean Roastery. The company also operates a collection of branded hotels with distinct identities, including Dalata-owned brands, such as The Gibson Hotel and The Samuel Hotel in Dublin’s Docklands. The Company’s portfolio comprises a mix of owned and leased hotels, with 56 primarily four-star hotels operating through its two main brands, Clayton and Maldron Hotels, with 12,150 rooms and a pipeline of over 870 rooms. Clayton Hotels is a well-appointed hotel throughout Ireland, the United Kingdom and Germany. Located in Cork, Dublin, Galway, Sligo, Limerick, Belfast, Cardiff, Leeds, London, Birmingham, Manchester, Bristol, Glasgow, and Dusseldorf.",Ireland,677.560191,,,
Eclective Hospitality Group,313684181.0,"Ireland, Leinster, Dublin, 2-4 Ely Place, d02",https://www.linkedin.com/company/press-up-hospitality-group,www.eclective.ie,"Eclective, Ireland's leading hospitality company are a diverse group of brilliant people and places, passionate about creating exceptional experiences. With an exciting portfolio of bars, restaurants and Stella Cinema employing more than 850 people across 24 venues in Dublin. There are always great opportunities for employment and advancement across the group. We are committed to building careers for our best and brightest across all roles.  We are (eclective)",Ireland,313.684181,,,
Phoenix Cafe,278794962.0,"Ireland, Leinster, Dublin, Phoenix Park, d08ey09",https://www.linkedin.com/company/phoenix-cafe-dublin,www.phoenixcafe.ie,The Phoenix Cafe is an Award winning cafe in the unique setting of the Phoenix Park. The largest city park in Europe. Everything is home made in our busy kitchen with a focus on sustainability.,Ireland,278.794962,,,
Adare Manor,273501496.0,"Ireland, Co. Limerick, Adare",https://www.linkedin.com/company/adare-manor-hotel-and-golf-resort,www.adaremanor.com,"5-star resort, Adare Manor is a neo-Gothic architectural masterpiece, once the family seat of the Earls of Dunraven. Today it is cherished as a warm and welcoming resort, defined by its spectacular setting, authentic historic character, and the impeccable service of its world-class staff. The 103 guest rooms are air conditioned and lavishly appointed with original art, Georgian-style furnishings, luscious textiles and marble bathrooms.  Guests may design a custom itinerary of activities in and around the sweeping 840 acre estate of formal gardens, peaceful forests and rolling parklands. Falconry, archery, gun dog displays, fishing and more are all conducted on site, with further adventures such as horseback riding and shooting available within a short drive of the Manor House. Golfers will be tempted by the prospect of a perfect round on the resort’s Tom Fazio designed championship golf course, poised to become one of the continent's finest courses. The Spa at Adare Manor is proud to be the first in Ireland to offer customised facial and body treatments featuring 111SPA/CLINIC, as well as a swimming pool, relaxation area, elegant private cinema and boardroom. Fine dining and world-class libations across the resort’s many restaurants, lounges and bars offer something to tempt every palate. Launched in 2021, The Padel Club, a brand new state of the art wellness and fitness facilities. Complete with a new 17m swimming pool, indoor padel courts, sports simulation room, Trackman golf and Puttview practice, pilates, yoga and barre studio, and more. Just outside the Manor gates, the charming village of Adare is a beautiful blend of traditional thatched cottages, antique shops, boutiques and friendly pubs. Ideally situated at the gateway to the southwest and only 30 minutes from Shannon airport, Adare Manor provides a magnificent base from which to explore some of Ireland's most compelling sights. For more information about Adare Manor please visit: www.adaremanor.com",Ireland,273.501496,,,
Maldron Hotels & Partners,254706370.0,"Ireland, Leinster, Dublin",https://www.linkedin.com/company/maldron-hotels,www.maldronhotels.com,"Maldron Hotels & Partners, part of the Dalata Hotel Group, comprising of contemporary and diverse hotels in a host of key locations throughout Ireland, the UK and Continental Europe. Maldron Hotels & Partners provide our guests with over 4,500 rooms throughout the group in which to enjoy your next business or leisure break.  We offer the perfect combination of value, outstanding facilities and excellent service throughout our choice of hotels in Belfast, Cork, Derry, Dublin, Galway, Laois, Limerick, Wexford, Newcastle and Glasgow.",Ireland,254.70637,,,
The Doyle Collection,166140000.0,"Ireland, Hp, 156 Pembroke Road Ballsbridge D04",https://www.linkedin.com/company/369915,www.doylecollection.com,"The Doyle Collection is a carefully curated collection of eight Irish family-owned luxury and urban hotels located in superb central locations in London, Dublin, Washington DC, Cork and Bristol. Each hotel has a strong identity that is closely connected to its location and is unique in the way that has brought a cultural slice of its city into the fabric of the building and the guest experience. What binds our hotels together is the Doyle service ethos - a real warmth and thoughtfulness that stems from being a much loved family business. Within The Doyle Collection, we believe that the difference between something good and something great is in the attention to detail. Our definition of success is for our guests to feel that our hotels are more akin to a home or a private members club   – and therefore want to return again and again. Follow us on Twitter @DoyleCollection / @DoyleCareers",Ireland,166.14,,,
Mount Juliet Estate Autograph Collection,110085388.0,"Ireland, Co. Kilkenny None, Thomastown, Mount Juliet Estate",https://www.linkedin.com/company/mount-juliet,www.mountjuliet.ie,"Mount Juliet Estate is Ireland's leading country estate and one of the most luxurious Hotels in Kilkenny. We pride ourselves in our family culture, whilst maintaining the highest level of service and hospitality for which Mount Juliet Estate is internationally renowned.",Ireland,110.085388,,,
PREM Group,106907550.0,"Ireland, Leinster, Dublin",https://www.linkedin.com/company/prem-group_817713,www.premgroup.com,"PREM Group are the parent to multiple business units operating across Europe including PREM Hospitality which owns, leases and manages over 30 hotels and serviced apartment properties. Additional businesses include Rate Wise, Trinity Hotel Groups, Sprint Digital and Premier Business Centres, our serviced offices division.   At PREM Group, we believe in doing the right thing always. This ethos operates on both a commercial and a human level. We have a practical, entrepreneurial spirit. We evolve and adapt, making smart commercial decisions that are performance-driven, yet we work with a higher purpose. We aspire to set industry standards. We want PREM Group to be synonymous with quality and innovation.  The PREM Group principle of doing the right thing trickles down through our organisations. It means doing the right thing for stakeholders, for our people, for our clients, for the industry we love and ultimately for our guests. Our Values: To be Mindful, Passionate, Flexible, Performance Driven. Our Traits: Entrepreneurial, Down to Earth, Switched On, Hard Working.",Ireland,106.90755,,,
Castleknock Hotel,105098778.0,"Ireland, Leinster, Dublin",https://www.linkedin.com/company/castleknock-hotel-&-country-club,www.castleknockhotel.com,"Castleknock Hotel is a 4 star hotel located in Dublin specialising in conferences and leisure breaks. It recently won The People's Choice Award for Best Place to Stay in Leinster at the Gold Medal Awards 2018 and The Customer Experience Excellence Award for Tourism & Hospitality Sector  at the Fingal Dublin Business Excellence & CSR  Awards 2018. The hotel also previously won AA Hotel of the Year Award for Ireland.  The hotel has recently undergone an extensive ground floor refurbishment that was completed in January 2018. The hotel also completed an extension of the hotel which includes 52 additional bedrooms and a purpose built spa at a cost of €7 million.  The hotel is ideally located just 15 minutes from Dublin City close to the M50 and M3 motorway. It is also just 20 minutes from Dublin Airport.  The hotel has 190 bedrooms and 15 conference and meeting rooms of various sizes. The hotel has complimentary  500mb uncontested fibre optic broadband throughout the hotel. This includes the most innovative meeting room in Ireland, the Thinking Factory, perfect for brainstorming sessions or product launches. There are also two brand new restaurants and bars, Tonic Health Club and The Spa at Castleknock Hotel. Castleknock Hotel, part of  FBD Hotels & Resorts.",Ireland,105.098778,,,
