Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
CitizenM Hotels,3619767600.0,"Netherlands, South Holland, Voorschoten",https://www.linkedin.com/company/citizenm,www.citizenm.com,"CitizenM Hotels is a modern hospitality brand that redefines the hotel experience by offering stylish, affordable accommodations designed for the contemporary traveler. With a mission to provide a seamless and enjoyable stay, CitizenM focuses on comfort, convenience, and accessibility, allowing guests to eat and drink whenever they desire, whether it's 3:00 AM or 1:00 PM. The hotels feature a vibrant canteenM, offering a diverse breakfast buffet and a range of food and beverage options, catering to the needs of jet-lagged travelers and late-night explorers alike. Targeting tech-savvy, design-conscious individuals, CitizenM partners with local suppliers to enhance the guest experience while maintaining a commitment to sustainability. The brand's vision is to create a welcoming environment that fosters connection and relaxation, making it a preferred choice for both leisure and business travelers.",Netherlands,3619.7676,,,
FIGI,1775600000.0,"Netherlands, Utrecht, Zeist",https://www.linkedin.com/company/hotel-theater-figi,www.figi.nl,"FIGI is a dynamic family-owned business located in the heart of Zeist, offering a unique blend of hospitality services, including a four-star hotel with 97 rooms, a congress center with 12 versatile meeting rooms, a cinema showcasing the latest films, and a theater hosting a diverse range of performances. The company is dedicated to providing exceptional event coordination, managing up to 1,500 guests at various events, ensuring that every detail is meticulously handled for a seamless experience. With a mission centered on hospitality and guest satisfaction, FIGI serves a wide array of clients, from corporate organizations to cultural enthusiasts, and partners with various stakeholders to deliver memorable experiences. The organization prides itself on its open communication structure and a passionate team committed to continuous personal and professional development, making it an ideal workplace for those who thrive in a vibrant and evolving environment.",Netherlands,1775.6,,,
ANWB,1713903810.0,"Netherlands, South Holland, The Hague",https://www.linkedin.com/company/anwb,www.anwb.nl,"ANWB is een vereniging met ruim 5 miljoen leden. Met een unieke mix van beïnvloedende en dienstverlenende activiteiten zorgen we ervoor dat ANWB-leden zorgeloos en met plezier onderweg zijn.  Activiteiten ANWB ANWB is vooral bekend van de Wegenwacht, maar we doen meer: van rijles tot actuele verkeersinformatie, van 74 ANWB-winkels tot ruim 20.000 actieve ANWB-vrijwilligers. Maar ook van de uitjes in Nederland tot aan verre reizen op maat.  Maatschappelijke organisatie ANWB is opgericht in 1883 en is vanaf het allereerste begin een  maatschappelijke organisatie. Door de omvang van de vereniging en de breedte van de werkvelden, mobiliteit, vakantie en vrije tijd, neemt ANWB in de samenleving een bijzondere positie in, bij alles wat we doen staan maatschappelijke relevantie en duurzaamheid centraal.   Meer informatie Kijk voor meer informatie over ANWB op anwb.nl/over-anwb, of volg ons op Facebook facebook.com/anwb, Twitter twitter.com/anwb, Instagram instagram.com/anwb, of bekijk onze laatste vacatures op werkenbijanwb.nl",Netherlands,1713.90381,,,
Vermaat,1626088629.0,"Netherlands, North Holland, Amstelveen",https://www.linkedin.com/company/670780,www.vermaatgroep.nl,"Vermaat is a dynamic company dedicated to enhancing the food and beverage experience for its guests while promoting responsible consumption. With a mission to make every dining experience enjoyable, Vermaat is guided by core values of being driven, entrepreneurial, skilled, inventive, and personal. The company is committed to a sustainable and inclusive future, as outlined in its Food Vision 2027, which emphasizes social responsibility and the integration of vulnerable groups into the workforce. Vermaat serves a diverse clientele, including hospitals, airports, and leisure locations, and collaborates with various partners to create opportunities for individuals facing barriers to employment. Through its initiatives, Vermaat aims to foster an inclusive corporate culture and provide fair chances for all, ensuring that everyone can participate meaningfully in society.",Netherlands,1626.088629,,,
Choice Hotels EMEA,1195069000.0,"Netherlands, North Holland, Amsterdam, 162 Nieuwezijds Voorburgwal",https://www.linkedin.com/company/choicehotelsemea,www.choicehotels.com,"With more than 400 hotels in 18 countries across Europe, Middle East & Africa, Choice Hotels EMEA helps travellers discover and explore new places.   Choice Hotels EMEA is a part of Choice Hotels International, Inc (NYSE: CHH), one of the world’s largest and most successful lodging companies. With more than 7,100 hotels franchised in more than 40 countries and territories, we represent nearly 600,000 rooms around the globe.   Our four distinct hotel brands in EMEA provide a spectrum of lodging choices to meet our guests’ needs. Ascend Hotel Collection™ member hotels offer a unique and upscale experience that allows guests to connect with the local flavour of a destination in an entirely new way. Clarion™ properties combine first class service with exceptional facilities and attention to detail. Quality™, the name that has been trusted throughout the years, offers guests a memorable experience through hotels with full service and superior facilities. Comfort™ hotels are widely represented and offer the ideal mix of value and reliability.  With more than 48 million global members and counting, Choice Privileges™ rewards programme allows guests to reap the benefits of being a member of the Choice Hotels™ family.   CONTACT CHOICE HOTELS   Visit our website for more information: ChoiceHotels.com   Connect with us on social media:	 Facebook - www.facebook.com/ChoiceHotelsEMEA YouTube - www.youtube.com/c/ChoiceHotelsEuropeMiddleEastAfrica Instagram - www.instagram.com/choicehotels_emea",Netherlands,1195.069,,,
Van Der Valk Business,689039626.0,"Netherlands, Utrecht, Breukelen",https://www.linkedin.com/company/valkbusiness,www.valkbusiness.com,"Our Van der Valk Business team represents 76 Van der Valk Hotels & Restaurants in the Netherlands, Belgium, Germany, France, Spain, Bonaire and Curacao.  Surprisingly Unique hotels welcoming every guest in a Modern ambiance, with great value for money!  Our Valk Business Service Desk offers you 1 point of contact for all your bookings and requests. Please ask for our (meeting-)directories.  The versatile Van der Valk Hotels lend themselves perfectly for the organisation of conventions, meetings, events, incentives, exhibitions and various other business activities.  The modernly appointed boardrooms and meetingrooms, equipped with the latest technologies, help provide the finishing touch for your event. Combine business and pleasure, for instance with a buffet lunch, our 'live cooking' dinner, a social drink and even an overnight stay, all under one roof.  You can organise your meeting or event at a wide range of Van der Valk Hotels quickly and efficiently by contacting the Van der Valk Business Service Desk. One convenient central contact for all affiliated Van der Valk Hotels.  Please contact us to find out more about how we can help you with your every meeting need.  Van der Valk Business www.valkbusiness.com info@valkbusiness.com +31 (0)88 024 64 00",Netherlands,689.039626,,,
Bink Kinderopvang,612918970.0,"Netherlands, North Holland, Hilversum",https://www.linkedin.com/company/bink-kinderopvang,www.binkkinderopvang.nl,"Bink Kinderopvang is a nonprofit organization dedicated to providing high-quality early childhood education and care for children aged 0 to 13 years. With a focus on tailored solutions, Bink offers specialized programs for children with a VEindication, ensuring they receive the necessary support for language development and social skills through engaging activities. The company emphasizes collaboration with parents, fostering a strong bond that enhances children's trust and comfort in their learning environment. Bink operates multiple locations, including Hilversum, Soest, Soesterberg, and Huis ter Heide, and partners with local schools to provide seamless out-of-school care and transportation to various activities. Their mission is to create a nurturing and stimulating atmosphere where every child can thrive and develop through play and exploration.",Netherlands,612.91897,,,
PPHE Hotel Group,554778714.0,"Netherlands, North Holland, Amsterdam, 60 Radarweg, 1043",https://www.linkedin.com/company/pphe-hotel-group,www.pphe.com,"PPHE Hotel Group is an international hospitality real estate company, with a portfolio of primarily prime freehold and long leasehold assets in Europe.   Through its subsidiaries, jointly controlled entities and associates it owns, co-owns, develops, leases, operates and franchises hospitality real estate. Its primary focus is full-service upscale, upper upscale and lifestyle hotels in major gateway cities and regional centres, as well as hotel, resort and campsite properties in select resort destinations.   PPHE Hotel Group benefits from having an exclusive and perpetual licence from the Radisson Hotel Group, one of the world's largest hotel groups, to develop and operate Park Plaza® branded hotels and resorts in Europe, the Middle East and Africa. In addition, PPHE Hotel Group wholly owns, and operates under, the art'otel® brand and its Croatian subsidiary owns, and operates under, the Arena Hotels & Apartments® and Arena Campsites® brands.   PPHE Hotel Group is one of the largest owner/operators of hotels in central London and its property portfolio comprises of 37 hotels and resorts in operation, offering a total of approximately 8,800 rooms and eight campsites, offering approximately 6,000 units. PPHE Hotel Group's development pipeline include new hotels in London, New York City, Belgrade and Zagreb which are expected to add more than 800 rooms to the portfolio.   PPHE Hotel Group is a Guernsey registered company with shares listed on the London Stock Exchange. PPHE Hotel Group also holds a controlling ownership interest in Arena Hospitality Group, whose shares are listed on the Prime market of the Zagreb Stock Exchange.",Netherlands,554.778714,,,
Hotel Okura Amsterdam,406241649.0,"Netherlands, North Holland, Amsterdam",https://www.linkedin.com/company/hotel-okura-amsterdam,www.okurajobs.nl,"Hotel Okura Amsterdam is THE 5* hotel in Amsterdam to work for & stay at. The most complete five-star hotel in the Netherlands, part of the Japanese chain Okura Hotels & Resorts and member of The Leading Hotels of the World. We are always looking for enthusiastic professionals. Driven colleagues who, like us, have a high priority for quality and service and who are keen to continue to develop.  Do you want to be part of the Okura team and work in an international environment with the largest employer in the Amsterdam hotel industry? For more information about working in Hotel Okura Amsterdam and our vacancies, please check our website www.okurajobs.nl.",Netherlands,406.241649,,,
T Zusje,374819601.0,"Netherlands, Utrecht, Veenendaal",https://www.linkedin.com/company/'t-zusje-franchise-b-v-,www.zusje.nl,"Heerlijk ongedwongen en avondvullend bourgondisch genieten. Dat is een avond bij ’t Zusje. Gezellig samenzijn in een huiselijke sfeer en genieten van onze kleine gerechtjes, die je de hele avond kunt bestellen.  Bij ‘t Zusje ben je thuis: jij bepaalt zelf de invulling van de avond. We horen graag wat je wensen zijn, vinden het leuk je te verrassen met bijzondere gerechtjes en zetten graag die extra stap. We bieden je een avond uit, zoals wij die zelf ook graag zien. Welkom thuis, welkom bij ’t Zusje! Heb je er altijd van gedroomd zelf een leuk zusje te hebben? 't Zusje is voortdurend op zoek naar enthousiaste en ambitieuze franchisenemers die mét ons het Zusje-concept verder willen uitdragen. Kijk voor meer informatie op www.zusje-franchise.nl",Netherlands,374.819601,,,
Stayokay,363597457.0,"Netherlands, North Holland, Amsterdam",https://www.linkedin.com/company/stayokay,www.stayokay.com,"You can find our 21 hostels in the most beautiful parts of the Netherlands. With a million overnight stays per year, Stayokay is the market leader in the Dutch group and budget accommodation sector. We place a high priority on Corporate Social Responsibility and play a leading role in the field of sustainable accommodation. Stayokay is affiliated with Hostelling International, a network of more than 4000 hostels worldwide. And building on our history facilitating youth travel, we try to keep things informal. Whether a manager, intern, working at the head office or earning extra money in housekeeping, personality is important. You can always be who you are: we are open to everyone.",Netherlands,363.597457,,,
Bilderberg,359108600.0,"Netherlands, Gelderland, Oosterbeek",https://www.linkedin.com/company/bilderberg,www.bilderberg.nl,"Bilderberg is a prominent hotel chain in the Netherlands, offering a diverse range of accommodations and services tailored for both leisure and business travelers. With a mission to provide exceptional hospitality, Bilderberg aims to create memorable experiences through comfortable stays, extensive facilities, and personalized service. The company operates several hotels across picturesque locations, including Oosterbeek, Garderen, and Rotterdam, catering to families, couples, and corporate clients alike. Each hotel features amenities such as swimming pools, wellness centers, and meeting rooms, making them ideal for relaxation and business events. Bilderberg's commitment to sustainability is reflected in its eco-friendly practices and partnerships, ensuring a responsible approach to tourism. The target market includes domestic and international guests seeking quality accommodations, as well as businesses looking for venues for meetings and events.",Netherlands,359.1086,,,
Sircle Collection,311975596.0,"Netherlands, North Holland, Amsterdam",https://www.linkedin.com/company/sircle-collection,www.sirclecollection.com,"Sircle Collection is a dynamic hospitality and lifestyle company that operates a diverse portfolio of hotels, restaurants, and private members' clubs across major European cities, including Amsterdam, Barcelona, Berlin, and Vienna. The company is dedicated to creating unique and culturally rich experiences for its guests, with a mission to blend comfort and creativity in every aspect of its offerings. Sircle Collection's venues, such as the Max Brown hotels and The Cover members' clubs, cater to the culturally curious, providing spaces for exploration, relaxation, and social connection. The company targets a clientele that values artistic expression and community engagement, partnering with local artists and culinary talents to enhance its vibrant atmosphere. With a vision to expand its footprint in key urban markets, Sircle Collection aims to redefine the hospitality experience by merging purpose with pleasure in thoughtfully designed environments.",Netherlands,311.975596,,,
Verwiel En Wijngaard,308608953.0,"Netherlands, South Holland, Rotterdam",https://www.linkedin.com/company/verwiel-en-wijngaard,www.venw.com,"Verwiel & Wijngaard is a leading company in the events and hospitality sector, boasting over 30 years of experience in delivering high-end service. The company specializes in providing exceptional hospitality at prestigious events, including concerts, festivals, luxury dinners, and corporate gatherings, such as the ABN AMRO Open World Tennis Tournament and TEFAF. With a mission to achieve perfection in service and guest experience, Verwiel & Wijngaard offers flexible part-time opportunities for enthusiastic hospitality professionals, allowing them to work at exclusive venues while being part of a close-knit team. The company values proactive and service-oriented individuals, providing training and personal growth opportunities to enhance their skills. Its diverse clientele includes renowned organizations and events, making it an ideal workplace for those seeking to gain experience in a dynamic and inspiring environment.",Netherlands,308.608953,,,
Inntel Hotels,255864877.0,"Netherlands, North Holland, Amsterdam",https://www.linkedin.com/company/inntel-hotels,www.inntelhotels.nl,"Inntel Hotels is a prominent hotel chain in the Netherlands, known for providing exceptional hospitality and a range of services tailored to both leisure and business travelers. With a mission to create memorable experiences, Inntel Hotels focuses on comfort, convenience, and customer satisfaction, ensuring that guests feel at home during their stay. The company caters to a diverse clientele, including tourists exploring Amsterdam and business professionals seeking meeting and event spaces, with facilities that accommodate various needs. Inntel Hotels partners with local businesses to enhance guest experiences and is strategically located near key attractions, making it an ideal choice for visitors looking to immerse themselves in the vibrant culture of the city. The brand emphasizes accessibility and offers a variety of room types and amenities, ensuring that all guests, including families and those with special requirements, can enjoy a comfortable stay.",Netherlands,255.864877,,,
