Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Havas Voyages,3180247000.0,"France, Auvergne-rhône-alpes, Lyon",https://www.linkedin.com/company/havas-voyages,www.havas-voyages.fr,"Havas Voyages accompagne les voyageurs et les entreprises, avant, pendant et après les voyages, au travers 4 piliers : - L’optimisation du budget voyages par nos experts et par nos négociations avec les acteurs du marché - La mise à disposition d’une technologie innovante et intuitive au service de votre politique voyages - L’accompagnement de tous les voyageurs par nos Travel Planners - La personnalisation de nos services pour répondre parfaitement aux attentes de nos clients",France,3180.247,,,
Club Med,2228661620.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/club-med,www.clubmed.com,"Since it was founded in 1950 and it created the all-inclusive vacation concept, Club Med has been the world leader on its market, and has developed a resolutely upscale, friendly and multicultural spirit. Club Med boasts 70 resorts located in the most beautiful sites in the world, a cruise ship and Luxury Villas & Chalets and, now more than ever, is associated with dreams and happiness. There are 20,000 Gentle Organizers (G.Os) and Gentle Employees (G.Es) at Club Med, who work in the villages, but also at the Paris, Lyon, Singapore, Shanghai, Rio de Janeiro and Miami headquarters, in the sales offices situated in dozens of countries and in travel agencies.",France,2228.66162,,,
Leclerc Voyages,835930340.0,"France, Île-de-france, Ivry-sur-seine",https://www.linkedin.com/company/leclerc-voyages,www.leclercvoyages.com,"Leclerc Voyages est une agence de voyages qui propose une large gamme de séjours, circuits, croisières et locations de vacances, notamment à travers des partenariats avec des clubs tels que Club Lookéa. L'entreprise se distingue par son offre de formules tout compris, permettant aux clients de profiter de vacances sans souci, avec des départs depuis plusieurs grandes villes françaises comme Paris, Lille et Nantes. La mission de Leclerc Voyages est de rendre le voyage accessible et agréable pour tous, en offrant des prix compétitifs et des services de qualité. Sa clientèle est variée, allant des couples aux familles, et elle s'adresse à ceux qui recherchent des vacances relaxantes et divertissantes. En collaborant avec des partenaires de confiance, Leclerc Voyages vise à garantir des expériences de voyage mémorables tout en répondant aux attentes de ses clients.",France,835.93034,,,
Voyageurs Du Monde SA,763872003.0,"France, Île-de-france, Paris, 55 Rue Sainte Anne, 75002",https://www.linkedin.com/company/voyageurs-du-monde,www.voyageursdumonde.fr,"Voyageurs du Monde, le spécialiste du voyage sur mesure. Avec plus de 300 salariés (14 agences en France, 1 en Suisse, 1 en Belgique), Voyageurs du Monde est aujourd’hui une grande entreprise dans son secteur. Les parcours de nos collaborateurs sont aussi divers que nos voyages, mais nous partageons tous la passion de l’autre et de l’ailleurs... Nos offres d'emploi:  http://www.voyageursdumonde.fr/voyage-sur-mesure/institutionnel/recrutement",France,763.872003,,,
Salaün Holidays,750000000.0,"France, Hauts-de-france, Pont-de-buis Lès Quimerc'h, 38 Rue De Quimper, 29590",https://www.linkedin.com/company/salaün-holidays,www.salaun-holidays.com,"Salaün Holidays is a prominent travel agency specializing in a wide range of holiday experiences, including circuits, cruises, and stays across various global destinations. With a mission to provide affordable travel options, the company offers significant discounts, such as up to €500 off trips to the United States, and features over 186 agencies to assist clients. Salaün Holidays prides itself on customer satisfaction, boasting more than 10,000 satisfied clients and a dedicated team of specialists available to support travelers from Monday to Saturday. The company collaborates with various partners, including cruise lines and tour operators, to deliver exceptional travel experiences tailored to diverse markets, including families, groups, and solo travelers. Its extensive offerings cover popular destinations in Europe, North America, Asia, and beyond, ensuring that clients can find the perfect getaway to suit their needs.",France,750.0,,,
Groupe Karavel - Promovacances,635157785.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/karavel,www.promovacances.com,"Groupe Karavel - Promovacances is a leading travel agency specializing in vacation packages, including flights, accommodations, and transfers, primarily targeting the French market. The company aims to provide customers with exceptional travel experiences at competitive prices, focusing on popular destinations such as Spain and the Balearic Islands. With a mission to simplify the travel planning process, Promovacances offers a user-friendly online platform for booking and personalized customer service to assist clients in selecting their ideal vacations. The company collaborates with various partners, including airlines and hotels, to ensure a wide range of options for its clientele, which includes families, couples, and solo travelers seeking memorable getaways. Through its commitment to quality and customer satisfaction, Groupe Karavel - Promovacances strives to be a trusted name in the travel industry.",France,635.157785,,,
Voyagexpert,332430000.0,"France, Pays De La Loire, Nantes",https://www.linkedin.com/company/voyagexpert,www.voyagexpert.com,"Voyagexpert est une agence de voyages d’affaires qualitative forte de 40 ans d’expérience. Avec près de 200 collaborateurs, nous nous imposons comme une entreprise indépendante leader en Europe. Nous avons nos propres filiales en Pologne, Suisse, Allemagne et Espagne, ce qui est unique sur le marché et nous permet de garantir une vraie qualité de service à l’échelle européenne.  Notre taille critique nous permet de proposer à nos clients à la fois, le meilleur de la technologie, notre couverture européenne tout en conservant un service qualitatif de proximité et une capacité à faire du vrai sur-mesure !",France,332.43,,,
Selectour,250032735.0,"France, Occitanie, Toulouse",https://www.linkedin.com/company/selectour,www.selectour.com,"Selectour is a travel agency dedicated to crafting personalized travel experiences tailored to individual preferences and desires. With a mission to provide unique and memorable journeys, Selectour connects clients with experienced travel advisors who assist in designing the perfect trip, free of charge and without obligation. The company caters to a diverse clientele, including families, couples, and solo travelers, offering a wide range of travel options from luxury vacations to adventure tours across various global destinations. Selectour partners with numerous travel service providers to ensure clients receive the best deals and experiences, making it a go-to choice for those seeking customized travel solutions.",France,250.032735,,,
Evaneos,217192615.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/evaneos,www.evaneos.com,"Better Trips for travelers. Better Trips for the world. Since Evaneos was founded in 2009, we’ve been building a greener, fairer future for travel. By connecting travelers with the world’s best local experts, we provide trips that are better for them and better for the places they visit. For us, it’s all about quality and impact. That means fighting mass tourism and impersonal experiences at the expense of local communities and the environment. Instead, we offer tailor-made trips, lovingly crafted by those passionate about sharing and protecting the destinations they call home. Thanks to our network of more than 1000 local partners in more than 160 destinations, we’ve helped more than 300,000 travelers plan extraordinary trips around the world. The adventure doesn’t stop here. We’re on the road to making every trip we sell 100% carbon-neutral and adding 200 woman-owned agencies to our network. Evaneos is currently active in 6 source markets: France, Spain, Italy, Germany, Switzerland and the Netherlands.  France: www.evaneos.fr Spain : www.evaneos.es Italy: www.evaneos.it Germany: www.evaneos.de Switzerland: www.evaneos.ch Netherlands: www.evaneos.nl",France,217.192615,,,
EXOTISMES,201674200.0,"France, Provence-alpes-côte D'azur, Marseille",https://www.linkedin.com/company/exotismes,www.exotismes.fr,"EXOTISMES is a travel company specializing in creating unforgettable experiences in exotic destinations, primarily focusing on the Caribbean, Indian Ocean, and Polynesia. With a mission to provide personalized travel solutions, EXOTISMES offers a wide range of services including island combinations, cruises, and themed trips such as honeymoons and family vacations. The company partners with renowned hotel chains and local accommodations to ensure high-quality stays for its clients, who range from couples seeking romantic getaways to families looking for adventure. EXOTISMES aims to cater to diverse travel preferences, making it a go-to choice for travelers seeking unique and luxurious experiences in some of the world's most beautiful locations.",France,201.6742,,,
