Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
ÖBB,5780958945.0,"Austria, Vienna, Vienna",https://www.linkedin.com/company/obb,www.unsereoebb.at,"ÖBB. Heute. Für morgen.  Für uns. Rund 1,3 Mio. Reisende, und ca. 1.300 Güterzüge sind täglich mit den ÖBB unterwegs. Darüber hinaus sind wir einer der Top-Arbeitgeber Österreichs. Knapp 42.000 engagierte Mitarbeiter:innen sowie zusätzlich rund 2.000 Lehrlinge sorgen täglich dafür, dass unsere Züge und Busse ihr Ziel erreichen.  Wir sind Wirtschaftsmotor, internationaler Konzern, verlässlicher Geschäftspartner, Innovationstreiber und Klimaschützer. Aber vor allem sind wir eines: ein attraktiver Arbeitgeber. Kaum ein anderes Unternehmen bietet so viele unterschiedliche und spannende Jobmöglichkeiten wie die ÖBB. #JobsmitSinn",Austria,5780.958945,,,
Rhomberg Sersa Bahntechnik GmbH,450000000.0,"Austria, Vorarlberg, Bregenz",https://www.linkedin.com/company/rhomberg-sersa-bahntechnik-gmbh,rhombergrail.com,"Rhomberg Sersa Bahntechnik GmbH is a leading company in the railway technology sector, dedicated to advancing sustainable mobility solutions. With a mission encapsulated in their vision ""Enabling Future Mobility,"" the company focuses on enhancing the competitiveness of rail transport as the most sustainable means of moving people and goods. They prioritize environmental responsibility and resource conservation, implementing innovative practices to minimize greenhouse gas emissions and promote renewable energy usage across their operations. Their clientele includes various stakeholders in the railway industry, and they collaborate with partners to develop cutting-edge technologies that support their sustainability goals. Rhomberg Sersa Bahntechnik GmbH is committed to fostering a culture of safety, integrity, and compliance, ensuring a healthy work environment for its employees while actively engaging with stakeholders to address key sustainability issues.",Austria,450.0,,,
Graz-Köflacher Bahn Und Busbetrieb Gmbh,154020290.0,"Austria, Styria, Graz",https://www.linkedin.com/company/graz-köflacher-bahn-und-busbetrieb-gmbh,gkb.at,"Graz-Köflacher Bahn und Busbetrieb GmbH (GKB) is a prominent transportation company based in Graz, Austria, specializing in rail and bus services in the West Styria region. The company is set to launch its electric train operations on the S6 line of the Styrian S-Bahn starting August 4, 2025, marking a significant milestone in its commitment to modernizing public transport and enhancing regional connectivity. GKB aims to provide efficient, environmentally friendly, and customer-oriented mobility solutions, with a focus on improving travel times and service frequency, particularly in conjunction with the upcoming Koralmbahn project. Its clientele includes local commuters, tourists, and businesses, while partnerships with regional authorities and transport organizations help facilitate a comprehensive public transport network. GKB's vision is to lead the way in sustainable mobility, contributing to the economic and social development of the region.",Austria,154.02029,,,
ÖBB-Personenverkehr AG,118507101.0,"Austria, Vienna, Vienna",https://www.linkedin.com/company/öbb-personenverkehr-ag,personenverkehr.oebb.at,"ÖBB-Personenverkehr AG is a leading provider of passenger transport services in Austria, operating as a subsidiary of the ÖBB Group. The company specializes in delivering safe, reliable, and environmentally friendly rail and bus transportation solutions, with a mission to enhance mobility and connectivity for all citizens. ÖBB-Personenverkehr AG serves a diverse clientele, including daily commuters, tourists, and business travelers, and collaborates with various partners, including local governments and transportation authorities, to improve service quality and expand its network. The company is committed to sustainability, aiming to reduce greenhouse gas emissions and promote public transport as a viable alternative to road travel. In 2024, ÖBB-Personenverkehr AG achieved a significant milestone by welcoming over 511 million passengers, reflecting a growing trend towards public transport usage. The company is dedicated to continuous modernization, investing significantly in new rolling stock and infrastructure projects, such as the upcoming Koralm Railway, to ensure a reliable and efficient transport system for the future. ÖBB-Personenverkehr AG emphasizes safety, punctuality, and customer satisfaction, striving to provide high-quality services that meet the evolving demands of its customers. The company actively engages in research and development initiatives to integrate innovative technologies and improve operational efficiency. Its vision includes achieving climate neutrality by 2040, with interim targets for reducing emissions and increasing the electrification of its rail network. ÖBB-Personenverkehr AG also focuses on accessibility, aiming for 90% of passengers to travel barrier-free by 2027. Through its commitment to sustainability and innovation, ÖBB-Personenverkehr AG plays a crucial role in promoting eco-friendly travel options and enhancing the overall quality of public transport in Austria.",Austria,118.507101,,,
Zugvogel Speditions GmbH,101945200.0,"Austria, Tyrol, Strass Im Zillertal, 190 Gewerbegebiet Nord, 6261",https://www.linkedin.com/company/zugvogel-spedition,www.zugvogel.cc,"Zugvogel Speditions GmbH is a forward-thinking logistics company dedicated to sustainable transport practices that minimize environmental impact by reducing CO2 emissions and energy consumption. With a strong commitment to sustainability, the company employs energy-efficient vehicles and optimized route planning, ensuring that ecological responsibility is at the forefront of its operations. A key initiative is its subsidiary, Zugvogel Renewable Logistics GmbH, which specializes in comprehensive logistics solutions focused on renewable energy, essential for a greener future. The company collaborates with sustainable partners and utilizes advanced technologies, such as AI, to enhance efficiency and reduce fuel consumption. Zugvogel Speditions GmbH serves a diverse clientele, emphasizing intermodal transport solutions that combine road, rail, and sea transport to further decrease carbon footprints. Through ongoing employee training and internal environmental initiatives, the company fosters a culture of sustainability within its workforce.",Austria,101.9452,,,
IFE Doors Knorr-Bremse GmbH,83072088.0,"Austria, Lower Austria, Mödling",https://www.linkedin.com/company/knorr-bremse-gmbh-division-ife-automatic-door-systems,www.ife-doors.com,"IFE Doors Knorr-Bremse GmbH specializes in innovative boarding solutions for the railway industry, focusing on accessibility and efficiency. Their flagship product, the ZeroStepBoardingSystem, is designed to facilitate seamless access for individuals with mobility impairments or heavy luggage, addressing the challenges of boarding and alighting from trains. The company's mission is to enhance inclusivity in public transport by providing barrier-free entry systems that comply with evolving regulations. IFE's target market includes intercity and high-speed train operators, and their solutions are engineered to improve traffic flow, reduce boarding times, and increase overall reliability without the need for complex active components. With a commitment to quality and innovation, IFE Doors aims to set new standards in passenger accessibility and comfort.",Austria,83.072088,,,
Westbahn,72373410.0,"Austria, Vienna, Vienna",https://www.linkedin.com/company/westbahn-management-gmbh,westbahn.at,"WESTbahn Management GmbH is a prominent railway company based in Vienna, Austria, dedicated to providing efficient and accessible train services. The company aims to enhance travel experiences by ensuring that its website and mobile application comply with accessibility standards, reflecting its commitment to inclusivity. WESTbahn primarily serves passengers traveling between major cities, including Vienna and Munich, and is focused on continuous improvement of its services to meet the needs of all users, including those with disabilities. The company collaborates with various partners to optimize ticket purchasing processes and enhance customer satisfaction. With a vision of making rail travel more user-friendly and reliable, WESTbahn is committed to maintaining high standards of service and accessibility for its diverse clientele.",Austria,72.37341,,,
PJ Messtechnik GmbH / PJ Monitoring GmbH,45312048.0,"Austria, Styria, Graz",https://www.linkedin.com/company/pjm,pjm.co.at,"PJ Messtechnik GmbH and PJ Monitoring GmbH are specialized companies based in Graz, Austria, focusing on advanced measurement and monitoring solutions for the railway industry. Their mission is to enhance safety and efficiency in rail transport through innovative testing and calibration technologies, including mobile systems for on-site assessments. The companies serve a diverse clientele, including railway operators and manufacturers, and collaborate with various partners to develop cutting-edge solutions such as the WaggonTracker and automated brake testing systems. With a commitment to precision and quality, PJ Messtechnik and PJ Monitoring aim to lead the market in measurement technology, ensuring that their clients benefit from reliable and efficient rail operations.",Austria,45.312048,,,
Verkehrsverbund Ost-Region GmbH,29603438.0,"Austria, Vienna, Vienna",https://www.linkedin.com/company/verkehrsverbund-ost-region-vor,www.vor.at,"Verkehrsverbund Ost-Region GmbH (VOR) is the oldest and largest transport association in Austria, responsible for planning, coordinating, and organizing public transportation in the eastern region of the country, which includes Vienna, Lower Austria, and Burgenland. With a mission to provide seamless and sustainable mobility solutions, VOR operates a comprehensive network of approximately 15,500 kilometers, serviced by 100 train lines and over 800 bus routes, catering to the needs of more than a billion passengers annually. The company collaborates with around 30 transport operators, including ÖBB and Wiener Linien, to ensure efficient connections and a unified fare system across the region. VOR's vision emphasizes the importance of accessible public transport as a key component of climate protection and quality of life, while also focusing on innovative mobility solutions to meet the evolving needs of urban and rural communities. Through its commitment to passenger information and service, VOR plays a vital role in enhancing the overall travel experience for its users.",Austria,29.603438,,,
Steiermarkbahn,26635518.0,"Austria, Styria, Graz",https://www.linkedin.com/company/steiermarkbahn,www.steiermarkbahn.at,"Die Steiermärkischen Landesbahnen sind gemeinsam mit der Steiermarkbahn und Bus GmbH und der Steiermarkbahn Transport und Logistik GmbH ein wichtiger Infrastrukturbetreiber und über­regionaler Verkehrsdienstleister. Neben dem Terminalbetrieb am Cargo Terminal Graz sind wir Spezialist im Güterverkehr auf Schiene und erbringen auch umfangreiche Dienstleistungen im Bahn- und Bus­verkehr. Durch die regionalen Standorte sind die Landesbahnen / Steiermarkbahn vor allem im Oberen Murtal, im Aflenzer Land, im Großraum Weiz, im Übelbacher Tal sowie im Steirischen Vulkanland verankert. Nähere Informationen > https://www.steiermarkbahn.at",Austria,26.635518,,,
