Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
BMF Port Burgas,33412861.0,"Bulgaria, Burgas, Burgas, 1 Knyaz Alexander Battenberg Str, 8000",https://www.linkedin.com/company/bmf-port-burgas,navbul-portburgas.com,"BMF Port Burgas is a private port operator of Port Terminal Burgas East II and Port Terminal Burgas West – parts of the national public Port Burgas. Located in the region of Burgas Bay on the Black Sea Coast, BMF Port Burgas is the closest to the Bosphorus deep-water port. It offers excellent access (deep-water berths, all-year-round navigation, and no nautical restrictions) and can receive Panamax-type vessels. With its 19 berths and a total quay length of approx. 3.3km., BMF Port Burgas is one of the largest and deepest ports in the Black Sea region and there can be handled and stored various kinds of cargo. It is equipped with state-of-the-art equipment and extensive rail and road connections, as well as a highly qualified and experienced management team and staff. Different types of bulk, general, liquid, grain cargo and containers are handled on the territory of BMF Port Burgas. Thanks to its clear focus on innovation in cargo handling, BMF Port Burgas has significantly increased the cargo traffic through the port terminals both as volume and as diversity. BMF Port Burgas operates 24/7 all year round",Bulgaria,33.412861,,,
FreeLine LTD.,10988467.0,"Bulgaria, Sofia-capital, Sofia, 92g Bulevard Iliyantsi, 1220",https://www.linkedin.com/company/freeline,www.freeline.bg,"Нашата дейност обхваща цялата гама от транспортни и спедиторски услуги, като: международен контейнерен транспорт ( FCL / LCL), автомобилен (комплектен и групажен), въздушен и железопътен транспорт, деконтейнеризация и претоварни операции, митническа обработка на товарите, складиране и митническо складиране, изготвяне на транспортни и митнически документи, консултиране, прогнозиране, карго застраховки и други усуги, свързани с дейността ни. Оперираме с различни видове товари: контейнеризирани, конвенционални, извънгабаритни, товари с клас на опасност, акцизни товари, стоки под митнически контрол, дипломатически и личен багаж, превоз на панаирно оборудване и изложбени експонати. В областта на морския транспорт ФриЛайн ООД предлага сервиз през пристанища Варна и Бургас, Солун и Пирея, Истанбул и Констанца на всички видове стоки в бокс контейнери и специализирано оборудване - платформи, хладилни и ""open top"" контейнери, както и групажни контейнерни превози през Варна, Бургас и Солун от и за всички дестинации. Нашите клиенти могат да се възползват от комплектни и групажни автомобилни превози от и за Европа, Близкия Изток, страни от бившата ОНД и вътрешен транспорт в страната. Превозваме товари със специализирани хладилни автомобили (поддържане на температурен режим) и на стоки с клас на опасност.",Bulgaria,10.988467,,,
Bulgarian Railway Company ЕAD,4344202.0,"Bulgaria, Sofia-capital, Sofia, 9 Ulitsa Chamkoria, 1527",https://www.linkedin.com/company/bulgarian-railway-company-ad,www.brc-bg.com,Bulgarian Railway Company AD is a joint-stock company with subject of activity performance of rail freight transport services on the domestic and international traffic. BRC is the first national private freight operator with licence №201 from 15.04.2005 issued from the Ministry of transport for carriage of goods throughout the whole railway infrastructure of the Republic of Bulgaria.,Bulgaria,4.344202,,,
Sbn-consolidations,2257375.0,"Bulgaria, Sofia-capital, Sofia, 12 Prodan Tarakchiev Str Sofia Airport",https://www.linkedin.com/company/skybridge-networks,www.sbn-consolidations.com,"We are sbn-consolidations, the wholesale brand of Skybridge Networks Ltd., a 100% neutral consolidator focusing on: - Ocean transport - LCL and FCL with global coverage  - Rail freight from China - LCL and FCL - Airfreight - consolidations and back-to-back solutions, worldwide - Road freight - groupage and part loads  As our motto suggests, we strive to make the shipping process ""easy and simple"". With capable partners dotting the globe, we create a reliable network providing a user-friendly mix of local knowledge and global coverage. For Airlines customers we provide GSSA solutions through a customized approach for meeting the strategic goals on local level.  But... the real propeller of all our success is The Team! And we all know that:  “To fly as fast as thought, to anywhere that is, you must begin with knowing that you have already arrived…” “Jonathan Livingston Seagull”  Richard Bach We do “Create Value... easy and simple” Contact us: sbn-consolidations (Skybridge Networks Ltd.), Bulgaria 12 Prodan Tarakchiev str. 1592 Sofia, Bulgaria Phone: +359 886 317 017 Email: sales.bg@skybridgenet.com Email: sales.bg@sbn-consolidations.bg sbn-consolidations (Skybridge Networks Srl.), Romania Drumal Garii Odai, N 1A Bucharest, Otopeni, Romania Phone: +40 21 350 3907 Email: sales.ro@skybridgenet.com Email: sales.ro@sbn-consolidations.com",Bulgaria,2.257375,,,
Transportal.BG Транспортен Портал,835834.0,"Bulgaria, Sofia-capital, Sofia, 87 James Bourchier Blvd, 1000",https://www.linkedin.com/company/transportal-bg-транспортен-портал,transportal.bg,"Транспортният портал Транспортал.БГ предоставя актуални новини автомобилен транспорт, железопътен транспорт, въздушен транспорт, воден транспорт и инфраструктура. Нашият екип включва специалисти с дългогодишен опит в сферата на транспорта и логистиката.",Bulgaria,0.835834,,,
Association Of Bulgarian Railway Carriers,629334.0,"Bulgaria, Sofia-capital, Sofia, 87 James Bourchier Blvd, 1407",https://www.linkedin.com/company/association-of-bulgarian-railway-carriers,abzp.eu,"ABZP aims to develop railway and intermodal freight transport, intelligent logistics and information systems, as well as integrate Bulgaria into the single European railway area.  Our members are some of the largest railway carriers in Bulgaria including DB Schenker Rail Bulgaria; Rail Cargo Austria; Bulmarket; Bulgarian Railway Company; Gastrade; and Express Service.",Bulgaria,0.629334,,,
Tini Trans EOOD,629334.0,"Bulgaria, Sofia-capital, Sofia, Zhk",https://www.linkedin.com/company/tini-trans-ltd,tinitrans.eu,"Looking for reliable and efficient transport and forwarding services for your business? Look no further than our company! At our company, we pride ourselves on providing top-notch transport and forwarding solutions to our clients. Whether you need to move goods across the country or around the world, we have the experience and expertise to make it happen smoothly and efficiently. Our team of skilled professionals is dedicated to ensuring that your goods are delivered on time and in perfect condition, every time. We use state-of-the-art technology and equipment to track your shipments and provide you with real-time updates, so you can have peace of mind knowing that your goods are in good hands. We offer a range of transport and forwarding services, including air freight, sea freight, road freight, and rail freight. We can handle everything from small packages to large-scale cargo, and we have the resources and connections to get your goods where they need to be, when they need to be there. So why choose us? Simply put, we are committed to providing the best possible service to our clients. We understand the importance of timely and reliable transport and forwarding, and we go above and beyond to ensure that your needs are met. If you're looking for a transport and forwarding partner you can trust, look no further than our company. Contact us today to learn more about our services and how we can help your business grow and succeed.",Bulgaria,0.629334,,,
BDZ Cargo EOOD,22155432.0,"Bulgaria, Bg, 3 Ivan Vazov Street Sofia",https://www.linkedin.com/company/bdz-cargo,www.bdz.bg,"BDZ Cargo is the main railway freight operator in Bulgaria providing domestic and international carriage of goods by rail. Experienced team of experts, flexible customer-oriented marketing strategy, large wagonn and traction fleet, and IT developments help the company to reinforce its position as the most capable railway freight operator in the country.  Well-developed network of customers and partners in Europe and Asia supports the presence of the company in the international market.  And last, but not least, BDZ Cargo is the only railway operator of the Ferry Boat Complex Varna – the only place in the Black Sea region with possibilities for changing freight wagon bogies from European to Russian gauge and v.v. BDZ Cargo offers the whole range of transport & logistic services: •	Transport of goods in block-trains •	Combined, inter- and multimodal transports •	Transport on specially agreed transport schemes •	Transport of heavy-load, out-of-gauge and special consignments •	Transport of goods from/to the Black Sea ports Varna and Burgas, also in large-capacity containers, processed in the terminals of these ports •	Transport of goods from/to the Danube ports Ruse, Lom, Svishtov,  Vidin •	Transport via the railway ferry lines connecting port Varna, port Caucasus (Russia), port Ilichevsk (Ukraine), ports Poti/ Batumi (Georgia), continuing the transport by rail from/to the countries of CIS, Central and Middle Asia Accompanying service: •	Customs clearance, financial guarantees, security and insurance for goods •	Routing •	Warehousing •	Tracking and tracing of wagons and trains •	Container terminals and logistic services •	Other shipping services",Bulgaria,22.155432,,,
Green Transport Cluster,3776004.0,"Bulgaria, Sofia-capital, Sofia, 70 Ami Boue Street, 1612",https://www.linkedin.com/company/green-transport-cluster,gtcluster.eu,"Green Transport Cluster integrates existing port, ferry and railway terminals to develop comprehensive intermodal transport in Bulgaria that would increase freight transport while reducing transport costs. Our objective is to integrate the national intermodal transport and terminals into the European transport networks. Our members are some of the largest transport companies in Bulgaria including Somat, Discordia, Bulgarian Railway Company, Port Burgas, etc.",Bulgaria,3.776004,,,
Truck Ferry Ltd,3661683.0,"Bulgaria, Plovdiv, Ulitsa Rogoshko Shose",https://www.linkedin.com/company/truck-ferry,truckferry.eu,"Truck Ferry Ltd is a logistics agency for ferry bookings. Founded in 2012, the company is an undisputed leader for Bulgaria and Turkey, serving the needs of more than 1,000 transport companies for over 260 different destinations. Some of the main destinations are to: Greece, Italy, Spain, England, Sweden. The agency has generated over 250,000 bookings by 2018 and is a synonym of reliable and trusted partner. Our experience in the field of cargo shipping and our advantage of exclusive representatives of shipping companies ensures that our services are of the best quality and most competitive prices.  Truck Ferry Ltd is agent of all the shipping lines around Europe (Unity lines, Scandlines, Stena Lines, Minoan Lines, ), so we can offer ferry bookings all across Europe.  We can also offer crossings for the tunnels Frejus and Mont Blanc.",Bulgaria,3.661683,,,
