Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Cyprus Public Transport,53493390.0,"Cyprus, Nicosia, Nicosia, 1090",https://www.linkedin.com/company/cyprus-public-transport,publictransport.com.cy,"Cyprus Public Transport is a new transportation company in Cyprus operating in the Public Transportation Sector. The company is part of an international network of transport companies present on four continents with over 40,000 employees. With over 120 years of experience in efficient management of urban transport as well as regional, national and international bus coach and rail transport, our philosophy is to maximize on this international experience and adapt it to the local context wherever we operate including Cyprus.",Cyprus,53.49339,,,
Epsilon Crew Management & Training,6226368.0,"Cyprus, Limassol, Limassol, 113-115 Vasileos Konstantinou Str, 3080",https://www.linkedin.com/company/1914510,www.epsilonhellas.com,"Epsilon, was founded in 2001, as a dedicated provider of quality crewing and training solutions to the maritime industry.  Today, Epsilon is privileged to be the crew and training provider of choice for an elite group of the most demanding shipping companies, as well as being a long-serving member of key maritime organizations. We manage crewing affairs for more than 500 vessels, we deploy approximately 5,900 seafarers at any point in time, and we train more than 1,200 seafarers on a monthly basis. Our network spans in locations whose seafaring heritage, maritime education and human skills can support our common objective for a customized service provision. We deploy our operations from the following Epsilon offices: Cyprus, the Philippines, Ukraine, Greece, Russia, Romania, Turkey, Indonesia and Vietnam. All our offices have but one goal: to enhance the operational efficiency of our Principal’s fleet by managing an exceptional talent pool of human resources at sea. If like us, you are equally dedicated to this goal, then we strongly believe we have something to say to you and, even more importantly we have something to offer:    Dedicated, Quality Crew Management & Training.",Cyprus,6.226368,,,
Zero Time Services Limited,1888002.0,"Cyprus, Limassol, Limassol, 127 Omonoias Avenue, 3310",https://www.linkedin.com/company/zero-time-services-limited,www.zerotime.com.cy,"A freight forwarder is more than just a company you call on to get your cargo from A to B. At Zero Time Services Ltd, we treat your cargo with the importance it deserves, and make sure we keep you updated every step of the way. When it comes to getting your freight there on time, in style, we take the pressure off you, and make it happen. Our attitude to customer service is second to none and when it comes to knowledge, we only employ the best, and then train them to our stringent high standards so that everyone you deal with at Zero Time is an expert in their field.",Cyprus,1.888002,,,
Unity Line,57437703.0,"Cyprus, Limassol, Limassol, Gr. Xenopoulou Street 17, 3106",https://www.linkedin.com/company/unity-line,www.unityline.pl,"Spółka Unity Line, założona w maju 1994 roku jest jedną z największych firm armatorskich działających na rynku bałtyckich przewozów promowych, wchodzi w skład grupy kapitałowej Polskiej Żeglugi Morskiej (PŻM). W ramach prowadzonej działalności firma zajmuje się profesjonalnym zarządzaniem promami morskimi oraz działalnością turystyczną i transportową. Struktura floty Unity Line umożliwia obsługę wszystkich grup odbiorców: pasażerów, spedytorów oraz przewoźników drogowych i kolejowych. Promy w zarządzie Spółki eksploatowane są na liniach: Świnoujście – Ystad oraz Świnoujście – Trelleborg. Za wizytówkę Unity Line uważany jest prom Polonia. Jednostka oddana do eksploatacji w 1995 roku, nadal uchodzi za jeden z nowocześniejszych i najbezpieczniejszych promów pływających po wodach Bałtyku. Rosnące zainteresowanie usługami Unity Line oraz stały rozwój oferty w bezpośredni sposób przekładają się na kolejne inwestycje podejmowane przez Spółkę. We wrześniu 2008 roku, do ruchu wprowadzona została kolejna jednostka pasażerska – m/f Skania. Dzięki temu promy pasażerskie Unity Line pokonują trasę Świnoujście – Ystad w ruchu wahadłowym. Oznacza to, że pasażerowie w jeszcze bardziej elastyczny i komfortowy sposób mogą planować swoją podróż. Obok jednostek pasażerskich – promów Polonia i Skania – w zarządzie Unity Line znajduje się pięć jednostek zorientowanych na obsługę rynku cargo – prom ładunkowy: Copernicus; promy ładunkowo-pasażerskie: Gryf, Galileusz, Wolin i Epsilon.",Cyprus,57.437703,,,
FRS Shipmanagement,22525136.0,"Cyprus, Limassol, Limassol, 256 Makarios Avenue C4, 3105",https://www.linkedin.com/company/frs-shipmanagement,www.frs.com.cy,"FRS Shipmanagement belongs to FRS group, a passenger ferry operator with over 150 years of experience, that owns 65 vessels and transports 8M people annually.  Drawing on FRS group experience and vast maritime knowledge, not only crewing, we also provide high-standard maritime services, from technical management, procurement and admin services to highly specialized consulting, offering our broad know-how in the ferry industry. As crew managers, we have an extensive pool of candidates from EU and other regions with vast experience in the ferry field. We provide crew today to well-know ferry operators worldwide and to FRS fleet. We services ranging from recruitment to payroll. The one stop HR solution. As shipowners, we deeply understand our clients needs. If you are looking for a career opportunity check our website (Careers). If you want to be part of our pool and hear about opportunities, press the Register bottom. If you are looking for crew, get in touch!  info@frs-shipmanagement.eu",Cyprus,22.525136,,,
Swan Hellenic Limited,14278455.0,"Cyprus, Nicosia, Nicosia, 1066",https://www.linkedin.com/company/swan-hellenic-limited,www.swanhellenic.com,Iconic 70 year old British cultural and expedition cruise brand is proud to return to the world’s waters with two brand new expedition ships.,Cyprus,14.278455,,,
Running On Waves,8181342.0,"Cyprus, Nicosia, Nicosia, 5 Athinion Street, 1056",https://www.linkedin.com/company/running-on-waves,www.running-on-waves.com,"The Company owns a luxury state-of-the-art passenger sailing vessel RUNNING ON WAVES, a 3-mast 3-deck barquentine of +100 A5 Ocean Class (can sail anywhere but glacial zones), length 64 m,  takes on board up to 42 pax in 18 cabins. Launched in 2011.  Fully SOLAS-certified.  Maximum speed 18 knots on engine and 16 knots under sail. Diving and water sports centre on board. Premium quality cuisine.  Regular cruises in the Mediterranean and charters anywhere. Flag of Malta.",Cyprus,8.181342,,,
Hull Blyth Araouzos Ltd,7212307.0,"Cyprus, Limassol, Limassol, 147 Christodoulou Chatzipavlou, 3036",https://www.linkedin.com/company/hull-blyth-araouzos-ltd,www.hba.com.cy,"Hull Blyth Araouzos Ltd is proud to be among the first shipping companies in Cyprus involved in vessel operations with 85 years of experience within the Shipping industry. As an organization, we handle a diverse line of services and products along with being committed to build mutually beneficial partnerships and associations in diverse areas of business endeavour, while constantly searching out for new opportunities. 85 years of trading have not been achieved only by diversifying and adapting to the ever-changing modes of transport, but also by investing in experienced staff giving a professional and assured quality service. We handle all type of vessels, Ro-Ro, cruise ship, tankers, naval, PSVs, Rigs, containerships, reefers, livestock, etc.  An established company within the local market for over eight decades, offering the best one stop solution for our clients.",Cyprus,7.212307,,,
SeaMed24,5932977.0,"Cyprus, Limassol, Limassol",https://www.linkedin.com/company/seamed24-medical-solutions,www.seamed24.com,"SeaMed24 Medical Solutions, offer a comprehensive range of Medical Management solutions for all sectors of the Maritime industry, from merchant shipping, to offshore, leisure and niche expedition cruises.",Cyprus,5.932977,,,
Uniteam Cruise Services,2517336.0,Cyprus,https://www.linkedin.com/company/uniteamcruiseservices,www.uniteamcruise.com,"As part of the Uniteam Group of Companies, we have been conducting business in Myanmar for over 25 years. That gives us the local knowledge, expertise and network to successfully resource staff for you. At Uniteam Cruise Services, we cover all bases. Our team comprises of professionals specializing in luxury boutique hotels, international restaurants, catering services, maritime training and crew management. We are capable of tapping into the local markets to source the right people for you, when you need them.   At Uniteam Cruise Services we provide; Presentation of qualified applicants who exhibit the qualities that are important to you. Tailored training programs in catering, hospitality and USPH. Experienced local operators for Visa and medical examination formalities. Ensuring correct certification and training. Customized pre-joining orientation. Monthly payroll processing. Ensuring thorough pre-screening facilitation. Approved Marlins English Test Centre. If you are looking for a high quality, accredited, fair play hiring partner then do not hesitate to contact us.   email us at   info@uniteamcruise.com",Cyprus,2.517336,,,
