Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Správa Železnic State Organization,1356508881.0,"Czech Republic, Nové Město, 1003/7 Dlážděná, 110 00",https://www.linkedin.com/company/sprava-zeleznic,www.spravazeleznic.cz,"Pursuant to Act on Rail Systems, Správa železnic provides operation of the nation-wide and regional railways owned by the state, their operability, modernization and development to the extent necessary to ensure the transport needs of the state and transport services. Správa železnic is the manager of assets comprising the railway infrastructure.",Czech Republic,1356.508881,,,
ARRIVA TRANSPORT ČESKÁ REPUBLIKA A.s.,129372516.0,"Czech Republic, Praha, Prague, 148/34 Křižíkova, 186 00",https://www.linkedin.com/company/arrivacz,www.arriva.cz,"Arriva is the bus market leader in the Czech Republic, operating in majority of districts in the country. Today, Arriva has an overall share of 20 per cent of the bus market and has an emerging position in the rail market.  Bus: Entered bus market in 2006 Rail: Entered Rail market in 2013 2000 buses and 35 trolleybuses 5 trains 3200 employees 115 million passengers annually",Czech Republic,129.372516,,,
Leo Express,83072088.0,"Czech Republic, Žižkov, 4 Řehořova, 130 00",https://www.linkedin.com/company/leo-express,le.cz,"Leo Express is a carrier that has been operating modern trains on important long-distance routes in the Czech Republic and Slovakia since 2012. 🚄 Since 2018, the company also connects Prague and Krakow in Poland with regular trains. 🚂 In 2019, the company also launched a regional train service in the Pardubice Region.  Leo Express also operates a bus service currently connecting Slovakia and Ukraine. 🚌 For the latest jobs at Leo Express, please visit www.le.com/kariera. 🧑💻",Czech Republic,83.072088,,,
CM Transport Tachov,11415222.0,"Czech Republic, Plzeňský, Tachov, 2125 Oldřichovská, 347 01",https://www.linkedin.com/company/cm-transport-tachov-s-r-o,www.cmtt.cz,"Transport company is concentrating in transport swab bodies, Our fleet counting 100 SB road train, more than 400 swab bodies. Other additional international and national transport services consist in the management of our customers with 100 and 120 cbm tilt trucks. CM Transport provides storage in Tachov and Sokolov.",Czech Republic,11.415222,,,
JHMD,7610148.0,"Czech Republic, Jihočeský, Jindřichův Hradec",https://www.linkedin.com/company/jhmd,www.jhmd.cz,"JHMD inc. is the first Czech private railroad operator and owner. We carry on public scheduled passenger and freight diesel trains, steam trains with vintage consits during the summer season and we can set out a special steam or diesel train just for You on our narrow-gauge routes from Jindrichuv Hradec to Nova Bystrice and from Jindrichuv Hradec to Obratan.",Czech Republic,7.610148,,,
MEREX,6922674.0,"Czech Republic, Moravskoslezský, Ostrava, 2728/38 Havlíčkovo Nábřeží, 702 00",https://www.linkedin.com/company/merex-s-r-o,www.merex.cz,"International Forwarding company focused on Rail, Intermodal & Road cargo transports. Based in Prague, CZ with offices in Ostrava, CZ, and Warsaw, PL. Group of professionals motivated to deal with any transport challenge all around the European continent. FAST - SMART - COMMUNICATIVE - FLEXIBLE - COURAGEOUS",Czech Republic,6.922674,,,
Retrolok S.r.o.,5932977.0,"Czech Republic, Praha, Prague, 279 Nádražní, 15000",https://www.linkedin.com/company/retrolok,retrolok.com,"Společnost Retrolok s.r.o. je akreditovanou českou firmou působící v oblasti drážní dopravy a vzdělávání zaměstnanců působících v drážní dopravě. Specializujeme se na provozování dráhy a drážní dopravy, pronájem vysoce kvalifikovaných strojvedoucích se znalostí hnacích vozidel trakcí M, E1, E2, E3 a P pro tuzemnské i zahraniční dopravce a školicí a lektorskou činností. Nabízíme: - nákladní železniční doprava - činnost bezpečnostního poradce RID - pronájem vozmistrů pro potřeby dopravců a přepravců - pořádání školení - příprava ke zkouškám pro funkce vlakvedoucí, vozmistr - zajištění odborných zkoušek - zajištění zkoušek pro strojvedoucí - poskytování dopravní cesty pro přepravce - zajištění kontroly strojvedoucích kvalifikovaným strojvedoucím-instruktorem",Czech Republic,5.932977,,,
Východočeská Dráha,5932977.0,"Czech Republic, Pardubický, Pardubice, 546 Hýblova, 56002",https://www.linkedin.com/company/východočeská-dráha,www.vychodoceskadraha.cz,"Východočeská dráha s.r.o. je licencovaným železničním dopravcem.  Specializujeme se na přepravy nákladních vlaků, pracovní vlaky a výlukové práce. Disponujeme vlastním lokomotivním parkem, kterým uspokojujeme přání zákazníků. Naším dlouhodobým cílem je nabízet komplexní služby na železnici, vždy s profesionálním přístupem, ale přátelskou atmosférou silné a spolehlivé společnosti.",Czech Republic,5.932977,,,
GW Train Regio A.s.,3819677.0,"Czech Republic, Ústecký, Ústí Nad Labem, 827/9 U Stanice",https://www.linkedin.com/company/gw-train-regio-a-s-,www.gwtr.cz,Společnost GW Train Regio a.s. zajišťuje provozování osobní železniční dopravy v  rámci České republiky.,Czech Republic,3.819677,,,
Rabbit Rail S.r.o.,2807442.0,"Czech Republic, Central Bohemia, Poděbrady",https://www.linkedin.com/company/rabbit-rail-s-r-o,www.rabrail.cz,Společnost Rabbit Rail s.r.o. je licencovaným dopravcem pro Českou a Slovenskou republiku s platným bezpečnostním osvědčením. Nákladní drážní doprava je naší stěžejní službou. Nabízíme Vám komplexní logistický servis pro přepravu Vašeho zboží po železnici v kombinaci s neformální atmosférou svěží společnosti.,Czech Republic,2.807442,,,
