Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
VR Logistiikka,1291545960.0,"Finland, Uusimaa, Helsinki",https://www.linkedin.com/company/vr-logistiikka,logistics.vr.fi,"VR Transpoint is a leading transport operator specializing in rail logistics for freight traffic, with a strategic focus on enhancing its core businesses of passenger and freight transport. Recently, the company has divested its road logistics unit to the investment firm Mutares, allowing it to concentrate on rail transport and improve its competitive edge in the market. VR Transpoint's mission is to streamline its operations and create a neutral environment for competition by divesting non-core assets, such as station and depot properties. The company serves a diverse clientele, particularly in heavy industries, and is committed to delivering high-quality logistics solutions tailored to their needs. With a dedicated workforce and a strong emphasis on customer relationships, VR Transpoint aims to strengthen its position in the Nordic logistics sector while ensuring continued growth and innovation.",Finland,1291.54596,,,
HSL Helsingin Seudun Liikenne,152928162.0,"Finland, Uusimaa, Helsinki",https://www.linkedin.com/company/hsl-helsingin-seudun-liikenne,www.hsl.fi,"HSL Helsingin seudun liikenne vastaa 66 prosentista Suomen joukkoliikennematkoista. HSL:llä on tärkeä rooli pääkaupunkiseudun asukkaiden arjessa: meidän liikenteessämme tehdään yli miljoona matkaa päivittäin bussilla, junalla, metrolla, ratikalla tai lautalla. Liikevaihtomme on noin 600 milj. euroa vuodessa. Meitä joukkoliikenteen ammattilaisia on reilu 400 ja olemme ylpeitä työstämme. Liity joukkoomme kehittämään helppoa, toimivaa ja luotettavaa Helsingin seutua. HSL Helsinki Region Transport is responsible for about 60% of all public transport journeys in Finland. HSL plays a key role in the everyday lives of the metropolitan area residents:  every day, over one million journeys are made on our bus, train, Metro, tram and ferry services. Our annual turnover is about 600 million euros. HSL employs over 400 public transport professionals that are proud of their work. Join us to develop well-functioning Helsinki region with reliable services for easier everyday life.",Finland,152.928162,,,
Avecra Oy,47829384.0,"Finland, Uusimaa, Helsinki",https://www.linkedin.com/company/avecra-oy,www.avecra.fi,"Avecra Oy is a restaurant catering company owned by VR Group. Avecra Oy operates in train catering in long-haul passenger trains and restaurant, kiosk and cafe services at Finnish railway stations. Avecra employs 350 professionals, who are at your service daily on more than 160 trains and 14 restaurants and kiosks in Finland. Operations started in 1978 by name Liikenneravintolat Oy. Avecra became the name of the company in 1992. Avecra Oy on is owned by VR Group Ltd. Avecra Oy the member of IRCG (International Rail Catering Group).",Finland,47.829384,,,
Länsimetro Oy,13990672.0,"Finland, Uusimaa, Espoo, 6 Keilaranta, 02150",https://www.linkedin.com/company/lansimetro,www.lansimetro.fi,"Länsimetro Oy is a limited liability company that is jointly owned by the cities of Espoo and Helsinki. Länsimetro Oy is the owner of the modern metro infrastructure that will stand the test of time. Länsimetro Oy’s task is to own and develop the metro stations, rail line and metro systems. Länsimetro operates in the background of the public transport operators as the expert organisation for owning and developing the metro infrastructure. With its expertise, Länsimetro contributes to ensuring that the metro remains an attractive and safe transport option and serves customers for decades to come.",Finland,13.990672,,,
Backman-Trummer,13862747.0,"Finland, Ostrobothnia, Vaasa",https://www.linkedin.com/company/backman-trummer,www.backman-trummer.fi,"We provide global logistic solutions.  Our customers are leaders in trade and industry and we know there’s no such thing as identical transport needs – that’s why our focus is to offer you optimized, tailored and clever overall logistic solutions.  No matter what sort of transport solution you are looking for, we’re here to help you during the whole transport chain, from order to delivery.  We concentrate on export and import transport and our operations comprise road and rail transport, air freight, shipping of containers and bulk goods, and freight forwarding services. Thanks to our network of partners covering transport hubs worldwide we have the resources to offer you tailored logistic solutions, as well as the benefits of regional and local presence in the areas where we operate.  Backman-Trummer is more than 130 years old and part of KWH Logistics. KWH Logistics is part of the KWH Group which is an Ostrobothnian family-owned company which manufactures and markets abrasives and water traps as well as offers freight forwarding and logistics services.  Read more at www.backman-trummer.fi",Finland,13.862747,,,
Fenniarail,8657375.0,"Finland, Central Finland, Helsinki, 6 Rautatieläisenkatu, 00520",https://www.linkedin.com/company/fennia-rail,www.fenniarail.fi,"Fenniarail Oy is a private Finnish freight rail operator established in 2009. Fenniarail is focusing on competitive and customer oriented services. Fenniarail has commenced operation in 2016.   Owners Fenniarail is owned by 41 Finnish private people or companies. Most main owners have extensive experience in logistics or rail business and strong entrepreneurial background. Fenniarail understands its customers’ needs.   Our target Our target is to create a strong and independent rail company, which will improve its customers’ competitive position and economic activity. Increasing rail transportation and its market share will improve the rail network’s utilization rate. This has an impact on the environment and the energy use.   Our operation Our organization is lean and effective. We utilize  our equipment at a high rate. Safety and reliability are key cornerstones for Fenniarail.",Finland,8.657375,,,
Port Of Raahe,5917788.0,"Finland, Northern Ostrobothnia, Raahe, 66 Helmilaiturintie, 92180",https://www.linkedin.com/company/port-of-raahe,www.raahensatama.fi,"The Port of Raahe is one of Finland’s busiest ports. This is thanks to its scheduled routes to other European countries, including the UK, those on the Mediterranean Sea and in the Baltic region, its excellent land connections, and its certified and customer-oriented service. Approximately 600 vessels call at the Port of Raahe every year. The port has been a hub for year-round maritime transport for over 40 years. Various raw materials, bulk cargo, steel, timber and containers are shipped to and from the Port of Raahe, in addition to individual project consignments. The Port of Raahe is an excellent hub for the import and export industries. Raahe is located close to Highway 8 and along an electrified railroad. There are good rail connections to Russia.",Finland,5.917788,,,
Pynnönen International Oy,4814512.0,"Finland, Uusimaa, Kerava, 13 Terästie, 04220",https://www.linkedin.com/company/pynnönen-international-ltd-oy,www.pynnonen.fi,"Pynnönen International Ltd Oy offers international and local transports, forwarding and warehousing services. Founded in 19486 this family enterprice is a true professional when it comes to solving challenging logistical tasks. Experience in operations, quality of equipment and committed drivers all contribute towards your shipment arriving to its destination in good condition and at the right time In the present form the company has since 1986 provided its customers taylor-made transport and logistic solutions. Road Transport We have a large capacity and can handle many transport projects at the same time. Consignments ranging from 1 kg to 70,000 kgs are no problem for us. Out-of-gauge cargo, heavy, long, wide or high loads can be transported by us in Europe as well as in Russia. Project Transport Using our extensive Agency network we are able to offer a very large bulk shipments service by river barge or ship.  Forwarding Pynnönen has experience  in networking with trustworthy subcontractors and is therefore flexible in service also in peak seasons. For long distance transport of bulk freight we can also offer rail transport solutions. Quality in Operations The key success factor in Pynnönen’s operations is the quality in operations. We allways want to meet and exceed the customer expectations in order to quarantee highest possible service level. Our key customers are all long-term partnerships with several years of  joint co-operations and constant improvement with Pynnönen International. We monitor and report our performance to customers daily. Personnel Pynnönen understands that the good personal relationships to the operative persons at the Customer’s organization are a vital factor for smooth and efficient co-operation.",Finland,4.814512,,,
Pääkaupunkiseudun Junakalusto Oy,4177305.0,"Finland, Uusimaa, Helsinki",https://www.linkedin.com/company/pääkaupunkiseudun-junakalusto-oy,www.junakalusto.fi,"Pääkaupunkiseudun Junakalusto Oy hankkii ja omistaa Helsingin seudun liikenteessä tarvittavan junakaluston. Junakalustoyhtiö vuokraa hankkimansa junat pitkäaikaisella vuokrasopimuksella Helsingin seudun liikenne -kuntayhtymälle, joka luovuttaa junat operaattorin käyttöön. Junakalustoyhtiön ydintehtävänä on hoitaa hankinnat ammattitaidolla ja tehokkaasti. Pitkäjänteinen hankintastrategia ja suuret toimituserät varmistavat sekä hankintaehdoiltaan että rahoitukseltaan kokonaistaloudellisesti parhaat ratkaisut. Junakalustoyhtiö kilpailuttaa junia ja niiden rahoitusta koskevat sopimukset.",Finland,4.177305,,,
Oy SNcargo Ltd,2909579.0,"Finland, Satakunta, Pori, 4 Konepajanranta, 28100",https://www.linkedin.com/company/sncargo,www.sncargo.com,"Oy SNcargo Ltd is privately owned logistics and forwarding company founded in 1996. We specialise in handling road, sea, rail and air transportation to and from Finland.  We are experts in international logistics and forwarding, offering cost effective solutions with first-class customer service. Our highly skilled team can offer you professional forwarding based on long experience.   A professional forwarding company is of invaluable assistance when making logistics decisions. Our expertise together with a global network of contacts fully acquainted with local conditions guarantee successful handling of international transport by road, ship, air and rail including customs formalities.  International transport and logistics have been our field of business for decades. The expertise, know-how and experience acquired over a long period enable us find a competitive solution to any transport and logistical needs. We have done it our business to know everything about forwarding - please contact us and we will be happy to help you!",Finland,2.909579,,,
