Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Trenitalia,5710172914.0,"Italy, Latium, Rome",https://www.linkedin.com/company/trenitalia,www.trenitalia.com,"Trenitalia, the Ferrovie dello Stato Group's company for the transportation of passengers and the provision of logistics services for goods, is one of Europe’s largest rail operators. Trenitalia's mission is to provide services, in a domestic and European context, able to satisfy demand for the mobility of travellers and the transportation of goods.",Italy,5710.172914,,,
Trenord,656712140.0,"Italy, Lombardy, Milan",https://www.linkedin.com/company/trenord,www.trenord.it,"Trenord is a prominent railway company operating in Lombardy, Italy, specializing in regional, suburban, and airport train services. Established in 2011 as a joint venture between Trenitalia and Ferrovie Nord Milano, Trenord is dedicated to enhancing mobility and sustainability across the region. The company operates an extensive network of over 2,200 daily train services, connecting major cities and towns, including direct routes to Malpensa Airport, and serving approximately 190 million passengers annually. Trenord's mission focuses on providing efficient, reliable, and accessible transportation solutions while promoting environmental responsibility and customer satisfaction. The company caters to a diverse clientele, including daily commuters, tourists, and individuals with disabilities, ensuring that all passengers can travel comfortably and conveniently. Trenord offers various ticketing options, including integrated tickets, season passes, and special concessions for families and seniors, making it easier for users to access its services. Collaborating closely with local authorities and transport agencies, Trenord aims to create seamless travel experiences and improve service quality across its network. Trenord is committed to sustainability, actively working to reduce its environmental impact through initiatives that align with the United Nations' Sustainable Development Goals. The company emphasizes modernizing its fleet and infrastructure, including the introduction of hydrogen-powered trains, to meet the evolving needs of its users. Trenord also engages in community support initiatives, partnering with local organizations to promote sustainable travel and enhance regional tourism. With a workforce of approximately 4,720 employees, Trenord fosters a culture of safety, health, and continuous improvement, striving to be a leader in the railway sector while contributing positively to the communities it serves. Through its innovative projects and commitment to operational excellence, Trenord aims to enhance the overall travel experience for all its passengers, positioning itself as a cornerstone of the Lombard mobility system.",Italy,656.71214,,,
EAV Ente Autonomo Volturno,572421018.0,"Italy, Campania, Naples, 387 Corso Garibaldi, 80142",https://www.linkedin.com/company/eav-ente-autonomo-volturno,www.eavsrl.it,"EAV Ente Autonomo Volturno is a public transportation company based in Campania, Italy, specializing in the operation of bus and rail services. The company is committed to modernizing its fleet, as evidenced by its recent acquisition of six new buses, bringing its total to 198 out of a planned 365 operational vehicles. EAV's mission focuses on enhancing public transport accessibility and sustainability, with future plans to introduce 150 additional buses, including 60 electric models, as part of a regional modernization initiative. The company serves a diverse clientele, including daily commuters and tourists, and collaborates with regional authorities to improve transportation infrastructure and services in the area. EAV aims to provide reliable and efficient transport solutions, contributing to the overall development of the region's mobility landscape.",Italy,572.421018,,,
Ferrovie Dello Stato Italiane S.p.A.,539192461.0,"Italy, Latium, Rome",https://www.linkedin.com/company/ferrovie-dello-stato-s-p-a,www.fsitaliane.it,"Ferrovie Dello Stato Italiane S.p.A. (FS Italiane) is Italy's primary railway company, responsible for managing and operating the national railway infrastructure and providing comprehensive passenger and freight transport services. Established in 1905, FS Italiane has played a pivotal role in shaping Italy's transportation landscape, focusing on enhancing mobility and connectivity across the country. The company's mission is to promote sustainable and efficient transport solutions while ensuring safety, comfort, and innovation in its operations. FS Italiane serves a diverse clientele, including individual passengers, businesses, and public institutions, and collaborates with various partners, including regional governments and international transport organizations, to improve service quality and expand its network. The company operates through several specialized subsidiaries, including Trenitalia for passenger services and Mercitalia for freight transport, allowing it to cater to a wide range of customer needs. FS Italiane is committed to sustainability, aiming for net-zero emissions by 2040 and actively investing in renewable energy and eco-friendly technologies. Its vision emphasizes the importance of integrating rail services with urban development, transforming railway stations into community hubs that enhance local economies and promote social inclusion. Through strategic initiatives and significant investments in infrastructure, FS Italiane seeks to lead the transition towards a greener transport system, contributing to the economic and social development of Italy. The company is dedicated to fostering a culture of safety and continuous improvement, ensuring high standards of service delivery while addressing the challenges of climate change and urbanization. With a workforce of over 96,000 employees, FS Italiane is positioned as a key player in the European transport sector, striving to enhance the overall travel experience for its users and support the sustainable development of the regions it serves.",Italy,539.192461,,,
TPER SPA,325810210.0,"Italy, Emilia-romagna, Bologna",https://www.linkedin.com/company/tper-spa,www.tper.it,"TPER S.p.A. is a leading public transport company based in Bologna, Italy, specializing in the organization and management of local public transportation services, including bus, rail, tram, and cable-car operations. Established in 2012 through the merger of ATC Trasporti and Fer Trasporti, TPER is dedicated to enhancing mobility solutions in the Emilia-Romagna region, particularly in urban areas like Bologna and Ferrara. The company's mission is to provide efficient, safe, and sustainable transport services that meet the diverse needs of its passengers while promoting environmental responsibility. TPER serves a wide range of clients, including local municipalities, regional authorities, daily commuters, tourists, and residents who rely on its services for their transportation needs. The company operates an extensive bus network with 324 lines and has seen significant ridership recovery, serving approximately 150.7 million passengers in 2023. TPER collaborates with various stakeholders, including Trenitalia and local authorities, to deliver integrated transport solutions and innovative mobility initiatives, such as electric vehicle sharing. With a strong commitment to quality and customer satisfaction, TPER continuously invests in fleet modernization and infrastructure improvements to enhance service delivery. The company operates under public service obligations, ensuring that transport services remain accessible and affordable, even in economically challenging situations. TPER's vision is to foster sustainable transport solutions that contribute positively to the quality of life and environmental conditions in the communities it serves. By integrating environmental, social, and governance (ESG) principles into its operations, TPER aims to address the evolving needs of urban mobility while ensuring a reliable and efficient transport network for all users. Through its strategic initiatives and partnerships, TPER S.p.A. plays a vital role in the development of regional transport infrastructure, positioning itself as a key player in the public transport sector in Italy.",Italy,325.81021,,,
AMT,243717110.0,"Italy, Liguria, Genoa",https://www.linkedin.com/company/amt-genova,www.amt.genova.it,"AMT is a public company owned by the Municipality of Genoa and the Metropolitan City, responsible for the planning, management, and commercialization of multimodal transport services (road, rail, cable, and maritime) within the metropolitan area of Genoa. The company is dedicated to implementing the Sustainable Mobility Plan and innovating transport solutions and technologies to enhance urban mobility. AMT aims to excel in its responsibilities, focusing on providing clean and orderly communities where waste is viewed as recoverable materials to be transformed and reintegrated into the production cycle sustainably. Its clientele includes local residents and businesses, while its partnerships extend to various public and private entities involved in urban development and environmental sustainability. The target market encompasses the entire metropolitan area, including over 30 municipalities in the Liguria region, reflecting AMT's commitment to regional and interregional circular economy initiatives.",Italy,243.71711,,,
Captrain Italia,234749388.0,"Italy, Milano, Assago, Viale Milanofiori Strada 3, 20090",https://www.linkedin.com/company/captrain-italia-srl,www.captrain.it,"Captrain Italia è la filiale italiana del Gruppo SNCF focalizzata sul trasporto ferroviario delle merci.  Il Gruppo SNCF, controllato dallo Stato francese, con 202.000 impiegati in 120 nazioni costituisce un punto di riferimento per la mobilità e la logistica a livello mondiale. Il Gruppo si focalizza su due importanti attività: Infrastruttura e Servizi. Captrain Italia si posiziona sul mercato nazionale ed internazionale proponendo soluzioni e servizi personalizzati per i traffici ferroviari merci, sia combinati che convenzionali. Nata in Italia nel 1998 come società di rappresentanza commerciale, Captrain Italia ha ottenuto la licenza ferroviaria ed il certificato di sicurezza nel 2006, divenendo la prima filiale del gruppo SNCF in Europa ad operare come impresa ferroviaria.  Captrain Italia costituisce un tassello importante nella rete europea del Gruppo che garantisce una copertura capillare ai Clienti internazionali. L’affidabilità dei traffici europei è favorita dell’utilizzo di locomotive interoperabili e da prestazioni logistiche svolte nel pieno rispetto della sicurezza delle persone, delle merci e dell’ambiente. Grazie alla presenza di un reticolo di unità locali in continuo sviluppo (tra cui Milano, Torino, Genova, Trieste, Ventimiglia, Modena, Verona, Pescara, Modane, Treviso), ad una flotta di vagoni e locomotive e soprattutto ad uno staff altamente specializzato e motivato, Captrain Italia offre soluzioni competitive a livello nazionale ed internazionale su tutti gli assi alpini.  Il centro logistico Cargo Docks di Modena, l’officina Tiber.co specializzata nella manutenzione del materiale rotabile ad Asti e la società di manovre Cargo Rail Italy completano il presidio della catena del valore al servizio dei Clienti.",Italy,234.749388,,,
Samer & Co. Shipping,199718460.0,"Italy, Friuli Venezia Giulia, Trieste",https://www.linkedin.com/company/samer-shipping-forwarding,www.samer.com,"Samer & Co. Shipping today is a leading company in shipping and forwarding, with over 600 employees and overseas companies in Albania, Bosnia and Herzegovina, Croatia, Hungary, Montenegro, Serbia, Slovakia, Slovenia, Turkiye.  Established back in 1919, it is headquartered in Trieste, whose port is known as the gateway to Europe, and offers services covering four business areas:  1. Ship agents & brokers for liner and tramp vessels, cruise ships, mega yachts, providing assistance to crew, vessel clearance, dry-docking operations, and acting as General Agents for the most important Mediterranean Sea Highway, connecting Europe and Turkey. 2. Port terminal operators in the Customs Free Port of Trieste, specializing in ro-ro vessels, intermodal trains, heavy lifts, project cargoes and reefer goods. 3. International freight forwarders: As FIATA and IATA agents, Samer provides turnkey solutions, from the sea/air/land freight, groupage, storage (general and reefer), to the door-to-door delivery, worldwide. It also specializes in heavy lifts and project cargoes, owns logistic warehouses and gives assistance as customs broker and providing cargo insurance.  4. Claims settling agents, Lloyd’s of London agents since 1932, P&I correspondents for the most prestigious clubs, performing surveys and inspections with own personnel.  P.I: IT00047110325",Italy,199.71846,,,
SETA S.p.A.,128096360.0,"Italy, Emilia-romagna, Modena",https://www.linkedin.com/company/seta-s.p.a.,www.setaweb.it,"SETA S.p.A. is a prominent public transport operator in Italy, specifically serving the provinces of Modena, Reggio Emilia, and Piacenza. Established on January 1, 2012, through the merger of several local transport companies, SETA has become a key player in the public transport sector, providing essential bus and trolleybus services to over 1.5 million residents across a territory of 7,565 square kilometers. The company's mission is to enhance the quality of life in the communities it serves by ensuring accessible, efficient, and environmentally sustainable transport solutions. SETA is committed to continuous improvement and innovation, investing significantly in fleet modernization and advanced technologies to enhance service quality and safety. The company serves a diverse clientele, including daily commuters, students, and individuals with disabilities, ensuring that public transport remains a viable and attractive option for all. SETA collaborates closely with local authorities and mobility agencies to align its services with regional needs, integrating its operations with regional rail networks for seamless travel. With a strong emphasis on sustainability, SETA has implemented eco-friendly practices, including the use of hydrogen and electric vehicles, to reduce carbon emissions and improve urban livability. SETA also prioritizes employee welfare and development, offering comprehensive training programs and initiatives to support social inclusion, particularly for marginalized groups. The company actively engages with local communities and partners, fostering job opportunities and promoting responsible public transport usage. Through its commitment to transparency, customer engagement, and corporate social responsibility, SETA aims to position itself as a leader in sustainable public transport solutions in the Emilia-Romagna region.",Italy,128.09636,,,
Gruppo Spinelli,116743760.0,"Italy, Liguria, Genoa",https://www.linkedin.com/company/gruppo-spinelli,www.gruppospinelli.com,"Il Gruppo Spinelli è dal 1963 sinonimo di logistica, grazie alla sua presenza diffusa e capillare su tutto il territorio nazionale. Le business units del Gruppo permettono di offrire servizi integrati che rispondono alle esigenze di tutta la filiera logistica: terminal portuale, trasporto intermodale, camionistico, warehousing, aree di deposito, riparazione, compravendita container ed operazioni doganali.  L’attività storica del Gruppo è quella del trasporto su gomma che si svolge nelle basi operative di Genova, Padova, Livorno, Milano (Arluno), La Spezia (Santo Stefano Magra) e Reggio Emilia (Dinazzano) e si avvale di oltre 600 mezzi di proprietà.  I centri intermodali di Reggio Emilia, Padova e Milano movimentano ogni anno circa treni che trasportano le merci verso i più importanti porti italiani: Genova, Livorno e La Spezia, dove sono localizzate altre strutture intermodali di proprietà.  La divisione GPT del Gruppo Spinelli opera nel Porto di Genova offrendo servizi di imbarco/sbarco di containers, ro-ro e merce varia e movimentando annualmente volumi superiori ai 500.000 TEUs. Le recenti acquisizioni di quote di Terminal Rinfuse Genova Srl e di Salerno Container Terminal-SCT S.p.a, hanno ulteriormente sviluppato la divisione terminal. La divisione Depositi offre attività di riparazione, deposito, movimentazione e compravendita containers. Tale attività è svolta in strutture presenti presso i terminal interni di Milano (Arluno), Reggio Emilia (Dinazzano), Vignole Borbera, La Spezia, Livorno e nel porto di Genova e di Genova Pra’-Voltri.  Centro Servizi Derna srl e Consorzio Genova Distripark di Prà-Voltri si occupano dell’attività di warehousing, trasporti convenzionali ed eccezionali, depositi nazionali doganali e merci varie, imballaggi industriali. Saimare S.p.A. opera nel settore delle spedizioni con una presenza diretta nei principali porti italiani, tra cui Genova, Savona Vado, La Spezia, Napoli, Livorno, Cagliari e Gioia Tauro.",Italy,116.74376,,,
