Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Vivi - Vienā Vilcienā,37286279.0,"Latvia, Riga, Riga, 8 Pērses Iela, lv-1011",https://www.linkedin.com/company/as-pasazieru-vilciens,www.vivi.lv,"AS ""Pasažieru vilciens"" under the brand ""Vivi"" is the only passenger-carrying railway company in Latvia, operating both electric and diesel trains on various lines throughout the country. It was formed in November 2001 by bringing together two separate companies, PPU ""Elektrovilciens"" and PPU ""Dīzeļvilciens"", under one name, creating the first subsidiary of Latvian Railways (Latvijas dzelzceļš). As of October 2008 JSC “Pasažieru vilciens” is an independent state-owned company. ""Vivi"" currently operates ten routes (four electric, six diesel) with its main operating base being the capital city Riga.",Latvia,37.286279,,,
Rail Baltica,15915898.0,"Latvia, Riga, Riga, 2b Satekles Iela, lv-1050",https://www.linkedin.com/company/10935963,www.railbaltica.org,"RB Rail AS is a multi-national joint venture of the Republics of Estonia, Latvia and Lithuania, which has been established to implement Rail Baltica – the first pan-Baltic infrastructure project of its kind. RB Rail is the central coordinator for the Rail Baltica project.",Latvia,15.915898,,,
FLC,15733350.0,Latvia,https://www.linkedin.com/company/flc-latvia-llc,www.flc-logistics.com,"FLC – An actively developing company from Latvia that offers multimodal logistic solutions (sea, land, rail and road) in Eurasia. Our company has a wide network of agents and partners around the globe, as well as its own warehouse complexes in Latvia.  Our employees have high professionalism, skill and experience. They always follow the principles of high responsibility and also use individual approach to each task. The team is continuously working on improving the efficiency of logistics solutions that they provide. Our main goal is to be a dynamic and efficient freight forwarding company whose experience, logistics solutions and their implementation ensure the most efficient and safe delivery of customer`s goods, striving to ensure that our customers are fully satisfied with the quality of our services.",Latvia,15.73335,,,
SIA Rigas Universalais Terminals,10121278.0,"Latvia, Riga, Riga, 27atlantijas Iela, lv-1015",https://www.linkedin.com/company/sia-rigas-universalais-terminals,www.ruterminal.lv,"Riga Universal Terminal (“RUT”) operates in the Port of Riga, Latvia's largest seaport ideally situated on the Baltic Sea to serve as a key crossroad for trade between the East and West. The Port serves regular liner services to major northern Europe ports and dedicated train services to Russia & other Central Asian countries. Founded in 2001, RUT today handles more than 2.5mil tons of cargoes annually and is a leading player in the handling of wood products and frozen food cargoes. RUT's multipurpose terminal operation also includes the loading & unloading of containers, bulk cargoes and general cargoes, cold storage and rail transport. The Terminal has certified quality, environment protection and working safety management system and complies with ISPS code regulations.",Latvia,10.121278,,,
DG Terminals,6922674.0,"Latvia, Liepāja, Liepāja, 33 Pulvera Iela, lv-3405",https://www.linkedin.com/company/dg-terminals,www.dgterminals.lv,"A fully independent (privately held) liquid bulk tank terminal founded in 2000. Part of Liepaja Special Economic Zone (LSEZ status since 2002) operating in the ice-free port of Liepaja, Latvia. Operational all year round 24/7. Handling liquid bulk products coming from: CIS; Baltic States; European Union and other regions. Key services: Transhipment and storage of crude oil, crude oil products and petrochemical products (including all types of heated products) as well as bio products; Product blending (and additive blending) in vessel / in shore tank; Testing of petroleum products (analysis and sampling); Water, salt and sediment separation; product drying (water removal);  Product Barrelling; cargo forwarding (also by rail); customs services (clearing of cargoes), bunkering; ship agency services; and other services.",Latvia,6.922674,,,
ELEVEN SIA,6330002.0,"Latvia, Riga, Riga, 100 K.valdemara, lv-1013",https://www.linkedin.com/company/eleven,www.eleven.lv,Land freight // Sea freight // Air freight // Rail freight // Heavy haulage // Warehousing Customs // Cargo insurance,Latvia,6.330002,,,
Beweship Latvia / BEWE RIX,3425465.0,"Latvia, Mārupes Novads, lv-2167",https://www.linkedin.com/company/beweship-latvia-bewe-rix,www.beweship.lv,"Beweship Latvia, Ltd. and BEWE RIX, Ltd. in territory of Latvia represents one of the biggest Finnish transportation companies – OY BEWESHIP AB.  In Finland - since 1957, in Latvia - since 1998. T R A N S P O R T We deliver your consignment to any country all over the world in the way you order: by land, by sea, by air or by rail.  3PL W A R E H O U S E / T E R M I N A L We take care of your cargo at our terminal and complete all necessary customs formalities. In our I-type warehouse we will collect the orders and distribute to the final customer. C U S T O M S Company SIA ""BEWE RIX"" has acquired the AEO status (Authorised Economic Operator - AEO) on year 2012.",Latvia,3.425465,,,
MCQ Holding,3369245.0,"Latvia, Riga, Riga, 28 107 Duntes Iela, lv-1005",https://www.linkedin.com/company/mcq-holding,www.mcqholding.eu,"MCQ Holding offers various services for shipowners, cargo holders, ship management and other maritime companies connected to the industry. The vast net of trustful partners, long history of good relationships with shipping lines, European ports authorities and other subcontractors allows us to find the best solution to our customers, both at home and abroad. MCQ top-performing team will make sure that you can feel safe in the knowledge that your shipment will be processed smoothly every time. Our services: • Cargo transportation - sea freight, airfreight, road, rail, dangerous goods (IMO), ro-ro, project cargo, oversized goods, removals • Customs brokerage - import, export, transit, EUR 1, TIR and ATA carnet execution • Value added services - Cargo insurance, survey  • Logistics - consolidation and collection of goods, warehousing, sorting, storage, export packaging, lashing & securing. Including customs, excise, and temperature-controlled warehouses. • Services to ship owners Member of Alfa Logistics Network & LTRK.",Latvia,3.369245,,,
ALPA Centrums,3068154.0,"Latvia, Riga, Riga, 1 Eglaines, lv-1057",https://www.linkedin.com/company/alpa-centrums,www.alpa.lv,"Established in 1993, ALPA Centrums is one of the leading international freight forwarders based in the Baltic States. For more than 20 years the company has been successfully forwarding a wide range of cargoes by rail, road, sea and air on behalf of customers in the CIS, EU and other countries. The company regularly organizes deliveries of more than 600 types of cargo from/ to various destinations around the world. ALPA Centrums’ headquarters is located in Riga (Latvia). The company has branches in Russia, Kazakhstan and Ukraine.  We provide the following services: - Develop optimal routes and organize freight transportation of various levels of complexity (including forwarding of heavy, oversize, dangerous, perishable and project cargoes) by rail and other modes of transport; - Send and receive import/ export and transit cargo with or without consolidation in the Baltic States; - Provide railway tariffs payment services; - Manage own and clients’ freight rail car fleets. ALPA Centrums is the co-founder and member of the Latvian National Association of Freight Forwarders (member of FIATA and IFWLA).",Latvia,3.068154,,,
SIA Rumina Un Co,2491724.0,"Latvia, Liepāja, Liepāja",https://www.linkedin.com/company/rumina-un-co,www.rumina.lv,"SIA Rumina Un Co was founded in 1992. It has exponentially grew throughout several years and expanded connections and client base.  For number of years it is connecting companies from all around the world via road, rail, water and air. It is now officially established as International Multimodal Transportation company.",Latvia,2.491724,,,
RIGA PORT GROUP JSC,1805000.0,"Latvia, Riga, Riga, 15 K-1 Eksporta Iela, lv-1045",https://www.linkedin.com/company/rigaportterminal,www.rigaport.lv,"Riga Port Group JSC is the leading private operator, developer and investor of port assets and rail-related services in Latvia.  Since 2005, Riga Port Group JSC has been providing stevedoring services, rail freight forwarding services, infrastructure, and utilities management at its port terminals, employing more than 500 professionals. The convenient and easily accessible location of holding Riga Port Group terminals, land and sea connectivity are the reasons to choose our services.",Latvia,1.805,,,
Lazarus,1776627.0,"Latvia, Riga, Riga",https://www.linkedin.com/company/lazaruslv,lazarus.lv,"At Lazarus, we boast a decade of industry expertise, specializing in efficient cargo transportation from Europe, China, and the USA to the Baltics and Central Asia. We offer versatile delivery options, including road, sea, air, and rail. Our key benefits: 1. Insured liability: Our freight forwarder’s civil liability is insured for 200,000 euros, providing coverage for losses in cases of force majeure. 2. Unique routes: Developing routes with careful consideration of weather conditions and road quality ensures the safe and timely transport of your goods. 3. Full suite of services: We alleviate your operational burden and cost concerns by offering turnkey procurement, delivery, and customs clearance services. 4. Constant support: Our team of experts is dedicated to providing real-time information on cargo location and addressing any queries you may have. Experience seamless, reliable, and comprehensive cargo solutions with Lazarus. Your satisfaction is our priority.",Latvia,1.776627,,,
