Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
ECT Rotterdam,3202996893.0,"Netherlands, South Holland, Rotterdam",https://www.linkedin.com/company/ect,www.ect.nl,"Hutchison Ports ECT Rotterdam is one of the leading and most advanced container terminal operator in Europe. The company handles a majority of the containers at the port of Rotterdam. ECT operates two terminals to this extent: the Hutchison Ports ECT Delta and the Hutchison Ports ECT Euromax at the Maasvlakte (directly on the North Sea).   European Gateway Services is a part of ECT Rotterdam, and offers its clients an extended network of inland terminals and extended gates that are connected to the deepsea terminals in Rotterdam through high-frequency rail and inland shipping services. Extra services are added to these efficient connections, especially in the area of customs clearance.",Netherlands,3202.996893,,,
Hanzevast,2741439400.0,"Netherlands, Groningen, Groningen",https://www.linkedin.com/company/hanzevast,www.hanzevast.nl,"Hanzevast is een toonaangevende speler in de scheepvaartsector, actief sinds 1999, met een focus op het faciliteren van internationale handel over zee via haar wereldwijd opererende rederij, Hanzevast Shipping. Het bedrijf biedt een breed scala aan diensten, waaronder de inkoop, exploitatie en verkoop van schepen, en het commercieel, operationeel en technisch beheer van schepen in haar scheepsfondsen. Hanzevast heeft meer dan 25 jaar ervaring in het beheren van investeringsfondsen, met een indrukwekkend totaal van € 3,4 miljard aan vastgoedfondsen en € 600 miljoen in scheepvaartfondsen. De missie van Hanzevast is om integriteit, transparantie en klanttevredenheid te waarborgen, terwijl het zich richt op duurzame investeringen en het creëren van waarde voor haar klanten. De klanten van Hanzevast omvatten zowel particuliere als institutionele beleggers die op zoek zijn naar stabiele rendementen in de scheepvaart- en vastgoedmarkten.",Netherlands,2741.4394,,,
Nederlandse Spoorwegen,2557910340.0,"Netherlands, North Brabant, Uden",https://www.linkedin.com/company/nederlandsespoorwegen,www.werkenbijns.nl,"NS is de Nederlandse spoorwegmaatschappij die zich richt op het aanbieden van betrouwbare en comfortabele treinreizen voor zowel binnenlandse als internationale reizigers. De missie van NS is om het openbaar vervoer toegankelijk en aantrekkelijk te maken, met een sterke focus op klanttevredenheid en duurzaamheid. Het bedrijf streeft ernaar om een veilige en schone reiservaring te bieden, hoewel er in de afgelopen jaren kritiek is geuit op de netheid en onderhoud van de treinen. NS bedient een breed scala aan klanten, waaronder dagelijkse forenzen, toeristen en zakelijke reizigers, en werkt samen met verschillende partners in de vervoerssector om een geïntegreerd mobiliteitsaanbod te creëren. De focus ligt op het verbeteren van de dienstverlening en het verhogen van de klanttevredenheid, terwijl het bedrijf ook rekening houdt met de financiële uitdagingen en beleidskeuzes die de spoorsector beïnvloeden.",Netherlands,2557.91034,,,
Arriva Nederland,2324960048.0,"Netherlands, Friesland, Heerenveen",https://www.linkedin.com/company/arriva-nederland,werkenbij.arriva.nl,"Arriva Nederland is een toonaangevende speler in de openbaarvervoersector, die zich richt op het bieden van duurzaam en innovatief vervoer. Met een sterke focus op de ontwikkeling van talent, biedt het bedrijf diverse stage- en afstudeermogelijkheden aan studenten van verschillende opleidingen, waarbij persoonlijke begeleiding en een leertraject centraal staan. Arriva streeft ernaar om een positieve impact te maken op de samenleving door maatschappelijk verantwoord te ondernemen, met initiatieven die kansen bieden aan mensen met een afstand tot de arbeidsmarkt. Het bedrijf werkt samen met verschillende partners en organisaties om zijn doelen te bereiken, waaronder het verminderen van CO2-uitstoot en het verbeteren van de duurzaamheid van zijn operaties. Arriva's missie is om een groen hart te hebben en bij te dragen aan een betere wereld, wat ook weerspiegeld wordt in hun hoge scores op de CO2- en MVO-prestatieladders.",Netherlands,2324.960048,,,
Connexxion,1954932586.0,"Netherlands, North Holland, Hilversum",https://www.linkedin.com/company/connexxion,www.connexxion.nl,"Connexxion wil de beste keuze zijn op het gebied van regionaal personenvervoer in Nederland.  Met zorg brengen wij mensen op hun bestemming met toegankelijk, duurzaam en veilig vervoer! Wij willen mobiliteit voor iedereen toegankelijk en beschikbaar houden. Want wij geloven dat mobiliteit essentieel is in ieders leven. Het verbindt je met de wereld om je heen en geeft je de vrijheid om te gaan en staan waar je wilt. Met onze innovatieve diensten bieden wij comfort en gemak afgestemd op individuele behoeften.  Binnen Connexxion leveren wij de volgende diensten: •	Connexxion Openbaar Vervoer verzorgt dagelijks het vervoer per bus in diverse regio’s en per trein over vier regionale lijnen.  •	Connexxion Taxi verzorgt, verspreid over heel Nederland, het taxivervoer voor speciale doelgroepen, zoals leerlingen in het bijzonder onderwijs en gebruikers van het wmo-vervoer. Ook Schiphol Taxi en business taxi zijn diensten die Connexxion Taxi levert. Connexxion maakt, samen met Witte Kruis, onderdeel uit van Transdev. Transdev is een wereldwijde speler op het gebied van personenvervoer en zorg.",Netherlands,1954.932586,,,
Keolis Nederland,833294330.0,"Netherlands, Overijssel, Deventer",https://www.linkedin.com/company/keolisnederland,www.keolis.nl,"Keolis Nederland verzorgt openbaar vervoer in Almere, Utrecht en op de treintrajecten Amersfoort - Ede-Wageningen, Zwolle - Enschede en Zwolle - Kampen. Dat doen we met ongeveer 1100 medewerkers, 250 bussen en 23 treinen. Onze klanten zijn onze gasten. We brengen hen graag ontspannen en veilig naar hun bestemming. Onze ambitie is om (on)gewoon goed te zijn. In het bieden van een veilige reis, up-to-date informatie en een chauffeur die optreedt als perfecte gastheer of gastvrouw. Daarnaast investeert Keolis in goed werkgeverschap (PSO trede 2, certificaat Gender Equality). Keolis hecht grote waarde aan integriteit, veiligheid en duurzaamheid. In Gelderland en Overijssel lanceerden we de grootste e-vloot van Europa in één keer. Keolis Nederland is een 100% dochteronderneming van de wereldwijde opererende mobiliteitsonderneming Keolis. Ieder jaar vervoeren we met 68.000 medewerkers bijna 3,5 miljard reizigers in 13 landen.  Feiten en cijfers  Hoofdkantoor: Deventer. Vestigingen: Almere Buiten, Almere Haven, Amersfoort, Bunnik, Ede, Enschede, Hengelo, Mijdrecht, Montfoort, Zwolle. Medewerkers: 1100  Bussen: 450  Treinen: 23  Spoor: 115 km  Reizigers (2023): 44 miljoen",Netherlands,833.29433,,,
NS International,709322683.0,"Netherlands, North Holland, Amsterdam",https://www.linkedin.com/company/nsinternational,www.nsinternational.com,"NS International is a leading provider of international train travel services, connecting travelers from the Netherlands to various European destinations, including Belgium, France, Germany, and beyond. The company aims to make train travel easy, comfortable, and sustainable, offering a range of services such as online ticket booking, customer support, and travel information. With a focus on enhancing the travel experience, NS International partners with various rail operators, including Eurostar, TGV, and Intercity, to provide seamless connections and a variety of travel options. Its target market includes leisure travelers, families, and business professionals seeking efficient and eco-friendly transportation solutions across Europe. By prioritizing customer satisfaction and accessibility, NS International strives to be the preferred choice for international rail travel.",Netherlands,709.322683,,,
RET,572299300.0,"Netherlands, South Holland, Rotterdam",https://www.linkedin.com/company/ret,www.werkenbijderet.nl,"Public Transport Company in the region of Rotterdam. RET offers metro, light rail, tram, bus and ferry services in the Rotterdam metropolitan area. Over 600.000 passengers on a daily base. RET is responsible for operation as well as maintaining infrastructure.",Netherlands,572.2993,,,
AutoAfleveren.nl,461969865.0,"Netherlands, Overijssel, Holten, Dorpsstraat, 7451bv",https://www.linkedin.com/company/autoafleveren-nl,www.autoafleveren.nl,"Wegens het gebrek aan aandacht bij het afleveren van een (nieuwe) auto, is AutoAfleveren.nl in het leven geroepen. Middels de aanwezige kennis en ervaring in de automotive die deze ondernemers en medewerkers hebben, is AutoAfleveren.nl gericht op zowel het vervoeren van de auto richting de nieuwe berijder en/of klant, als ook de totale aflevering die daarbij hoort. Waar menig bedrijf zich enkel richt op het transporteren van de (nieuwe) auto, richt AutoAfleveren.nl zich op het totaalplaatje. Wij verzorgen het transport van A naar B en geven vervolgens een gedegen instructie over de auto. Wij vormen hét visitekaartje van uw bedrijf bij zowel het transport en de aflevering van de (nieuwe) auto. Bent u benieuwd wat wij voor u kunnen betekenen? Vraag dan vrijblijvend informatie op en wij vertellen u graag waarom u gebruik kunt maken van de kwalitatief hoogwaardige diensten van AutoAfleveren.nl.",Netherlands,461.969865,,,
Bakker Logistiek Groep,449139004.0,"Netherlands, Flevoland, Zeewolde",https://www.linkedin.com/company/bakker-logistiek-groep,www.bakker-logistiek.nl,De Bakker Logistiek Groep is een onderdeel van de ruim 100 jaar jonge Bakker Groep. Naast logistiek houdt de Bakker Groep zich bezig met bedrijfswagens en vastgoed. Met 4 vestigingen in midden Nederland is 'bedrijfswagens' één van de grotere dealers van het merk DAF. De Bakker Logistiek Groep is een prominente speler op de markt van gespecialiseerde logistieke dienstverlening. De omzet van circa 150 miljoen Euro wordt gerealiseerd met ruim 1200 personeelsleden. De Bakker Groep bestaat uit: Bakker Transport Bakker Logistiek Bakker Bedrijfswagens Becker Logistiek Broersma Logistiek Huybregts Logistiek,Netherlands,449.139004,,,
