Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
AMT - Mobility And Transport Authority,348918530.0,"Portugal, Lisbon, Lisbon",https://www.linkedin.com/company/amt-autoridade,www.amt-autoridade.pt,"The Mobility and Transport Authority is an Independent Economic Regulator that operates throughout the national territory. Its mission is to regulate and supervise the mobility and transport sector for land, river, rail, and their respective infrastructures, as well as the economic activities in the commercial ports and maritime transport sector, considered services of general economic interest and network-based activities. This is achieved through its powers of regulation, supervision, inspection, and sanctions, with responsibilities regarding the protection of consumer rights and interests, and the promotion and defense of competition in the private, public, cooperative, and social sectors, according to these statutes and other legal instruments. The activities of the AMT impact the lives of citizens and businesses. Its action is directed at operators of railway, road, maritime, river, port, and logistics services and infrastructures, encompassing the transport of passengers and goods. The AMT promotes more efficient, safer, decarbonized, digital, accessible, non-competitive, and more sustainable mobility, building a better and more inclusive mobility and transport system and market for all citizens and businesses.",Portugal,348.91853,,,
CP - Comboios De Portugal EPE,294015870.0,"Portugal, Lisbon, Lisbon",https://www.linkedin.com/company/comboios-de-portugal,www.cp.pt,"CP - Comboios de Portugal E.P.E. is the national railway operator in Portugal, dedicated to providing essential passenger and freight transport services across the country. The company operates under a public enterprise model, wholly owned by the Portuguese state, and aims to enhance mobility and connectivity while ensuring safety, efficiency, and sustainability in its operations. CP's mission focuses on delivering high-quality rail services that meet the diverse needs of its clientele, which includes daily commuters, tourists, and businesses. The company is committed to modernizing its fleet and infrastructure, with significant investments directed towards improving service quality and operational efficiency. In 2023, CP transported approximately 173.3 million passengers, reflecting a growing trust in its services and a significant recovery in demand post-pandemic. The company collaborates with various partners, including government entities, local municipalities, and other transport operators, to enhance service delivery and promote sustainable transport solutions. CP's target market encompasses urban, regional, and intercity travelers, highlighting its role as a key player in Portugal's transportation landscape. With a vision to foster integrated mobility that is simple, personal, and environmentally friendly, CP has introduced innovative offerings such as the Green Rail Pass, aimed at promoting accessible and affordable travel. The company is also focused on environmental sustainability, aiming for carbon neutrality by 2050 and actively engaging in initiatives that reduce its ecological footprint. Through continuous improvement and innovation, CP strives to meet the evolving needs of its users while contributing positively to the communities it serves and the broader goals of decarbonization and urban mobility.",Portugal,294.01587,,,
Captrain Portugal,89404067.0,Portugal,https://www.linkedin.com/company/captrain-portugal,www.captrain.pt,"Captrain Portugal S.A., originally called Takargo, appears as the first Portuguese private operator in rail freight transport. It is committed to implement a culture of excellence focused on customer satisfaction, valuing employees, complying with safety rules, and following good environmental practices.",Portugal,89.404067,,,
KLOG Transport Solutions,79209222.0,"Portugal, Porto, Maia",https://www.linkedin.com/company/klogtransportsolutions,www.klog.pt,"Presente nos cinco continentes, em mais de 120 países, a KLOG Logística é uma empresa cem por cento nacional, a operar no setor da logística e transporte há 11 anos. Com uma rede de três agências, com 200 colaboradores, no mercado nacional e uma vasta rede internacional de parceiros e agentes, a KLOG garante soluções globais, integradas e personalizadas, atuando em diferentes segmentos: terrestre, marítimo, aéreo, multimodal (short sea e rail) e logística contratual. Depois de, em 2022, ter atingido uma faturação que ultrapassou a barreira dos 100 milhões de euros, a empresa está focada num futuro cada vez mais sustentável, reforçando a aposta nas soluções intermodais. Ao apostar em parcerias com operadores de referência a nível internacional, a KLOG oferece cada vez mais possibilidades de transporte intermodal – em particular por via marítima e ferroviária –, garantindo soluções de transporte mais vantajosas em termos de tempo, custo e, acima de tudo, ambientalmente mais verdes -- KLOG is a Portuguese company, that operates in in the logistics and transport sector for ten years, in more than 120 countries on the five continents. With 200 employees in the national market and an international network of partners and agents, KLOG ensures global, integrated and customized solutions, operating in different segments: land, sea, air, multimodal (short sea and rail) and contractual logistics.  After reaching a turnover of over 100 million euros in 2022, the company is focused on an increasingly sustainable future, reinforcing its commitment to intermodal solutions. Promoting more partnerships with international operators, KLOG aims to offer more possibilities for intermodal transport – by sea and rail –, ensuring better transport solutions in timing and costs, as well as environmentally friendly.",Portugal,79.209222,,,
STECONFER,21251941.0,"Portugal, Santarém, Santarém, Km 46,5 Estrada Nacional 3, 2000-531",https://www.linkedin.com/company/10921386,www.steconfer.com,"Steconfer is a global rail infrastructure specialist, with a team of specialized engineers, technicians and operatives working closely with several railway authorities and operators for more than two decades. We provide global rail infrastructure solutions generating value to our stakeholders, embracing a social and environmental commitment, improving living conditions in the communities we operate in. Steconfer's market segments are Metro, Light Rail and Ultra-Light Rail, Heavy Haul, Conventional Lines, High-Speed Lines and Depots. We Rail your Way!",Portugal,21.251941,,,
Fertagus,9581583.0,"Portugal, Setúbal, Setúbal",https://www.linkedin.com/company/fertagus-travessia-do-tejo-transportes-s-a,www.fertagus.pt,"Fertagus is a transportation company that operates a rail service connecting Lisbon to Setúbal, providing efficient and reliable transit options for commuters and travelers. The company's mission focuses on delivering high-quality transportation solutions while prioritizing sustainability and customer satisfaction. Fertagus aims to enhance the travel experience through various services, including accessibility options, group travel arrangements, and the transportation of bicycles and pets. Its target market includes daily commuters, tourists, and local residents, while its partnerships with local businesses and organizations further enrich its service offerings. With a commitment to environmental responsibility and social accountability, Fertagus strives to contribute positively to the communities it serves.",Portugal,9.581583,,,
TMIP,7985339.0,"Portugal, Coimbra, Coimbra, 3130-080",https://www.linkedin.com/company/tmip,www.tmip.pt,"We are a young company (founded at the end of 2010), run by professionals with recognised and qualified experience in the logistics field. Our mission is to provide logistics services, based around quality and efficiency, worthy of the company and all our staff and stakeholders. We primarily use rail transport (we have agreements with Renfe and CPCarga), road transport (we organise road transport throughout the European community) and sea transport (we use partnerships with shipping agents and port operators). Our company is able to offer the means of transport best suited to your needs, to anywhere in Europe or Portuguese-speaking Africa. We aim to give our clients the greatest satisfaction possible, with integrated logistics services, since by optimising the transport of goods we can provide the best cost/efficiency ratio. We always get the best solutions for our clients' needs. We provide sustainable and efficient logistics solutions, while always respecting the environment. TMIP constantly seeks excellence and, as a result, has established itself as a partner for a wide range of renowned companies, from fields such as: metalwork, glass, paper and vehicle parts. Companies whose goal is excellence, which shows the efficient way in which we have met their demanding standards.",Portugal,7.985339,,,
KOTNIZ PORTUGAL,2389914.0,"Portugal, Viana Do Castelo, Valenza, Lote Parque Empresarial De Valenca, 4930-311",https://www.linkedin.com/company/kotniz-portugal,www.kotniz.eu,"Kotniz Portugal is producing all type of parts made from stainless steel and door systems for marine industry,.  Handrails, Bow rails, Stern rails, fuel tanks.",Portugal,2.389914,,,
Aero Club De Portugal,1888002.0,"Portugal, Lisbon, Lisbon",https://www.linkedin.com/company/aero-club-de-portugal,www.aecp.pt,"The Portuguese Aero Club is a centenary institution, pioneer of aviation in Portugal. We are active members of FAI since 1913. Our mission is to train pilots and share the passion for flying with the Portuguese population. Safety is paramount and we take great pride in the quality of our training. Do you dream of flying? We make it come true.",Portugal,1.888002,,,
FRS Portugal,4177305.0,"Portugal, Lisbon, Lisbon, Terreiro Do Paço, 1100-038",https://www.linkedin.com/company/frs-portugal,www.frs-portugal.pt,"Welcome to FRS, your experienced ferry shipping company for boat trips on the Tagus River in Lisbon, Portugal. Enjoy our relaxing river cruises in our modern convertible vessel under the open sky.",Portugal,4.177305,,,
Administração Do Porto De Lisboa,319009968.0,"Portugal, Lisbon, Lisbon",https://www.linkedin.com/company/administra-o-do-porto-de-lisboa,www.portodelisboa.pt,"Administração Do Porto De Lisboa (APL) is the governing body responsible for the management and development of the Port of Lisbon, a key maritime hub in Portugal. The organization is dedicated to enhancing the port's operational efficiency while prioritizing sustainability and environmental stewardship. APL's mission is to align with the highest ecological standards in the maritime industry, as evidenced by its collaboration with luxury cruise lines like Explora Journeys, which emphasizes a commitment to reducing carbon footprints and promoting energy transition. The port serves a diverse clientele, including cruise operators, shipping companies, and tourism stakeholders, positioning itself as a premier destination for luxury cruises and contributing significantly to the local economy. Through strategic partnerships and a focus on innovation, APL aims to reinforce Lisbon's status as a leading port of call while fostering sustainable practices within the maritime sector.",Portugal,319.009968,,,
Atlânticoline S.A.,11655490.0,"Portugal, Horta, 31 Rua Conselheiro Miguel Da Silveira, 9900-114",https://www.linkedin.com/company/atlanticoline,www.atlanticoline.pt,"Empresa de transporte marítimo de passageiros e viaturas na Região Autónoma dos Açores, sediada na Horta, ilha do Faial.  Mantém uma frota de quatro navios (Gilberto Mariano, Mestre Jaime Feijó, Cruzeiro das Ilhas e Cruzeiro do Canal) e uma embarcação (ARIEL).  Possui 6 linhas com diferentes itinerários, a saber:  - Azul: Horta - Madalena; - Verde: Horta - Madalena ou São Roque - Velas; - Rosa: Vila do Corvo - Santa Cruz das Flores; - Lilás: Horta - Madalena - Calheta - Angra do Heroísmo; - Branca: Horta - São Roque - Velas - Vila da Praia - Praia da Vitória; - Laranja: Velas - São Roque. A nossa missão é assegurar um serviço de transporte marítimo de pessoas e veículos, com segurança e fiabilidade, contribuindo para o desenvolvimento económico e social dos Açores enquanto região e de cada uma das suas ilhas em particular.",Portugal,11.65549,,,
Madeira Travel,8127642.0,"Portugal, Madeira, Funchal, Caminho Da Penteada N71, 9020-105",https://www.linkedin.com/company/madeira-travel,madeiratraveltaxi.com,"Welcome to Madeira Travel Taxi. Book now our Taxi Service, private Tour or Cruise Trip around the island. Our professional drivers speak English, Spanish, German and French. We look forward to your reservation and welcome your arrival.",Portugal,8.127642,,,
Lisbon Cruise Port Lda,7212732.0,"Portugal, Lisbon, Lisbon, 1900-264",https://www.linkedin.com/company/lct---lisbon-cruise-terminals,www.lisboncruiseport.pt,"LCP is a privately owned company that since the 26th of August operates the arrival of cruise ships at the Port of Lisbon. With the concession of the cruise ship terminal operation, a new terminal has been built and entered into full operation in the second semester of 2017. As a contemporary interpretation of the vibrant lifestyle of Lisbon. On floor space of some 13,000 sq. meters the terminal houses the full representations of the competent authorities, as well as tourist services, shops and food and beverage services for the comfort of all visitors and passengers. Flexibility and affordability of the operations were one of the criteria for the design of the building, so that it can grow in terms of visits and cruise passengers. The new facility is served by a pier of 1,425 meters long with a multi-length ship capacity for ships with a draft up to 12 meters.",Portugal,7.212732,,,
Meridian4People - Portugal & Spain,6815848.0,"Portugal, Porto, Maia, 505 Rua Augusto Simões, 4470-147",https://www.linkedin.com/company/meridian4people-portugal,www.meridian4people.pt,"Empresa de Transporte e Turismo em Portugal, especializada em tours privados ou partilhados, bem como cruzeiros privados em iates no Rio Douro.",Portugal,6.815848,,,
