Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Unicom Tranzit,122937912.0,"Romania, Ilfov, Voluntari, Bd. Pipera Nr. 1-ia Et. 3-5, 077190",https://www.linkedin.com/company/unicom-tranzit-sa,unicom-group.ro,"Unicom Tranzit is one of the top 3 private rail freight carriers and forwarders operating in Romania since 1994. We are part of the Unicom Group. The company’s philosophy is based on the following principles: • our clients are treated as partners and we are aware that our success depends on their success; • we try to attract and train people who want to excel and are able to capitalize on our material resources and to value especially themselves; • we maintain a fleet of performant and diversified rolling stock, capable of efficiently meeting the requirements of rail transport. As mentioned before, one of the strengths of our company is the competence of our team. This is made up of positive, intelligent people, keen to continuously improve the way we work and find the best solutions for our clients. Their training allows us to offer superior quality services that we strive to improve on a permanent basis. We want to distinguish ourselves through the consistency with which we fulfill our commitments to our customers. We act on the principle that every customer is entitled to have the following expectations from us: • to carry out in a timely and safe manner the engaged services; • to maintain a relationship based on trust and transparency, fully informing the customer about any problem that has arisen and promptly acting to solve it; • to learn from and adapt to our customer's requirements in order to help our customer optimize his business and logistics processes; • to efficiently manage our resources and support our customer in his effort to be as competitive as possible on the market. The rail transport system can be viewed as a vascular system of the modern economy. Its role is to bring the necessary resources to the right place at the right time. In this system, our company represents several arteries that, when we fulfill our mission, the parts that depend on us (our customers and partners) grow, develop and thus we thrive together.",Romania,122.937912,,,
Societatea De Transport București STB S.A.,46006595.0,"Romania, Bucureşti, Bucharest, Nr. 1 Bulevardul Dinicu Golescu",https://www.linkedin.com/company/societatea-de-transport-bucurești-stb-s-a,www.stb.ro,"With over 150 years of experience, Societatea de Transport Bucharest STB S.A. is the largest operator of public surface transport in Romania and also the main operator of public surface transport in the Municipality of Bucharest and Ilfov County, having one of the most extensive transport networks in Europe, with a route length of 1651 km double track . As the main transport operator, STB SA is able to meet the various mobility needs of citizens through a wide range of transport services provided with a fleet of approximately 2000 vehicles (buses, trolleybuses and trams), in recent years investments have been made major both in the renewal of the inclusive fleet with hybrid buses, and in the adoption of modern, digitized payment and information solutions aimed at increasing the quality of the transport services offered. The tariff offer was made more flexible by implementing the concept of metropolitan lines (which brings together all urban, regional and express lines), as well as by applying the time tariff, creating several types of subscriptions and integrating the tariff offer with that of Metrorex, but also with the train in within a pilot project implemented on the Bucharest - Otopeni link. To pay for travel, STB S.A. uses a modern charging system, based on contactless card technology. Also, payment for the trip can be made via SMS, through the 24Pay mobile application, as well as with the contactless bank card. At the same time, to improve the travel experience, STB S.A. made the InfoTB app available to users for real-time travel planning, including information on metro connections. The mission of STB S.A. is to provide surface urban public transport services for the citizens of the Capital, guided by sustainability criteria, contributing to a development that responds to mobility needs in a dynamic continuum.",Romania,46.006595,,,
Europrim Group,32712722.0,"Romania, Bucureşti, Bucharest, 92-96 Izvor Street, 050562",https://www.linkedin.com/company/europrim-shipping,www.europrim.ro,"Europrim Group este mai mult decât o casă de expediții. Din 2005 ne poziționăm printre cei mai importanți furnizori de servicii logistice si de transport din România, oferind clienților noștri servicii de calitate, rapide și eficiente, la prețuri competitive. Parteneriatele strategice cu elita transportatorilor naționali și internaționali susțin misiunea grupului de a asigura servicii logistice personalizate, oriunde pe glob. De la transport rutier, feroviar, maritim și aerian ori intermodal, până la comisionariat vamal și depozitare, aducem calitatea, siguranța și fiabilitatea la un nivel și mai înalt prin certificările și distincțiile obținute de-a lungul anilor de experiență în industrie: suntem membri certificați IATA, FIATA și TIACA, agent exclusiv United Shipping, Inc. pentru România și Bulgaria, membri Cargo Partner Network, Largo+ și GLA. Și totul datorită culturii organizaționale sănătoase, echipelor unite și procedurilor de lucru bine puse la punct. ----------------------------------------------------- Europrim Group is more than a freight forwarder. Since 2005 we have been one of the leading providers of logistics and transport services in Romania, offering our customers quality, fast and efficient services at competitive prices. Strategic partnerships with elite national and international carriers support the Group's mission to provide customized logistics services anywhere in the world. From road, rail, sea, air and intermodal transport, to customs brokerage and warehousing, we bring quality, safety and reliability to an even higher level through certifications and distinctions earned over the years of experience in the industry: we are IATA, FIATA and TIACA certified members, United Shipping, Inc. exclusive agent for Romania and Bulgaria, Cargo Partner Network, Largo+ and GLA members. And it's all thanks to our healthy organisational culture, close-knit teams and well-developed working procedures.",Romania,32.712722,,,
CER Fersped,18495084.0,"Romania, Bucureşti, Bucharest, 241a Strada Barbu Vacarescu, 020276",https://www.linkedin.com/company/cer-fersped,www.cerfersped.ro,"Compania functioneaza ca operator privat de transport marfa pe calea ferata din anul 2004, in baza licentei nr.06/2007, in conformitate cu Certificatul de Sigurata, eliberat de ASFR. Compania are ca principal client deservit Grupul EP Rail. Serviciile de transport oferite acopera un numar mare de relatii din reteaua feroviara din Romania si este in continua expansiune. Aceste servicii sunt prestate cu un parc de locomotive propriu, in conformitate cu Certificatul de Sigurata, eliberat de ASFR. Compania are Conventii de colaborare cu operatori feroviari pentru transportul de marfa din Bulgaria, Ungaria, Ukraina si Serbia. Dispunem de vagoane specializate apte de incarcare marfuri pentru Clientii Nostrii este reprezentata de containere, petrol, ingrasaminte, material lemnos, fier vechi, otel profil.",Romania,18.495084,,,
Vest Trans Rail,11967407.0,"Romania, Prahova, Ploieşti, Nr. 119 Str. Mircea Cel Batran, 100426",https://www.linkedin.com/company/vest-trans-rail,www.vesttransrail.ro,"Vest Trans Rail ensures availability, professionalism and trust in relationship with its partners both, for national and international transports, doing transport on public and private infrastructure of Romania. Vest Trans Rail offers a full range of services in rail freight forwarding and also other related services with railway transport of goods, including detailed analysis and advice in order to propose its clients the best transport solutions. Vest Trans Rail asigura disponibilitate, profesionalism si incredere in relatia cu partenerii sai, atat pentru transporturi nationale, cat si internationale, realizand transporturi pe infrastructura publica si privata din Romania. Vest Trans Rail ofera o gama variata de servicii in domeniul expeditiilor feroviare de marfuri, precum si alte servicii conexe acestuia, cum ar fi analize detaliate si consiliere, cu scopul de a propune clientilor sai cele mai bune solutii de transport.",Romania,11.967407,,,
Eastride,11328012.0,"Romania, Cluj, Cluj-napoca, Nr. 1 Str. Albert Einstein, 400001",https://www.linkedin.com/company/eastride,www.eastride.ro,"The time has come to reclaim our cities. We are Eastride and we believe that there is an urgent need for sustainable urban logistics. We aim to make our cities cleaner, safer and more accessible. We are revolutionizing the on-demand and last-mile delivery logistics by providing eco-friendly and innovative solutions for businesses. We offer solutions for moving goods around the city using only bicycles, e-bikes and e-scooters. Food-delivery platforms As a third-party we can completely take over the delivery logistics of your platform. We can recruit, train and organize couriers, who are all branded with your colors and logo.  Restaurant delivery If your restaurant is facing problems with delivery or you’re having trouble finding the right delivery human resources, we are here to help. We can provide dedicated and well-trained couriers to deliver your delicious food.  E-Fleet Rental Courier solution: Based on many years of experience, we designed the ideal e-bike and e-scooter dedicated for delivery. Reduce your delivery time and ride flawlessly through traffic with our rental e-bikes and e-scooters (mopeds). Less pedalling effort means you can go for longer and earn more money! Business solution: Rent a whole fleet of e-scooters and e-bikes for your delivery couriers. Sooner or later diesel vehicles will be restricted in the city-centers and we can help you with our e-fleet solution.",Romania,11.328012,,,
TTS S.A.,8178022.0,"Romania, Bucureşti, Bucharest, Nr. 27 Str. Vaselor, 021253",https://www.linkedin.com/company/transport-trade-services,ro.tts-group.ro,"Transport Trade Services (the TTS Group or the Group) is one of the largest inland water freight carriers in the Danube basin and is composed of 16 companies. The Group owns the largest river fleet in the Danube basin, with a capacity of more than 800 thousand tons, floating cranes, as well as port terminals in Constanta and in 7 Danube river ports. TTS offers 3PL (Third Party Logistics) services, defined as an integrator of transport services (river, rail, road), transshipment (between transport units, from warehouses, silos, etc.), storage (warehouses, silos, river units type warehouse, etc.), agency (production of specific documents) and any other services specific to the management of the logistics chain. The main goods transported and operated in ports are mineral products (raw materials for the steel and rolling mill industry), agricultural products (cereals, oilseeds and feed) and chemicals (phosphate rock and finished products of the chemical fertilizer industry). The business model of the Group is characterized by vertical integration, positioning of its business lines at the base of logistics chains and strategic geographical coverage. The central point of the Group is TTS (Transport Trade Services) S.A. which provides customers with integrated forwarding / river transport / port operation services and coordinates the Group's activity. TTS (Transport Trade Services) S.A. was founded in January 1997 and in June 2021 the shares issued by the company have been listed on the main market (Premium category) of the Bucharest Stock Exchange (BVB), following a succesfull secondary public offering through which the company's shareholders sold 50% of the shares for 288 million lei (58.5 million euros). In September 2021 TTS shares were included in BET, the main index of BVB, and in December in FTSE Global Micro Cap, the global emerging market index.",Romania,8.178022,,,
SAIL Romania - Exclusive Agent FESCO Transportation Group,6657282.0,Romania,https://www.linkedin.com/company/sail-romania---exclusive-agent-fesco-transportation-group,,"SAIL Romania is a company headquartered in Bucharest, with a secondary office in Constanta whose mission is the provision  of efficient, reliable and high quality transport services. In wish to expanding the portfolio of services offered to the clients already accustomed to our high standards  of quality, SAIL accepted being appointed as exclusive Romanian agent of the reputed Russian shipping line Far Eastern Shipping Company - FESCO.    FESCO, one of the largest logistics and transport holdings and a leader of the container transportation market in the Far East region, has the intention to maintain its pole position in niche markets, while also expending in areas with high potential as the case of Romania, where Constanta port is Europe's Eastern point of entry/ exit offering excellent connections to many destinations both inland and overseas. Through our principal FESCO, SAIL offer a wide range of shipping services, by road and by rail, both as independent solution or as integrated and complex solutions, depending on the needs of each customer. As commercial connections between Romania/ Europe and the CIS countries/ Russia are in a continuous process of sustained growth, SAIL can offer alternative logistic solutions to connect the main points of interest around the globe. FESCO is the only company in Russia, able to integrate all the links in the intermodal transportation chain either via the Asia-Pacific or via the transcontinental Russian transit route to European ports and beyond even to other continents like the US East Coast. The experience accumulated by SAIL's team on the Romanian market, combined with FESCO's global experience leaves marks in Romanian transport industry by providing quality services and by filling gaps in services presently on the market, as well as providing new opportunities for market expansion in Romania in terms of coverage of international trade.",Romania,6.657282,,,
PROALF WORLDWIDE SRL,6293340.0,"Romania, Arad, Arad, 16 Lucian Blaga St. C Building, 310023",https://www.linkedin.com/company/proalf-worldwide-srl,proalf.ro,"Proalf Logistics & Forwarding Services: Dedicated professionals specialised in FTL/LTL as well as FCL/LCL, rail or air deliveries throughout Romania and Europe.",Romania,6.29334,,,
Luscan Com,5959689.0,"Romania, Buzău, Buzău",https://www.linkedin.com/company/luscan-com,www.luscancom.ro,"Societatea comerciala Luscan Com S.R.L. Buzau se ocupa cu producerea, comercializarea si transportul de agregate de balastiera si cariera. Inca de la infiintare, din anul 1992, politica firmei a fost orientata pe respectarea in cat mai mare masura a exigentelor clientilor, prin asigurarea unei calitati ridicate a agregatelor livrate, precum si prin respectarea intocmai a graficelor stabilite de comun acord cu beneficiarul. Tratarea cu maxima seriozitate a cerintelor clientului a dus la colaborari de lunga durata cu firme de renume din Romania, cum ar fi Lafarge, Travertec S.R.L. Buzau, membra a RAIL ONE, Astaldi SpA Italia, Max Boegl, Strabag Romania, Somaco Prefabricate Bucuresti, Porr Construct ,carora le furnizam agregate de balastiera si cariera. Evolutia firmei a cunoscut o traiectorie continuu ascendenta. Rezultatele financiare obtinute de-a lungul timpului au facut ca S.C. Luscan Com SRL  sa se situeze anual pe locuri fruntase in clasamentele efectuate de Camera de Comert si Industrie a Judetului Buzau obtinand in ultimii ani locul 1 si 2 in topul firmelor de  profil din Judetul Buzau, in anul 2015 clasandu-se pe locul 1. Societatea noastra detine Autorizatie de furnizor feroviar, aceasta fiind principalul furnizor de agregate naturale (PSS si sort 31,5-50mm) . Productia de cribluri si agregate de balastiera pentru betoane si mixturi asfaltice livrata societatilor Strabag Bucuresti, Strabag Buzau, Travertec Buzau, Somaco Buzau a ajuns la peste 400 de mii tone anual. In prezent firma are in exploatare 2 balastiere in orasul Buzau si in orasul Adjud in care in ultimii ani au fost facute investitii de circa 3,5 milioane euro. Acestea au avut ca rezultat o crestere spectaculoasa a productivitatii muncii precum si realizarea unor agregate de calitate foarte buna. Cele 2 balastiere ale S.C. Luscan Com S.R.L. au capacitatea tehnica de a realiza o productie de circa 5000 tone/zi/balastiera.",Romania,5.959689,,,
DRIJA Trans Srl,4405338.0,Romania,https://www.linkedin.com/company/drija-trans-srl,www.drija.eu,"DRIJA Trans SRL focuses on the logistics of shipping containers by road, rail and water. Because we have our own fleet of vehicles, the necessary equipment, a good technical network and an international team, we are flexibly and precisely to the needs of our customers. Every day 80 trucks, all equipped with satellite Eur 6, boardcomputer and ADR equipment, are routed throughout Europe.",Romania,4.405338,,,
Numărătoare De Osii ALTPRO,3263838.0,"Romania, Bucureşti, Bucharest",https://www.linkedin.com/company/numaratoare-de-ossii,altpro.hr,"🚇  Numărătoare de ossii ALTPRO sunt aferizate Numărătoare de osii aferizate sunt importante, dispozitive de detectare a trenurilor pe linia de cale ferată prin intermediul senzorilor inductivi ai unei roți de cale ferată.  Acestea sunt utilizate într-o serie de aplicații în care acestea au rolul de a furniza informații despre poziția trenului. Datorită flexibilității, costurilor scăzute de întreținere și funcționalității suplimentare, contoarele de axe sunt folosite din ce în ce mai mult în loc de detectarea trenului prin secțiuni izolate. ALTPRO oferă clienților săi fiabile și fiabile numărătoare de osii aferizate certificate SIL4 care și-au confirmat calitatea pe numeroase piețe și în multe aplicații. 🚇  Signal, dispozitive de siguranță pentru infrastructura feroviară: numărătoare de osii aferizate Dispozitivele de semnalizare și de siguranță pentru infrastructură reprezintă baza unei implementări sigure, rapide și simple a transportului feroviar. Linia de produse de semnalizare și siguranță ALTPRO se bazează pe tehnologia inductivă de detectare a trenurilor prin intermediul senzorilor pe roți de cale ferată.  Toate dispozitivele sunt certificate pentru nivelul de securitate (SIL) 4 într-un corp independent de evaluare de tip A (în conformitate cu EN 17020), testate pentru EMC și cele mai stricte condiții de mediu din laboratoarele acreditate. 🚇  Pe scurt, numărătoare de osii ALTPRO aferizate (1) Numărătoarelor de osii se bazează pe distorsionarea unui câmp electromagnetic. (2) Curentul continuu din șine poate satura detectorii numărătoarelor de osii, împiedicând funcționarea acestora. (3) Câmpurile electromagnetice generate de materialul rulant pot afecta funcționarea numărătoarelor de osii și a detectoarelor de roată. (4) Legăturile electrice între circuite de cale adiacente pot prezenta o zonă în care detectarea unei osii a unui vehicul nu este asigurată. (5) Câmpul de detectare al numărătorului de osii este influențat de roata care trece.",Romania,3.263838,,,
Intermodal Services Terminal,3146670.0,"Romania, Prahova, Ploieşti, 7j Strada Cubului, 100213",https://www.linkedin.com/company/intermodal-services-terminal-ploiesti,intermodalservices.net,"Founded in Ploiesti, in the year 2011, the Intermodal Services Terminal was the first independent rail and road terminal in the Prahova region, on the southern side of Romania.  We offer a wide variety of high-quality of terminal services for rail and road goods transport.",Romania,3.14667,,,
TRANSBLUE,2517336.0,"Romania, Bucureşti, Bucharest, Nr. 8 Gheorghe Moceanu, 011925",https://www.linkedin.com/company/transblue,transblue.ro,"Transblue is a private railway freight operator emerged as a demand for rail transport services in a constantly new growing romanian freight transportation market. Having our own flleet of railcars and locomotives, we constantly focus on the quality and optimisation of the transport and shunting services we offer to our clients.",Romania,2.517336,,,
MULTIMODAL PROJECTS,2175892.0,"Romania, Constanța, Constanţa, Bulevardul Tomis, 900725",https://www.linkedin.com/company/multimodalprojects,www.modalprojects.com,"Multimodal Projects: Your Trusted Partner in Shipping and Vessel Agency Services Introduction Welcome to Multimodal Projects! We specialize in providing comprehensive logistics solutions tailored to the unique needs of the shipping industry. Our expertise as vessel agents ensures seamless operations, from port arrival to departure. **Our Core Services** 1. Shipping Solutions:    - Efficient handling of bulk, breakbulk, and container cargo.    - Expertise in project cargo management.    - Coordination of sea, rail, and road transport for seamless deliveries. 2. Vessel Agency Services:    - Comprehensive port agency services.    - Coordination with port authorities and service providers.    - Detailed pre-arrival and post-departure reports.    - Crew change assistance and visa arrangements. **Why Choose Multimodal Projects?** - Experience: Industry knowledge and expertise. - Reliability: Dedicated to ensuring smooth and efficient operations. - Global Reach: Extensive network of partners and agents worldwide. - Customer-Centric: Tailored solutions to meet your specific needs. **Our Achievements** - Successfully managed complex multimodal logistics projects. - Established strong relationships with major shipping lines and port authorities. - Proven track record of timely and cost-effective service delivery. **Connect with Us** Join us in driving excellence in the shipping industry. Follow our journey and stay updated on our latest projects and achievements.",Romania,2.175892,,,
TSC Combined Transport,1258668.0,Romania,https://www.linkedin.com/company/tsc-combined-transport,www.tsctransport.ro,"T.S.C. COMBINED TRANSPORT este o companie de expediţii şi transport marfă formată din parteneri tineri care profesează, fiecare domeniul sau de activitate, ȋnca din 1999.  Compania a fost ȋnfiinţată ȋn luna februarie a anului 2006, cu capital integral romanesc, cu scopul de a putea deservi fiecare dintre segmentele de servicii logistice al lanţului door to door.  Echipa noastră face tot ce este posibil să satisfacă exigenţele tuturor clienţilor ȋn aceeasi masură, cu acelaşi profesionalism şi corectitudine. Colegii noştri va pot raspunde la orice ȋntrebare tehnică legată atât de mărfuri cât şi de tipurile de echipamente ce se potrivesc acestora, asumandu-şi intreaga responsabilitate pentru serviciile oferite sau consultanţa acordată.  Echipa TSC vă poate oferi urmatoarele servicii:  Servicii transport marfă (FTL si LTL)  Transport rutier marfă   Transport maritim marfă   Transport feroviar marfă  Servicii conexe   Comisionare şi reprezentare vamală   Depozitare şi manipulare marfă   Amarare şi ambalare mărfuri",Romania,1.258668,,,
Modal Group,1258668.0,"Romania, Bucureşti, Bucharest, 20a Bulevardul Constructorilor",https://www.linkedin.com/company/modal-group-shift,modalgroup.eu,"Modal Group is one of the fastest growing Transport & Logistics companies in Romania, supporting industry and trade in the continental exchange of goods through road transport, customs clearance and integrated logistics systems. Modal Group is a freight forwarding company that specializes in providing logistics and transportation services for businesses. The company offers a range of services including air, sea, and road freight, as well as warehousing and distribution solutions. Modal Group has a team of experienced professionals who are dedicated to ensuring the timely and efficient movement of goods for their clients. In addition to its core freight forwarding services, the company also offers value-added services such as customs brokerage, insurance, and project cargo management.  Modal Group has a strong network of partners and agents around the world, which allows it to offer global coverage and support for international shipping and transportation needs. Overall, Modal Group is a reliable and trusted partner for businesses seeking comprehensive and cost-effective logistics solutions in Romania and beyond. Business fields: •	Transport & Logistics; •	Freight Forwarding; •	Customs Clearance; •	Pallet Distribution; •	Rail, Sea, Air Freight. The Future.Delivered.",Romania,1.258668,,,
Magro Util S.R.L,1120532.0,"Romania, Ilfov, Chitila, Nr. 21 Str. Castanilor",https://www.linkedin.com/company/sc-magro-util-s.r.l,www.magroutil.ro,"Compania Magro Util S.R.L oferă logistică integrată pentru transport de marfă pe calea ferată în trafic intern și internațional, în sistem de vagon izolat, grup de vagoane, tren complet și containere. Magro Util S.R.L asigură disponibilitate, profesionalism și încredere în relația cu partenerii săi, atât pentru transporturile interne, cât și cele externe pe infrastructura publică și privată din România. Calitatea serviciilor și flexibilitatea companiei ne conferă avantajul de a lua fața altor competitori pe piețele pe care activăm, în timp ce loialitatea față de client ne ghidează activitatea curentă. Indiferent de dimensiunea proiectelor în care suntem angrenați, știm să tratăm cu cea mai mare seriozitate fiecare activitate la care ne-am angajat. Abordarea profesionistă este cea care vorbește pentru noi, iar noi vorbim întotdeauna prin intermediul proiectelor noastre. Știm că răsplata vine numai atunci când muncești din greu, cu seriozitate și perseverență, iar pentru noi răsplata se traduce prin mulțumirea clientului și aprecierea manifestată la finalul unui proiect, la livrarea produselor sau a serviciilor pe care noi le oferim. Prețuim foarte mult valorile noastre și încercăm să le afirmăm de fiecare dată în relația cu clienții și partenerii noștri: Loialitatea atrage loialitate, iar perseverența te face mai bun, mai performant. Importantă la noi în companie este unitatea grupului, de la nivel de conducere și până la ultimul angajat. Respectul față de clienți și parteneri crează legături de durată. Magro Util S.R.L dispune de autorizații și agremente tehnice emise de AUTORITATEA FEROVIARĂ ROMÂNĂ ( AFER ) pentru toate serviciile pe care le prestează.",Romania,1.120532,,,
E-P RAIL,33079.0,"Romania, Bucureşti, Bucharest, Strada Barbu Vacarescu 241a, 020276",https://www.linkedin.com/company/e-p-rail,www.e-prail.ro,"E-P Rail is a Romanian company with private capital, having as main activity the services of rail freight and rail-related services. The company offers a wide range of services in railway freight forwarding and other services related to it, such as detailed analysis and consulting, with the aim of proposing competitive offers for its customers.",Romania,0.033079,,,
