Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
ARRIVA Slovakia,144800795.0,"Slovakia, Nitriansky, Nitra, 72 Štúrova, 949 44",https://www.linkedin.com/company/arriva-in-slovakia,www.arriva.sk,"ARRIVA worldwide ARRIVA is European provider of passenger transport and was acquired by Deutsche Bahn in August 2010. On European market ARRIVA operates in 14 countries local buses, inter-urban commuter coaches, local, regional and national train services, trams and waterbuses. ARRIVA in Slovakia ARRIVA operates in Slovakia since 2008 and is the strongest private player in bus multimodal transport provider in Slovak Republic. Actually operates in four regions regional transport and in 19 cities city transport, bike sharing systems in Nitra (ariva bike) and in Žilina (BikeKIA). Operation is guaranted by: ARRIVA NITRA a. s., ARRIVA Nové Zámky, a. s., ARRIVA Michalovce, a. s., ARRIVA Trnava, a.s., ARRIVA Liorbus, a.s.. ARRIVA employs in Slovakia 2.400 employees and operates more than 1.350 buses.  ARRIVA in Slovakia transports more than 70 million passengers and drives more than 72 million km yearly. The ARRIVA group contains following companies in Slovakia: ARRIVA Slovakia a.s. ARRIVA NITRA a.s. ARRIVA Nové Zámky, a.s. ARRIVA Michalovce, a.s. ARRIVA Trnava, a.s. ARRIVA Liorbus, a.s. ARRIVA Service s.r.o.",Slovakia,144.800795,,,
Railtrans International A.s.,32096034.0,"Slovakia, Bratislavský, Bratislava, 22 Kukucinova, 831 03",https://www.linkedin.com/company/railtrans-international-a-s,www.railtrans.eu,"Railtrans International a.s with a headquarters located in Bratislava, Slovakia, was founded in November 2011. RTI holds a license for provision of rail transport services according to Law Nr. 514/2009 as Amended and according to Safety Certificate in Slovakia, Czech Republic, Hungary and Austria. And as a first Eastern/Central European private rail freight company holding a license to operate in Germany. The aim of our company is to contribute to continuous quality improvement of our customer services through employment of new approaches and technologies, and to create motivation space for decrease of costs and perspective increase of customer satisfaction.",Slovakia,32.096034,,,
Maritime School,10741918.0,Slovakia,https://www.linkedin.com/company/maritime-school,www.namornaskola.sk,"Newly established maritime educational center organized according to the IMO standards. Presently trains for operational level in deck department (seagoing vessels), since the end of 2010 will start with operational level in engineer department.  At he moment group of students sponsored by german shipowner Reederei Erwin Strahlmann e.K. (www.reederei-strahlmann.de). Looking for placement possibilities for our cadets.",Slovakia,10.741918,,,
INTERPORT SERVIS S.r.o.,6293340.0,"Slovakia, Košický, Košice, 044 66",https://www.linkedin.com/company/interport-servis-s-r-o,www.interport.sk,"Spoločnosť INTERPORT SERVIS s.r.o. ponúka komplexné logisticko - dopravné služby pri dovoze a vývoze Vašich produktov z EÚ a krajín tretieho sveta. V našom areáli sa nachádza sieť koľají širokorozchodného typu s priamym napojením na ukrajinské železnice, pričom naše prekladisko je vnútroštátne. V súčasnosti poskytujeme služby logistického charakteru nadnárodným spoločnostiam ako sú napr. OFZ, Budamar, SMZ Jelšava, Rail Cargo Operator, AS Trade, Gefco, C&T, Cosmotrade, Investex groups, Zberko. Úzku spoluprácu máme rozvinutú v oblasti zasielateľstva. Medzi najváženejších partnerov patria U.S.Steel Košice, Volkswagen. Nácestné stredisko, Haniska, pobočka Colného úradu Košice je navrhnuté v súlade s antikorupčným programom, a to transparentne a rovnocenne pre špeditérske spoločnosti, umiestnené v prenajatých kanceláriách priamo v administratívnej budove spoločnosti Interport. Skupina spoločnosti Interport je výlučným vlastníkom areálu Prekladiska Košice – Haniska. Jedná sa o skladový komplex so železničným prekladiskom, ktoré ako jediné na Slovensku je vnútroštátne. Ponúkame vám komplexné služby pri vývoze a dovoze Vašich produktov z Ruska, Ukrajiny, Bieloruska a iných krajín. Môžete tak využiť vlečky a koľajiska v kombinácií širokého a európskeho železničného rozchodu. Najbližšia železničná stanica širokého rozchodu je ŽS Haniska a európskeho rozchodu ŽS Veľká Ida. Skladovacie aktivity sú zamerané pre účely kombinovanej dopravy, skladovanie a prekladanie kontajnerov a komiónov, skladovanie kusového materiálu a paletizovaného materiálu, ako aj sypkých materiálov a skladovanie náhradných dielov pre výrobkovú, opravárenskú a technologickú kompletáž.",Slovakia,6.29334,,,
IDS Východ S.r.o.,5932977.0,"Slovakia, Košický, Košice, 7 Bačíkova, 04001",https://www.linkedin.com/company/ids-východ-s-r-o,idsvychod.sk,"Integrovaný dopravný systém Východ zahŕňa celé východné Slovensko. Úlohou spoločnosti, ktorú založil Košický a Prešovský samosprávny kraj, je postupne vybudovať atraktívny systém verejnej dopravy na území oboch žúp, ktorý bude zahŕňať prímestskú, mestskú a železničnú dopravu. Pod pojmom integrácia sa myslí dopravná, tarifná, aj informačná integrácia. I-as integrated, D-as transport, S- as system Východ- as integrating include whole east Slovakia region. From cooperation of regions Košice and Prešov begins to grow complex public transportation system which include public transportation, buses between towns and train public transportation. The term of integration means transport, tariff, and information integration.",Slovakia,5.932977,,,
Prvá Slovenská Železničná A.s.,5478949.0,"Slovakia, Nitriansky, Levice, 5 Ku Bratke, 934 05",https://www.linkedin.com/company/prvá-slovenská-železničná-a-s,www.psz.sk,An international freight rail freight carrier operating in four countries. CZ+SK+HU+RO.,Slovakia,5.478949,,,
RS Lease,2314653.0,"Slovakia, Bratislavský, Bratislava, 15a Dunajská, 81108",https://www.linkedin.com/company/rolling-stock-lease,www.rslease.sk,"Reliable Solutions for Electric Locomotive Leasing ROLLING STOCK LEASE is your trusted partner for full-service leasing of Siemens Vectron locomotives. We offer customized solutions powered by cutting-edge technology, ensuring efficiency, safety, and sustainability for domestic and international rail operations. Headquartered in Bratislava and Prague. 🌍 Connecting Europe⚡ Driving Progress🚆 Advancing Sustainability Discover more at release.sk.",Slovakia,2.314653,,,
Infinity Forwarding S. R. O.,1776627.0,"Slovakia, Bratislavský, Bratislava, 2961/1 Jarošova, 831 03",https://www.linkedin.com/company/infinity-forwarding-s-r-o,www.infinityforwarding.eu,"International freight forwarding - sea, air, rail and truck shipping. Customs clearances and door delivery. We take care of your goods while they are on their way to your company and you can concentrate on selling them in the meantime.",Slovakia,1.776627,,,
Express Truck Slovakia A.s.,1565414.0,Slovakia,https://www.linkedin.com/company/express-truck-slovakia-a.s.,www.express-truck.sk,"EXPRESS TRUCK SLOVAKIA is a provider of integrated transport and forwarding services/solutions in the field of road and combined transport. Company operate its own fleet of more than 130 equipment including paltforms for special transport as well as tipper and walking floor trailers for tranport of bulk goods. EXPRESS TRUCK SLOVAKIA belongs to the european network of Express-Inerfracht, managed and owned by Rail Cargo Austria.",Slovakia,1.565414,,,
CER Slovakia A.s.,1509112.0,"Slovakia, Bratislavský, Bratislava, 15 Mýtna, 81107",https://www.linkedin.com/company/cer-slovakia-a-s,cercargo.sk,"Popredná železničná nákladná spoločnosť zastúpená na Slovensku aj v Českej republike poskytujúca železničnú dopravu prvotriednej kvality: od nákladnej dopravy cez zasielateľstvo cez vojenskú techniku až po špeciálne projekty.  Člen skupiny CER Cargo Holding, ktorá je popredná železničná nákladná spoločnosť v Maďarsku a v stredoeurópskom regióne.  Náš integrovaný, jedinečne vyvinutý informačný systém a vlastný vozový park garantuje našim zákazníkom predvídateľnú kvalitu. Naša politika kvality: presnosť – bez kompromisov. Železničné koľaje, trakčná kapacita, licencia železničnej spoločnosti a certifikát o bezpečnosti železníc sú prázdne slová, ak nie sú spájané so spokojnosťou našich klientov a zákazníkov. Sme hrdí na našu povesť, ktorú sme si vydobili vďaka nášmu kvalifikovanému tímu, na naše ekonomickejšie a efektívnejšie riešenia, ale predovšetkým, že naši partneri nám dôverujú a že vďaka nám sa stávajú úspešnejšími. Leading railway freight company located in Slovakia and Czech Republic, providing rail transport of first-class quality: from freight transport through delivering military equipment to special projects. Member of the CER Cargo Holding Group, which is a leading rail freight company in Hungary and the Central European region. Our integrated, uniquely developed information system and our own fleet guarantee our customers predictable quality. Our quality policy: accuracy and no compromises. Railway tracks, traction capacity, railway company license and railway safety certificate are empty words if they are not associated with the satisfaction of our clients and customers. We are proud of our reputation, which we have gained in cooperation with our qualified team, with our more economical and efficient solutions In the end non of above would not have happen without the trust of our partners, so we can make them more successful.",Slovakia,1.509112,,,
CL Slovakia S.r.o.,681481.0,Slovakia,https://www.linkedin.com/company/cl-slovakia-s-r-o-,www.cl-slovakia.sk,"General forwarding service - incl all kinds of transport modes: Truck shipments, seafreight service, rail transports and air shipments. Warehouse service and domestic low tonnage distribution.  Main features:  -    Warehousing -    Single cargo or palette plastic wrapping -    Labeling -    Re-packaging on palettes -    Shipping docs preparation -    Individual services based on customer request -    EDI connection",Slovakia,0.681481,,,
Amber Rail A.s.,629334.0,"Slovakia, Bratislavský, Bratislava",https://www.linkedin.com/company/amber-rail,www.amberrail.com,"Amber Rail is a logistic provider focusing on intermodal activities in the Central European region. With setting up of new intermodal connections between terminals, Amber Rail is trying to support the operator market with his know-how, and providing a platform for rail-operational cooperations.",Slovakia,0.629334,,,
Slovenská Plavba A Prístavy A.s.,5478949.0,"Slovakia, Bratislavský, Bratislava, 12 Horárska, 81524",https://www.linkedin.com/company/slovenska-plavba-a-pristavy-a-s,www.spap.sk,"Slovenská plavba a prístavy a.s. is active in the the field of river transport, transshipment and storage of goods, forwarding services, repairs and reconstruction of vessels.",Slovakia,5.478949,,,
