Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
SJ AB,730562953.0,"Sweden, Stockholm, Stockholm",https://www.linkedin.com/company/sj-ab,www.sj.se,"SJ AB is a leading train operator in Sweden, specializing in night train services that connect travelers to major European cities, including Hamburg and Berlin. With a mission to provide comfortable and eco-friendly travel options, SJ EuroNight offers various travel classes, including private compartments and couchettes, catering to diverse passenger needs. The company aims to enhance the travel experience by ensuring seamless connections with other European train operators, making it easier for clients to navigate their journeys. SJ AB primarily serves individual travelers, families, and tour operators, promoting sustainable transportation while delivering exceptional customer service. Through its commitment to safety and comfort, SJ AB strives to make every journey an adventure worth remembering.",Sweden,730.562953,,,
Transdev Sverige AB,412761981.0,"Sweden, Södermanland, Eskilstuna",https://www.linkedin.com/company/transdev-sverige-ab,www.transdev.se,"Transdev ger människor frihet att resa när de vill och hur de vill. Vårt erbjudande spänner över 13 transportslag och varje dag möjliggör våra över 80 000 medarbetare mer än 10 miljoner resor i 20 länder. I Sverige är vi en av de största operatörerna inom persontrafik, med närmare åttio års erfarenhet. Dagligen görs flera hundratusen resor med oss från Haparanda i norr till Österlen i söder – med buss, tåg, spårvagn och båt. I samarbete med trafikhuvudmän driver vi upphandlad persontrafik i hela landet. Vi erbjuder också kommersiell trafik under varumärkena Blidösundsbolaget, Flygbussarna, Snälltåget och Styrsöbolaget. Vi eftersträvar långsiktiga partnerskap med trafikmyndigheter och företag, och de säkraste och mest innovativa transport­lösningarna. Tillsammans utvecklar vi framtidens person­trafik för att bidra till en hållbar utveckling och ger människor frihet att resa på sina egna villkor.    Vi är Transdev – the mobility company.",Sweden,412.761981,,,
Lindesbergs Kommun,246657223.0,"Sweden, Örebro, Lindesberg, 5 Stentäppsgatan, 71135",https://www.linkedin.com/company/lindesbergs-kommun,www.lindesberg.se,"Lindesbergs kommun växer och söker löpande nya kunniga och engagerade medarbetare som vill vara med och utveckla Lindesbergs kommun till att bli en ännu bättre plats att bo och leva på. Här arbetar ca. 1 800 medarbetare med olika uppdrag på cirka hundrafyrtio arbetsplatser. Det finns en stor bredd på verksamheter och yrken och gott om möjligheter att växa i din yrkesroll. Kanske skulle just du passa som: Lärare, Sjuksköterska, Socialsekreterare, Förskollärare, Enhetschef, Kock, Ekonom, Strateg, Personlig assistent eller Biståndshandläggare? Vi har många olika spännande uppdrag att erbjuda! I Lindesberg finns även ett rikt föreningsliv, en levande landsbygd och en vacker natur som ger dig goda förutsättningar för både arbete och fritid. Kommunikationerna är goda och en resa hit med buss eller tåg från Örebro tar cirka 30-45 min. Välkommen att utvecklas i vackra Lindesbergs kommun!",Sweden,246.657223,,,
VR City Traffic Sweden,221550115.0,"Sweden, Stockholm, Stockholm",https://www.linkedin.com/company/vr-sverige,www.vrsverige.com,"VR City Traffic Sweden är en del av finska VR Group sedan 2022. Vår verksamhet omfattar upphandlad kollektivtrafik, tåg, buss och spårvagn, i Sverige. Vårt systerbolag, VR Long Distance Traffic Sweden (tidigare MTRX) bedriver linjetrafik med tåg mellan Stockholm och Göteborg.  VR Group, som ägs av finländska staten, har 160 års erfarenhet av att köra tåg, spårvagnar och bussar och är ledande inom spårburna och elektrifierade transporter. Med totalt 9 000 medarbetare i Finland och Sverige är VR idag dessutom en av Nordens största aktörer inom kollektiv- och fjärrtrafik, logistik och underhåll. VR City Traffic Sweden sköter Skånes Pågatåg, Östgötapendeln och bussar och spårvagnar i Stockholmsregionen. Med 1 500 engagerade medarbetare, 400 bussar, 122 tåg och 65 spårvagnar, skapar vi moderna och klimateffektiva transportlösningar, där säkerheten alltid kommer i första hand. Som resenär hos VR ska du uppleva att vi gör allt för att din resa ska kännas trygg och servicegraden hög. Som en del av VR Group blir vi större, starkare och ännu bättre på att utveckla och erbjuda effektiva och gröna lösningar, lösningar som blir allt viktigare för klimatomställning och välstånd. Att ersätta dieselbussar med eldrivna är bara ett exempel på vad VR gör just nu.     VR:s mål är att bli bäst i Norden, att växa och vinna nya marknadsandelar. Det gör vi genom att hitta nya innovativa lösningar som får ännu fler att resa kollektivt. Häng med på vår resa!",Sweden,221.550115,,,
Skånetrafiken,96267120.0,"Sweden, Skåne, Hässleholm",https://www.linkedin.com/company/skanetrafiken,www.skanetrafiken.se,"With Skånetrafiken, Skåne’s public transport service, you can travel to pretty much any town in Skåne. Furthermore, using the Öresund train, you can travel across the strait to Copenhagen, as well as all the way to Gothenburg,  Halland, Kronoberg and Kalmar counties. Skåne shall be open for everyone. We open up for possibilities and experiences. We open up for meetings, and a sense of belonging and community. We aim to make it easy to travel by any of our 14,000 daily bus and train departures. Please do follow us here to keep up to date with our news and upcoming vacancies. Working with us, you can deal with exciting social planning. Develop our public transport and infrastructure. Influence the everyday lives of hundreds of thousands of people.  If you are looking for work as a train host, train driver or bus driver, you will find vacancy information on the websites of the respective transport companies. All our bus and train services are outsourced and run by private bus and train companies.",Sweden,96.26712,,,
Skandia Container Terminal,96267120.0,"Sweden, Västra Götaland, Göteborg",https://www.linkedin.com/company/skandia-container-terminal,www.skandiacontainer.se,"CONTAINER  Scandinavia's largest container port lies in Gothenburg and is also the only port in the Nordic region with deep-sea direct calls to all parts of the world. Most of the goods are on their way to or from other parts of the world, either directly by transoceanic ship or by feeder ship via the continent. Skandia CT AB in the Port of Gothenburg has specific resources and competencies to meet these requirements. WE CREATE COMPETITIVE TRANSPORT SOLUTIONS  Quay productivity for ocean going ships of at least 100 units/hour.  Excellent geographical location to reach all parts of Scandinavia and the Baltics.  27 daily rail shuttles between the Port of Gothenburg and logistic locations in Sweden and Norway.  Containers can be collected within 30 minutes of unloading.  1.5 hours from open sea to quayside.  Excellent bunker service including low-sulphur bunker.  Focus on development in distribution via rail and road.  24-hour service.  Two separate, wide fairways contribute to a safe approach.  10 berths with a water depth tp 14.2 metres.",Sweden,96.26712,,,
Mertz Transport AB,80857706.0,"Sweden, Skåne, Malmö",https://www.linkedin.com/company/mertztrp,www.mertz.se,"Mertz Transport AB är ett oberoende transportföretag med nationell täckning som alltid sätter kunden (BtB) i fokus.  Relationer är ryggraden inom Mertz. Vi utmanar och ifrågasätter gärna, allt med syfte att förbättra förutsättningarna för en framgångsrik lösning för både våra kunder och leverantörer. Det är just detta som är en stor anledning till att vi utvecklats och expanderat kontinuerligt sedan starten 1971. Och vi vill också gärna själva bli utmanade! Mertz utbildar och utvecklar ständigt all personal för att alltid leverera så hög kvalité och service som möjligt. Detta gör att alla på företaget känner yrkesstolthet och levererar tjänster på högsta nivå till våra kunder. Personalen på Mertz är handplockade och enbart de bästa får lov att representera oss och bära vårt namn. Mertz Transport AB har idag en bilpark med drygt 150 egna fordon anpassade till alla behov. Genom vårt distributionsnätverk erbjuder vi kompletta dörr-dörr lösningar inklusive last mile i egen regi eller med någon av våra noggrant utvalda underleverantörer. För att serva vårt nätverk har vi Crossdockverksamhet i Malmö, Göteborg och Stockholm samt ett stort antal strategiskt placerade distributionspunkter. Som ett komplement till våra transporttjänster sköter vårt affärsområde Rail driften av Malmö Kombiterminal, Vagnslastterminal samt omfattande tågväxlingstjänster i Malmöområdet. Vi kan därför stolt som ensam aktör erbjuda one-sto- shop lösningar inom järnväg i kombination vägtransport utifrån Malmö. Vi är idag cirka 280 anställda.    Mertz Transport AB skapar helt enkelt transportlösningar åt företag med krav på kvalitet och service!",Sweden,80.857706,,,
Styrsöbolaget,68837119.0,"Sweden, Västra Götaland, Göteborg",https://www.linkedin.com/company/styrsobolaget,www.styrsobolaget.se,"Styrsöbolaget är för de flesta göteborgare ett välkänt rederi och ett starkt varumärke - vi ligger i topp i Västtrafiks mätningar av resenärers upplevelse av service och kvalitet. Vår huvudverksamhet är passagerartrafik i Göteborgs södra skärgård och hamn som vi kör på uppdrag av Västtrafik. Vår flotta består av 19 fartyg och varje år reser ca 5,5 miljoner passagerare i södra skärgården och i älvtrafiken. På uppdrag av Göteborgs stad kör vi även frakttrafiken med gods och nyttofordon från Fiskebäck till Södra skärgården. Vårt senaste tillskott, Västtrafiks nya, elhybridfärja ELVY förväntas minska bränsleförbrukningen kraftigt. Styrsöbolaget ingår sedan 2004 som ett dotterbolag i @Transdev Sverige AB , som är verksamma inom trafikslagen båt, buss, spårvagn och tåg. Transdev kör både upphandlad och kommersiell trafik. Välkommen att resa med oss!",Sweden,68.837119,,,
Nordicon,39934151.0,"Sweden, Västra Götaland, Göteborg",https://www.linkedin.com/company/nordicon,www.nordic-on.com,"No 1 in the Nordic Region As the leading neutral consolidator in the Nordic region, we are proud to offer the most extensive number of direct services to and from the Nordics. With offices in Sweden, Norway, Finland, Denmark, and our own warehouses in Gothenburg, Sweden as well as local terminals in each country, Nordicon organizes the consolidation of freight to more than 500 export destinations, and from more than 300 import locations around the world. Besides its core LCL (Less than Container Load) business on ocean and rail with focus on direct consolidation services, Nordicon also offers FCL (Full Container Load) and a range of other transport-related services such as warehousing, air freight, and trucking. With tailored solutions for forwarders, FCS, we create a logistic chain and monitor cargo flows to match our customers’ specific needs and requirements. “No 1” does not only mean that we have the most competitive range of services, but also that we are dominant in IT solutions as well as customer service. Our aim and promise to our customers are to constantly strive for development and improved service. To learn more about our services and what we can offer, please visit www.nordic-on.com, or contact us directly and we will explain why our services are such a popular choice! Welcome to our world of consolidation!",Sweden,39.934151,,,
HUDDIG,28162674.0,"Sweden, Gävleborg, Hudiksvall",https://www.linkedin.com/company/huddig-ab,www.huddig.com,"Huddig AB is an innovative, world leading developer and manufacturer of articulated backhoe loaders, with visionary technology concepts and cutting edge technical expertise. The ground-breaking, HUDDIG articulated backhoe loaders improve the efficiency of work within CITY, CABLE and RAIL areas.",Sweden,28.162674,,,
