Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Twisto,79122331.0,"Czech Republic, Praha, Prague, 47/73 Sokolovská, 18600",https://www.linkedin.com/company/twisto-cz,www.twistopay.com,"Twisto is a leading BNPL service from CEE. With our neat but powerful mobile app, customers can defer their payments, divide them in three without fees, divide them into installments, split the bill with their friends or take care of their invoices quickly and easily. And with our virtual and physical cards, they can shop comfortably everywhere. On top of that, the account comes with the best exchange rate possible for international payments. Twisto aggregates the payments and the user simply pays them all at once. More than 20 000 merchants that use Twisto offer wider and better payment options for their customers with higher conversion rates, higher average purchase value and less time wasted. People also shop more often at e-shops that implement Twisto. While customers can easily defer the payments or split them into installments, merchants get their money right away with zero risk. Twisto is a part of the global BNPL leader Zip. https://twistopay.com/",Czech Republic,79.122331,,,
AMORE Finance,1258668.0,"Czech Republic, Praha, Prague",https://www.linkedin.com/company/amorefinance,www.amorefinance.cz,"The world around us is constantly changing, just like customer preferences. At Amore, we strive to take full advantage of modern technology and offer you the best soluton. Amore Finance is a modern fintech startup. At Amore Finance we are building a new type of bank. Bank that meets the latest requirements and the modern pace of life. Our mission is to make banking services understandable, fast and affordable for everyone. Open Amore account and change your stereotypes about banking services. If you are interested in a partnership or looking for career opportunities, feel free to contact us: praha@amorefinance.cz www.amorefinance.cz",Czech Republic,1.258668,,,
ARBITAS Fintech Investment Fund,321561.0,"Czech Republic, Praha, Prague, 1716/2b Hvězdova, 140 00",https://www.linkedin.com/company/arbitas,arbitas.com,"ARBITAS SICAV, a.s. is a progressive investment fintech fund dedicated to shaping the future of digital finance. We focus on strategic investments in self-service digital centers, multi-bank payment platforms, and the development of fintech startups in close collaboration with leading universities. Our mission is to connect innovation with real-world impact — empowering entrepreneurs, supporting technological growth, and building sustainable financial solutions for tomorrow.",Czech Republic,0.321561,,,
Atol,2643068.0,"Czech Republic, Praha, Prague, 148/34 Křižíkova, 8-karlín",https://www.linkedin.com/company/atol-cpt,atol.capital,"Atol Capital is a trusted partner for investors seeking top-tier financial strategies and market insights. We create proprietary fintech solutions and invest in high-potential opportunities within dynamic financial markets. Our work is driven by innovation, rigorous research, and a passion for technology. Each product is built with precision, market insight, and a focus on performance, enabling us to deliver value, set new standards, and strive for leadership in the industry.",Czech Republic,2.643068,,,
Czech Fintech Association,8270201.0,"Czech Republic, Praha, Prague",https://www.linkedin.com/company/czech-fintech-association,czechfintech.cz,"The Czech FinTech Association is a non-profit organization of companies operating in the fintech industry.  Its mission is to help develop the sector, represent it vis-à-vis public and private stakeholders, and raise general awareness about fintech, insurtech and regtech solutions. At present, the association has 33 regular members and 10 affiliates.",Czech Republic,8.270201,,,
DEXFIN,10431941.0,"Czech Republic, Praha, Prague",https://www.linkedin.com/company/dexfin,www.dexfin.com,"DEXFIN is a revolutionary FinTech concept based in Prague (CZ) which bases its business model, mission and vision around circular tokenomics. DEXFIN bridges the gap between cryptocurrencies, company capitalisation processes  and individuals. This is possible through a transparent, secure, and token-based circular economy using blockchain technology. The DEXFIN trading platform allows users to quickly and securely purchase, sell, and manage digital currencies in real-time from a single interface without any intermediaries and with extremely low fees.  DEXFIN will provide: - A trading exchange platform for selected cryptocurrencies and exclusive digital assets - An all-in-one application compatible across all devices - A tokenisation platform for a fast and professional tokenisation of real assets - DEXFIN token (DXF) & digital asset management - A network of proprietary ACMs (crypto ATMs) throughout Europe with NFC technology - Payment terminals for businesses & contactless payment cards and rings with NFC technology - and so much more More information at www.DEXFIN.com",Czech Republic,10.431941,,,
Fincollect,6289420.0,"Czech Republic, Praha, Prague, 730/59 Londýnská, 120 00",https://www.linkedin.com/company/fincollect,fincollect.cz,"Společnost Fincollect SE byla založena v roce 2018 s jasným cílem - stát se první fintech inkasní agenturou na českém trhu. Složili jsme tým odborníků s letitými zkušenostmi z trhu pohledávek a propojili jejich znalosti s inovativním myšlením našich IT vývojářů.  Díky strategické spolupráci zkušených manažerů a fintech specialistů se společnosti Fincollect daří neustále zdokonalovat všechny procesy a nástroje. Celý náš provoz běží na nejmodernějším informačním systému, který byl nově vyvinut a přizpůsoben potřebám moderního dynamického procesu vymáhání pohledávek.",Czech Republic,6.28942,,,
FinTech Hub CEE,1297087.0,"Czech Republic, Praha",https://www.linkedin.com/company/fintech-hub-europe,www.fintechhubeurope.com,"We have a clear intent of uplifting the level of digital finance innovation in Slovakia and across close regions, with specific focus on CEE.  Our shared vision is to help create and nurse established projects and services that help its users in everyday life.  FinTech innovators are welcome!  Joins us now: https://www.fintechhub.sk/application-form/",Czech Republic,1.297087,,,
KB SmartSolutions,5082801.0,"Czech Republic, Hlavní Město Praha, 42 Václavské Náměstí, 11000",https://www.linkedin.com/company/kbsmart,www.kbsmart.cz,"We are looking for start-ups creating new financial services, that already have gotten through the initial product development stage and want to continue growing. We provide funding to fintechs and assist in their development to quicken growth. We also build our own fintechs from scratch. We are changing the world of finance: We bring together the best of dynamic fintechs and traditional banks to build the bank of the future. We combine the spirit of start-ups with the power of a global company: we are part of the Komerční banky Group and Société Generále Group and therefore have support from strong and stable partners with long traditions in the banking sector.",Czech Republic,5.082801,,,
Kesh,3144710.0,"Czech Republic, Praha, Prague, 3 Wolkerova",https://www.linkedin.com/company/paykesh,kesh.cz,"Ahoj 🇨🇿, my jsme Kesh. Nový inovativní fintech startup, který mění způsob placení, poskytování půjček a hypoték. Nejsme banka. Jsme něco lepšího.",Czech Republic,3.14471,,,
