Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
LHV,552840018.0,"Estonia, Harjumaa, Tallinn, 2 Tartu Mnt.",https://www.linkedin.com/company/lhv,www.lhv.ee,"LHV Group is the largest domestic financial group and capital provider in Estonia. LHV Group's subsidiaries are AS LHV Pank, LHV Bank Limited, AS LHV Varahaldus and AS LHV Kindlustus. LHV has representative offices in Tallinn, Tartu, Pärnu and London. LHV employs over 1200 people and more than 445,000 customers use LHV's banking services. LHV's pension funds have nearly 116,000 customers. Our mission is a better access to financial services and capital. According to our vision, people and enterprises have the courage to think big and start things, setting ambitious goals and investing in the future. Find out more about LHV at www.lhv.ee.",Estonia,552.840018,,,
Coinmetro,46525729.0,"Estonia, Harjumaa, Tallinn, 84 Tartu Maantee",https://www.linkedin.com/company/coinmetro,coinmetro.com,"We are not a crypto company, we are a traditional financial institution that understands the complexities and benefits of blockchain and crypto. We are actively working with regulators in a number of jurisdictions to further improve the industry’s regulatory framework. Through a tokenized ecosystem, Coinmetro provides users a friendly gateway, allowing them to get involved in the crypto and wider fintech space with an ease of access not yet seen in the industry. Our goal, above all else, is to make sure that our clients’ overall experience is nothing short of exemplary. Our team’s extensive experience in the finance, retail trading, compliance, IT and legal sectors gives us the perfect platform of knowledge to build upon. We understand the importance of regulatory compliance and this is a primary focus for us at the forefront of all business actions. Stemming from the founding team’s collective background in traditional finance, Coinmetro delivers a user-focused framework that offers mobility between blockchain-based digital assets and traditional markets, combining the three major components of the digital economy: a cryptocurrency exchange, a trading platform and an ICO platform. Join our Discord: https://discord.gg/coinmetro Join our Telegram Group for the latest news: https://t.me/CoinMetro",Estonia,46.525729,,,
Veriff,40002410.0,"Estonia, Harjumaa, Tallinn",https://www.linkedin.com/company/veriff,www.veriff.com,"Veriff is a global identity verification platform dedicated to helping businesses build trust online through its AI-native technology. The company combines automation with human expertise to provide fast and accurate user verification, enabling organizations to prevent fraud, comply with regulations, and enhance user experiences. Veriff's mission is to create a safer and more trustworthy online environment, and it serves a diverse clientele across various industries, including finance, gaming, mobility, and e-commerce. With a robust document database and partnerships with leading companies like Blockchain, Bolt, and Trustpilot, Veriff is positioned as a preferred identity verification partner for innovative, growth-driven organizations worldwide. The company operates with a commitment to transparency and security, striving to be the benchmark for trust in the digital landscape.",Estonia,40.00241,,,
EveryPay,5660478.0,"Estonia, Harjumaa, Tallinn, 2 Tartu Mnt, 10145",https://www.linkedin.com/company/everypay-as,every-pay.com,"EveryPay offers a fully cloud-based payment gateway platform for banks and acquirers by giving them access to state-of-the-art and continuously improving digital payment solutions with all the relevant tools to manage the acquiring side of eCommerce. For banks’ merchants, the platform provides a variety of necessary features enabling them to grow and scale by utilising world-class online payment solutions. We help our partners to be more agile and stay relevant in the ever-changing digital payments’ scene by offering the same features as 3rd party PSPs. At EveryPay, technology is made to serve the goals and needs of the merchants. We know that with the use of smart technical solutions, payment services can truly benefit your business. Our platform has been built from the ground up so we can easily add new features to it in order to keep up with the ever-changing payment trends and consumer behaviors. EveryPay's payment platform is PCI DSS level 1 certified meaning our technical solution and processes meet the highest industry requirements.",Estonia,5.660478,,,
Wallester,89777874.0,"Estonia, Harju County, Kesklinna Linnaosa, 6 Ahtri, 10151",https://www.linkedin.com/company/wallester,wallester.com,"Wallester is an Estonian-licensed financial institution and an official Visa partner since 2018, specialising in innovative digital financial solutions and card issuance. We empower companies across the European Economic Area (EEA) and the UK to streamline payments, launch branded cards, and scale efficiently. What we do: White-Label Solution with Embedded Finance:    Our White-Label solution enables businesses to integrate financial services directly into their platforms - a concept known as embedded finance. This allows companies to launch branded payment cards tailored to their specific needs, enhancing customer experiences and opening new revenue streams. We ensure a swift time-to-market with simplified integration and dedicated support from our implementation team.  Wallester Business: Corporate Expense Management: Wallester Business is designed to modernise corporate expense management. It provides companies with instant access to virtual and physical Visa cards, streamlining financial processes through a modern app and comprehensive portal. Features include expense tracking, budget analytics, and seamless integration with accounting systems to enhance financial oversight and efficiency.  With a diverse team of over 140 professionals located in Estonia, Latvia, France and the United Kingdom, we are dedicated to developing high-quality, profitable products for our clients. Our passion for innovation drives us to improve and adapt to the evolving financial landscape continuously. We aim to elevate businesses by providing the most advanced financial technologies, enabling them to reach new heights in efficiency and growth. We are always open to collaboration and eager to assist companies in navigating the future of finance. Discover how Wallester can transform your financial operations and drive your business forward. Learn more at www.wallester.com and follow us on Instagram (@wallester_com) or Facebook (@Wallester)",Estonia,89.777874,,,
Amon.Tech,4402594.0,"Estonia, Estonia, 6a Ahtri Tn, 10151",https://www.linkedin.com/company/amon-tech,amon.tech,"Amon's mission is it to bridge traditional currencies and crypto.  Amon provides easy, elegant, and ethical fintech banking with the Amon Wallet and the Amon Debit card. Make educated investment decisions with the Amon Investment Assistant and get Cash-Back for simply shopping! Decide how much of your cash-back goes to your favorite charity and get perks and premium rewards for achieved donation milestones!",Estonia,4.402594,,,
APAKASHA OÜ,628942.0,"Estonia, Harjumaa, Tallinn, 6 Kiriku Tn, 10130",https://www.linkedin.com/company/apakasha,www.apakasha.com,"Apakasha, incorporated in Tallinn (Estonia), is a Fintech company specialized in Blockchain & Cryptocurrencies. We design, develop and manage innovative Blockchain and Cryptocurrency solutions for our clients around the world: - Blockchain and Cryptocurrencies Consulting & Training. - Design and Development of Blockchain systems such as:     - Cryptocurrencies Trading and Exchange platform     - Blockchain Applied to AI & SecureID     - DApps(Distributed Apps) & Smart contracts     - Management and promotion of cryptos Cloud Mining - Promotion of Blockchain Technology for social development.",Estonia,0.628942,,,
AskRobin,628942.0,"Estonia, Harjumaa, Tallinn, 2b Lõõtsa, 11415",https://www.linkedin.com/company/askrobin,www.askrobin.com,"MEET ASKROBIN  askRobin is your free financial search engine. Our job is to find you the best financial products available, for free and 100% online. WHY DOES ASKROBIN EXISTS?  Created in 2017 to fight the financial exclusion of more than 3 billion people, askRobin exists to provide access to different financial products, including credit, debt settlement services, and digital accounts. The search for financial products online works through our proprietary technology, powered by artificial intelligence. We help our users build their financial profiles and with intelligent segmentation we can offer them tailored offers, helping them save time and money with the search for financial services. In addition to providing access to the best offers in the market, we share financial education so that our users can become financial experts. WHO DOES ASKROBIN WORK WITH? askRobin has grown exponentially in the last 3 years, connecting more than 1 million people in Latin America with more than 200 financial entities in Mexico, Colombia, Argentina and Peru. We work with the best-known financial institutions in the market, including credit companies, credit repair companies and neobanks offering digital accounts. THE ASKROBIN TEAM We are a passionate, international team committed to helping democratize consumer finances and transferring the power to the customers. We are united by passion, empowered by cultural diversity, and guided by our powerful goal. We love celebrating our victories and having fun along our ambitious journey. To discover askRobin's services, go to www.askrobin.com",Estonia,0.628942,,,
Choise.ai,21945702.0,"Estonia, Harjumaa, Tallinn, 5 A. Lauteri Tn, 10114",https://www.linkedin.com/company/crypterium,choise.ai,"Launched in 2017, Choise.ai is an enterprise crypto ecosystem providing solutions for over 1M+ users and over 50+ banks, fintechs, and startups worldwide, bridging the gap between DeFi and TradFi. The ecosystem is leading the Web3 B2B blockchain approach, providing its robust licensing framework and white-label solution to key businesses to supercharge their crypto offerings in over 170 countries and reach the new decentralized economy. Over the last 7 years, the team has successfully launched a crypto exchange, debit cards powered by Mastercard and Visa, a DEX, and now looks to grow its offerings to include a new L2 that’s business-ready, a new perpetual decentralized trading platform with $100T+ market potential and more to bring people and businesses on-chain. With over $50M in total investments, projects within the Choise.ai ecosystem have obtained full licensing to provide services in over 170 countries and partnered with leading companies like Kraken, Kucoin, BitGo, and others to bring DeFi solutions to the real world, in a regulated manner.",Estonia,21.945702,,,
Dfpay,1686687.0,"Estonia, Harjumaa, Centre, 60/1 Telliskivi Tn, 10412",https://www.linkedin.com/company/dfpay1,dfpay.io,"Dfpay is an innovative fintech startup driving the evolution of payment systems through the utilisation of blockchain technology. Our primary aim is to empower businesses worldwide with seamless, expedited, and trustworthy cryptocurrency payment solutions.  In addition to our core payment processing services, Dfpay also offers an OTC trading solution for larger transactions. This provides customers with access to deep liquidity and competitive pricing when trading large blocks of cryptocurrency. Together, our payment and trading solutions provide a comprehensive suite of services to meet the needs of businesses looking to adopt cryptocurrency payments and expand into digital assets.",Estonia,1.686687,,,
Digiwallet OÜ,1257884.0,"Estonia, Harjumaa, Tallinn, Roosikrantsi Tn 2-k400, 10119",https://www.linkedin.com/company/digiwallet-ou,www.digiwallet.ee,"Founded in 2018, Digiwallet OÜ is a fin-tech company with a dedicated focus towards partnering for growth of crypto currency exchanges, brokerage and Investment firms by providing 24/7/365 days deep aggregated liquidity for trading crypto currencies and huge order/volume trade execution through OTC offerings (BluBlock.co).  Digiwallet has it's customers & partners base across scattered across 4 continents, with offices in Hong Kong, London, Zuric, India, Singapore and Dubai. We currently offer liquidity for 37 pairs including few crypto to crypto pairs with major coins and  crypto-fiat pairings with USD, EURO, AUD and SGD currencies.",Estonia,1.257884,,,
Elegro.eu,4402594.0,"Estonia, Harjumaa, Tallinn, 2 Roosikrantsi, 10119",https://www.linkedin.com/company/elegro-eu,elegro.eu,"We are elegro a blockchain-based platform with headquarters in Tallinn, developing FinTech payment solutions that make it fast, easy, and secure to use crypto in daily life. We created elegro to provide businesses and shoppers with an up-and-coming payment option: cryptocurrency payments. Our mission is to bring together the best of what cryptocurrency has to offer: a safe, low-cost, decentralized alternative to payment cards. To deliver the best user experience, we've dramatically streamlined and sped up routine procedures, while making security a top priority. With elegro, businesses can focus on brand promotion and customer acquisition by using white-label versions of our products. elegro Acceptance is packed with different features that make crypto acceptance extremely easy. You can accept cryptocurrency online or at a brick-and-mortar store without the need to know much about it. What you get is an additional payment method to enter new markets, grow your customer base, and boost sales.",Estonia,4.402594,,,
Estateguru.co,6281320.0,"Estonia, Harjumaa, Tallinn, 10 Tartu Mnt, 10130",https://www.linkedin.com/company/estateguru-ltd,estateguru.co,"In 2013 a group of real estate and fintech experts based in Tallinn, Estonia had a bright idea. What if they could break down the barriers which ensured that investing in secured property loans was a luxury only available to the wealthy and well-connected? And what if they could help entrepreneurs and visionaries in the property development business who struggle with the ‘one-size-fits all’ solutions offered by banks and major financial institutions at the same time? Thus Estateguru was born. Today, more than decade later, we have facilitated more than 7000 loans worth in excess of €900 million. Over 160 000 investors, from all walks of life and hailing from 100+ countries, have earned average returns of 10.07% by backing property loans in Estonia, Latvia, Lithuania, Spain, Germany, Sweden and Finland with more markets to follow. Due to the large and diversified investor base, with millions of EUR available to lend, our borrowers can get the money they need to realise their plans quickly, on their own terms, and investors can access pre-vetted and diversified, cross-border investment opportunities with a low barrier to entry and total transparency. Join us on our journey of building the bridges in property finance world.",Estonia,6.28132,,,
