Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Holvi,16000000.0,"Finland, Uusimaa, Helsinki",https://www.linkedin.com/company/holvi,holvi.com,"Holvi is a digital banking service designed specifically for self-employed individuals and small businesses, offering a comprehensive suite of financial tools in one easy-to-use platform. Founded in Helsinki in 2011, Holvi aims to simplify financial management by providing services such as business accounts, invoicing, bookkeeping, and a Holvi Business Mastercard®. The company's mission is to empower entrepreneurs by eliminating the complexities of financial administration, allowing them to focus on growing their businesses. Holvi primarily serves freelancers and small business owners across Europe, with a strong emphasis on expanding its market presence in Germany. The company is authorized by the Financial Supervisory Authority of Finland and operates offices in Helsinki, Berlin, and Madrid, reflecting its commitment to providing accessible financial solutions across the continent.",Finland,16.0,,,
Wamo,4280883.0,"Finland, Uusimaa, Helsinki",https://www.linkedin.com/company/innovertu,www.wamo.io,"wamo is a European fintech company focused on making banking, finance, accounts and admin faster, simpler and more human for small businesses. Licensed and regulated by the Finnish Financial Supervisory Authority as a pan-European electronic money institution, wamo delivers the speed and simplicity entrepreneurs demand from a digital bank, plus personalised insight and hands-on human support to make life a little easier when things get complicated. Founded in 2021, wamo has headquarters in Helsinki, London, and Malta.",Finland,4.280883,,,
ACH Group Oyj,628942.0,"Finland, Finland Proper, Turku, 8 Aurakatu, 20100",https://www.linkedin.com/company/euro24-group-oyj,euro24group.fi,"Euro24 Group Oyj on suomalainen fintech rahoitusyhtiö, joka tarjoaa kuluttaja- ja yritysasiakkailleen nykyaikaisia ja joustavia rahoitusratkaisuja. Toimintamme perustana on luotettavuus, turvallisuus ja asiakastyytyväisyys. Vuodesta 2011 lähtien olemme myöntäneet kulutusluottoja yksityishenkilöille ja käyttöpääomarahoitusta yritysasiakkaille. Yrityksen pääkonttori sijaitsee Turussa. https://euro24.fi/ https://yritysluottoja.fi/ https://euro24group.fi/",Finland,0.628942,,,
Arantio Oy Ltd,628942.0,"Finland, Uusimaa, Helsinki, 11 C 12 Yrjönkatu, 00120",https://www.linkedin.com/company/arantio-oy,www.arantio.com,"Arantio is an established fintech company that develops and maintains a targeted payments platform. Founded in 2017, our company processes annually millions of transactions between over quarter million consumers and tens of thousands of companies.  Headquartered in Helsinki, our team serves companies that provide employer benefits services and in the public sector service voucher ecosystem for municipalities and their residents. An altogether epicly happy and professional team, we excel in the domains (and buzzwords) of authentications, transactions and virtual accounts in existing and new financial ecosystems.",Finland,0.628942,,,
EBIC Oy,557613.0,"Finland, Uusimaa, Helsinki",https://www.linkedin.com/company/ebicoy,www.ebic.fi,"EBIC is a Finnish fintech company. We create awesome finance services which respect our users needs with great user experience. EBIC Pay is a completely free, independent, secure and easy to use sales financing service, ready for your shop in a heartbeat. Our vision is to make sales financing easy.",Finland,0.557613,,,
Euroloan Group Plc,628942.0,"Finland, Uusimaa, Helsinki",https://www.linkedin.com/company/cochito-oy,www.euroloan.com,"Euroloan Group Plc  is a rapidly growing international FinTech group, headquartered in Helsinki, Finland.  Euroloan has developed the most efficient business models and systems in the market, and is one of the leading service providers in key European markets. The company provides customers with real-time credit, enabled by a fully automated cloud service. Euroloan has consolidated its market position and increased its market share continuously from the time the company was established in 2007.  More information about the company can be found at www.euroloan.com.",Finland,0.628942,,,
Evoir,557613.0,"Finland, Pirkanmaa, Tampere",https://www.linkedin.com/company/evoirfi,www.evoir.io,Kaikki asuntosijoittajalle 💎 Asiakirjat & Allekirjoitukset 💎 Analytiikka & Raportointi 💎 Vuokranmaksunseuranta 💎 Verotus #asuntosijoittaminen #asuntosijoitus #sijoitusasunto #sijoittaminen #asuntosijoittaja #vaurastuasuntosijoittajana #vuokranantaja #realestateinvesting #fintech #proptech #openbanking #SaaS #openapi Ota yhteyttä contact@evoir.fi,Finland,0.557613,,,
Ferratum Global,147820540.0,"Finland, Uusimaa, Helsinki, 11 A Ratamestarinkatu, 00520",https://www.linkedin.com/company/ferratum-group,www.global.ferratum.com,"Ferratum Global, a part of Multitude AG, is a leading European FinTech company that specializes in providing digital lending and online banking services. Established in Finland in 2005 and now registered in Switzerland, Ferratum operates through three distinct business units: Consumer Banking, SME Banking, and Wholesale Banking. The company's mission is to deliver accessible financial solutions to consumers, small and medium-sized enterprises, and other FinTechs that are often overlooked by traditional banks. With a strong presence in 17 countries and a workforce of over 700 employees, Ferratum aims to foster sustainable growth while optimizing risk-adjusted returns for its shareholders. The company is committed to maintaining high standards of corporate governance and environmental, social, and governance (ESG) practices, reflecting its dedication to responsible banking and positive impact creation.",Finland,147.82054,,,
Fintech Finland,628942.0,"Finland, Uusimaa, Helsinki, 00 Aleksanterinkatu, 00100",https://www.linkedin.com/company/fintechfinland,fintechfinland.fi,"Fintech Finland is a neutral, non profit organization created to boost Fintech services in Finland and help Fintech companies grow internationally. We arrange network events and  mentoring.  We co-operate with Fintech, Banks and Insurance companies as well as will regulators to create a leading Fintech Hub in Finland. Our Strategic Objectives -Create a broad and diversified ecosystem in Finland -Boost innovation and help new companies to enter to the market -Be active in international events -Cross breed AI and other technologies between industries",Finland,0.628942,,,
Flioz Ltd.,1257884.0,"Finland, Uusimaa, Helsinki, Kalevankatu",https://www.linkedin.com/company/flioz-ltd.,www.flioz.com,"Flioz Ltd is a Finnish based Fintech company providing mobile software applications for investors. We are a team of finance professionals, designers and software developers dedicated to make investing in stock markets profitable, easy and fun. You can find here Flioz related information and topical themes around stock portfolios, investing and fintech in general.",Finland,1.257884,,,
Forsetify,628942.0,"Finland, Uusimaa, Helsinki, 2 Eteläesplanadi, 00130",https://www.linkedin.com/company/forsetify,www.forsetify.no,Forsetify is a Finnish Fintech company that is operating in the whole Nordics utilized to provide perfect tools for businesses and consumers to manage their economy and operations.,Finland,0.628942,,,
GF Money,3137159.0,"Finland, Uusimaa, Helsinki, 2 D Mikonkatu, 00100",https://www.linkedin.com/company/gfmoney,www.gfmoney.com,"Founded in Finland in 2011, GF Money today operates in Finland, Sweden, Spain and Denmark.  Thanks to the continuous development of the company and its services, GF Money has gained a strong position in the financial technology industry. Since the early days of the company, GF Money has been among the first fintech companies to make agile financing solutions available to all consumers. The core of the services is the company’s unique technology, which provides its customers agile, easy, and reliable financial services. -- Vuonna 2011 perustettu GF Money on suomalainen rahoitusyhtiö. GF Money on tullut tunnetuksi luotettavana ja helposti lähestyttävänä rahoitusalan yrityksenä, joka tarjoaa monipuoliset ja joustavat rahoituspalvelut huipputeknologian avulla. Nykyään GF Money tarjoaa ketterät rahoituspalvelut yrityksille ja kuluttajille Suomessa Lainasto-brändinsä kautta. Lisäksi GF Money toimii myös Ruotsissa, Espanjassa sekä Tanskassa.",Finland,3.137159,,,
Guulpay,168636.0,"Finland, Central Finland, Helsinki, 6 Tallinnanaukio, 00930",https://www.linkedin.com/company/guulpay,www.guulpay.com,"Guulpay is a brand name of Q-express Online Oy a fintech company located in Finland, registered under Finnish Financial Supervisory. We help our customers improve their financial health by providing digital disbursement solutions for fast and secure payment delivery options.",Finland,0.168636,,,
Helsinki Fintech Farm,3345678.0,"Finland, Uusimaa, Helsinki, 16 Lapinlahdenkatu, 00180",https://www.linkedin.com/company/fintech-farm,www.helsinkifintech.fi,"Fintech Farm is the fintech hub of Finland and a leading platform for digital finance collaboration across Northern Europe. We connect banks, fintechs, and service providers through events, training, and tailored matchmaking. Our flagship platforms – Nordic Banking Forum, Nordic Fintech Summit, AML Arena, the Digital Banking Academy, and Strategy Talks – drive growth, partnerships, and knowledge sharing year-round.",Finland,3.345678,,,
KleverApp,3558257.0,"Finland, Ostrobothnia, Vaasa, 34 Pitkäkatu, 65100",https://www.linkedin.com/company/klever-ab-oy,www.kleverapp.com,"Receive and pay your bills on time - every time.  KleverApp is the easiest and most comprehensive invoice payment application ever created for people. Klever gathers all your invoices in one application and allows users to collect, receive and pay invoices with one click. Klever Ab Oy is a newly founded start-up company in the FinTech industry that is in the product development stage. Klever is currently available on the App Store and Google Play. Download Klever for iOS here: http://m.onelink.me/e8848f31 Download Klever for Android here: http://m.onelink.me/ba3feb33 Contact info@kleverapp.com for more information!",Finland,3.558257,,,
LVS Brokers,3773652.0,"Finland, Central Finland, Helsinki, 20 Kalevankatu, 00100",https://www.linkedin.com/company/lvsbrokers,www.lvsbrokers.com,"LVS Brokers is the 6th fastest growing fintech company in Europe (Financial Times FT1000) on a mission to help people make smarter financial decisions. We have built a platform that connects banks, insurers, and other financial service providers to customers. We currently operate in 3 countries – Finland, Denmark, and Poland – and even more are on the way!",Finland,3.773652,,,
MyLender Oy,388432.0,"Finland, Uusimaa, Helsinki, 35 E Pohjoisesplanadi, 00100",https://www.linkedin.com/company/my-lender-oy,www.mylender.fi,"myLender is a Helsinki-based FinTech company offering consumer finance services across Northern Europe. Founded in 2015, it leverages advanced technology and AI to provide fast, efficient, and customer-centric solutions. Backed by experienced professionals, My Lender continues to innovate and grow to meet evolving customer needs.",Finland,0.388432,,,
New Rose Ltd,48733.0,"Finland, Uusimaa, Helsinki, 5b Hämeentie, 00530",https://www.linkedin.com/company/new-rose-ltd,www.newrose.fi,"We specialize in financial services and latest technology. Product, process and business development and new concepts based on thorough understanding of the business and opportunities brought by modern technology – that’s us. Financial technologies (FinTech) and P2P (peer-to-peer) are good examples of our core competence. We set up startups and offer private equity. We also help to develop business from start-ups to global conglomerates together with our extensive network of cooperating partners.",Finland,0.048733,,,
Nordic Financial Group Ltd.,1115226.0,"Finland, Uusimaa, Helsinki",https://www.linkedin.com/company/nordicfinancialgroup,www.nordicfinancialgrp.com,"Nordic Financial Group Ltd. is a FinTech company based in Finland and we are going to disrupt the financial market investment scene, just because what our algorithm does is totally different from all the other algorithms existing on the market. Our vision is to became one of the most attractive and the best performance Hedge Fund. Just in one year we hit 800% in capital growth! To have more information on Nordic Financial Group Ltd. below is the cotact person: Gian Luca Cioletti Nordic Financial Group Ltd., co-founder, COO, Chairman of the Board https://www.linkedin.com/company/nordicfinancialgroup luca@nordicfinancialgrp.com cell: +358 50 342 3554 cell: +39 371 447 0767",Finland,1.115226,,,
OPR-Finance Oy,3278367.0,"Finland, Uusimaa, Helsinki, 8 B Lautatarhankatu, fi-00580",https://www.linkedin.com/company/opr-vakuus-oy,www.opr-finance.fi,"OPR-Finance Oy is a well-established and privately owned financial Finnish company founded in 2005. Using advanced finance technology (FinTech), the company provides consumer credits for individuals and working capital financing for businesses, being a market leader in its respective segment in its home country. Since 2005 OPR-Finance Oy has offered over a million consumer loans and its’ services to more than 500,000 customers. Our offices are currently located in Helsinki, Stockholm, Amsterdam and Prague. We are committed to operate according to our shared values, which are responsible, customer driven and developing. www.opr-finance.fi",Finland,3.278367,,,
PURO Finance,6691356.0,"Finland, Central Finland, Espoo, 1 Keilanimentie, 02150",https://www.linkedin.com/company/purofinance,www.puro.finance,"PURO Finance on suomalainen fintech-yhtiö, joka on erikoistunut factoringiin eli laskurahoitukseen. PUROn tekeminen pohjaa ensiluokkaiseen teknologiaan ja digitaalisiin prosesseihin. Tavoitteenamme on tarjota yhdessä kumppaniemme kanssa luotettava ja vaivaton laskusaatavien rahoituspalvelu, joka yhdistää asiakkaiden laskutuksen, rahoituksen, luottovakuutuksen, perinnän ja kirjanpidon. Laskurahoitus on keskeinen osa yrityksesi kassan- ja riskienhallintaa. Palvelu sopii yrittäjille ja pienille sekä isommille yrityksille. Palvelun käyttöönotto on helppoa ja nopeaa sekä parantaa yrityksen kassanhallintaa ja antaa yrittäjälle mahdollisuuden keskittyä omaan ydintekemiseen ja liiketoiminnan kasvattamiseen. Tuotteitamme voi saada useammalla brändinimellä; Procountor Kassaturva, Isolta Kassaturva, Ecom Kassaturva, POP Pankin Laskuraha ja PURO Financen laskurahoitus. Laskurahoituksen avulla saat rahat laskusta heti tilille eikä palvelumme sisällä piilokuluja. Palvelumme perusta on helppous ja joustavuus. Yrityksemme on tunnettu lämpimästä asiakaspalvelusta. Tervetuloa asiakkaaksemme!",Finland,6.691356,,,
