Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Lydia,75000000.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/lydia,www.isbs.eu,"Lydia, now rebranded as Sumeria, is an innovative financial services company that offers a range of modern banking solutions, including a variety of payment cards and instant money transfer services. The company aims to redefine the banking experience by making it more accessible and enjoyable for users, with a mission to provide secure and efficient payment methods tailored to the needs of its clients. Sumeria's offerings include traditional debit cards, virtual cards for online transactions, and a unique metal card called ""Feuille d'Émeraude,"" which combines aesthetic appeal with advanced functionality. Targeting tech-savvy individuals and businesses, Sumeria partners with various organizations, including sports clubs like FC Versailles, to enhance its brand presence and reach a broader audience. With a focus on instant, fee-free transactions and innovative features like mobile payment compatibility, Sumeria is committed to transforming the way people manage their finances.",France,75.0,,,
Pennylane,4069242.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/pennylaneaccounting,www.pennylane.tech,"Pennylane est une entreprise spécialisée dans la fourniture de solutions de comptabilité et de gestion financière, principalement destinée aux indépendants, TPE, PME et ETI. Sa mission est d'optimiser la gestion comptable des entreprises en offrant des outils adaptés qui garantissent la transparence et la régularité des opérations financières. En s'engageant à simplifier le suivi comptable, Pennylane permet à ses clients de se concentrer sur leur cœur de métier tout en assurant une conformité fiscale. L'entreprise collabore étroitement avec divers partenaires, notamment des experts-comptables, pour offrir un accompagnement personnalisé et des conseils stratégiques.  Le marché cible de Pennylane inclut principalement les auto-entrepreneurs et les petites à moyennes entreprises, qui recherchent des solutions efficaces pour gérer leur trésorerie et leurs obligations comptables. En mettant l'accent sur les besoins uniques de ces segments, Pennylane se positionne comme un acteur clé dans la transformation numérique du paysage comptable. Grâce à ses outils innovants, l'entreprise vise à améliorer la productivité opérationnelle de ses clients, en leur fournissant des solutions qui simplifient les tâches complexes liées à la facturation et à la comptabilité. En résumé, Pennylane s'efforce de devenir un partenaire de confiance pour les entreprises cherchant à optimiser leur gestion financière tout en garantissant une conformité et une transparence accrues.",France,4.069242,,,
Treezor,221608.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/10301512,www.treezor.com,"Treezor is a pioneering company specializing in embedded finance solutions, particularly in the realm of sustainable mobility. With a mission to facilitate the adoption of environmentally friendly transportation methods, Treezor provides customizable payment cards that enable employers to manage and optimize their employees' mobility expenses. The company supports businesses in implementing innovative mobility benefits, such as the ""titremobilité"" and the ""Forfait Mobilités Durables,"" which incentivize the use of sustainable transport options. Treezor's clients include various enterprises looking to enhance their employee mobility programs while adhering to regulatory frameworks, and it partners with organizations like Skipr to deliver tailored payment solutions. By prioritizing security and offering advanced tracking and reporting tools, Treezor aims to simplify the management of mobility expenses, ultimately contributing to a greener future.",France,0.221608,,,
Ingenico,10285871642.0,"France, Île-de-france, Suresnes",https://www.linkedin.com/company/ingenico,www.ingenico.com,"Ingenico is the global leader in payment acceptance and services. We support our customers, and their customers to do more with payments. Active in 32 countries, with over 3,000 employees we have been at the forefront of the commerce landscape for over four decades. With tens of millions of payment devices deployed worldwide, powered by over 2,500 apps, the company is servicing the needs of millions of consumers every day. Through our advanced integrated solutions and network of partnerships, we simplify the world of payments and bring value added services to move commerce forward.",France,10285.871642,,,
Worldline,4812080910.0,"France, Île-de-france, Paris, 1 Place Des Degr�s Cs 81162, 92059",https://www.linkedin.com/company/worldlineglobal,www.worldline.com,"We are Worldline. We help businesses of all shapes and sizes to accelerate their growth journey –  quickly, simply, and securely.  With advanced payments technology, local expertise and solutions customised for hundreds of markets and industries, Worldline powers the growth of over one million businesses around the world.",France,4812.08091,,,
Qonto,750000000.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/qonto,qonto.com,"Qonto is the finance solution that creates the freedom for SMEs to succeed in business, and beyond. A few figures about Qonto: - Alexandre Prot and Steve Anavi launched Qonto in July 2017 - Qonto’s international team is growing fast and we are actively hiring! - Hundreds of thousands of customers in Europe are already using Qonto - €622m raised with VCs and business angels including Valar, Alven, the European Investment Bank, Tencent, DST Global, Tiger Global, TCV, Alkeon, Eurazeo, KKR, Insight Partners, Exor Seeds and Gaingels. Legal Notice: 🇪🇺 https://legal.qonto.com/en 🇫🇷 https://legal.qonto.com/fr 🇩🇪 https://qonto.com/de/imprint 🇪🇸 https://legal.qonto.com/es 🇮🇹 https://legal.qonto.com/it 🇳🇱 https://legal.qonto.com/nl 🇧🇪 https://legal.qonto.com/be 🇵🇹 https://legal.qonto.com/pt 🇦🇹 https://legal.qonto.com/at",France,750.0,,,
Lyra,323609368.0,"France, Labège, 109 Rue De L'innovation, 31670",https://www.linkedin.com/company/1150634,www.lyra.com,"Heading towards the payment of tomorrow! Have you ever wondered what could happen behind each transaction? Lyra, an independent French company with international reach, has successfully established itself in the payment and fintech ecosystem since 2001. As a dedicated payment service provider, our teams contribute every day to making payments safer and simpler. ⚡ Boosting the growth of your business, challenge accepted! 💡 How? With flexible, omnichannel purchasing journeys that meet the needs of our clients (merchants, banks, maintainers, publishers...). Our strengths: • Solid network of partners • End-to-end mastery of the payment chain • Certified expertise • Highly secure solutions (PCI-DSS) • Knowledge of each industry sector and business model (retail, catering, tourism, marketplace...) • Subsidiaries around the world to be closer to the specificities of each market Need a new vision of payment? Contact our experts! https://www.lyra.com/contact/ Do you have talent and want to join the adventure? Contact us! https://www.lyra.com/fr/jobs/",France,323.609368,,,
Younited,138512500.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/younited-credit,www.younited-credit.com,"Younited is a leading instant credit provider in Europe, specializing in consumer financing solutions that empower individuals to manage their purchases with ease and flexibility. With a mission to transform the consumer loan market, Younited leverages advanced technology, including state-of-the-art APIs and artificial intelligence, to deliver a seamless and responsible financing experience. The company serves over 1.2 million customers across the EU, partnering with major retailers like Bouygues Telecom and SMEG to integrate its Younited Pay solution into their sales processes, enhancing customer satisfaction and increasing conversion rates. Younited's vision is to promote financial well-being for European households by providing innovative and accessible credit options, ensuring that clients can make informed financial decisions without the burden of complicated paperwork. As Younited continues to expand its reach and capabilities, it remains committed to responsible financing practices and maintaining a high level of customer trust, as evidenced by its strong ratings on platforms like Trustpilot.",France,138.5125,,,
Swile,132387210.0,"France, Occitanie, Montpellier",https://www.linkedin.com/company/swile,swile.co,"Swile est une entreprise française innovante fondée en 2017, spécialisée dans les solutions de gestion des avantages sociaux pour les employés. Elle propose une carte de paiement et une application qui facilitent l'accès à divers avantages, tels que les congés payés, les repas et d'autres bénéfices liés à la vie professionnelle. La mission de Swile est de transformer la manière dont les entreprises gèrent et distribuent ces avantages, en mettant l'accent sur la flexibilité et l'expérience utilisateur. Son objectif est de favoriser un meilleur équilibre entre vie professionnelle et personnelle pour les salariés, tout en aidant les entreprises à attirer et retenir les talents. Swile collabore avec une variété de clients, allant des startups aux grandes entreprises, et s'adresse principalement aux employeurs soucieux d'améliorer le bien-être de leurs employés.",France,132.38721,,,
HiPay Group SA,77185075.0,"France, Île-de-france, Levallois-perret, 94 Rue De Villiers, 92300",https://www.linkedin.com/company/hipay,www.hipay.com,"Augmented payments - augmented results for demanding merchants  Behind every transaction is a growth opportunity. As your global payment partner, we make the most of your data to provide a responsive solution that perfectly fits your needs.  🚀 Our mission ? Propel the growth of our merchants, whatever their sales channel 💡 How ? By boosting your sales while protecting against fraud and giving you access to usable insights to improve conversion, revenue, and long-term loyalty. 💻 With what means ? We develop cutting-edge technologies, integrated in a unique and responsive solution, capable of adapting to the needs of any European merchant. Hundreds of companies, from merchants to marketplaces such as Franprix, The Kooples, Promod, Oxybul or Fauchon, already trust us to build the best payment experience together - why not you? Take your payment strategy to the next level with HiPay 💳 Contact us now on https://hipay.com or with the contact form below  #hipay #paiement #psp #conversion #onmicanal #performingpayments",France,77.185075,,,
Swan,46540200.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/swan-baas,swan.io,"Swan is the leading European fintech specialized in embedded banking. Companies of all kinds can unlock the full potential of their product by embedding Swan's banking features such as accounts, cards, and payments.  Founded in 2019, Swan processes over 1 billion euros of transactions per month, for 150+ companies, and operates across thirty European countries. The company has received growth capital from leading VC investors such as Lakestar, Accel, Creandum, Bpifrance and Eight Roads.  Swan is a Mastercard principal member and a licensed financial institution, regulated by the French banking authority (ACPR).",France,46.5402,,,
October,34546450.0,"France, Île-de-france, Paris, 94 Rue De La Victoire, 75009",https://www.linkedin.com/company/october-fr,www.october.eu,"October is a European FinTech whose mission is to finance businesses better. Our data and technology expertise make it easy and fast to say yes to businesses, thanks to a robust risk analysis. We have already financed thousands of SMEs for EUR 1 billion in France, Spain, Italy, the Netherlands and Germany.  As a lending platform, we are the first users of our technology. With October Connect, our tools also empower leading financial institutions, enabling them to better monitor their portfolio performance and enrich their risk analysis. Bpifrance is one of our early adopters.  October is part of the Next40 Alumni and has among its shareholders Allianz, CNP Assurances, CIR Group, Decaux Frères Investissement, Eurazeo and Partech. Since June 1st 2022, Credit.fr has joined October. The aim is to combine their strengths and technologies to meet the financing needs of SMEs as closely as possible. We are hiring! For more information about October: http://www.october.eu/ For more information about October Connect: http://www.connect.october.eu/",France,34.54645,,,
Mooncard,17338120.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/mooncard,www.mooncard.co,"Mooncard is a comprehensive solution designed to streamline the management of business travel and expense reporting for companies. The company addresses the challenges faced by employees traveling abroad, such as payment difficulties, currency conversion issues, and the complexities of managing expense reports in foreign currencies. Mooncard's mission is to simplify the travel experience for professionals by providing tools that automate expense tracking and ensure compliance with company spending policies. Its target market includes businesses of all sizes that require efficient expense management solutions, particularly those with employees frequently traveling internationally. By partnering with various financial institutions, Mooncard offers secure, customizable payment cards that facilitate seamless transactions and enhance financial oversight for organizations.",France,17.33812,,,
Lemonway,12008980.0,"France, Île-de-france, Paris, 8 Rue Du Sentier Bâtiment C 3ème, 75002",https://www.linkedin.com/company/753516,www.lemonway.com,"Lemonway is a pan-European Payment Institution offering a solution dedicated to marketplaces, and alternative finance platforms looking for a payment processing and collection system on behalf of third parties in a secure and regulated framework. Regulated by the ACPR and benefiting from the European passport in 29 countries, Lemonway is based in Paris and Hamburg. 400 marketplaces already trust Lemonway. The FinTech manages 1.4 million wallets for users of its partner platforms and has raised €50m from Breega, SpeedInvest, and Toscafund.",France,12.00898,,,
Spendesk,9713327.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/10554832,www.spendesk.com,"Spendesk is the complete spend management platform that saves businesses time and money by connecting company spend.  With the integration of everyday technologies, built-in automation, and an easily adopted approval process, Spendesk’s single solution makes agile, efficient spending easy for employees and gives finance leaders complete visibility across the entire company spend.  Trusted by thousands of companies, Spendesk is proud to have over 200,000 users across France, the UK, Germany and Spain.  Spendesk also puts community at the heart of spend management. Spendesk-backed CFO Connect is the largest finance community in Europe with more than 12,000 members. Learn more: http://www.cfoconnect.eu/",France,9.713327,,,
Santeos,8673587.0,"France, Île-de-france, La Defense, 1 Place Des Degrés Paris, 92059",https://www.linkedin.com/company/santeos,worldline.com,"Santeos est la marque e-santé du groupe Worldline. Notre mission est de transformer et d'améliorer la santé et la vie des citoyens grâce à des solutions innovantes et un savoir-faire reconnu. Ensemble, nous bâtissons un avenir où la technologie et la santé s'unissent pour le bien-être de tous. Nos solutions intègrent les spécificités métiers, réglementaires, techniques et d'interopérabilité propres au domaine de la santé. Nous créons et exploitons des services performants et sécurisés basés sur des solutions et savoir-faire éprouvés.  Ensemble, nous œuvrons pour un environnement de santé plus sûr et performant au service des patients et citoyens.",France,8.673587,,,
Alma,6723522.0,"France, Île-de-france, Neuilly-sur-seine, 176 Avenue Charles De Gaulle, 92200",https://www.linkedin.com/company/alma-alma-alma,almapay.com,"At Alma, we are convinced that trade must be well balanced to be sustainable. Because finance has a key role in business, our mission is to put it back in its rightful place : at the service of merchants and consumers! That’s why we create financial products that empower merchants to sell more, and help consumers purchase better products while never encouraging them to get over-indebted. Our tech solutions are accessible to all, easy to implement, and that eliminate purchase friction. For merchants, our instalment and deferred payment solutions are excellent ways of increasing customers' loyalty and satisfaction, as well as generating up to 20% extra sales revenues without any risk. For consumers, the purchase experience is enhanced (4.8/5 on Trustpilot) and Alma helps them handle their budget easily. They pay later, Alma pays the merchants right away. We are the leader in France, on track to win the European market on the (very) powerful Buy Now Pay Later (BNPL) industry, as we’re now processing payments in 10 European countries. Over the past 5 years, more than 13,300 active merchants have chosen Alma to be their innovative BNPL solution, and we have served over 3,6 million consumers. The team has grown from 2 to 300+ people, we raised a €115M series C early 2022 to help us accelerate further and Alma is already part of the French Tech 120 ranking of the most promising French technology companies. And that's only the beginning.",France,6.723522,,,
Skaleet,5580591.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/tagpayinc,skaleet.com,"Skaleet is a pioneering company specializing in Core Banking Platforms designed to empower financial institutions to innovate and adapt in a rapidly evolving banking landscape. With a mission to shift the focus from maintenance to innovation, Skaleet provides a modular, cloud-native solution that leverages a no code/low code approach, enabling clients to deploy new financial services quickly and efficiently. The company aims to help banks and financial organizations overcome the limitations of traditional legacy systems, allowing them to enhance user experience and meet stringent regulatory requirements. Skaleet's clients include a diverse range of financial institutions seeking to modernize their IT infrastructure and improve operational agility. By partnering with best-of-breed providers, Skaleet ensures that its clients can customize their offerings while maintaining high standards of security and compliance. Ultimately, Skaleet envisions a future where financial services are not only innovative but also seamlessly integrated into the digital lives of users.",France,5.580591,,,
PayGreen By Lemonway,3299551.0,"France, Hall, 107 Allée François Mitterand, 76100",https://www.linkedin.com/company/paygreen,paygreen.io,"PayGreen sécurise les paiements en carte bancaire Visa et Mastercard sur internet. L'objectif de PayGreen est d'inviter et d'inciter le grand public à la consommation responsable en distribuant un pouvoir d'achat vert afin que les consommateurs réalisent des économies tout en découvrant de nouveaux produits et services alternatifs. PayGreen met à disposition des internautes un porte-monnaie vert en ligne entièrement gratuit qui se crédite lors de tous les paiements sur internet. Le porte-monnaie PayGreen est dépensable chez un réseau de e-commerçants 100% verts référencés sur la plateforme https://paygreen.fr PayGreen est un produit de la société WATT IS IT sas, première société d'Île de France a être subventionnée par OSEO dans le cadre de son innovation sociale, est membre du pôle de compétitivité mondiale bancaire, le Pôle Finance Innovation. WATT IS IT sas a entre autre remportée en 2012 le concours MoovJee dans la catégorie ""engagement citoyen""",France,3.299551,,,
FairMoney,204867544.0,"France, Île-de-france, Paris, 96 Boulevard Raspail, 75006",https://www.linkedin.com/company/fairmoney,www.fairmoney.ng,"FairMoney is building the leading mobile bank for emerging markets. Our goal is to rebuild Africa's money story by offering Tier 1 digital financial services to merchants and consumers alike.   In our key market; Nigeria, FairMoney is currently the Most downloaded fintech app in Nigeria with over 10 million downloads and the #1 digital bank in Nigeria.  FairMoney offers a range of digital financial products including, near-instant digital loans 24/7, investment products, savings, payments, and cards directly via its mobile app.  We give 10,000 loans daily (one every 8 seconds!) in Nigeria and India, and have banking operations in Nigeria, with over 6 million users.  We're backed by international investors and have raised a total of $89.9M in funding, to support our development. FairMoney is unique thanks to its international exposure (with offices on 3 continents) and its impact-driven mission: we bring financial inclusion to underbanked people in emerging markets!  We are a team of close to 600 people, and for most of the positions, it's possible to join FairMoney remotely or in one of our offices: in Paris, Bangalore, Lagos, and Riga. We value candidates who embrace our company values: •	Growth Mindset – We believe in the power of a Growth Mindset, not fixed or static.  •	Big Plans, Bigger Ambitions - We make big plans, and have even Bigger Ambitions. We are here to build massive scale and drive the fintech revolution across Africa. •	Talent has no passport - We believe that Talent Has No Passport. While opportunity may not be evenly distributed across the world, talent is. •	Start with the Client – We Empathize with our users to optimize our impact. Many of us don’t live where our customers do - we must go in-depth to understand their pain points. Discover our other values during your discussions with the team. https://apply.workable.com/fairmoney/?lng=en",France,204.867544,,,
CAFPI,147741986.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/cafpi-groupe,app.cafpi.fr,"CAFPI Annecy International est un courtier en crédit immobilier qui se spécialise dans l'accompagnement de ses clients tout au long de leur projet immobilier, en leur offrant des solutions de financement adaptées à leurs besoins. Avec un réseau de plus de 100 partenaires bancaires, CAFPI s'engage à négocier les meilleures conditions de financement pour ses clients, qui incluent des primo-accédants, des investisseurs immobiliers et des projets à l'international. La mission de l'entreprise est de faciliter l'accès à la propriété en proposant un accompagnement personnalisé et des conseils d'experts, ce qui lui a valu la confiance de 30 000 clients en 2023. CAFPI se distingue par sa volonté d'innover, comme en témoigne son partenariat avec la fintech Virgil, permettant d'augmenter l'apport des clients pour rendre leurs projets immobiliers plus accessibles. Avec une note de 4,6/5 basée sur 53 avis, l'agence est reconnue pour son professionnalisme et son efficacité dans la gestion des dossiers de financement.",France,147.741986,,,
Arkéa Banking Services,100858716.0,"France, Île-de-france, Vincennes",https://www.linkedin.com/company/arkéa-banking-services,www.arkea-banking-services.com,"Pionnier des prestations bancaires en marque blanche, acteur majeur sur le marché des établissements de paiement, Arkéa Banking Services met son savoir-faire au service d’établissements financiers qui souhaitent accélérer leur transformation et se concentrer sur leur cœur de métier. Filiale à 100% du Crédit Mutuel Arkéa, Arkéa Banking Services est une banque de plein exercice dont le métier est de bâtir et de gérer des solutions bancaires pour compte de tiers : -	Etablissements bancaires ; -	Etablissements de paiement ou de monnaie électronique ; -	Fintech.",France,100.858716,,,
Sylq,46934274.0,"France, Île-de-france, Paris",https://www.linkedin.com/company/sylq,sylq.io,"🇫🇷 SYLQ simplifie les paiements. Notre plateforme tout-en-un regroupe tous les moyens d’encaissement – cartes, mobile, sans contact, en ligne et en magasin – sur un seul outil. 🎯 Simple, rapide et fiable, SYLQ aide les entreprises à se libérer des contraintes techniques pour se concentrer sur l’essentiel : leurs clients. 💡 Notre ambition : construire l’avenir du paiement avec des solutions modernes, sécurisées et évolutives, adaptées à chaque business. ➡️ En savoir plus : https://sylq.io #Paiement #Fintech #Innovation #BusinessMadeEasy #SYLQ 🌍 🇬🇧 SYLQ makes payments simple. Our all-in-one platform brings together every payment method – cards, mobile, contactless, online and in-store – in a single solution. 🎯 Simple, fast and reliable, SYLQ helps businesses remove technical barriers and focus on what matters most: their customers. 💡 Our ambition: to shape the future of payments with modern, secure and scalable solutions tailored to every business. ➡️ Learn more: https://sylq.io #Payments #Fintech #Innovation #BusinessMadeEasy #SYLQ",France,46.934274,,,
Sis ID,37058958.0,"France, Auvergne-rhône-alpes, Lyon",https://www.linkedin.com/company/sis-id,www.sis-id.com,"Sis ID is a French FinTech company founded in 2016 that supports major companies in the fight against APP fraud. Designed and created by CAC 40 Financial Officers and Treasurers, the My Sis ID collaborative platform enables companies to share: - the challenges of digitising finance, - their experiences and expertise in respect of fraud, - their transactional information, within a single, secure, centralised repository, to protect their bank transactions. The power of collective intelligence is the backbone of the Sis ID network !",France,37.058958,,,
