Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
BÁV FAKTOR Zrt.,6470288.0,"Hungary, Budapest, Budapest, Mozsár U. 16, 1066",https://www.linkedin.com/company/báv-faktor,www.bavfaktor.hu,"A  BÁV-Faktor Zrt. egy még mindig kevéssé ismert, de igen gyorsan és könnyen elérhető, testre szabható, rugalmas finanszírozási lehetőséget nyújt. A faktorálás révén az Ön vállalkozása is a megszokott hosszú, gyakran 30-180 napos fizetési határidők helyett, azonnal pénzügyi forrásokhoz juthat a teljesítés után. A BÁV-Faktor követelések teljes körű menedzselésével is támogatja ügyfeleit. A társaság a bankok stabilitását ötvözi a fintech cégek innovatív erejével, és szakértelmével segíti, hogy ügyfelei elérjék üzleti céljaikat. A faktorálással minimális befektetés mellett megnő a vállalkozások biztonsága, javul a likviditásuk.  A BÁV-Faktor mindeddig 1700 ügyfél számára mintegy 267.000 számlát finanszírozott meg 275 milliárd Forint értékben. A hazai faktoring piac vezető nem banki szereplőjeként minden évben folyamatos növekedést ért el a piacon az elmúlt közel 15 évben.  BÁV-Faktor Zrt. offers a flexible, tailor made, easily and  swiftly accessible, still less known option to improve liquidity. If you use factoring, your company will enjoy immediate funding instead of waiting for a lengthy, 30-180 days payment period after delivery. BÁV-Faktor also supports its clients by full-scale receivable management. By combining the stability of banks with the innovative power of fintech companies and staff expertise, BÁV-Faktor successfully supports clients to achieve their business objectives. While factoring requires minimal fee, in turn it largely improves financial security as well as business liquidity. So far BÁV-Faktor funded 267,000 invoices for  1,700 clients amounting to a total of HUF 275 billion. As a non-bank representative of the Hungarian factoring market, BÁV-Faktor produced continuous growth within the past 15 years. The success of BÁV-Faktor is based on long term partnerships, as well as the satisfaction and the success of the company’s customers. Phone: (30) 6981337",Hungary,6.470288,,,
Credit4Sales | Secure SaaS Platform For B2B Credit Control,3144710.0,"Hungary, Pest, Budapest, 5 Rétköz U., 1118",https://www.linkedin.com/company/credit4sales,www.credit4sales.com,"Credit4sales is a digital credit management solution from the RiskCover Group. Our fintech company's mission is to create value for our clients in providing credit risk management solutions. Coming from the finance and insurance sectors with over 20 years experience, we combine expertise with state of the art technology. We have developed our risk analysis and credit underwriting team to work in close co-operation with local and international service providers. Our vision is to provide our partners with a solution that helps them to track and minimise risks originating from their customers by providing them with all the relevant information via a cloud-based system that is constantly updated. Furthermore, credit4sales is a system that, when integrated in the daily operation of a business, identifies the clients that have the most sales potential. So, while minimising risk, it provides useful and easily accessible information which is essential in the sales function of your business. We have a network of clients throughout Europe in various industries who benefit from the leading solution in credit management.",Hungary,3.14471,,,
Defintech KFT,6470288.0,Hungary,https://www.linkedin.com/company/defintech-kft,defintechkft.com,"Provision of technology platforms for e-money institutions. Enterprise relationship management. Corporate and private technology services and capacitation. Technology guidance and assistance. Technology aggregated, CRM Systems' administration. DeFi + FinTech solutions. Client's personal designs. We build teams for technology",Hungary,6.470288,,,
FinFlex Global,671320.0,"Hungary, Budapest, Budapest, 8 Honvéd Utca, 1054",https://www.linkedin.com/company/finflex-global,finflexglobal.com,We care about your profit. FinFlex connects FinTech companies with users and provides easy-to-use infrastructure and IT technology for maximum profit.,Hungary,0.67132,,,
FinTechZone,2022854.0,Hungary,https://www.linkedin.com/company/fintechzone,fintechzone.hu,"A FinTechZone-nál azokat a 21. századi digitális pénzügyi megoldásokat keressük, amelyekkel a pénzügyek egyszerűbbé, gyorsabbá és átláthatóbbá válnak. Erre keresünk és hozunk fintech példákat itthonról és a nagyvilágból. Megmutatjuk, milyen szolgáltatásokat alapoznak a legújabb technológiákra (pl. AI, blockchain), a legfrissebb törvényi, szabályozói változtatásokra (pl. PSD2), mire lesz jó a nyílt bankolás (open banking), vagy az azonnali fizetés. Emellett vizsgáljuk a jelenlegi digitális banki és biztosítói megoldások ügyfélélményét, árazását, hogy irányt mutathassunk az okosabb pénzügyi világba!",Hungary,2.022854,,,
GBA FINTECH,1011427.0,"Hungary, Budapest, Budapest, 183 Budafoki Út, 1117",https://www.linkedin.com/company/gba-fintech,www.gbafintech.hu,"Under one Umbrella GBA FinTech services and consulting company based in Budapest, Hungary with three different business domains. GBA FinTech | Mobile App :GBA Fintech owns An App called B2play which provides a sport facilitates solution.  GBA FinTech | Technology: At GBA FinTech, we leverage innovative IT solutions to help our clients overcome industry challenges and boost consumer loyalty through an advanced mobile application. We work in three domains: financial and accounting business and an IT company.  GBA FinTech | Financial: Our services are designed to transform conventional financial services into cutting-edge infrastructure that promises higher value. We are a renowned company that’s helping thousands of companies with this banking, accounting, economic, and IT services.",Hungary,1.011427,,,
Himoney,1257884.0,"Hungary, Budapest, Budapest, 1085",https://www.linkedin.com/company/himoneyai,www.himoney.hu,himoney is a Budapest-based fintech company offering a mobile platform for financial robo-advisory and retail investments.,Hungary,1.257884,,,
Hungarian Fintech Association,4045709.0,"Hungary, Budapest, Budapest",https://www.linkedin.com/company/mafiszhu,www.mafisz.hu,"The Hungarian Fintech Association (HFA) is an industry association that unites all members of the Hungarian fintech ecosystem, from startups to mature businesses, as well as incubators and accelerators. Our goal is to help decision-makers, regulators and financial institutions to better understand the local fintech sector and its needs. Our vision is for Hungary to become an attractive country for fintech companies, offering growth and development opportunities.",Hungary,4.045709,,,
MBH Fintechlab,5660478.0,"Hungary, Pest, Budapest, Dévai U. 23, 1134",https://www.linkedin.com/company/mkb-fintechlab,fintechlab.hu,"MBH Fintechlab is the leading innovation lab, driving digital transformation in the financial sector.  We work on digital products, build long-lasting partnerships with startups and other innovators and organise events to share knowledge and boost the fintech community in the region. Being the first fintech innovation lab of Hungary, our team of experts are on a mission to solve the financial sector’s main challenges.",Hungary,5.660478,,,
OTP EBIZ Ltd.,4402594.0,"Hungary, Pest, Budapest, 16-18 Szekszardi Str., 1138",https://www.linkedin.com/company/otp-ebiz-ltd.,www.otpebiz.hu,"OTP Group is committed to innovation and new disruptive technologies in the digital world. In order to timely react to the new challenges set by entrants from various segments of the online world, cover existent as well as latent customer expectations and compound financial tradition with disruptive mindset, a new FinTech startup was grounded by the group with the ultimate mission of easing the everyday life of Small and Medium Enterprises. This Fintech was named OTP eBIZ Ltd. We are passionate about customer centric design, user experience and client feedback. We believe in open communication, flexibility and speed in all aspects of the work, while in change we offer life-work balance, excellent working atmosphere, challenging tasks combined with financial stability.",Hungary,4.402594,,,
Oxygen Investment Group,1160538.0,"Hungary, Budapest, Budapest, 19 Ecseri Út, fszt.19",https://www.linkedin.com/company/oxygen-investment-group,www.oxygengroup.eu,Specialized in financial services market introduction and fintech innovations.,Hungary,1.160538,,,
Peak,38434242.0,"Hungary, Pest, Budapest, 32 Hûvösvölgyi Út, 1021",https://www.linkedin.com/company/the-peak-financial-services,peakfs.io,Peak established in 2014 was the first company to provide Hungarian Forint based prepaid cards in the Central Eastern European region. Since the establishment of the company Peak became one of CEE’s most successful fintech brand providing prepaid-based financial solutions in 88 countries worldwide.,Hungary,38.434242,,,
Skonto Platform,1160538.0,"Hungary, Budapest, Budapest",https://www.linkedin.com/company/skonto-platform,www.skontoplatform.com,"Skonto Platform is a 2-min setup dynamic discounting platform. We help companies make a return on their unused cash while also providing liquidity for their suppliers.  We move cash where it's most needed. No magic. Just Skonto Platform. ---- Skonto Platform is a fintech company, operating a dynamic discounting portal. Our platform helps corporations earn discounts by paying suppliers early. We provide the technological and contractual framework, and onboard and train suppliers to use the platform. Our aim is to make companies' supply chains stronger and more efficient, speeding up the movement of money along supply chains.",Hungary,1.160538,,,
