Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Nexi S.p.A.,6111127703.0,"Italy, Lombardy, Milan, 55 Corso Sempione",https://www.linkedin.com/company/nexigroup,www.nexigroup.com,"We come from the merger and integration of Nexi, Nets and Sia, among the biggest European players in digital payments.  European by scale, local by nature we are now present in more than 25 countries. We have the scale, capabilities and proximity to provide the simplest, fastest and safest payment solutions to People, Businesses and Financial Institutions. We help our Customers pay and accept digital payments through a complete and personalised range of simple, intuitive and secure solutions. We offer Banks, Small and Medium-sized Enterprises, Large International Corporations, Institutions and Public Administrations a complete range of innovative solutions for digital payments in both card‑present and card‑not‑present acceptance, e-commerce and multi-channel solutions.  We want to shape the way People pay and Businesses accept payments, by offering to our customers the most innovative and reliable solutions, thanks to our scale and the competence and energy of our people.  We will drive the transition to a cashless Europe by making every payment digital because it is simpler, faster and safer for everyone. We strongly contribute to Europe’s digitalisation, managing our business in a sustainable way and with great attention to the environment, as well as to a transparent governance and to society.  We drive progress by simplifying transactions and by empowering people and businesses to enjoy closer relationships and prosper together.",Italy,6111.127703,,,
Illimity Bank S.p.A.,685902096.0,"Italy, Lombardy, Milan, 9 Via Soperga",https://www.linkedin.com/company/illimity,www.illimity.com,"illimity is the new paradigm bank founded and led by Corrado Passera. A bank born new, characterized by a highly innovative business model, with human intelligence and truly integrated technologies, with the aim of recognizing and enhancing the potential of individuals, families and businesses. Listed on the MTA of Borsa Italiana in March 2019 and on the STAR segment from September 2020, illimity Bank S.p.A. is now the head of the Group of the same name, which includes: neprix, IT Auction and illimity SGR. illimity provides credit to high-potential small and medium-sized companies, acquires Distressed Corporate Credits and manages them through its platform - neprix -, offers innovative digital direct banking services with illimitybank.com and establishes and manages Alternative Investment Funds with illimity SGR. Today it counts more than 600 illimiters from 200 companies, 17 business sectors and 20 different countries. A team of professionals with different skills and experiences, but united by strong values: entrepreneurship, independence, innovation and responsibility.",Italy,685.902096,,,
Satispay,639591942.0,"Italy, Lombardy, Milan",https://www.linkedin.com/company/satispay,www.satispay.com,"Satispay is an innovative financial technology company based in Milan, Italy, specializing in payment services and corporate welfare solutions. The company aims to simplify transactions for both consumers and businesses by providing a seamless platform for payments, meal vouchers, and other welfare products. Satispay's mission is to enhance the financial experience for users while promoting the adoption of digital payment methods across various sectors. Its target market includes employers looking to offer welfare services to their employees, as well as merchants who accept these payment solutions. Satispay collaborates with a range of partners, including service providers and financial institutions, to ensure the effective delivery of its services while maintaining a strong commitment to data protection and user privacy.",Italy,639.591942,,,
Mercury Payment Services,500000000.0,"Italy, Latium, Roma",https://www.linkedin.com/company/mercury-payment-services-s.p.a.,www.nexi.it,"Mercury Payment Services is a leading European PayTech company dedicated to providing the simplest, fastest, and safest payment solutions to individuals, businesses, and financial institutions. With a presence in over 25 countries across Europe, the company leverages high-end technological infrastructure to serve a diverse clientele, including banks, corporate clients, merchants, and end consumers. Its mission is to bridge the gap between large international scale and local competence, ensuring that even the smallest businesses can access innovative and reliable payment solutions. Mercury Payment Services focuses on enhancing the payment experience through services like digital invoicing and corporate banking solutions, aiming to streamline financial processes and foster stronger relationships between businesses and their banking partners. The company is committed to maintaining high standards of security and efficiency, aligning with the evolving needs of its clients in a rapidly changing digital landscape.",Italy,500.0,,,
HYPE,181016587.0,"Italy, Lombardy, Milan",https://www.linkedin.com/company/hypeapp,www.hype.it,"HYPE is a forward-thinking fintech company that specializes in providing innovative online banking solutions tailored for businesses and freelancers. With a mission to simplify money management, HYPE aims to create the smartest neobank on the planet, offering features such as instant payments, tax management tools, and comprehensive financial oversight through its user-friendly app. The company operates from dynamic locations in Milan, Biella, and Turin, strategically positioned within Italy's fintech ecosystem to attract key stakeholders. HYPE's target market includes individual entrepreneurs and small business owners seeking efficient, cost-effective banking solutions that eliminate traditional bureaucratic hurdles. By fostering a collaborative team environment, HYPE believes that each member contributes a unique note to create a harmonious financial experience for its clients.",Italy,181.016587,,,
CartaSi,170672782.0,"Italy, Lombardy, Milan",https://www.linkedin.com/company/cartasi,www.nexi.it,"CartaSi is a leading European PayTech company dedicated to providing the simplest, fastest, and safest payment solutions for individuals, businesses, and financial institutions. With a mission to bridge the gap between large-scale international operations and local expertise, CartaSi serves a diverse clientele that includes banks, corporate clients, merchants, and end consumers across more than 25 countries in Europe. The company focuses on delivering innovative, secure, and reliable payment solutions, leveraging high-end technological infrastructure to cater to even the smallest businesses. CartaSi's vision is to enhance the payment experience through digital transformation, offering services such as fast digital invoicing and seamless integration with corporate banking systems, ultimately fostering greater cohesion between the business and banking worlds.",Italy,170.672782,,,
Bassilichi,158799855.0,"Italy, Lombardy, Milan",https://www.linkedin.com/company/bassilichi-s-p-a-,www.nexi.it,"Bassilichi is a leading European PayTech company dedicated to providing simple, fast, and secure payment solutions for individuals, businesses, and financial institutions. With a presence in over 25 countries across Europe, Bassilichi combines international scale with local expertise to deliver high-level technological platforms and specialized services, catering even to the smallest enterprises. The company's mission is to enhance the payment experience through innovative solutions, while its vision focuses on becoming the go-to partner for payment services in the region. Bassilichi serves a diverse clientele, including top financial institutions and a wide range of merchants, ensuring that it meets the evolving needs of the market.",Italy,158.799855,,,
Banca AideXa,106885985.0,"Italy, Lombardy, Milan",https://www.linkedin.com/company/aidexa,www.aidexa.it,"Banca AideXa è la fintech bank esclusivamente dedicata alle micro e piccole imprese italiane. Fondata nel 2020 e guidata oggi da Roberto Nicastro e Marzio Pividori, ha costruito una rete di investitori e partner di alto profilo con un primo round di finanziamento di oltre 45 milioni €, il più grande primo round di finanziamento per una start-up fintech in Italia. A giugno 2021 AideXa ha ottenuto la licenza bancaria e ad oggi ha raccolto 100 milioni € di capitale. AideXa punta ad offrire soluzioni finanziarie semplici e veloci agli oltre 7 milioni di imprenditori (partite iva, micro, medie e piccole imprese) che producono metà del PIL e danno lavoro a metà degli occupati italiani, decisivi per la crescita, il benessere e il rilancio del nostro Paese.   La nostra mission è quella di facilitare il lavoro degli imprenditori, costruendo insieme esperienze finanziarie semplici, veloci, trasparenti e sicure, grazie all’utilizzo di tecnologie come AI e Open Banking.   In soli cinque anni abbiamo ottenuto la licenza bancaria, siamo stati tre volte tra LinkedIn Top Startups (al 1°, 2° e 3° posto), abbiamo lanciato 5 prodotti completamente digitali, superato i 20.000 clienti e il miliardo di euro di finanziamenti erogati. In poco tempo abbiamo costruito un brand giovane e solido. Siamo 120+ AideXer: motivati, sperimentatori e pronti ad innovare il modo di fare banca! Le nostre competenze variano dal digitale, al finanziario fino al tech.   I nostri valori: • Impresa: diamo valore ai progetti degli imprenditori  • Innovazione: sviluppiamo soluzioni innovative  • Velocità: siamo semplici, veloci e affidabili  • Sicurezza: valutiamo i rischi e li gestiamo consapevolmente  • Fiducia: costruiamo esperienze finanziarie con il supporto di una solida rete di partner",Italy,106.885985,,,
Fabrick,60400000.0,"Italy, Piedmont, Biella",https://www.linkedin.com/company/fabrickfinance,www.fabrick.com,"Fabrick is a pioneering company in the banking and financial services industry, specializing in embedded finance solutions that empower banks to implement innovative and compliant services. The company's mission is to enhance the customer experience by leveraging financial and non-financial data, enabling banks to respond swiftly to the evolving demands of a digitized market. Fabrick partners with financial institutions to provide a suite of ready-to-integrate solutions, including payment processing, risk analysis, and lending services, all designed to streamline operations and reduce time to market. Its target market includes banks and financial service providers looking to optimize their offerings and improve customer engagement through advanced technology platforms. With a focus on security and compliance, Fabrick also addresses critical challenges such as fraud prevention and data management, positioning itself as a reliable partner in the rapidly changing financial landscape.",Italy,60.4,,,
Tinaba,1258668.0,"Italy, Lombardy, Milan, 7 Via Andrea Appiani, 20121",https://www.linkedin.com/company/tinaba,www.bancaprofilo.tinaba.it,"Tinaba è la App per trasferire, condividere, gestire e spendere il denaro, per realizzare crowdfunding e ogni tuo progetto. Gratis, sempre e ovunque.",Italy,1.258668,,,
