Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
MANGOPAY.com,750000000.0,"Luxembourg, Luxembourg, Luxembourg, 2 Avenue Amélie, 1125",https://www.linkedin.com/company/mangopay,www.mangopay.com,"Mangopay provides modular payment solutions for platforms.  Our technology adapts to the growing needs of our customers, with seamless integration, a flexible product offering and best-in-class security.  It enables platforms to accept multiple currencies and multiple payment methods online, hold funds in segregated accounts and automate pay-outs.  Partners include: Vinted, Chrono24, Wallapop, La Redoute, Kiabi...",Luxembourg,750.0,,,
Bitstamp By Robinhood,304187284.0,"Luxembourg, Luxembourg, Luxembourg",https://www.linkedin.com/company/bitstamp,www.bitstamp.net,"Bitstamp by Robinhood is the world’s longest-running cryptocurrency exchange, continuously supporting the Bitcoin economy since 2011. With a proven track record and mature approach to the industry, Bitstamp provides a secure and transparent venue to over four million customers and enables partners to access emerging crypto markets through time-proven infrastructure. NMLS ID:	1905429 View more on the NMLS website here: https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1905429",Luxembourg,304.187284,,,
Tokeny An Apex Group company,23341662.0,"Luxembourg, Luxembourg, Luxembourg, 9 Rue Du Laboratoire, 1911",https://www.linkedin.com/company/tokeny,tokeny.com,"Tokeny is a leading onchain finance operating system. The awarded fintech provides compliant tokenization with the open-source ERC-3643 token standard and advanced white-label software solutions for financial institutions. The enterprise-grade platform and APIs unify fragmented onchain and offchain workflows, integrating essential services to eliminate silos. It enables seamless issuance, transfer, and management of tokenized securities. By automating operations, offering innovative onchain services, and connecting with any desired distributors, Tokeny helps financial actors attract more clients and improve liquidity. Trusted globally, Tokeny has successfully executed over 120 use cases across five continents and facilitated 3 billion onchain transactions and operations.",Luxembourg,23.341662,,,
Banking Circle,15656250.0,"Luxembourg, Luxembourg, Luxembourg, 2 Boulevard De La Foire, l-1528",https://www.linkedin.com/company/bankingcircle,www.bankingcircle.com,"Banking Circle is a pioneering financial technology company established over a decade ago, dedicated to supporting the digitalization, scaling, and internationalization of regulated financial institutions. Based in Luxembourg, the company specializes in providing innovative banking solutions tailored for businesses, including payment service providers, banks, investment funds, and marketplaces. Banking Circle offers a modern technology platform that facilitates global instant payments, efficient account setups, and foreign exchange strategies, enabling clients to access a wide range of currencies and markets.  The company's mission is to eliminate costs and delays in payment processing while providing innovative solutions such as tokenized deposits for global fund settlements on the blockchain. By focusing on simplifying and enhancing the payment process, Banking Circle aims to empower its clients to navigate the complexities of global finance effectively. The company is committed to regulatory compliance, particularly in areas such as anti-money laundering and financial crime risk management, ensuring that its services meet the highest standards of security and reliability. Banking Circle's diverse clientele includes fintechs, e-commerce platforms, and other financial institutions, all seeking efficient payment solutions and liquidity management. The company partners with various correspondent banks and financial institutions to build a robust local clearing network for all major currencies, ensuring seamless transactions for its clients. Through strategic collaborations, such as those with Visa Direct and JD Fintech, Banking Circle enhances its capabilities to deliver faster and more efficient payment solutions. With a focus on innovation and customer-centric services, Banking Circle strives to empower its clients to seize opportunities in the evolving financial landscape.",Luxembourg,15.65625,,,
Vivid Money,8793745.0,"Luxembourg, Luxembourg, Luxembourg, 21 Rue Glesener, l-1630",https://www.linkedin.com/company/vividmoney,vivid.money,"Vivid offers a unique mobile banking app and a distinctive digital investing platform from a single app. Whether it’s payments, transfers, multi-currency accounts, spendings reports, split bills as well as the possibility to invest in international stocks, ETFs, and precious metals. With over 150 listed cryptocurrencies, Vivid offers one of the biggest portfolios in Europe. With Vivid, managing your finances is easy, flexible, and 100% transparent. We founded Vivid to bring a colourful and entirely different experience to dealing with personal finance. With our knowledge and experience, we strive to help our customers earn more and increase their wealth.  On the 8th of June 2020, Vivid was launched in Germany as its first market, followed by France, Spain, and Italy, with more European countries to come! Already over 500,000 customers throughout Europe enjoy our superior banking and investment experience – and love to collect cashback in the form of Stock Rewards. In not even two years, we’ve grown from one tiny office in Berlin’s Neukölln neighbourhood to a company of more than 300 people, with 30+ different nationalities. Next to our headquarters in Berlin (GER), we work from Vivid Hub Amsterdam (NL) and Vivid Tech Hub in Almaty (KAZ). Vividians are coming together to collaborate and exchange ideas. We are working in proud partnerships with Solaris SE, CM Equity, and VISA. As a company, we have already raised over 200 million euros from renowned investors, including Ribbit Capital, Greenoaks Capial, and the SoftBank Vision Fund 2, and is valued at 775 million euros.",Luxembourg,8.793745,,,
ACCURAFY4,8805188.0,"Luxembourg, Luxembourg, Luxembourg, 13 Rue De Bitbourg, l-1273",https://www.linkedin.com/company/accurafy4,www.accurafy4.com,"Accurafy 4 (A4) is an alternative investment fund managed by Accurafy Advisory (GP) and its four partners. A4 offers its members (LPs) club deal opportunities in early stage companies, on a unique disruptive and hands-on approach. Established in November 2017, it is based in Luxembourg and operates in the venture capital market for fast growing companies. Thanks to dedicated compartments for each club deal, A4 segregates risk and performance and brings each opportunity to qualified investors to beneficiate from its cost-efficient structure. A4 and the GP invest in tech companies driven by disruptive approaches and resilient management team, with revenue traction and scalable model. A4 opened a real estate compartment in 2020. Lastly, A4 boasts an effective hands-on approach close to founders while maintaining a very low-fee level to bring value and find appropriate exit scenario. **** Fondé fin 2017 par quatre « serial entrepreneurs-investisseurs » français, Accurafy 4 est un fonds d’investissement alternatif enregistré au Luxembourg. A4 investit dans des entreprises en phase d’early stage, caractérisées par des innovations avérées, un business model évolutif et une traction du chiffre d’affaires prometteuse. Ses participations et sociétés cibles sont des start-ups qui disposent d’une approche ou d’une technologie de rupture, notamment dans la Regtech, la Greentech, la Fintech, la Sectech et l’Industrie 4.0. Regroupant plus de 60 « investisseurs-entrepreneurs » qui disposent d’un solide track record, Accurafy 4 se différentie des autres fonds par un accompagnement opérationnel actif et sur-mesure auprès des dirigeants et de leurs équipes, en mobilisant auprès de son réseau différentes expertises clés. Aligné avec les fondateurs-dirigeants de ses participations sur un horizon de sortie à cinq ans, Accurafy 4 est un fonds profondément porté par ses valeurs : passion de l’entreprenariat, des technologies et de la RSE.",Luxembourg,8.805188,,,
Aha Bank,22848229.0,"Luxembourg, Bertrange, 31 Zone D'activités Bourmicht, 8070",https://www.linkedin.com/company/aha-bank,www.ahabank.net,"The First Digital Utility Token Based on Gold.   Our approach is to create Digital Assets vehicles such as ""BitCoin"" Blockchain FinTech will change and evolve. We offer crypto Token (Digital Currency) based assets backed by gold...meaning you can exchange your BitCoin process through Aha Bank Network and have the equivalent in Gold delivered to you within 48 hours.",Luxembourg,22.848229,,,
AZA Finance,35000000.0,"Luxembourg, Luxembourg, Luxembourg, 9 Rue Du Laboratoire, 1911",https://www.linkedin.com/company/azafinance,azafinance.com,"We are an international fintech offering best-in-class foreign exchange, payments, settlement, and treasury services worldwide. With AZA Finance, your business can move money, exchange currencies, make payments and settle easily across all major African and G20 currencies - instantly. ",Luxembourg,35.0,,,
Beyn,55346896.0,"Luxembourg, Luxembourg, Luxembourg, 6 Rue Johny Flick, 1550",https://www.linkedin.com/company/3218533,beyn.io,BEYN is a Fintech specialised in digital solutions and payments for the financial industry.  We aim to propose flexible solutions to foster financial inclusion.,Luxembourg,55.346896,,,
Cascade,7918739.0,"Luxembourg, Luxembourg, Luxembourg, 2 Place De Strasbourg, l-2562",https://www.linkedin.com/company/cascade-lab,www.cascade.lu,"Founded in Luxembourg in 2019, one of the world’s most demanding regulatory environments, Cascade delivers a powerful all-in-one AML and KYC platform used today by over 100 clients with users across 25+ jurisdictions, including Europe, North America, Australia and Africa. Our client base is growing, thanks to our complete end-to-end solution combined with accessible pricing. Cascade is recognised among the FinCrimeTech50 ""Top 50 most innovative companies in the fight against financial crime"", as ranked by FinTech Global, and is also listed in the Top 100 RegTech companies globally by RegTech100. Who we serve? Our platform is trusted across financial institutions and professional services, including: - Asset Managers (Private Equity, VC, Real Estate Funds, etc.) - Fiduciaries, Auditors, Corporate Administrators - Law firms - Consulting firms - Depository firms - Private banks & Family Offices - Payment companies Essentially, anyone who wants a unified AML/KYC platform, instead of several disconnected tools, benefits from Cascade. Why Cascade? We integrate all key AML & KYC processes into one platform:  - Client onboarding  - Name screening  - Risk assessment & client acceptance  - Perpetual KYC  - Ongoing monitoring, alerts & compliance workflows We create a single source of all AML/KYC information, giving full traceability and visibility across the lifecycle. Compliance teams gain operational efficiency and can focus on what really matters, rather than modifying hundreds of Excel files. Built for scale & regulatory excellence. Since 2019, our scalable and continuously updated platform has helped companies: - Meet evolving regulatory requirements - Streamline workflows - Empower compliance teams with modern technology - Stay audit-ready and in full control",Luxembourg,7.918739,,,
