Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Blackcatcard,19053248.0,"Malta, Gzira Gzr, 31 Sliema Road",https://www.linkedin.com/company/blackcatcard-official,blackcatcard.com,European digital banking with integrated crypto service aimed to bring fintech services closer to you!,Malta,19.053248,,,
SweepBank,2747584.0,"Malta, Il-gżira",https://www.linkedin.com/company/sweepbank,www.sweepbank.com,"SweepBank, now rebranded as Ferratum, is a modern banking platform that offers a seamless and intuitive banking experience for its users. The company focuses on providing innovative financial solutions, including personal finance management, savings, and credit services, all accessible through its user-friendly app. With a mission to enhance everyday banking convenience, SweepBank has integrated features like Google Pay and personalized updates to ensure a smooth user experience. Its target market includes individuals seeking efficient banking solutions, particularly those using Ferratum Credit in Finland. By partnering with technology providers and financial institutions, SweepBank aims to empower its clients with tools that help them manage their finances effectively while enjoying attractive returns on their savings.",Malta,2.747584,,,
A2CO,6298442.0,"Malta, Birkirkara, Birkirkara",https://www.linkedin.com/company/a2co,www.a2co.com,"We help you move forward with confidence. Based in Malta, we offer corporate, compliance, risk management, and fintech support tailored to your business. Whether you’re launching a new venture or expanding into new markets, we’ll help you stay compliant, work more efficiently, and grow sustainably.",Malta,6.298442,,,
AI Finance Group Ltd,2287697.0,Malta,https://www.linkedin.com/company/ai-finance-group,,"AI Finance Group is a challenger fintech company with an AI-driven credit solution for micro-loans using advanced proprietary, risk-reducing algorithms, machine learning capabilities, and an automated platform to deliver superior borrowing solutions. We fuse advanced stochastic methods and strategic partnerships to deliver best in class results that minimize default rates even with “thin file” borrowers. By using advanced algorithms and unique behavioral pattern recognition tools that focus on valuable Smart Data, our technology quickly evaluates and scores applicants, and reduces default rates.",Malta,2.287697,,,
Alunafi - Worldwide Digital Payments,4292767.0,"Malta, Birkirkara, Birkirkara, 3010 Triq In-negozju Zone 3",https://www.linkedin.com/company/alunafi-ltd,www.alunafi.com,"Alunafi Ltd stands as a customer-centric financial institution committed to foster seamless communication between clients and the organization. Our comprehensive banking solutions encompass SEPA, SEPA Instant, SWIFT, and debit card services, with a dedicated focus on addressing our clients' unique requirements. Demonstrating our commitment to staying at the forefront of industry advancements, Alunafi actively embraces Open Finance, innovation, and Fintech. Our innovative approach to client satisfaction is further elevated by assigning each client their own Client Relationship Manager, who guides them from inception through the daily use of the account. This personalized support ensures a smooth and tailored experience for our valued clients, incorporating the latest trends in Open Finance and Fintech. In addition to our forward-thinking approach, our executive team boasts extensive expertise in Banking, Finance, AML, KYC, Risk, and Compliance. Members of our board actively contribute to the Financial Institutions Malta Association and participate in the Joint Working Group on the revision of the Payment Services Directive for the Central Bank of Malta. Dedicated to upholding the highest standards of quality and excellence, Alunafi focuses on delivering tailored solutions to regulated sectors such as Aviation, Shipping, iGaming, and Financial Institutions, along with the supporting industries essential to their seamless operation. Our extensive expertise, combined with a forward-thinking approach to Open Finance, innovation, and Fintech, positions Alunafi as a reliable and secure ally for your comprehensive banking and payment requirements. Alunafi Ltd. (C105474) of Office 3, Floor 2, Ta’ Mallia Buildings, Triq in-Negozju, Zone 3, Central Business District, Birkirkara CBD 3010 Malta, is licenced by the Malta Financial Services Authority to operate as a financial institution in terms of  the Financial Institutions Act (Chapter 376 of the Laws of Malta).",Malta,4.292767,,,
Amagis Capital Fin-Tech Financial Advisory Cloud & Cybersecurity,5488099.0,"Malta, Il Gżira, 266 Triq Ix-xatt Gzr",https://www.linkedin.com/company/amagis-capital,amagiscapital.com,"Amagis Capital is an independent  group operating through different companies . Amagis Capital was founded in 2013 by a senior team of four managing partners with over 75 years cumulated experience in financial markets, fintech, regtech, cloud and cybersecurity.  Amagis Capital is an independent provider of fintech advisory and asset management solutions for institutional and individual investors. The Company fully relies on the quality of its team, their vision, and their commitment to use their experience and dedication to best serve clients.",Malta,5.488099,,,
Andaria,6067566.0,"Malta, Santa",https://www.linkedin.com/company/andaria-financial-services,www.andaria.com,"Andaria is a UK & EU regulated fintech. The company offers embedded finance solution that allows non-financial businesses to integrate payments services into new & existing platforms. It is scalable and customised to meet the specific needs of any business, helping reduce costs and increase customer satisfaction. Andaria’s mission is to make digital financial services accessible, simple, and transparent for its clients as it heads into its next phase of innovation. Check out www.andaria.com to learn more.  Andaria Financial Services Limited is authorised by the Malta Financial Services Authority (‘MFSA’) as a Financial Institution in terms of Article 5 of the Financial Institutions Act, 1994 (Chapter 376 of the Laws of Malta). Andaria Financial Services UK Limited, is authorised by the UK Financial Conduct Authority (“FCA”) as an Electronic Money Institution under the Electronic Money Regulations 2011.",Malta,6.067566,,,
BICHIP COIN,1712353.0,"Malta, Il-belt Valletta, Valletta",https://www.linkedin.com/company/bichip,www.bichip.store,"BICHIP COIN is a pioneering cryptocurrency company based in Europe, dedicated to developing innovative blockchain solutions and digital currencies. The company's mission is to revolutionize the financial landscape by providing secure, efficient, and accessible digital currency options for individuals and businesses alike. BICHIP COIN aims to empower users through cutting-edge technology while fostering a transparent and decentralized financial ecosystem. The company targets a diverse clientele, including tech-savvy consumers, small to medium-sized enterprises, and institutional investors seeking to leverage the benefits of blockchain technology.  Through strategic partnerships with key players in the fintech and blockchain sectors, BICHIP COIN enhances its offerings and expands its market presence, ensuring a robust and secure platform for its users. The company focuses on creating a decentralized platform that allows users to engage with digital assets seamlessly, providing tools for staking, trading, and managing investments. BICHIP COIN envisions a future where users can easily access stable and predictable on-chain returns through a transparent interest rate mechanism, thereby driving the adoption of digital assets and fostering financial inclusion on a global scale. With a commitment to enhancing user experience and security, BICHIP COIN is positioned as a leader in the evolving landscape of digital finance. The company is recognized for its innovative approach and dedication to customer satisfaction, aiming to bridge the gap between traditional finance and the emerging digital economy. By prioritizing financial literacy and participation in the digital economy, BICHIP COIN strives to create a vibrant ecosystem that supports both individual users and businesses in their cryptocurrency endeavors.",Malta,1.712353,,,
Credissimo,115904722.0,"Malta, Birkirkara, Birkirkara, 9037 Dun Karm Street",https://www.linkedin.com/company/credissimogroup,credissimo.com,Credissimo is a leading European FinTech Group founded in 2007 that utilizes innovative proprietary technology to provide instant online consumer loans. Credissimo is present in six European and South American countries and is a market leader in two of them. The group adheres to the highest regulatory requirements and is supervised by multiple banking and financial services regulators in each country of operations. Financial statements are prepared under IFRS and are audited by Deloitte and Baker Tilly.,Malta,115.904722,,,
Finro Financial Consulting,1169857.0,"Malta, Birkirkara, Birkirkara, 64 B. Bontadini Street",https://www.linkedin.com/company/finrofca,www.finrofca.com,"Finro is the premier startup consulting firm dedicated to the tech sector, leading in startup valuation, financial modeling, and financial due diligence.  Catering to bootstrapped and VC-backed tech startups, along with tech investors globally, Finro stands at the forefront of navigating complex financial landscapes. Since its inception in 2014, Finro has leveraged its profound understanding of business and financial dynamics within the tech industry, backed by years of professional expertise in valuation, financial modeling, and due diligence. Our success stories from 200+ deals underscore our commitment to excellence and innovation. Understanding that each client's situation is distinct, Finro is relentless in refining and applying the most effective methodologies for valuations, risk calculations, and uncovering business opportunities. Our goal is to empower clients with strategic insights to plan for success. Finro's expertise spans across key technological domains, including but not limited to: - Fintech - Edtech - AI/ML - SaaS - Cybersecurity - Proptech - Biotech - HealthTech - Payments - AdTech - RE/Tech - MarTech - Communication, - Social Media Platforms Discover how Finro can transform your financial strategy and unlock new opportunities. Connect with us for a consultation and to explore our success stories.",Malta,1.169857,,,
