Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Adyen NV,2340334185.0,"Netherlands, North Holland, Amsterdam, 6-50 Simon Carmiggeltstraat, 1011",https://www.linkedin.com/company/adyen,www.adyen.com,"Adyen NV engages in the provision of payments platform business. The company is headquartered in Amsterdam, Noord-Holland and currently employs 4,568 full-time employees. The company went IPO on 2018-06-13. The company operates an online platform enabling merchants to accept payments internationally and from all sales channels, such as online shops, mobile payments from applications and Websites, and POS, such as countertops, mobile terminals, tablets and cash registers, among others. The platform covers the entire payment chain, including technical, contractual, reconciliation and settlement processes. The platform is available in the form of ready-to-use payment pages (HPP), application programming interface (API), and client-side encryption solution (EE). The Company’s customers include Mango, KLM, Netflix, Superdry, Uber, Groupon and Crocs, among others. The company has offices in the Netherlands, the United Kingdom, France, Germany, Belgium, Brazil, China, Australia, Mexico, Singapore, Spain, Sweden and the United States.",Netherlands,2340.334185,,,
Mollie,653110762.0,"Netherlands, North Holland, Amsterdam, 126 Keizersgracht, 1015",https://www.linkedin.com/company/202872,www.mollie.com,"Mollie is a leading European payment service provider founded in 2004, dedicated to simplifying payment processing and money management for businesses of all sizes. With a mission to make payments effortless, Mollie offers a comprehensive platform that includes features such as payment processing, reconciliation, reporting, fraud prevention, and financing. The company serves over 250,000 clients across various industries, providing flexible payment options like PayPal, Klarna, and Apple Pay, which cater to both local and international markets. Mollie's commitment to user-friendliness and innovation is reflected in its high customer satisfaction ratings, with merchants praising its easy integration, reliable support, and transparent fee structure. As Mollie continues to expand its services across Europe, it aims to empower businesses to grow and thrive in an increasingly digital economy.",Netherlands,653.110762,,,
ZEN.COM,265413524.0,"Netherlands, North Holland, Amsterdam",https://www.linkedin.com/company/zen-com,www.zen.com,"ZEN.COM is a cutting-edge payment service provider that simplifies online transactions for merchants and customers alike. With a mission to enhance the shopping experience, ZEN.COM offers a comprehensive suite of payment solutions, including support for various payment methods such as credit cards, Apple Pay, Google Pay, and local bank transfers. The company aims to streamline the payment process through its robust API integration, allowing merchants to securely accept payments while minimizing transaction complexities. Targeting eCommerce businesses and online merchants, ZEN.COM partners with a diverse range of clients, providing them with tools to manage payments, currency conversions, and transaction statuses efficiently. By prioritizing security and user experience, ZEN.COM is committed to fostering a seamless and reliable payment ecosystem.",Netherlands,265.413524,,,
Mambu,121025918.0,"Netherlands, North Holland, Amsterdam",https://www.linkedin.com/company/mambu,www.mambu.com,"Mambu is a leading cloud banking platform that empowers financial institutions to innovate and deliver modern banking services with agility and efficiency. The company's mission is to enable organizations to create and scale financial products that meet the evolving needs of their customers, leveraging a composable architecture that allows for rapid deployment and customization. Mambu partners with a diverse range of clients, including neobanks, credit unions, and traditional banks, helping them transition from legacy systems to cloud-based solutions that enhance customer experiences and operational efficiency. With a focus on flexibility and integration, Mambu's platform supports a variety of financial services, making it a preferred choice for institutions looking to modernize their offerings in a competitive market. The company is committed to fostering innovation and collaboration within the financial services ecosystem, ensuring that its clients can adapt to changing market dynamics and consumer expectations.",Netherlands,121.025918,,,
Ohpen,112246420.0,"Netherlands, North Holland, Amsterdam",https://www.linkedin.com/company/ohpen,www.ohpen.com,"Ohpen is a financial technology provider that offers modern core-banking capabilities for mortgage, loan, saving, investment and pension products. Using Ohpen's SaaS-based platform and advanced API's, financial providers can modernise their banking IT, streamline operations, create end-to-end digital banking experiences, reduce IT costs, evolve with changing regulation and much more. Ohpen's proven track record of delivering next generation cloud technology combined with their 300+ domain experts has helped ambitious brands across Europe optimise their IT set-ups and create future focused banking experiences for their customers. With Ohpen, financial providers have the freedom to create",Netherlands,112.24642,,,
Bunq,94520930.0,"Netherlands, North Holland, Amsterdam",https://www.linkedin.com/company/2986796,www.bunq.com,"We are bunq, bank of The Free. We’re here to break free from the status quo, and create a bank with our users in mind. Giving them the freedom to live life on their own terms. We built our own financial system from the ground up, and with the launch of our app in 2015, reinvented banking as you know it. And that’s just the beginning! We work around the clock to create fintech innovations that simply make banking and money management as easy, transparent, and fun as possible.  Have a business?  bunq Business was created as the ultimate bank account to save you time. This means no more paperwork, branch visits or bureaucracy ever again. Just the freedom to focus on what’s truly important: running your business.  Go to bunq.com/business and find out how we can help your business thrive.  Want to join us in our mission to revolutionise the traditional banking industry?  You will become part of an international team of more than 400  bunqers (48 nationalities and counting!) that all have one thing in common: we love what we do. Waking up with brilliant ideas and going to bed knowing that you’ve personally contributed to them. That’s working at bunq.  If that sounds like your kind of challenge, go to bunq.com/jobs get the ball rolling.",Netherlands,94.52093,,,
In3,23270854.0,"Netherlands, North Brabant, Eindhoven, 1a Meerenakkerweg, 5652ar",https://www.linkedin.com/company/in3-payments,www.payin3.nl,"In 3 keer betalen met 0% rente! in3 is een innovatieve Nederlandse betaaloplossing die consumenten in 3 gelijke delen laat betalen zonder rente of BKR-registratie. De eerste termijn wordt direct in de check-out betaald via iDEAL, de tweede en derde termijn volgen binnen 30 en 60 dagen. Het acceptatieproces duurt slechts één seconde. Resultaat, meer transacties en hogere gemiddelde bestelbedragen voor webshops. in3 is een social responsible betaalmethode. Wij verdienen ons geld aan succesvolle transacties en waken voor onverantwoorde uitgaven. in3 onderscheidt zich van andere achteraf en gespreid betaalmethoden door geen rente, boetes en herinneringskosten te rekenen bij het missen van een betaling. Zo realiseren we een eerlijke betaaloplossing voor de consument en winkelier. Na acceptatie dekt in3 alle risico's af en betaald het volledige bedrag vervroegd uit naar jouw organisatie.",Netherlands,23.270854,,,
BUX,10000000.0,"Netherlands, North Holland, Amsterdam",https://www.linkedin.com/company/bux,getbux.com,"BUX is Europe’s fastest growing neobroker and has been making it easy and affordable for Europeans to do more with their money since 2014. By taking down the barriers to the financial markets and disrupting the investing experience, we’re helping new generations of investors and traders to discover the world of the financial markets. BUX’s flagship platform, BUX Zero, is making commission-free investing more accessible and allows users to invest in the companies they believe in. BUX Zero is currently available in the Netherlands, Germany, Spain, Austria, France, Italy, Ireland and Belgium. The full range of BUX products, including Stryk, are available across 10 countries in Europe. Headquartered in Amsterdam, the Netherlands, the company is backed by Prosus Ventures, Tencent, HV Capital, and Velocity Capital Fintech Ventures.",Netherlands,10.0,,,
Payaut,8176246.0,"Netherlands, North Holland, Amsterdam, 99a Backershagen, 1082",https://www.linkedin.com/company/payaut,www.payaut.com,"Payaut is the only payment solution for marketplaces that connects with any PSP. Our mission? Unlocking marketplace success! Payaut’s flexible payment solution lets marketplaces connect with the PSP(s) of your choice. Resulting in the highest authorisation rates, unlimited payment methods, reduced downtimes and the best-in-market pricing.  With Payaut, your marketplace is compliant with PSD2 regulations as we take care of the daily hassle of payouts, split payments and KYC. Allowing you to focus to grow your business. Payaut is backed by C-suite execs of Adyen and Mollie and Europe’s leading VC funds LocalGlobe (Robinhood, TransferWise, Cazoo), Entrée (Cazoo, Gusto, Monday) and Finch Capital (BUX, Hiber, Fixico). In September 2024, Nuvei, a leading global payment technology provider, announced the acquisition of Payaut, further advancing innovation in the payments space.",Netherlands,8.176246,,,
Buckaroo,3186040.0,"Netherlands, Utrecht, Utrecht",https://www.linkedin.com/company/buckaroo-online-payment-services,www.buckaroo.eu,"Buckaroo is a company dedicated to enhancing the online sales experience by optimizing the customer journey. Their mission is to improve customer satisfaction and increase conversion rates for businesses through strategic insights and actionable recommendations. Buckaroo offers resources such as whitepapers, including ""Optimaliseer de online customer journey,"" which guide clients in refining their customer interactions and boosting successful purchases. The company serves a diverse range of clients, focusing on businesses looking to elevate their online sales performance. By partnering with various organizations, Buckaroo aims to empower its clients to achieve greater success in the digital marketplace.",Netherlands,3.18604,,,
