Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
SIBS,262332080.0,"Portugal, Lisbon, Lisbon",https://www.linkedin.com/company/sibs,www.sibs.com,"SIBS is a leading technology company specializing in payment solutions and data analytics, dedicated to enhancing business operations for merchants across Europe, including countries like Portugal, the Netherlands, Poland, and Romania. Through its innovative SIBS ESG platform, the company aims to support businesses in integrating Environmental, Social, and Governance (ESG) indicators into their strategies, fostering a more sustainable society. SIBS collaborates with various stakeholders, including AICEP, to provide tools for self-diagnosis, monitoring, and public recognition for companies committed to ESG practices. With a mission to create value through impactful technological development, SIBS serves a diverse clientele, offering comprehensive insights and control over payment workflows, thereby connecting businesses to the future of commerce.",Portugal,262.33208,,,
Ifthenpay,10063072.0,"Portugal, Da, 50 Rua Do Feirapark, 4520-632",https://www.linkedin.com/company/ifthenpay,ifthenpay.com,"Autorizada pelo Banco de Portugal, a empresa permite a criação de referências multibanco de forma simples e segura. O serviço de pagamentos por Referência Multibanco, MBWAY, PAYSHOP e Cartão de Crédito da #ifthenpay tem inúmeras vantagens para o seu negócio: - 𝐬𝐞𝐦 𝐜𝐮𝐬𝐭𝐨𝐬 para o utilizador; - pagamentos 𝟐𝟒 𝐡𝐨𝐫𝐚𝐬 por dia com 𝐧𝐨𝐭𝐢𝐟𝐢𝐜𝐚çõ𝐞𝐬 𝐢𝐦𝐞𝐝𝐢𝐚𝐭𝐚𝐬;  - pagamentos 𝐬𝐞𝐠𝐮𝐫𝐨𝐬; - 𝐩𝐫𝐨𝐭𝐞çã𝐨 𝐝𝐞 𝐝𝐚𝐝𝐨𝐬 do utilizador, sem necessidade de introduzir dados bancários online; - 𝐩𝐚𝐠𝐚𝐦𝐞𝐧𝐭𝐨 𝐞𝐦 𝐦𝐮𝐥𝐭𝐢𝐜𝐚𝐧𝐚𝐥: terminal multibanco, home-banking, MB Spot, telemóvel, TPA, MBWAY, Agente PAYSHOP ou Loja CTT; - 𝐝𝐢𝐫𝐞𝐭𝐚𝐦𝐞𝐧𝐭𝐞 da conta bancária dos utilizadores, sem necessidade de criar ou carregar previamente outro tipo de contas (wallets); - ""𝐜𝐡𝐞𝐜𝐤𝐨𝐮𝐭""nas lojas online é efetuado integralmente dentro do site do vendedor; - 𝐜𝐨𝐧𝐭𝐫𝐨𝐥𝐨 𝐝𝐞 𝐯𝐞𝐧𝐝𝐚𝐬 no smartphone através da nossa App gratuita; - 𝐚𝐮𝐦𝐞𝐧𝐭𝐨 𝐝𝐞 𝐞𝐟𝐢𝐜á𝐜𝐢𝐚 das cobranças e 𝐫𝐞𝐝𝐮çã𝐨 𝐝𝐞 𝐜𝐮𝐬𝐭𝐨𝐬 e trabalho administrativo.",Portugal,10.063072,,,
Easypay - Payment Institution,4442449.0,"Portugal, Lisbon, Lisbon, 14b Rua Soares Passos, 1300-537",https://www.linkedin.com/company/easypay-pt,www.easypay.pt,"Easypay, a payment gateway, offers single and frequent payments and subscription payments with an innovative checkout, accepting all payment methods. EXPAND YOUR PAYMENT OPTIONS We accept Referência Multibanco, MB Way, Visa and Mastercard cards, Virtual IBAN, Direct Debits, and Buy Now Pay Later with Santander Consumer Finance and Universo Flex.And we will launch briefly Apple Pay and Google Pay. BOOST SALES WITH PAYMENT SOLUTIONS tailored to your business. We provide the most innovative solutions for marketplaces, including features like Split Payments, multi-merchants, and tools like Pay by Link or WhatsApp payments, promoting efficiency in new business use cases. easypay simplifies everything, making it easy to manage, fostering business growth, and meeting customer needs. INNOVATIVE API and PLUGINS Developed to meet the demands of a market seeking integration simplicity, innovative features, and support for all payment methods.We have plugins for all main online store softwares like shopify, wix, prestashop, vtex, and others, and also for invoice softwares PHC, Cegid Primavera, Moloni, Centralgest. REAL-TIME PAYMENT TRACKING Whenever a payment is received, you are immediately notified. Payments are transferred to your account daily. UNLIMITED PAYMENT HISTORY Easypay's backoffice provides access to unlimited payment history. DIGITAL ONBOARDING Join easypay's services effortlessly.",Portugal,4.442449,,,
#fintech.Portugal Powered By FTP Fintech.partners,629334.0,"Portugal, Porto, Porto",https://www.linkedin.com/company/fintech-portugal,www.fintech.pt,"Empowering Portuguese fintech ecosystem. Combining innovative business models and technology to enable, enhance and disrupt financial services. Publisher of The Portuguese Fintech Landscape Guide. #fintechPortugal",Portugal,0.629334,,,
Banco De Investimento Global,79209222.0,"Portugal, Lisbon, Lisbon",https://www.linkedin.com/company/bancodeinvestimentoglobal,www.big.pt,"Banco de Investimento Global, S.A. (BiG) is a prominent financial institution based in Lisbon, Portugal, specializing in investment banking and asset management services. Established 25 years ago, BiG is dedicated to providing innovative financial solutions tailored to the diverse needs of its clientele, which includes individual investors, corporations, and institutional clients. The bank's mission is to empower clients through technology-driven solutions that facilitate access to global markets and investment opportunities, while its vision emphasizes transparency, flexibility, and a proactive approach to risk management. BiG offers a comprehensive range of services, including savings accounts, investment funds, asset management, brokerage services, and corporate advisory, catering to both self-directed investors and larger corporations. The bank prides itself on its strong capital base, with total net assets of approximately €2.7 billion, and is committed to maintaining high levels of liquidity and solvency. Its client base primarily consists of Portuguese individuals and institutions, with expanding operations in Spain and Mozambique, reflecting its strategic vision for growth and resilience in the financial sector. The bank actively collaborates with various partners in the financial industry to enhance its service offerings and expand its market reach. BiG's commitment to responsible banking practices includes a focus on financial literacy, environmental sustainability, and social responsibility, particularly in sectors such as Fintech, Insurtech, and Cybersecurity. With a strong emphasis on customer support and financial education, BiG aims to serve a broad market segment, positioning itself as a trusted partner in the financial landscape while navigating the complexities of the global financial environment.",Portugal,79.209222,,,
Banco Tello LLoyds SASU,1090364.0,"Portugal, Lisboa, Azambuja, 2050-300",https://www.linkedin.com/company/bancotello,www.bancotello.online,"Banco Tello LLoyds is the first Neo-bank in the world that is at the same time Cryptobanco, the new era of digital money is born by Banco Tello LLoyds. Founded in May 2016 Banco Tello LLoyds has been developing its own financial system for three years being independent of governments, central banks, etc. Their unique technology allows them to be the pioneers in performing this type of operations. Total Independence, and completely confidential.",Portugal,1.090364,,,
Fintetch,2515768.0,"Portugal, Porto, Vila Nova De Gaia, Largo Da Utic H3, 4430-246",https://www.linkedin.com/company/fintetch,www.fintetch.com,A Fintech for Startups We are a Fintech focused on integrating Startups with Investors,Portugal,2.515768,,,
Global Shares,42961908.0,"Portugal, Lisbon, Lisbon, Nº 1 4º J Praça Duque De Saldanha, 1050-094",https://www.linkedin.com/company/global-shares,www.globalshares.com,"Global Shares, a J.P. Morgan company, manages employee stock plans for some of the world’s most exciting startups, tech unicorns and enterprise brands. Our mission is to simplify employee ownership and help companies of all sizes harness the power of employee ownership.  Whether you are an emerging, private or public company, operating nationally, internationally or globally, when you choose Global Shares, you are supported by our team of 700+ equity experts and an award-winning software platform. Our solutions include stock plan administration, global custody, share-dealing, financial reporting, global compliance and more. We are a MiFID and FINRA regulated firm. Global Shares is headquartered in Clonakilty in Cork, Ireland, with 19 offices around the world including the US, Canada, the UK, Malta, Germany, Spain, Portugal, Saudi Arabia, Hong Kong, China and Japan. Global Shares won Technology Ireland’s 2021 ‘Technology Company of the Year’ and it is a ‘Best in Tech’ Great Place to Work® accredited workplace. It has been a Deloitte Fast 50™ company since 2017, when it won FinTech Company of the Year. For more information please visit www.globalshares.com",Portugal,42.961908,,,
Invest & Rest,4920031.0,"Portugal, Porto, Porto",https://www.linkedin.com/company/bluebull-smartinvestments,invest.rest,"Invest & Rest is a Fintech that provides simple, transparent and effective investment solutions. Invest&Rest provides its customers a Markowitz portfolio: Just register at the platform, buy the portfolio information and  and implement it at your bank. Then, rest and receive monitoring information while you watch your investment return accumulate.",Portugal,4.920031,,,
Munzi,1212536.0,Portugal,https://www.linkedin.com/company/munzi,,"FinTech start-up easing the transition from the conventional banking system to a decentralized and digital one, with a focus on generating financial freedom, wealth creation and ease of digital currency use. The everyday bank of the future.",Portugal,1.212536,,,
