Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
PAYCOMET,35220752.0,"Spain, Catalonia, Sabadell",https://www.linkedin.com/company/paycomet,www.paycomet.com,"PAYCOMET is a leading online payment gateway that facilitates secure and efficient transactions for businesses operating in the digital economy. The company aims to enhance the payment experience by providing a flexible platform that supports various payment methods, including credit cards, mobile payments, and alternative options like PayPal and Bizum. With a strong focus on security, PAYCOMET complies with industry standards such as PCI DSS Level 1, ensuring the protection of sensitive payment information. Its target market includes e-commerce businesses, marketplaces, and service providers looking to optimize their payment processes and improve customer satisfaction. By partnering with financial institutions and offering robust support, PAYCOMET is committed to helping businesses scale and adapt to the evolving landscape of online commerce.",Spain,35.220752,,,
Openbank,21921542300.0,"Spain, Madrid, Madrid",https://www.linkedin.com/company/openbank,www.openbank.es,"Openbank is a digital banking platform operating under the umbrella of Banco Santander, dedicated to providing innovative financial services to a diverse clientele. Established with a mission to enhance financial inclusion and simplify banking, Openbank offers a wide range of products including personal accounts, loans, investment options, and insurance solutions, all accessible through a user-friendly online interface. The bank primarily targets tech-savvy individuals and small to medium-sized enterprises (SMEs) who seek efficient and convenient banking solutions without the constraints of traditional banking. Openbank emphasizes a customer-centric approach, leveraging advanced technology to deliver personalized services and streamline financial management. The company's vision is to become the leading open platform for financial services, focusing on transparency, accessibility, and sustainability. Openbank collaborates with various fintech partners and financial institutions to enhance its service offerings and maintain a competitive edge in the rapidly evolving digital banking landscape. With a strong commitment to responsible banking practices, Openbank integrates environmental, social, and governance (ESG) criteria into its operations, ensuring alignment with sustainability goals. Openbank actively engages in community investment and social initiatives, aiming to create a positive impact in the communities it serves. The bank's target market includes individuals from various demographics, including young professionals and underserved communities, reflecting its dedication to promoting financial literacy and inclusion. By continuously evolving its offerings and prioritizing customer satisfaction, Openbank is positioned as a leader in the digital banking sector, striving to redefine the banking experience for modern consumers.",Spain,21921.5423,,,
ID Finance,225232029.0,"Spain, Catalonia, Barcelona",https://www.linkedin.com/company/idfinance,idfinance.com,"ID Finance es una destacada fintech que opera en España y México, reconocida por ser la primera en la región en ser neutra en emisiones de carbono. Su misión se centra en transformar el sector financiero a través de la innovación, ofreciendo soluciones como Plazo, una aplicación de bienestar financiero que ayuda a los usuarios a gestionar sus finanzas de manera más eficaz. La compañía ha sido galardonada como la fintech más disruptiva en los Financial Innovation Awards 2024, lo que refleja su compromiso con la excelencia y la innovación continua. ID Finance se enfoca en un mercado diverso, atendiendo a clientes que buscan herramientas accesibles para mejorar su estabilidad económica. Además, la empresa colabora con instituciones educativas para fomentar el talento en el sector fintech, reafirmando su papel como líder en la industria. Su visión incluye seguir rompiendo barreras y revolucionando el sector financiero, garantizando que sus servicios se adapten a las necesidades cambiantes de los usuarios.",Spain,225.232029,,,
Pecunpay,18239318.0,"Spain, Madrid, Madrid, 133 Calle Guzmán El Bueno, 28003",https://www.linkedin.com/company/pecunpay,www.nuek.com,"Esta página dejará de estar activa próximamente. A partir de ahora, Pecunpay se integra en Nuek, consolidando todo lo que nos hace únicos en una plataforma aún más potente, conectada y con alcance global. Seguimos contigo, pero ahora con más fuerza. 👉🏼 Síguenos en Nuek: https://lnkd.in/dVkmDx3r",Spain,18.239318,,,
Bizum,12578840.0,"Spain, Madrid, Madrid, 12 Calle Francisco Sancha, 28034",https://www.linkedin.com/company/bizum,www.bizum.es,"Bizum es una forma instantánea, fácil y segura de pagar con tu móvil. Un sistema de pago pensado para todos que funciona de una cuenta bancaria a otra y que está integrado en la app de tu banco. Con ella podrás pagar a tus amigos, comprar en comercios y en tiendas online. Se trata de un servicio impulsado por la banca española que conecta las cuentas bancarias actuales de los clientes vinculándolas a su número de teléfono móvil (no es necesario conocer ningún código IBAN). Actualmente ya son más de 30 entidades bancarias las que ofrecen los servicios de Bizum, que representan una cuota de mercado superior al 99%.",Spain,12.57884,,,
MONEI,8423900.0,"Spain, Catalonia, Barcelona",https://www.linkedin.com/company/monei-digital-payments,monei.net,"MONEI is Southern Europe’s fastest-growing omnichannel payments platform. We help merchants in various sectors from e-commerce and physical retail to restaurants and service-based businesses sell more, save money on transaction fees, and reduce risk with our advanced payment services.  With a single integration, merchants can accept a wide range of major, alternative, and local payment methods, route transactions to the best-performing processor (with payments orchestration), sell cross-border, and improve the customer experience (online and off). Our mobile payment app, MONEI Pay, lets businesses accept payments from anywhere using a mobile device (no website or POS hardware required).  💡 Have questions about MONEI? Visit our support center: https://support.monei.com/ 📌 Read our blog: https://monei.com/blog/ MONEI employs an international team and is headquartered in Barcelona, Spain.",Spain,8.4239,,,
Unnax - A Powens Group Company,4365210.0,"Spain, Catalonia, L'hospitalet De Llobregat",https://www.linkedin.com/company/unnax-emi,www.unnax.com,"In a world where customer experience is key to acquire and retain customers, businesses should be able to integrate financial solutions seamlessly to create an attractive and frictionless journey for their clients. Licensed as an Electronic Money Institution, Unnax - a Powens Group Company - is the only platform that brings together Open Finance and Embedded Banking with the mission to empower financial institutions, fintechs, and software vendors across Iberia and LATAM to create innovative products and streamline their financial operations through frictionless and fully automated banking and payment experiences. Acquired by Powens in 2024 and supported by a global team of 130+ professionals, we currently serve 280+ customers across Europe & LATAM who leverage our API infrastructure to get access to financial data in over 12 countries, IBAN issuing alongside SEPA payment and collection solutions.  Our end-to-end platform provides the following: 1 - Data & Document Aggregation Solutions to access the most accurate financial data from multiple sources in a fully-compliant way. - Checking, savings, and loans - Investments and crypto - Group savings and pension plans - ID verification documents - Social Security, Telco and Retail data (LATAM only) 2 - Data Processing Solutions to create engaging, completely frictionless experiences for end-users. - IBAN verification - ID verification - Data categorization - Financial profiling 3 - Embedded banking solutions to automate payments and reconciliation. - Local IBAN Accounts - A2A Payments  - SEPA Credit Transfers - SEPA Direct Debits (Core & B2B) - Payment by card With Unnax, possibilities become limitless. Join us in shaping the future of finance.",Spain,4.36521,,,
Imagin,64069332.0,"Spain, Madrid, Madrid",https://www.linkedin.com/company/imaginersapp,imagin.com,"Imagin is a digital banking platform that offers a wide range of financial services, including commission-free bank accounts, loans, insurance products, and mobile payment solutions. The company's mission is to enhance the banking experience through innovative technology, providing personalized content and services tailored to individual user needs. Imagin primarily targets young people and families, offering specialized accounts for minors and teens, as well as various financial products designed to meet the unique needs of these demographics. The company partners with CaixaBank, leveraging its extensive banking infrastructure to deliver secure and efficient services. With a commitment to sustainability and social responsibility, Imagin has been recognized as a Certified B Corporation since 2020, reflecting its dedication to positive social and environmental impact.",Spain,64.069332,,,
11Onze,8955111.0,"Spain, Catalonia, Barcelona",https://www.linkedin.com/company/11onzefintech,www.11onze.cat,"11Onze és una fintech comunitària. Pots obrir compte amb nosaltres descarregant la nostra app, El Canut. Però també som una comunitat que es forma financerament i col·labora. Pots unir-te a la nostra comunitat de manera gratuïta registrant-te a 11Onze.cat.",Spain,8.955111,,,
Abeto,3342108.0,"Spain, Madrid, Madrid",https://www.linkedin.com/company/goabeto,www.goabeto.com,"Your One-Stop-Shop For Solar System Financing.  We empower homeowners to embrace sustainable energy with simple, digital financing solutions.  Seamlessly investing in their homes and a greener future with Abeto. Connecting Homeowners, Installers, and Lenders - Our fintech platform streamlines solar financing, driving greater efficiency and accessibility in the renewable energy sector.",Spain,3.342108,,,
Abuntia,1257884.0,"Spain, Madrid, Madrid",https://www.linkedin.com/company/abuntia,fintya.es,Fintech especializada en micro-préstamos,Spain,1.257884,,,
Actyus,9705187.0,"Spain, Madrid, Madrid",https://www.linkedin.com/company/actyus,www.actyus.com,"We created Actyus to invest in Fintech companies via value creation strategies and active management in Europe and Latin America. We count on significant know-how and privileged access to Fintech and private equity sectors, especially after distributing €1bn + in alternative products. Some of our portfolio companies include: Creditas, MyInvestor, BoomPay, LemonEnergia, Zippi and Mundi.io",Spain,9.705187,,,
