Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Mobileweb,337691320.0,"Belgium, Flanders, Zaventem, 61 Fabrieksstraat",https://www.linkedin.com/company/mobileweb,www.mobileweb.be,"Mobileweb is a pioneering technology company that specializes in providing integrated communication and customer engagement solutions. With a mission to enhance customer experiences through innovative technology, Mobileweb has successfully adapted to market challenges, including the COVID-19 pandemic, by repurposing its services to meet emerging needs, such as scheduling for vaccination appointments. The company has established itself as a key player in the events industry, notably partnering with the Dutch Grand Prix to streamline ticket sales and visitor communication. Targeting a diverse clientele that spans various sectors, Mobileweb focuses on delivering flexible and agile solutions tailored to the unique demands of its customers. Through continuous innovation and strategic acquisitions, Mobileweb aims to remain at the forefront of technological advancements, ensuring it meets the evolving needs of its partners and clients.",Belgium,337.69132,,,
Press Shop & More,44903795.0,"Belgium, Strombeek-bever, 55 Boechoutlaan, 1853",https://www.linkedin.com/company/ubiway-retail,www.press-shop.be,"Press Shop & More specialises in on-the-go Press convenience and has shops in shopping streets, shopping centres, train stations and airports. We have a network of > 180 shops at strategic locations which are known in the Travel segment under the brand names RELAY and in the Proximity segment under the name Press Shop and More. You will find a varied range of press and various 'on the go' products and services in our shops. Our customers can visit us every day during our extensive opening hours. A newspaper or magazine with a fresh coffee to go, that latest Top 10 book, a tasty snack for in between or for the lunch break, a refreshing drink or a last-minute gift with an original greeting card, ensure a moment of pleasure for our customers. You can also send and collect packages, buy transport tickets and even gamble with us. We are also specialists in tobacco products. Do you have a heart for retail? We are always looking for new independent shopkeepers with commercial flair, a warm heart for people and a sense of responsibility to manage our shops. We offer you a ready-to-go shop without operating costs and a commission based on the turnover. In addition, as an entrepreneur in our chain, you will be supported by the services of our head office and you will be part of a large family of fellow entrepreneurs. We look forward to meeting you! More information on press-shop.be",Belgium,44.903795,,,
Xwift Racing Events,1249344.0,"Belgium, Flanders, Nazareth, 148 Steenweg Deinze, 9810",https://www.linkedin.com/company/xwift-racing-events,www.xwiftracingevents.be,Maybe you were always passionate about fast cars…? Maybe racing on track has always been a dream…? Or maybe you are just looking for a new challenge and adrenaline rush…? Join our racing adventure now and redeem your ticket for 24h of Zolder!,Belgium,1.249344,,,
WakeUpCable Antwerpen,5674142.0,"Belgium, Flanders, Destelbergen, 50 Stapsteenweg, 9070",https://www.linkedin.com/company/wakeupcable,wakeupcable.be,"""Op onze locatie in Antwerpen tref je de nieuwste en modernste kabelbanen van Belgie aan. Een Rixen Eco Cable met 6 masten, 9 UNIT obstakels alsook een kleine 2.0 baan om het wakeboarden onder de knie te krijgen. En dit met een volledig geautomatiseerd systeem van Wakesys om online je tickets te bestellen. Wij hebben 2 soorten wakeboards, beginners en pro wakeboards waarbij je met de proboards zelfs over de obstakels mag. Een schitterend terras op het water met uitzicht over de baan en de skyline van Antwerpen. onze faciliteiten zoals eten, drinken (binnen en buiten) toiletten, warme douches, lockers en kleedkamers garanderen jou een onbezorgde dag.""",Belgium,5.674142,,,
FC Thun,30910490.0,Belgium,https://www.linkedin.com/company/fc-thun-ag,www.fcthun.ch,"FC Thun AG is a professional football club based in Thun, Switzerland, competing in the Swiss Super League. The club is dedicated to fostering local talent and providing an exciting football experience for its fans, with a mission to promote sportsmanship and community engagement. FC Thun aims to create a vibrant atmosphere in its home stadium, encouraging supporters to actively participate in matches and events. The club collaborates with various partners and sponsors to enhance its offerings, including ticket sales for individual matches and season passes. With a focus on player development, FC Thun also seeks to attract promising athletes, as demonstrated by recent signings like Layton Stewart, who bring valuable skills and potential to the team.",Belgium,30.91049,,,
KV Diksmuide Oostende,26155030.0,"Belgium, Flanders, Ostend, 62 L. Van Tyghemlaan, 8400",https://www.linkedin.com/company/kv-oostende,www.kv-do.be,"After the  bankruptcy of pro team KV Oostende, a new club was founded: KV Diksmuide Oostende. The club starts in the 5th division and plays it's homegames in Oostende.  KVO Sales - Marketing and Communication Department Frank Dierckens President Bram Keirsebilck Press & Communications (e) bram.keirsebilck@kvo.be Geert Vergauwe Sales Manager (e) geert.vergauwe@kvo.be Jason De Vooght Stadion, safety & security manager (e) jason.devooght@kvo.be B2B, VIP & Packages (e) vip@kvo.be B2C Ticketing (e) ticketing@kvo.be KVO EVENTS (e) events@kvo.be",Belgium,26.15503,,,
SEA LIFE Blankenberge,9004958.0,"Belgium, Flanders, Blankenberge, 116 Koning Albert I-laan, 8370",https://www.linkedin.com/company/sea-life-blankenberge,www.sealife.be,"SEA LIFE Blankenberge is an engaging aquarium located within the American Dream complex in East Rutherford, NJ, designed to immerse visitors in the wonders of marine life. The attraction features over 10 interactive exhibits inspired by New York's iconic landmarks, including a breathtaking ocean tunnel where guests can walk surrounded by sharks and stingrays. SEA LIFE's mission is to provide an educational and entertaining experience for families, couples, and ocean enthusiasts, promoting awareness and appreciation for marine ecosystems. The facility is fully accessible, ensuring that all visitors, including those with disabilities, can enjoy the exhibits. SEA LIFE Blankenberge partners with local attractions, such as LEGOLAND Discovery Center New Jersey, to offer combo tickets, enhancing the overall experience for guests. With a focus on safety and guest well-being, SEA LIFE implements measures to ensure a comfortable visit while fostering a love for ocean conservation.",Belgium,9.004958,,,
DCM Events VZW,519000.0,"Belgium, Flanders, Geraardsbergen",https://www.linkedin.com/company/dcm-events-vzw,www.cu-lan.be,"DCM Events organizes lanparties in Geraardsbergen (Belgium). Our main goal is to offer the participants a well organized, fun and cheap lanparty-event. We try to keep the tickets as cheap as possible (less than 20 eur) but we don't neglect the service we offer : more table-space than any other lanparty in Belgium, BBQ included in the ticket-price, cheap beverages, gaming-competitions, fast fiber-optic network, maximum internet-speed, etc. Visit our website for more information : http://www.cu-lan.be. Sponsors are welcome :)",Belgium,0.519,,,
WoWpark,6657644.0,"Belgium, Flanders, Geraardsbergen, 280 Onkerzelestraat, 9500",https://www.linkedin.com/company/wowpark,www.wowpark.eu,"Have the time of your life on WoWpark's giant water course! Come together with your friends, family, colleagues and classmates to WoWpark De Gavers Geraardsbergen and make it a splashing day!  Easily order your ticket(s) online or on site. www.wowpark.eu/book",Belgium,6.657644,,,
Kinepolis Nederland,640703420.0,"Belgium, Flanders, Gent",https://www.linkedin.com/company/10122836,www.kinepolis.nl,"Kinepolis Nederland is a prominent cinema chain that offers a diverse range of films and entertainment experiences across its various locations, including Kinepolis Breda, Kinepolis Den Bosch, and Kinepolis Jaarbeurs Utrecht. The company is dedicated to providing high-quality cinematic experiences, with a mission to enhance the enjoyment of movies for its audience. Kinepolis Nederland caters to a wide target market, including families, film enthusiasts, and casual moviegoers, ensuring that there is something for everyone. The company also emphasizes customer engagement through its MyKinepolis account, which allows patrons to stay updated on the latest films and manage their ticketing conveniently. As part of the Kinepolis Group, the company is committed to innovation and excellence in the cinema industry, striving to create memorable experiences for its clients and partners alike.",Belgium,640.70342,,,
