Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
QUAMatik,439845.0,"Croatia, City Of Zagreb, Zagreb, 10d Sokolovac, 10000",https://www.linkedin.com/company/quamatik,www.quam.hr,"QuaM is delivering innovative solutions for automation of your business processes or customer retail experience. We are designing customer centric, multipurpose devices for different applications. Whether it is ticket sales, utilities bill payment, mobile voucher recharging or any kind of automated cash collection",Croatia,0.439845,,,
TISAK,123156600.0,"Croatia, City Of Zagreb, Zagreb, 11a Slavonska Avenija, 10000",https://www.linkedin.com/company/tisak,www.tisak.hr,"TISAK plus d.o.o, član Fortenova Grupe d.d., najveći je maloprodajni lanac kioska s mrežom od preko 550 prodajnih mjesta diljem Hrvatske te vodeći hrvatski distributer tiskovina, duhanskih proizvoda, prepaid bonova i start paketa telekom operatera te ostalih proizvoda. Tisak plus, uspješno slijedi svoju novu strategiju tranzicije iz tradicionalnog kanala prodaje tiskovina i cigareta u moderan „Centar usluga“ što potvrđuje značajan rast Tisak usluga koje omogućuju zadovoljenje svih potreba korisnika na jednom mjestu; Plaćanje računa, Slanje paketa, Izrada fotografija i fotopoklona, Igre na sreću Hrvatske lutrije, Podizanje gotovine, Prijevozne karte Parking karte, Elektronički bonovi, Nadoplata ENC uređaja, Copy usluga, Ulaznice za događaje, i dr.",Croatia,123.1566,,,
Grafičar Grupa,19415491.0,"Croatia, Varaždinska, Ludbreg, 89 Frankopanska Ulica, 42230",https://www.linkedin.com/company/graficar-grupa,www.graficar.hr,"Since we opened more than 70 years ago, we have grown from a small printing shop in Ludbreg to the largest commercial printing and publishing group in Croatia with around 500 employees.   Thanks to our team of experts in three production sites, with years of experience and a modern machine park we are able to meet short term delivery deadlines in flexo and offset printing. Our formats include hardbacks and paperbacks, covers and jackets, journals and loose-leaf publications, and non-standard formats. Our manufacturing expertise extends beyond books and into brochures, reports, lottery tickets, labels, paper bags (0.2 kg – 50 kg), marketing materials, point-of-sale and cardboard and paper packaging for food and pharmacy.  We have the commitment and means to provide premium standards and outstanding quality regardless of the size or particular needs of your business, which is why we are ISO 9001:2000, ISO 14001:2004 and FSC-STD-40-004 V3-0 certified. We are dedicated people that are applying ACCOUNTABILITY, TRADITION and PASSION as our core values, in order to build long lasting trust with our business partners.   Follow us and become our business partner.",Croatia,19.415491,,,
Adriaday Travel Agency,3146670.0,"Croatia, Opatija, 56 Marsala Tita, 51410",https://www.linkedin.com/company/adriaday,www.adriaday.com,"Adriaday is company with headquarters in Opatija, Croatia, or better to say, a group of people who are completely in love with their jobs, travel, people and our beautiful country. Our job as a tourist agency is to help you enjoy your stay. We specialize in providing accommodation, tailor made holidays in social and environmentally responsible manner dedicating time and effort to raise awareness of responsible travel.  Our main focus is on people and the experience of travelling, memories, emotions and feelings. We offer our clients accommodation in apartments and villas, organization of excursions, transfers, rent a car, airplane tickets, all with personal attention, flexibility and friendliness and something different, we will be 24h at disposal in destinations. Also, we work closely with local communities and individuals, indeed they become our friends, and they are happy to be your hosts on your vacation. Beside that, it’s important for us to provide the best quality, so we regularly review travel products including the latest technology designed to make the traveler’s life more efficient, review destinations, what to see, where to stay, what to eat, where to go and how to behave.",Croatia,3.14667,,,
OLYMPTOURS,3282882.0,Croatia,https://www.linkedin.com/company/olymptours,www.olymp.hr,Airline tickets Hotel reservations Rent a car,Croatia,3.282882,,,
Sailaway Europe,829147.0,"Croatia, Split-dalmatia, Split, 6 Vele Njive",https://www.linkedin.com/company/sailaway-croatia,sailawayeurope.com,"18-35 - Party. Adventure. Adrenaline. 35+ Relax. Adventure. Adrenaline. Come along with us and experience the most beautiful part of the Mediterranean Coast! We have tours for everyone and ensure our guests get to experience one of Europe’s best-kept secrets like no one else. We take care of all the details so you can experience the best of the area you are visiting. Imagine jumping into the crystal clear blue waters of the Adriatic Sea, zip lining through a UNESCO heritage listed forest, and exploring the medieval ruins of hundred-year-old cities and towns. At Sailaway Europe, we know how sailing works. We use this knowledge to make your experience as fun, enjoyable and authentic as possible. Hence you can find out what makes Croatia so special without the need to worry about the boring details. Sit back, relax and we will take care of the rest. Sailaway Europe offers you the safety and security of travelling in a group. All our packages have been designed with you in mind.  We strive to be the most affordable, enjoyable, and ultimately one of the most rewarding experiences you’ll embark on in your life. We are the first sail company in Croatia to offer adventures, free transfers, and city tours, and other perks which are usually extra costs inclusive in the ticket price. Refer to our FAQ page for more information. Welcome to Sailaway Europe. We trust you are prepared for an adventure of a lifetime!",Croatia,0.829147,,,
SPEKTAR PUTOVANJA,7972715.0,"Croatia, City Of Zagreb, Zagreb, 8 Strossmayerov Trg, 10000",https://www.linkedin.com/company/spektar-putovanja,www.spektar-putovanja.hr,"Spektar Putovanja travel agency represents the very first genuine privately held travel agency in Croatia. For more than 30 years we organise various group and individual travels worldvide, senior and junior pupils’ excursions, summer and winter holiday, incentive trips, team building programmes, congresses and fairs, sell plane tickets and deal with incoming, topic-tailored programmes and FIT journeys. Our Congress & Incentive Department has gained vast experience in the organisation of congresses, fairs and incentives. Whether organising a congress, conference meeting, incentive or special event, our goal is to provide personalized service and carefull process of planning, delivery and review. Our mission is to exceed your expectation by establishing lasting partnership based on the highest levels of service, loyalty, latest techonology and integrity.",Croatia,7.972715,,,
Gulliver Travel,77851219.0,"Croatia, Dubrovačko-neretvanska, Dubrovnik, Obala Stjepana Radića, 20000",https://www.linkedin.com/company/gulliver-travel,www.gulliver.hr,"Gulliver travel, founded on February 1, 1989, as the first private tourist and travel agency in Dubrovnik, is currently the leading destination management company (DMC) in the region. By following and adapting to global and local trends, we upgraded our successful business with our transformation from a travel agency into a DMC. We were proud to be a part of TUI Group from 2001 to 2016, and from 2016 to 2018 we were a part of Hotelbeds Group, the leading provider of services to the global travel trade and in reshaping travel. Since 2018 we have again become part of the leading travel company in the world - TUI Group. Our products can be recognised by our special “Gulliver Seal “, which we believe to be both a product trademark and an element distinguishing us from the competition. Our mission is to offer competent partnership in destination management. OUR PRODUCT & SERVICES: Cruises, Tours (group, guaranteed, self drive), Excursions, Easy Ride, Premium, Wine & Dine, Adventure, Weddings & Honeymoons, Country, Nautical, Medical, Tailor-made programs, Ground handling, Accommodation, Land & Sea transfers, Guest service, Shore excursions & Port agent, MICE, Business travel, Domestic & international air ticket sales, Rent-a-car & Rent-a-chopper. MARKETS: Australia, Austria, Belgium, Bulgaria, China, Croatia, France, Germany, Greece, Holland, Hong Kong, Ireland, Japan, Korea, Malaysia, New Zeland,  Poland, Portugal, Romania, Russia, Serbia, Scandinavia, Slovenia, Spain, Swiss, Taiwan, Turkey, UK, Ukraine, USA COVERAGE OF: Slovenia, Bosnia & Herzegovina, Serbia, Macedonia, Montenegro, Kosovo, Albania EMPLOYEES: 74 FTE MEMEBERSHIPS: UHPA Association of Croatian Travel Agencies; IATA International Air Transport Association CERTIFICATES & AWARDS: ISO 9001; EOS CODE; Travelife Engaged; Simply the best 2012; Simply the best 2013; Simply the best 2014; DMC of the year 2015 HEAD OFFICE: Dubrovnik / BRANCH OFFICES: Split, Poreč",Croatia,77.851219,,,
Ulix Travel,7503732.0,"Croatia, City Of Zagreb, Zagreb, 26 Miramarska, 10000",https://www.linkedin.com/company/ulix-travel,www.ulixtravel.com,"Ulix is an IATA-certified agency in both Croatia and Germany, which opens its doors to any airline in the world. After 10 years of operations and continuous growth we become leading agency in air ticket sales in Croatia. Valuable experiences and expertise gathered throughout the previously organized events, meetings and congresses are incorporated in all we do. Along the way, on the daily basis, we are going to be your trustworthy and reliable partner and grow with you on each subsequent project we work on together. With our service level agreement we guarantee you the full involvement, support and the highest level of performance. Showing us the confidence on your business trips and events you will find a real friend and liable partner in all situations. Our international expansion began at the end of 2010 with Slovenia and Slovenian brand LETALSKE.SI. At the end of 2011 we continued our international expansion with other neighbouring countries – Republic of Macedonia and Republic of Serbia; and we plan to expand into markets of other neighbouring countries (Aviokarte.org)",Croatia,7.503732,,,
Nomago Travel HR,2915136.0,"Croatia, City Of Zagreb, Zagreb, 22 Ulica Andrije Hebranga, 10000",https://www.linkedin.com/company/9394262,www.nomago.hr,"By joining STA putovanja (now Nomago Travel), Nomago can claim one of the most successful growth stories in travel industry. Over the past 20 years, Nomago Travel team has grown into one of the leading agencies in the field of airline ticket sales, vacation planning, accommodation, business travel, organization of student work abroad programs as well as language summer camps for children, among many other travel products. Our growth was driven primarily by a focus on customer satisfaction and the provision of outstanding services to all clients, from individuals to business to government. This approach has brought Nomago Travel the trust of more than 200,000 satisfied customers, further encouraging the Nomago team to continue developing unique services for travelers.",Croatia,2.915136,,,
TRAVEL SHOP LTD,65565.0,"Croatia, City Of Zagreb, Zagreb, 9 B. Magovca, 10000",https://www.linkedin.com/company/travelshop-hr,www.travelshop.hr,"We are a well-organized team of travel experts who will offer group and individual travels in Croatia and abroad. Among other things, we are especially proud of: - 200,000 hotels worldwide - Rent a car in the whole world - 3.500 sail boats in 43 world destinations - Reservation of activities in the destinations, tours and tickets worldwide - Original arrangements and packages of destinations that are not so popular worldwide On our site you can easily create your own ""tailor made""  journey, whether it's adventure  travel, cultural, religious or any other kind of travel. Each client enjoys our personal approach from our employees in order for preparation of your  travel is quick and pleasant, and according with the guests' wishes. Our phones and e-mail addresses are open for You to any questions or requests about your trip with the quality of our services on the level of your expectations.",Croatia,0.065565,,,
Atlas,163039392.0,"Croatia, Dubrovačko-neretvanska, Dubrovnik, 19 Vukovarska, 20000",https://www.linkedin.com/company/atlas_5,www.atlas.hr,"The Biggest DMC in Croatia and the Region 90 Years of Experience Founded in 1923, Atlas is the biggest Destination Management Company in Croatia and the region, with a tradition of offering high-quality travel arrangements. A wide array of services, programs and products can satisfy all demands of individual, group and corporate clients from Croatia and the world.   From its very beginnings, Atlas has been the driving force of development and creator of diverse travel arrangements in line with global trends. As the leading DMC, Atlas has a clear strategic goal – positioning Croatia as a popular destination and uncovering all its charm both to domestic and foreign guests on a global scale, and this is exactly what Atlas has been working towards for a number of years.  Key success factors  •	The largest lease-holder of accommodation capacity in Croatia  •	Adapting to global trends by implementing new IT solutions •	Organized teams throughout the region  •	Diverse thematic excursions and attractions  •	Exclusive franchise partner of American Express Travel Services in Croatia (with support from agents in almost every country in the world)  •	The largest number of airplane tickets issued in Croatia  Our people make the difference  Atlas’s skilled and expert staff brings together experience and modern technologies, driven by a constant aspiration towards different and better business operation. Our satisfied clients are the best acknowledgement of their work, and caring for the clients is more than just a job.",Croatia,163.039392,,,
AIR.HR,208224.0,"Croatia, City Of Zagreb, Zagreb, 1 Josipa Slavenskog, 10000",https://www.linkedin.com/company/air.hr,air.hr,"AIR.HR is an online sales channel of LILA PUTOVANJA Ltd.  Our work is focused on online sales of airline tickets, corporate travel management and tailor made leisure travel.",Croatia,0.208224,,,
Kompas Zagreb,3956256.0,"Croatia, City Of Zagreb, Zagreb, 34 Andrije Hebranga, 10000",https://www.linkedin.com/company/kompas-zagreb-d.d.,www.kompas.hr,"Kompas Zagreb d.d. tourist agency is the first Croatian travel agency registered as a joint-stock company in 1991. Branch offices are located in Zagreb, Split, Osijek, Rijeka, and Čakovec, and the agency deals with all types of tourist travel arrangements and affairs as well as the sales of travel documentation and airline tickets. Alongside direct sales, Kompas Zagreb travel arrangements can be paid for via authorized sub-agencies abroad and in all larger Croatian cities. The payment of all travel arrangements is possible in installments. The following credit cards are accepted: Amex, Diners, Visa and MasterCard. Kompas Zagreb is a representative of the leading Portuguese airline TAP Portugal for Croatia and Slovenia. The branch office of TAP is located in Zagreb, in the office located at Andrije Hebranga 34. Kompas Zagreb is a representative of the largest Ukrainian airline Ukraine International Airlines for Croatia, with headquarters in Zagreb, Andrije Hebranga 34. Kompas is an IATA-licensed air ticket seller. KOMPAS ZAGREB travel agency is a member of UHPA (Association of Croatian Travel Agencies).",Croatia,3.956256,,,
