Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
GoFootballTickets,475546.0,"Cyprus, Pafos, Paphos, 10 Atlantidos, 8048",https://www.linkedin.com/company/gofootballtickets,www.gofootballtickets.com,"GoFootballTickets is a reliable, secure ticket exchange platform that was set up to ensure fans are able to obtain the tickets they want without the stress of trying to source and buy tickets which are in high demand. Primarily however, it was set up to eliminate the unknown; the worry that you may not actually receive the tickets that you have paid for. Being passionate about sport and football ourselves, we at GoFootballTickets understand how important it is to be a part of a moment, whether that be supporting your home team or at a prestigious cup final - we thrive off providing the best possible tickets at the best possible prices. Each customer we are able to provide tickets for is a mental tick for us against all the times we as fans have been let down.",Cyprus,0.475546,,,
OMONOIA FC,28347974.0,"Cyprus, Nicosia, Nicosia, Nicosia Nicosia, 2571",https://www.linkedin.com/company/omonoiafootball,www.omonoiafc.com.cy,"OMONOIA is the most successful and popular club in Cyprus since 1948. Its following is spread across the island, something which sets it apart from all other clubs.   It was established as a football club on the 4th June 1948 and became a member of the Cyprus Football Association in 1953. OMONOIA has won 21 League Championships, 16 Cypriot Cups and 17 Super Cups. Before joining CFA, OMONOIA has won 4 Championships and 5 Cups in KEPO. OMONOIA remains the only team to have won the Cypriot Cup 4 times in a row. THE COMMITMENT  OMONOIA FC is managed by a dedicated group of people who are committed to evolving the team through a professional approach towards a more modernized model of operations. This translates into a higher Return on Investment to sponsors with an effort on building long-term strategic partnerships.  OMONOIA holds the record for the highest average attendance in a season which amounts to 11,003 tickets per game. Added to that, OMONOIA also holds the record with the highest season ticket sales of 11100 in a season.",Cyprus,28.347974,,,
QLS - Quality Luxury Services,626883.0,"Cyprus, Nicosia, Nicosia, 7a Atho, 1087",https://www.linkedin.com/company/qls-quality-luxury-services,qlstravel.eu,"At QLS we believe your vacation should be exactly as you expect. With a pinch of something special. This is why we offer top-tier concierge services that do not simply make you feel at home, but also surprise you with quality, carefulness and creativity. From housekeeping to transport, from personal security to entertainment, from commodities to special events: we can propose and organise every aspect of your stay in Greece, whatever your requirements are. At QLS we feel that what matters more is to get to know you and your specific needs: we do not work with price lists and catalogues, but rather we listen, we understand, and then we design services entirely made-to-measure for you. Before your arrival, you tell us what you need to find ready and set for your holiday: a clean, aired out house, a professional staff waiting for you, fresh produce and fine drinks. During your stay, you express wishes that arise at the moment following your mood, indulging whims, embracing the feeling of freedom: a boat tour, a ticket for a special event, a party at your abode. Our commitment focuses on turning your requests, your desires, your caprices into reality. At QLS we prize confidentiality, privacy and transparency above all. You can rest assured that our staff, partners and providers work by these principles, so that all services are fulfilled discreetly and efficiently, while pricing and transactions are clear. You spend your time doing what it is most important, being certain that we carefully and promptly handle all your requirements. QLS: how to please",Cyprus,0.626883,,,
LiveStage.stream,1163679.0,"Cyprus, Limassol, Limassol, 101a Arch Makariou Iii Avenue, 3021",https://www.linkedin.com/company/livestage-stream,www.livestage.stream,"Enjoy an exclusive digital live show experience - from anywhere in the world. LiveStage is a live streaming and ticketing platform which hosts live & interactive performances from artists. Fans and artists get to connect through an exclusive digital live experience which promotes interactivity and allows fans to actively support their favorite artists. Artists/Performers stream their live shows through their own private virtual stage which is offered by LiveStage. Artist Benefits - Stream your shows on your virtual stage and make a living online! LiveStage is free for all artists to use. There is no cost to register as an artist/performer, to create an event or to stream your live event to your fans. All artists can showcase their live shows as they would on a real stage. You choose the date, time, and ticket price. This is your online stage. Start streaming your event with just a single click! No extra software to download, no hassle. Luxurious simplicity. Fans - Your Gateway to Art Fans of art and culture can purchase tickets to live shows prior to or during any show. Express yourself on the live chat and communicate directly with your favorite artists. Show your love by pressing the ‘heart’ button and show your support them by giving to artists tips. Feel free to say hello by sending your selfie in the chat and prepare yourself for an interactive experience! LiveStage expects fans to use the platform as a form of entertainment and a gateway to art, and to respect all artists who are performing.",Cyprus,1.163679,,,
Rialto Theatre Limassol,3965810.0,"Cyprus, Limassol, Limassol, Andrea Drousioti Str., 3040",https://www.linkedin.com/company/rialto-theatre-limassol,www.rialto.com.cy,"The Rialto Theatre manages and produces cultural events from Cyprus and abroad, while implementing theatre, film, dance and music events, hosting them mostly, yet not exclusively, in its own theatre. Some of its own productions, organised in collaboration with other institutions, have been presented to theatres in other cities, squares, ancient theatres and elsewhere. For many years now, the Rialto Theatre has been organising and producing the following annual events and festivals in collaboration with the Cultural Services of the Ministry of Education, Culture, Sports and Youth: Cyprus Film Days International Festival, International Short Film Festival of Cyprus, Cyprus Contemporary Dance Festival, Cyprus Choreography Platform, Drama Short Film Festival travels to Cyprus, Cyprus Jazz and World Music Showcase, and since March 2020, the Cyprus Choreography Showcase aiming to present the work of Cypriot choreographers internationally. The Rialto Theatre disposes of a large network of spectators, having established effective mechanisms for the promotion and screening of events, as well as an electronic ticketing system. Its annual budget exceeds one million euro and its programme includes more than 200 events annually. The Organisation is a member of the Forum of Worldwide Music Festivals, while most of the festivals organised by the Rialto Theatre have received the EFFE Label – Europe’s quality stamp for remarkable art festivals.",Cyprus,3.96581,,,
Αναπτυξιακή Εταιρεία Τροόδους / Troodos Development Company,1427935.0,"Cyprus, Nicosia, Nicosia, 62 Archbishop Makarios Galata, 2827",https://www.linkedin.com/company/αναπτυξιακή-εταιρεία-τροόδους-ανετ-troodos-development-company,www.anetroodos.org,"Η Αναπτυξιακή Εταιρεία Τροόδους (ΑΝΕΤ), υλοποιεί Ευρωπαϊκά Προγράμματα από τα Ευρωπαϊκά Διαρθρωτικά και Επενδυτικά Ταμεία (ΕΔΕΤ) και για προγραμματικές περιόδους 2007-2013 / 2014-2020, το Μέτρο 19 - Leader του Προγράμματος Αγροτικής Ανάπτυξης. Από το 2015 με απόφαση του Υπουργικού Συμβουλίου έχει οριστεί ως ο Διαχειριστικός Φορέας του Παγκόσμιου Γεωπάρκου UNESCO Τροόδους και του Κέντρου Επισκεπτών που στεγάζεται στο παλαιό μεταλλείο Αμιάντου στον Πάνω Αμίαντο.  Επιπρόσθετα, με το έμπειρο και εξιδεικευμένο προσωπικό που διαθέτει η Εταιρεία μας (Λογιστή, Οικονομολόγο, Πολιτικό Μηχανικό, Γεωλόγο, Γεωπόνο, Σύμβολο Αγροτικής Ανάπτυξης) αλλά και με τους εξωτερικούς μας συνεργάτες (Πανεπιστήμια, συμβουλευτικές εταιρείες κ.ά.) είμαστε σε θέση να αναλαμβάνουμε εργασίες και υπηρεσίες σε ένα ευρύ φάσμα θεμάτων. Συγκεκριμένα οι υπηρεσίες που παρέχουμε είναι: Ετοιμασία Εγγράφων Διαγωνισμού για την Αναθέτουσα Αρχή, Παραλαβή προσφορών, αποσφράγιση και αξιολόγηση, Ετοιμασία έκθεσης Αξιολόγησης, Ετοιμασία επιστολών απόρριψης και ανάθεσης/κατακύρωσης προσφορών, Ετοιμασία Συμβολαίου μεταξύ Αναθέτουσας Αρχής και Αναδόχου, Μελέτες σκοπιμότητας και μελέτες βιωσιμότητας, Οικονομοτεχνικές Μελέτες, Ετοιμασία αιτήσεων για συγχρηματοδοτούμενα έργα από τα Ευρωπαϊκά Διαρθρωτικά και Επενδυτικά Ταμεία (ΕΔΕΤ) και από το Πρόγραμμα Αγροτικής Ανάπτυξης (ΠΑΑ), Συμβουλευτικές Υπηρεσίες, Γεωπονικές Υπηρεσίες, άλλης φύσης μελέτες και εργασίες που έχουν να κάνουν με τον τουρισμό, τη γεωργία, την εμπορία και διάθεση γεωργοκτηνοτροφικών προϊόντων κ.ά. Τέλος, η ΑΝΕΤ είναι εγκεκριμένο Κέντρο Επαγγελματικής Κατάρτισης (ΚΕΚ) με εγκεκριμένες Δομές Επαγγελματικής Κατάρτισης(ΔΕΚ) από την Αρχή Ανάπτυξης Ανθρώπινου Δυναμικού (ΑΝΑΔ), και διοργανώνει κατά καιρούς προγράμματα κατάρτισης, εγκεκριμένα από την ΑΝΑΔ.",Cyprus,1.427935,,,
Prometheus Travel,1406949.0,"Cyprus, Limassol, Limassol, 227 Arch. Makariou Iii Avenue Doma Bldg",https://www.linkedin.com/company/prometheustravel,prometheus-travel.com,"Real Estate Services, Air Ticket Sales, Conference & Seminar Organization, Teambuilding Programs, Wedding Planning, Entertainment & Celebrations, Training for All Ages, Excursions, Themed Tours (Gastronomic, Medical, Photo, Pilgrimage), Transfers, VIP Airport Services, Accommodation Booking (Hotels, Villas, Apartments).",Cyprus,1.406949,,,
Pan Leon Travel And Tours,2517336.0,"Cyprus, Limassol, Limassol, 31-33 Georgiou Gennadiou, 3041",https://www.linkedin.com/company/pan-leon-travel,panleon.com,"Panleon Travel & Tours was established in 1995. The purpose, to provide high standard of service for the discerning traveler. The motto of its creators/ directors . “THE PROFESSIONAL SOLUTION TO YOUR TRAVEL”. Today, Panleon Travel & Tours has established itself as one of the most reliable and professional Travel Agents. Member of ACTA(Association of Cyprus Travel Agents) its sphere of activities include: Ticketing dept: Professional and well-trained personnel always endeavor to find the best possible solution to your traveling requirements. The continuous training and the very good relationship we have with the various airlines ensures that we manage to respond quickly to even the most difficult requests and itinerary requirements. Whether a holiday or a professional trip Panleon Travel & Tours is prides itself to being able to respond your requirements in record time. Incoming dept: The very good relationship with the various hotels and our excellent knowledge of  the island ensures that the visitor to Cyprus will have the very best possible service and discover all the hidden treasures the island provides. Whether your visit to the island is for holiday and relaxation or whether is for business, our experienced personnel can prepare an itinerary for you that would satisfy all your needs. From the minute you step off the airplane, your stay on the island is discreetly monitored by our team to make sure everything is how it should be and if any need arises, we are ready to take all the necessary steps to satisfy your needs. Outgoing dept: Using an extensive network of associates our personnel is able to provide the best possible solution to suit your requirements and budget. Whether on business or pleasure your stay abroad is guaranteed to be exactly what was promised. Our Outgoing dept can provide you with hotel accommodation, car hire, organized holidays, cruises and special interest holidays. Corporate dept: A recent addition to the company is our newly formed Corporate dept which deals with organizing conferences and incentive travel both in Cyprus and abroad. It provides specialized services to companies which wish to either organize their conferences or reward their employees for their achievements. Other Services: In addition to all the above Panleon Travel & Tours can also arrange others services relating to travel. Services like money transfer world wide and all kinds of insurances. In spite of its success Pan Leon Travel & Tours still remains true to the original aspirations of its directors. Providing high standards service in all the spheres of its activities. With the attitude that there is always room for improvement, Pan Leon Travel & Tours is involved in an on going training program for all its employees, in order to make it possible for them to fulfill their tasks at the highest possible standard. In short to “MAKE YOUR DREAMS A REALITY”.",Cyprus,2.517336,,,
Aeolos Travel,15991290.0,"Cyprus, Nicosia, Nicosia, 12 Zenas Kanther Str",https://www.linkedin.com/company/aeolos-travel,www.aeolos.com,"We understand travel and travellers’ needs; with more than 75 years of experience, we know how much better travelling can be once you find the people you can trust.  Aeolos, a private limited partnership consisting of two shareholders, Francoudi and Stephanou and the TUI Group, operates in a wide spectrum of travel fields. Inbound Travel: Representation, Transportation Services, Excursions, Groups & Special Interests, MICE, Cruise Destination Management, Wedding Services Airport services: Guest handling, ticketing, incoming and cargo Travel and ticketing: IATA ticketing, FIT and AIT Online Travel Services: Inbound & Outbound Others: Hotel management, cargo logistics, subsidiaries, Joint Ventures  Aeolos owes its success to a clear and focused strategy of maintaining market leadership in selected fields of activity. A strategy based on the following corporate principles:   Strong Customer Focus Dedication, Efficiency, Flexibility, Innovation Quality of products and services Social and Environmental Responsibility Success through our people",Cyprus,15.99129,,,
SENTURIA,27061362.0,"Cyprus, Nicosia, Nicosia, Nikou Kranidioti St., 2411",https://www.linkedin.com/company/senturia,senturia.aero,Senturia is an international online travel company that provides booking services for domestic and international air travel. Our goal is to ensure excellent customer experience by providing innovative services to simplify the process of booking and purchasing airline tickets at the lowest price. Senturia guarantees excellent customer service and the best prices the airline market has to offer.,Cyprus,27.061362,,,
Esta Travel Group,1487561.0,"Cyprus, Keryneia, Esta Sigorta Acenteligi North Cyprus",https://www.linkedin.com/company/3193136,www.estatravelgroup.com,Esta Travel Group... Flight Tickets... Hotel bookings... Special Packages.... Tours.... Tailored Travel  packages .......www.estatravelgroup.com .. Affordable Luxury.......Travelling Worldwide Tel:00903924443782 Info@estatravelgroup.com Address: Esta Travel Group                  Next to Dizayn 74 Pottery                 Karaoglanoglu/ Kyrenia                  Cyprus,Cyprus,1.487561,,,
Night2Stay,2517336.0,Cyprus,https://www.linkedin.com/company/night2staycom,,"EASY TRAVEL. EASYWORLD. Welcome to Night2Stay - a booking website. You have a large choice of hotels, airline tickets, transfers, yachts and package offers thanks to partners from all over the world. Tourists arrange their trips with us as well as travel agencies, who wish to sell more and get a commission.  Join Night2Stay to discover world or book for your partners at the competitive price.",Cyprus,2.517336,,,
Varianos Travel Agency,743780.0,"Cyprus, Nicosia, Nicosia, 8 K. Pantelides Nicosia Nicosia, 1010",https://www.linkedin.com/company/varianos-travel-agency,www.varianostravel.com,"Varianos Travel is a full service travel agent in Nicosia, Cyprus. Our outgoing tours department offers trips to Lebanon, Egypt and Jordan. During the winter we specialize in organizing skiing holidays to the Faraya Mzaar ski resort in Lebanon where we offer on the slopes accommodations, Bulgaria's premier ski resorts of Bansko and Borovets as well as other destinations. We also offer tickets for mini cruises to the Eastern Mediterranean out of Limassol.",Cyprus,0.74378,,,
PHILOSHOPIC,2068750.0,"Cyprus, Nicosia, Nicosia, 91 Lemesou Avenue, 2121",https://www.linkedin.com/company/philoshopic,www.philoshopic.com,"At PHILOSHOPIC, we help businesses grow through creative, cloud-native, AI-ready solutions for modern commerce — crafted by an expert team that enjoys every step. Since 2014, our Philoshopers have empowered retailers, financial services, and distributors to turn ideas into reality — from consumer engagement and payments to analytics, compliance, and digital product distribution. 💡 Our Solutions SMASH — our flagship framework for digital commerce and engagement  - SMASHREWARDS — agile, mobile-first loyalty and rewards programs tailored for retailers, banks, and beyond  - SMASHCARDS — secure, versatile prepaid card programs — including gift cards — that are easy to launch and manage  - SMASHPROMOTE & SMASHENGAGE — AI-ready tools for managing omnichannel personalized campaigns and seamlessly delivering tailored rewards and experiences that drive business goals - SMASHCONNECT — connect your touchpoints with partners and services to enrich your customer value proposition with payments, coalition programs, real-time coupon validation, activations, and more - SMASHBASKETS — mobile-first shopping assistance apps like Scan2Pay, queue-busting, and price checks — empowering consumers to shop smarter on their own devices - SMASHVISION — visualize program data, track performance, and support smarter decisions SMASHeVouchers — a flexible platform for managing digital products like airtime, money vouchers, tickets, donations, and more across POS, mobile, eCommerce, and other sales channels. Tailored editions for retailers, distributors, and operators. PHILOBROKER — a comprehensive solution for ZATCA compliance in Saudi Arabia, enabling businesses to generate, report, and archive B2C invoices per regulatory requirements. We also provide consulting to help businesses modernize systems or launch new digital programs with agility and confidence. 📍 Based in Nicosia, Cyprus, we proudly serve clients across Europe, the Middle East, and beyond.",Cyprus,2.06875,,,
Birdtech,2059248.0,"Cyprus, Nicosia, Nicosia, 23 Markou Drakou",https://www.linkedin.com/company/freebirdkz,ifreebird.us,"Birdtech (formerly Freebird) is a service for buying air and railway tickets. We have been operating since 2014.  We set ourselves ambitious goals and are not going to stop. Our company is a team of like-minded people, but individually everyone is a rockstar !",Cyprus,2.059248,,,
XO,305492.0,"Cyprus, Nicosia, Nicosia",https://www.linkedin.com/company/thexoapp,www.thexo.app,"XO is tackling social isolation for Gen-Z while helping hospitality and entertainment event businesses bring more people through their doors. For venues, event organizers, and promoters: • We act as your modern sales and marketing engine. • We drive footfall through engaging promotions and real-time insights. • We provide operational tools to manage such as event bookings, tickets, VIP tables, ordering, and customer interactions. • We give you clear data to understand your audience, build loyalty, and grow revenue. For Gen-Z: • XO is about finding the right vibe, not scrolling through faceless listings. • We help you connect with the right crowd. • We make going-out easier to plan and more rewarding to experience. Our mission is simple. Fight loneliness. Bring people together. Help businesses thrive. XO is short for “πάμε έξω” (pame exo), Greek for “let’s go out”.",Cyprus,0.305492,,,
TH. PLATINUM LTD,459811.0,"Cyprus, Limassol, Limassol, 19a Meletiou Metaxaki Street, 3107",https://www.linkedin.com/company/th-platinum-ltd,www.platinum-cy.com,"TH Platinum is a travel agent and tour operator in Cyprus active member of the Association of Cyprus Travel Agents (ACTA, the Cyprus Chamber of Commerce and many others. Our backbone is the experience we have from leading hotels worldwide and from major tour operators that are using Cyprus in their travel brochures. TH. Platinum represents major tour operators from Middle East and mainly from Lebanon and East Europe. We also specialize in incoming tours, ground handling, hotels’ accommodation, civil & religious weddings, papers’ facilitation, conferences’ and business’ meetings organization & tickets for special sports and music events. Our area of expertise is also in air ticket reservations (empowered by Sabre & Galileo), worldwide hotels’ accommodation, transfers, sightseeing tours, summer holiday packages, groups incentive trips, online reservation system (B2B & B2C) real estate travel and consultancy services. Our head office is located in Limassol, and we cover all the areas of South Cyprus. If you are searching for holidays or to organize your event in Cyprus, ask for our Packages, and our assistance. Our team is flexible, well trained to think out of the box, offers alternatives, creative, enthusiastic and above all focused on you! Any additional Ideas you may have will be taken into consideration, to ensure the success of your event-corporate or private.  We make sure your experience is memorable. Our backbone is the experience we have in leading hotels, worldwide, and witnessing, along with you, your dream event.",Cyprus,0.459811,,,
Nexxie Group,41634138.0,"Cyprus, Pafos, Paphos, 23 Aristoteli Savva, 8025",https://www.linkedin.com/company/nexxie-group,www.nexxie.com,"Who We Are: At Nexxie Group, we believe that nothing is impossible, and together, we can achieve incredible things. We've cultivated a culture where personal and professional growth are just as essential as business development. Our global workforce is dedicated to delivering optimal outcomes for our clients, relentlessly pursuing the forefront of internet technology and trends to ensure excellence in all that we do.  What We Do: Vdesk: With our extensive network of freelancers, Vdesk provides 24/7 support in over 33 languages. From ticket resolution and SEO writing to content creation and chat moderation, we offer top-notch tailored services to our clients. Redwalking: We specialise in pioneering digital marketing solutions tailored to your needs. Whether you require programmatic media buying, website monetization, or SEO services, we've got you covered. We deliver performance-driven traffic acquisition and monetization strategies, that way you can focus on what you do best. Elevven: An exclusive affiliate marketing group, offering top-tier, high-converting offers globally. Our unique revenue share programs provide affiliates with everything they need to maximise their performance. From real-time tracking on our tailor-made platform to personalised support from dedicated Account Managers, we ensure that affiliates get the best results for their traffic. Merchsuite: Your ultimate payment partner for the online world! We connect you with the best and most popular payment methods and offer customised consulting to ensure your success. Let us simplify your transactions and boost your business for optimal results! i-Con: Experience the ultimate conference in Cyprus. The combination of our expertise and passion for quality created i-Con, an event tailored to your needs with the aim of connecting people and companies from various online verticals. Join us for an unforgettable experience.",Cyprus,41.634138,,,
