Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
ChatSimCZ,592359.0,Czech Republic,https://www.linkedin.com/company/milica,www.milica.cz,"Jsme oficiální distributor karet ChatSim pro Českou Republiku, Zůstaňte na cestách v kontaktu se svými přáteli prostřednictvím Whatsappu, Messengeru a mnoha dalších aplikací. ChatSim umožňuje neomezeně posílat zprávy ve více než 150 zemích světa. Zaručujeme maximální pokrytí a nejlepší možnou kvalitu signálu kdekoliv na světě: SIM karta se připojí k jednomu z více než 250 operátorů po celém světě.",Czech Republic,0.592359,,,
IPEX TELCO A.s.,457518.0,"Czech Republic, Praha, Prague, 77 Roháčova, 130 00",https://www.linkedin.com/company/ipex-telco,www.ipex-telco.cz,"IPEX TELCO a.s. dodává pokročilá telekomunikační řešení pro Operátory (TSP) a Poskytovatele Internetových Služeb (ISP). Velkoobchodně i v rámci Partnerské sítě nabízí komplexní nástroje zákaznické péče, jako Omnichannel Ticketing, Call Centrum, Integrace s CRM/ERP systémy a Videokonference.",Czech Republic,0.457518,,,
SportPass,2377730.0,"Czech Republic, Praha, Prague",https://www.linkedin.com/company/sport-pass,,"SportPass - reservation system allows sports clubs, yoga studios and personal trainers to organize lessons, sports activities and provide services that you offer. Our goal is to help you find new customers, fill available spots in the scheduler and automate your operation.  How do we do that? Your clients have their own application which allows them to reserve your services and pay for them right away. How do we handle cancellations and refunds? The exact same way. When a reservation is cancelled, payment is automatically refunded or taken if it’s too late to cancel.  Our features:  Manage lessons and clients 1 or more venues Cancellation and reservation policy Waiting list Coaches with limited access Notifications on available spots Private app for clients Unique link to every lesson Easy lessons sharing Manage open courts or private sessions Sell packages, memberships, season tickets and credits Create customer groups Credit card payments Activity feed: reservations, cancellations, etc. iFrame and personal website Workshops News Statistics",Czech Republic,2.37773,,,
Ticket Print,2531546.0,"Czech Republic, Praha, Prague, 1012/30 Hybernská, 11000",https://www.linkedin.com/company/ticket-print-s.r.o.,www.ticketprint.eu,"We are the middle European market leader in cloakroom and ticket system solutions for halls, stadiums, theaters, concert halls, museums and exhibitions. Our printers handle 10.000+ visitors daily across Europe. We also run cloakrooms for large indoor concerts and trade fairs.",Czech Republic,2.531546,,,
Hotel Amadeus,7238625.0,"Czech Republic, Praha, Prague, 10 Dalimilova, 13000",https://www.linkedin.com/company/hotel-amadeus,amadeushotel.cz,"Accommodation in hotel Amadeus Prague Hotel Amadeus Prague is quiet hotel close to the Prague City Centre,  easily accessable by Public Transport, even at night. Wenceslas Square, Old Town Square and the city centre are easily accessible by public transport within 10  minutes from Hotel Amadeus. Hotel Amadeus offers cheap acoomodation in 3 stars category. Amadeus consists of two connected buildings with common entrance, reception desk and terrace.  Hotel is three floor building and Aparthotel offers apartments, rooms with kitchennette and some with balcony. There is a spacious non-smoking rooms and apartments suitable for families, long stays and business travelers. All are equipped with private shower and WC, satellite TV, telephone and Wi-Fi access. Studio and family apartment offers a kitchenette with a fridge, stove and cooking utensils Services •	Advantageous rates for more nights stay, packages, discount for regular client  etc.. •	Reception desk with nonstop service offers money exchange, toiletries, beverages, coffee and sweets, it is possible to rent a hair dryer, an iron or kettle. •	You can pay in CZK and EUR. We accept VISA, EC / MC, AMEX, Diner's Club, JCB. •	Luggage storage room and lockers for valuables are available for hotel clients. •	Your pets are also welcome •	Check in time from  02:00 P.M. •	Check out time till  11:00 A.M. •	Breakfasts are served at hotel restaurant  between 7:00 and 10:30 A.M. •	We arrange city tours, excursions or tickets",Czech Republic,7.238625,,,
AmeriPrague S.r.o.,1447000.0,Czech Republic,https://www.linkedin.com/company/ameriprague-s-r-o-,www.ameriprague.cz,"AmeriPrague is your travel agent in Czech Republic and Central Europe.  We have been offering tourist services since 1995 and have lot of experience in all spheres of the travel business.  AmeriPrague offers the following tourist services  • Transfers around Prague • City tours of Prague • Half day or all day excursions out of Prague • Accommodation (in Prague or outside of Prague) • Cultural event tickets  • Train tickets • Genealogy tours or researches • Interpretation services so you can talk to your ancestors  • Special custom tours around Czech Republic, Slovakia or Central Europe.",Czech Republic,1.447,,,
Hotel Rehavital,3965810.0,"Czech Republic, Liberecký, Jablonec Nad Nisou, 30/11 Jugoslávská, 46601",https://www.linkedin.com/company/hotel-rehavital,www.rehavital.cz,"Hotel Rehavital se nachází v samém srdci Jablonce nad Nisou, jež proslul dlouholetou tradicí výroby bižuterie a skla. Naším cílem je vytvořit příjemné, klidné a přátelské prostředí, kde si můžete odpočinout po náročném výletu do nedalekých Jizerských hor nebo po toulkách městem. Pyšníme se také největší a nejmodernější saunou v Jablonci nad Nisou a společně s vířivou vanou a masážemi dokážeme vytvořit neutuchající pocit relaxace. Zbožňujeme náš region, a proto není divu, že jsme jediným certifikovaným prodejcem regionálních produktů v Jablonci nad Nisou. Chceme, abyste i Vy okusili produkty našeho regionu, a proto pro Vás připravujeme bohaté snídaně, které jsou složeny převážně z potravin od regionálních výrobců. Jsme skvělým výchozím bodem pro objevování krás Jablonce nad Nisou, Liberce a v neposlední řadě i Jizerských hor.  Pro naše hosty se vždy snažíme dělat maximum, proto pro Vás máme připravené jízdenky na lanovku Skalka, s výstupní stanicí jen kousek od vrcholu Ještěd, vstupenky do Křišťálového údolí a dokonce i do Zoologické zahrady v Liberci, a to všechno zdarma. Navštivte nás.",Czech Republic,3.96581,,,
Social Visage,1001367.0,"Czech Republic, Praha, Prague, 11 Prague",https://www.linkedin.com/company/social-visage,www.socialvisage.com,"Progressive company in area of PR, marketing and culture with specialization on internet and social/new media. Cooperating with some of the biggest names of czech music and culture names. For example bands as Chinaski, Horkýže Slíže, Divokej Bill, Sto zvířat Visací Zámek, Tři sestry, radio Beat, festival Rock for People and much more. With target to offer the best services also working on other projects as Tickets for People (www.ticketsforpeople.cz) or Bedňáci.com",Czech Republic,1.001367,,,
Colognia Press A.s.,6081064.0,"Czech Republic, Central Bohemia, Kolín, 844 Havlíčkova, 28002",https://www.linkedin.com/company/colognia-press,www.cologniapress.com,"- a stabile stock company, controlled by the Czech capital - main focus: printing of self adhesive labels, shrink sleeves, laminates and tubes, flexible packaging, tickets and packaging materials for industry, trade, services, etc. - more than 130 employees - non-stop production - holder of ISO 9001, ISO 14001, OHSAS 18001 - holder 1th place of competition of the Company of the year 2018 in the Central Bohemia Region - socially responsible company in 2018 in the Central Bohemian region - winner of the beverages category of the 2018 Packaging competition (Obal roku) - holder of the 2nd place competition of the Company of the year 2017 in the Central Bohemia Region - socially responsible company in 2017 in the Central Bohemian region - orientation on qualified human resources, information technologies, work conditions, machinery and environment high flexibility and creativity in solving non-standard requirements",Czech Republic,6.081064,,,
Apis Press,1033578.0,"Czech Republic, Vysočina, 491 Křižíkova, 674 01",https://www.linkedin.com/company/tisknise,www.tisknise.cz,"Firma APIS agency vznikla v roce 1992 jako sdružení podnikatelů se zaměřením na reklamu a tisk. Postupem času jsme se ve stále větší míře orientovali na polygrafickou výrobu, avšak i nadále naleznete v našem portfoliu služeb reklamní a propagační činnost. Od roku 1999 pod názvem Apis Press, s.r.o. (Advanced Press Information Service) působíme především jako tiskárna a grafické multimediální studio, specializující se zejména na ofsetový, malonákladový a velkoplošný tisk. Ve vlastních prostorách a na vlastním zařízení pro přípravu tisku, tiskařskými stroji a zařízením pro výrobu a dokončovací práce vyrábíme širokou škálu tiskových produktů. Na míru a podle vašeho přání to může být mimo jiné: autoplachta, backlit, banner, bigboard, billboard, brožura, bulletin, certifikát, desky s chlopněmi, dopisní papír, etiketa, frontlit, kalendář kapesní, stolní, nástěnný, Kappa deska, katalog, kniha, krabička, kupón, leták, mesh, novoročenka, plakát, pohlednice, pozvánka, program, promo stolek, prospekt, PVC deska, rollup, samolepka papírová, PVC, PES, PET, samopropisovací tiskopis, sborník, síťovina, svatební a promoční oznámení, světelná reklama a panel, taška papírová, LDPE, HDPE, visačka, vizitka, vlajkovina, vstupenka, vyřezávaná plastická 3D písmena, zpravodaj a další… Ofsetová tiskárna provádí lakování a laminování tiskovin a knihařské zpracování přesně podle požadavků zákazníka. Strojové vybavení umožňuje číslování, rylování, perforování, ražbu, výsek či vazbu tiskovin. Samozřejmostí je vlastní grafické studio pro přípravu tisku. Návaznost s DTP studiem zaručuje na rozdíl od většiny grafických studií kvalitní a požadovaný výsledek, kterému můžete nahlížet přímo v místě zrodu až po jeho dokončení. Vyvarujete se tak mnohdy zbytečných a drahých omylů. Vlastníme prepress vybavení, tiskařské stroje a zařízení pro výrobu a dokončovací práce.",Czech Republic,1.033578,,,
