Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
LogoCard,533560.0,Denmark,https://www.linkedin.com/company/logocard-aps,www.logocardgroup.com,"LogoCard provides a complete solution for loyalty and membership concepts.  Suppliers are: PLASTIC CARDS - plastic cards, loyalty cards, membership cards, gift cards, reward cards, bank cards, smart cards, hotel key cards, key fob cards and photo ID cards CRM Loyalty Solution - technical transaction solutions to retail for Electronic Gift Card, Loyalty, Voucher, Ticketing, Mobile Payment and E-Commerce applications",Denmark,0.53356,,,
BCODE Nordic,457518.0,"Denmark, Capital Region, Copenhagen, 2 Kanonbaads Vej, 1437",https://www.linkedin.com/company/bcode-nordic,www.bcodenordic.com,"Reach every mobile user on the planet bCODE is a unique mobile scanning technology that enhances mobile marketing and mCommerce strategies. It can be used to deliver and authenticate tickets, coupons, loyalty identities and payment credentials to the more than 6 billion mobile phones on the planet. bCODE greatly enhances mobile customer engagement. It represents the best way for retailers, brands, banks and many others to connect with every one of their customers. It provides opportunities to engage in new and innovative ways that add value to their customer’s mobile experience and to their own bottom line.",Denmark,0.457518,,,
AC Horsens,15037747.0,"Denmark, Central Jutland, Horsens, 61 3 Langmarksvej, 8700",https://www.linkedin.com/company/ac-horsens,www.achorsens.dk,"Et samarbejde med AC Horsens betyder, at du kan opleve fodbold, forretning og fornøjelse gå op i en højere enhed samtidig med, at du får adgang til et meget attraktivt netværk og mulighed for at invitere samarbejdspartnere, kunder og medarbejdere til unikke oplevelser. AC Horsens’ netværk har plads til alle virksomheder - store som små, og er et af områdets største erhvervsnetværk. Fodbolden er omdrejningspunktet, men netværket er den vigtigste medspiller, og vi arbejder hele tiden på at optimere netværket, så vores sponsorer får maksimalt udbytte af sponsoratet. Vil du udvide netværket for dig selv og din virksomhed, er vores Handelsnetværk et af områdets største erhvervsnetværk. Netværket har fokus på vækst ved skabelse af nye forretningsforbindelser enten i grupperne eller via gruppernes netværk. Fleksibilitet er nøgleordet for vores sponsorkoncept, for vores sponsorer har vidt forskellige behov og ønsker til et engagement i AC Horsens. Derfor er det op til den enkelte virksomhed, i dialog med os, at sammensætte sin egen skræddersyede løsning ud fra vores ydelser. Det skaber grundlag for en attraktiv samarbejdsaftale. AC Horsens tilbyder tre produktkategorier, som danner basisgrundlag for indholdet i de sponsorattyper, som tilbydes: Hospitality: Tribunebilletter, VIP-billetter, rejser og arrangementer. Eksponering: Elektronisk eksponering via LED-bander og storskærme, faste bander, annoncer, kampsponsorater, samplings m.v. Netværk: AC Horsens´ netværk på både forretningsmæssigt, personligt og relationsmæssigt plan via AC Horsens´ handelsnetværk, temamøder, foredrag, erhvervsmesse og andre arrangementer for sponsorkredsen. Sammen ser vi på dine behov og skræddersyr et sponsorat ud fra en lang række muligheder. Kort sagt: Vi hjælper med, at du får de ydelser, som du har brug for, så du får størst mulig værdi for dit sponsorat.",Denmark,15.037747,,,
Asmodee Nordics,4475510.0,"Denmark, Capital Region, Hvidovre",https://www.linkedin.com/company/803115,www.asmodeenordics.com,"Asmodee was founded in 1995. we're always on the hunt for the best games you can play. Whether you're looking for a fun game for the family, an engaging conflict between friends, or a controversial and exciting face-off, Asmodee has something for you. From best-selling family games and hilarious party games to gorgeous hobby games, Asmodee and its partners set the standard for production and gameplay. Asmodee Nordic was founded in 2004 in Copenhagen and had 6 employees. Today the company has grown out of the original setting and now employs more than 50 full time employees with a separate sister-company in Benelux. We are still based in the Copenhagen area with warehousing, administration and sales department, with additional sales offices in Norway (Oslo) and Sweden (Gothenburg). The main focus of the company is the distribution of non-electronic games, collectibles and trend products in the Nordic Countries (Sweden, Denmark, Norway and Finland). Within these product categories our main brands include: Collectible Cards Pokémon, Magic the Gathering, Adrenalyn XL (FIFA 365, World Cup, Euro football cards), Yu-Gi-Oh, etc. Board games The games we call modern classics, which include Ticket to Ride, Carcassonne, Pandemic, Dixit, Codenames and many others. Trend Products Rubik´s Cube, Nerf, Domino Express, Puzzles, Photocards, Desk Mats, Posters, etc. In general Enigma Distribution offers more than 3,000 different products – Many translated into Nordic languages, but a large part in English language – especially targeted towards gaming and hobby-stores. Customers Include gaming & hobby stores, toy stores, book stores, super & hypermarkets, kiosks and many others. Enigma Distribution´s aim is to strive towards giving our customers a good experience in dealing with us – through good service, delivery, prices and with a smile. Keeping a long-term relationship with all of our customers and partners is, and always will be, key to us.",Denmark,4.47551,,,
Dittokan Etiketter A/S,1217114.0,Denmark,https://www.linkedin.com/company/dittokan-etiketter-a-s,www.dittokan.dk,"Dittokan Etiketter – Ekspertise, Kvalitet og Service siden 1977! Dittokan Etiketter er et danskejet familieforetagende, der siden 1977 har været drevet af en passion for kvalitet, innovation og service. Vi specialiserer os i fremstilling af selvklæbende etiketter, billetter, tags og specialprodukter til en bred vifte af brancher og kundebehov. Med en stærk teknisk knowhow, et solidt leverandørnetværk og en dedikation til vores kunders unikke krav leverer vi alt fra standardløsninger til komplekse specialopgaver. Vores erfaring kombineret med investeringer i ny teknologi gør os til en pålidelig og kompetent samarbejdspartner. Kvalitet og leveringssikkerhed i fokus Hos Dittokan er kvalitet og leveringssikkerhed altafgørende. Vores produktion er baseret på fleksible og moderne trykmetoder, herunder flexo- og digitaltryk, der sikrer præcision og optimal kvalitet. Vi yder professionel rådgivning i valget af den rette trykløsning, så vores kunder altid får det bedste produkt. Bæredygtighed og ansvar Vi tager ansvar for miljøet og arbejder løbende på at minimere vores ressourceforbrug gennem nye bæredygtige initiativer. Det er en integreret del af vores strategi at optimere vores processer, reducere miljøpåvirkningen og sikre en grønnere fremtid for både vores virksomhed og vores kunder. En stærk samarbejdspartner Dittokan bygger langvarige relationer gennem en kombination af faglig ekspertise, fleksibilitet og en løbende dialog med vores kunder. Vi sikrer, at hvert produkt lever op til de højeste standarder gennem grundig rådgivning, præcist håndværk og streng kvalitetskontrol. Med over 45 års erfaring i branchen har vi en dyb forståelse for vores kunders behov – og vi går aldrig på kompromis med kvaliteten. Kontakt os for at høre mere om, hvordan vi kan skabe værdi for din virksomhed.",Denmark,1.217114,,,
Bellevue Teatret,6855644.0,"Denmark, Klampenborg, 451 Strandvejen, 2930",https://www.linkedin.com/company/bellevue-teatret,www.bellevueteatret.dk,"THE BELLEVUE THEATRE The Bellevue Theatre opened in 1936, and is recognised as one of the best examples of Bauhaus-architecture in Denmark and one of the greatest works of Arne Jacobsen. The theatre has as one of the only places in the world an electrical moving roof, as it slides to the side bringing in the warm summer nights. The Roof Construction was Arne Jacobsen’s way of bringing in the freshness of the sea and forest into the theatre. DANISH DESIGN IDENTITY The design of Arne Jacobsen is a great example of Danish design identity. He was a perfectionistic modernist, where the details were important, and he managed to create timeless designs. Arne Jacobsen was part of a period, where there were no previous architectural traditions and therefore he could create new shapes and Constructions. Arne Jacobsen continued his previous architectural work for Gentofte Borough such as Bella Vista and Bellevue Beach Bath, where also the Bellevue Theatre were created in functionalistic style with clean shapes and straight lines. The Organic Design with wavy strokes and the soft outline is seen all over both inside and outside at Bellevue Theatre with the canopy of the façade, the balcony in the auditorium, the chairs, the bar in the foyer and the stairs. GUIDED TOURS The theatre welcomes requests for guided tours. Guided tours are 100 kr. per person and students 75 kr (weekdays minimum 5 persons or 500 kr/weekends minimum 10 people or 1000 kr). Please send an email to adm@bellevueteatret.dk for more info and booking. PERFORMANCES AT THE THEATRE Bellevue theater's repertoire is aimed at a wide audience with many different setups from dance, drama, humor, family performances and musical shows. Tickets can be purchased online on www.bellevueteatret.dk or at our ticket office all weekdays. 9.00-16.30 on tel. 70 20 20 96.",Denmark,6.855644,,,
Artelize,3713473.0,"Denmark, Capital Region, Copenhagen",https://www.linkedin.com/company/artelize,artelize.com,"Empowering Performing Arts organizations maximize their audience retention. At Artelize, we help arts organizations transform raw ticketing data into actionable insights - giving them the power to understand, engage, and grow their audience with confidence. 🚨 The Problem? Most performing arts organizations still don’t analyze their audience data. This means missed opportunities to increase attendance, improve retention, and drive revenue. Without a clear picture of who’s returning and who’s disengaging, marketing becomes guesswork. 🚀 The Solution: The Audience Retention Dashboard We’ve built an AI-powered tool that automatically analyses your ticketing data, segments your audience, identifies patterns, and recommends data-driven actions—within seconds, without the hassle of analyzing spreadsheets. Here’s How It Works: Drop your data for Instant Audience Insights – See at a glance who’s returning, who’s at risk of churning, and who needs re-engagement.   Smart AI-Driven Segmentation – Your audience is automatically grouped based on behaviour, so you can target the right people with the right message. Personalized Recommendations – AI analyzes trends and suggests specific actions to boost retention, increase ticket sales, and nurture engagement. Automated Marketing & Outreach – Effortlessly promote upcoming events and send tailored campaigns to audience segments that need nurturing. Arts organizations that use data strategically don’t just sell more tickets—they build stronger, more connected communities. Ready to put your audience data to work? Let’s make every engagement count.",Denmark,3.713473,,,
Eventyrteatret,1392311.0,"Denmark, Søborg, 4 Østmarken, 2860",https://www.linkedin.com/company/eventyrteatret,www.eventyrteatret.dk,"Musicals der samler familien Som det eneste teater i Danmark opfører Eventyrteatret hver år mindst to nyskrevne danske musicals på etablerede teaterscener, hvor alle medvirkende er børn og unge. Målet er at skabet tidssvarende fortolkninger af eventyr, som kan opleves på flere planer af både voksne og børn. Dramaskolen - udvikling af fremtidens livskunstnere Eventyrteatret er også en dramaskole, hvor børn og unge fra hele Sjælland med særligt talent for sang, dans og skuespil kan udvikle sig både fagligt og menneskeligt. I professionelle og trygge rammer får de undervisning af erfarne scenekunstnere i de vigtigste discipliner inden for teater og musical. Uden offentlig støtte Eventyrteatrets enestående koncept og aktiviteter falder uden for både teaterlovens og fritidslovens støttemuligheder. Derfor har teatret i 20 år klaret sig på markedsvilkår uden offentlig støtte og finansieret sine aktiviteter og udvikling via billetsalg, honorarer og medlmeskontingent sam projektstøtte fra virksomheder og fonde.",Denmark,1.392311,,,
Opera Hedeland,480648000.0,"Denmark, Hedehusene, 8 Tranemosevej, 2640",https://www.linkedin.com/company/opera-hedeland,www.operahedeland.dk,"Northern Europe´s largest outdoor amphitheater, seating appr 3000 persons. Each year in August we present on full scale one of the great and popular titles of classical opera - ranging from Mozart to Puccini. Artists are at international level - predominantly from Scandinavia. We merge the beautiful landscape and the view of the ever changing sky with the fully staged opera and the symphony orchestra in full view behind the stage. The theatre offers free parking for 2000 vehicles and the area opens 3 hours prior to the performance. We can accommodate appr 1800 sitting guests in the audience area adding to the 3000 comfortable seats in the theatre itself. Free shuttle service is offered from nearby Hoeje Taastrup station (Kruses bus company) and an opera shuttle (Kruses bus company) from the central station in in Copenhagen at the price of 100,- for a return ticket including an introduction to the opera en-route.",Denmark,480.648,,,
PaperMind,4405338.0,"Denmark, Capital Region, Charlottenlund, 31b Strandhøjsvej, 2920",https://www.linkedin.com/company/papermind-intelligent-solutions,www.papermind.dk,"PaperMind is the leading independant agency and trading house. We are adding value to packaging customers and label/ticket/tags printers in the Nordic region. We are providing the customer with optimized, tangible and easy-to-handle solutions that will save the customer both time and money. This is what we describe as ""Intelligent Solutions"".",Denmark,4.405338,,,
