Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
IOKode,330039.0,"Estonia, Harjumaa, Tallinn",https://www.linkedin.com/company/iokode,iokode.blog,"IOKode es un canal de YouTube y un blog de desarrollo de software. El contenido será principalmente sobre desarrollo de software, desde entradas y vídeos puramente técnicos, pasando por mis propias reflexiones y opiniones personales, hasta documentar desafíos con los que me he encontrado y como me he enfrentado a ellos hasta solucionar problemas. Hay contenido para todo los niveles, desde artículos sobre como funciona algo a bajo nivel, hasta información que puede consumir incluso personas ajenas a la industria, por lo que si tus conocimientos no son muy avanzados, tal vez no todo el contenido sea para ti, pero sí que podrás consumir una gran parte de ellos.",Estonia,0.330039,,,
BussiReisid OÜ,617255.0,Estonia,https://www.linkedin.com/company/bussireisid-o-,www.bussireisid.ee,"BussiReisid OÜ is a company managing bus ticketing utilities for bus stations, including specialized software and know-how. We are also managing the most popular bus timetables and e-ticketing web service on www.bussireisid.ee.",Estonia,0.617255,,,
Stebby,4405338.0,"Estonia, Tartu, Tartu, 142 Riia, 50411",https://www.linkedin.com/company/stebby,stebby.eu,"Stebby is the largest health and wellness platform in the Baltics - join in with over 180,000 Stebby users who care for their wellness.  >> stebby.eu Stebby (previously known as SportID), symbolizes moving step-by-step and thinking more about our health. Developing one’s health and improving one’s welfare begins with small steps. The big goal of Stebby is to provide a convenient environment where people can find and purchase all kinds of welfare services, use the compensation provided by their employer, and keep an eye on their health expenses. The wide selection available in the Stebby environment includes tickets to sports clubs and spas, rehabilitation services, massages, and even health insurance.",Estonia,4.405338,,,
Hausing Property Management Software,2745108.0,"Estonia, Harjumaa, Tallinn, 8 Valukoja, 11415",https://www.linkedin.com/company/hausing,www.hausing.co,"Hausing is the only property management software you need. With us you can save time through automated processes, reduce costs through accurate cost tracking and give real-time and complete overview through centralised data. We automate unreliable Excel sheets, so commercial property managers and owners have all their portfolio information in one place, to track everything from lease changes, to special agreements and real-time analytics. Solutions: 𝗧𝗮𝘀𝗸 𝗺𝗮𝗻𝗮𝗴𝗲𝗺𝗲𝗻𝘁- create tickets quickly from email, web form or through Hausing. Monitor the process of all the tasks in real-time. Send tickets straight to contractors. 𝗟𝗲𝗮𝘀𝗲 𝗺𝗮𝗻𝗮𝗴𝗲𝗺𝗲𝗻𝘁 - keep track of all lease changes, indexations and new tenants in one system. Generate rental invoices with just two clicks. 𝗣𝗿𝗲𝘃𝗲𝗻𝘁𝗮𝘁𝗶𝘃𝗲 𝗺𝗮𝗶𝗻𝘁𝗲𝗻𝗮𝗻𝗰𝗲 𝗰𝗮𝗹𝗲𝗻𝗱𝗮𝗿 - generate automatic calendar for preventative maintenance. Don’t waste time manually distributing checklists and following up with contractors, to make sure if the job is done. 𝗔𝘂𝘁𝗼𝗺𝗮𝘁𝗲𝗱 𝘂𝘁𝗶𝗹𝗶𝘁𝘆 𝗰𝗼𝘀𝘁𝘀 𝘀𝗵𝗮𝗿𝗶𝗻𝗴 - enter meter readings and prices, Hausing does all the rest. Many different ways to share costs and take exceptions into consideration. Generate utility invoices with just two clicks. 𝗔𝗻𝗮𝗹𝘆𝘁𝗶𝗰𝘀 - rent-roll, task reports, vacancy reports and tenant changes are accessible as spreadsheet or visual graphs. Want to know more? Let’s have a chat a see how you can use Hausing. Book a call on our website.",Estonia,2.745108,,,
Apollo Cinema Baltics,2226609.0,"Estonia, Harjumaa, Tallinn, 10112",https://www.linkedin.com/company/apollokino,www.apollokino.ee,"Cinemas aren’t what they used to be. And if they are, they’re not Apollo! If you’re in HR, a marketer, or a training/event organizer, we’re here to host your next blockbuster event. Apollo Cinema is pushing your cinema experience in a new direction. We’re more than just popcorn, a soda, and a movie. Our 19 cinemazing venues in Estonia, Latvia, and Lithuania go way beyond the silver screen! Cozy, comfortable, and innovative, our venues are equipped to host high-tech meetings, buzzworthy conferences, stand-out seminars, plus rockin’ casual or professional gatherings and seasonal parties. Our world-leading cinema screen technology and a mind-blowingly detailed and powerful sound system will make sure of that. ,  What else awaits? Snuggle into our luxurious leather Apollo Star Seats, equipped with adjustable leg and back support. You can privately and comfortably order drinks, snacks, cocktails, and other exciting things on the menu. Get even more cozy with your partner in our Apollo double chairs and sofas. Level up your movie experience thanks to our state-of-the-art cinema technology - notably the Harkness Barco RGB laser projectors, whose ultra-sharp 4K resolution makes each moment incredibly real. In addition, All Apollo cinemas are built on the self-service cinema concept. Contactless pay for cinema tickets and snacks means quick service without waiting in line. Why not wind down your next gathering – or kick it off – at one of our cinemas? Our regular halls, banquet halls, and general area are open for private receptions. You and yours can enjoy a soda and snacks before or after the movie or organized event. The cinema is yours. The experience is yours. The pleasure is all ours.  What are you waiting for? Book your next blockbuster event here. Book it now!",Estonia,2.226609,,,
Toidufilmide Festival | Food Film Festival,587416.0,"Estonia, Harjumaa, Tallinn, 8 Vana-posti, 10146",https://www.linkedin.com/company/food-film-festival-estonia,foodfilmfestival.ee,"Food Film Festival: a ticket to a trip worldwide from simple flavours and inspiring stories to gastronomic delights. Sustainably and tastefully. The Food Film Festival is a unique film festival in the Nordic and Baltic countries. High-quality and latest documentaries bring cinema audiences inspiring stories of culinary geniuses and top restaurants, innovation, the importance of sustainability, bottlenecks and difficulties, and many more.",Estonia,0.587416,,,
ES Lifestyle Management,547938.0,"Estonia, Harjumaa, Tallinn",https://www.linkedin.com/company/eslifestyleservices,erikasostra.com,"I offer first-class personal assistant services to executives, entrepreneurs and private individuals helping them free up time for what is really important in business and in life. Some of the functions I can assist you with are the following: Travel Management:  - Business travel planning and management - Personal travel consultancy and management specialising in luxury tailor-made holidays and adventures worldwide. - Booking and managing plane, ferry, train tickets, rental vehicles and hotel rooms - Travel Insurance management General Administrative Support: - Calendar management - Personal correspondence - Appointment settings and reminders - Meeting preparation and co-ordination - Business and personal reservations - Email and correspondence management - Database and file system management - Ordering and delivery of flowers, gifts, presents - Booking event tickets and hotel rooms - Invoice creation and management - HR management and recruiting incl. background screening Event Management: - Private event and birthday planning - Company and corporate event planning - Event management and co-ordination Personal or Business Real Estate Rental, Leasing or Buying/Selling Services: - Real estate property mapping and preliminary selection - Preliminary property visits, compliance checks and overviews - Property viewing meeting arrangements according to client calendar - Property and owner background checks and screening - Preliminary contract reviews and negotiations Babysitter, Nanny, Housekeeper, Cleaner or Pet Sitter Hiring Support: - Screening databases, social media and appropriate environments - Candidate list creation and first contacts - Preliminary interviews and background checks - Preselection and meeting arrangement according to client calendar",Estonia,0.547938,,,
Estravel Group,41812389.0,"Estonia, Harjumaa, Tallinn, 15 Suur-karja",https://www.linkedin.com/company/estravel,www.estravel.ee,"ESTRAVEL is the largest, oldest and most trusted travel agency in the Baltic States. The company’s most important values are reliability and responsibility. Estravel offers the best travel solutions with high-quality customer service for private and business clients. Thanks to our experienced employees and large network of partners, and our memberships in global groups such as American Express GBT, we are able to fulfill the most complex travel wishes. Be it an exotic holiday in a jungle, or a tight-schedule business trip, Estravel consultants ensure that all the objectives are met without a hitch. We offer all kinds of support from the planning phase of a trip to the time the client returns home. Our 24/7 professional call centre assists with existing and new bookings around the clock. Estravel sells airline tickets, hotel accommodation, holiday packages, cruises, ferry and rail tickets, travel insurance and bus and car rental services. In addition to outgoing trips Estravel is also involved in inbound tourism (DMC) and selling trips to the Baltic States and Scandinavia. We organise conferences, incentive travel trips, seminars and other events. Estravel has a total five representations in four Estonian towns, a 24/7 operating Call Centre, a representation in Latvia and subsidiaries in Lithuania, Australia, Finland and USA. Estravel is the largest tourism services employer in Estonia, employing ca 200 people.  From 1995 to 2015, Estravel was majority owned by Finnair Plc, but since January 2016, the company is 100% privately held again.  See more about our international group at www.estravelgroup.com",Estonia,41.812389,,,
Trevento.com,4671000.0,"Estonia, Harjumaa, Tallinn, Harju, 11616",https://www.linkedin.com/company/40698119,www.trevento.com,"Trevento inspires to discover new destinations, new ways of travel and upgrades the quality of traveling. Search & compare more than 900 airlines and 800 000 hotels, book airport transfers and car rentals in advance. Tickets for activities, attractions and theme parks. Luxurious and world's biggest cruisers and more... Pre-planning and booking things to do, activities and transfers in advance, enables your trip to be a success. Searching things in advance such as attraction sites to visit, an amusement or theme park, a museum...all this is already a part of the whole travel experience. In today’s world, people intend to seek more memories and experiences from their trips, rather than bring materialistic things back to home with them. Time is getting more and more valuable and travel planning might be time consuming. We provide a helping hand for our users to get most of the travel elements and experiences together in one place, instead of searching them from several different web sites. Trevento operates with leading travel brands and search engines to offer a large variety of hotels and accommodation, flights, things to do and activities and other travel related services around the world. Key vision All-In-One, more travel elements in one place helps you to plan your next trip easier than before. You may create your a trip which is less stressful but more secure, exciting, and cost effective. We aggregate the search results, and show you the available online prices, you decide and book. We hope to make your trip unforgettable, not only interesting and full of exciting adventures, but also cost-effective. We wish you pleasant flights and stays!",Estonia,4.671,,,
Aves Travel Lufthansa City Center,516202.0,"Estonia, Harjumaa, Tallinn, 1/3 Estonia Pst, 10143",https://www.linkedin.com/company/aves-travel-lcc,lcc-aves.com,"Aves Travel, proudly Estonian-owned, is your go-to travel agency for both corporate and leisure travel with over 25 years of experience. As an esteemed member of the International Air Transport Association (IATA), we are among the select few in Estonia authorized to sell airline tickets directly, ensuring you receive unparalleled service without intermediaries. We have been part of the Lufthansa City Center global network since 2010, and since 2017, we've specialized in providing comprehensive business travel solutions. Our dedicated team of travel consultants is committed to delivering personalized service, offering flexibility in booking, modifying, or refunding travel arrangements based on fare rules. Our clients benefit from credit limits with flexible payment terms, the best available pricing, and professional advice every step of the way. Key benefits for our business clients include: - No service fees on travel arrangements - Customized credit and payment solutions - Best pricing on the market - Expert support from dedicated travel consultants - 24/7 assistance for any travel disruptions At Aves Travel, we understand that every journey is unique. We are dedicated to ensuring your travel experience is smooth, stress-free, and tailored to your needs. Whether it's handling a last-minute itinerary change or offering round-the-clock support, we are here to make your travel seamless.",Estonia,0.516202,,,
