Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
DAS GERICHT,2783111.0,"Germany, Hesse, Frankfurt Am Main, 15 Konrad-adenauer Straße, 60313",https://www.linkedin.com/company/das-gericht,www.dasgericht.com,"– EN – DAS GERICHT is an offspace established in April 2022, consisting of two showcases in the arcades of an 80s postmodern parking garage at Konrad-Adenauer-Strasse 15 in Frankfurt, Germany. In the direct vicinity of a dim sum restaurant, militaria store and bodybuilding store, monthly changing exhibitions of contemporary positions take place close to the city center. Particularly distinguished by the low-threshold character of the project space – available to viewers around the clock without an entrance ticket and opening hours. – DE – DAS GERICHT ist ein seit April 2022 existierender Offspace bestehend aus zwei Vitrinen in den Arkaden eines 80er-Jahre-postmodernen-Parkhauses in der Konrad-Adenauer-Strasse 15 in Frankfurt am Main. In direktem Umfeld zu einem Dim Sum Lokal, Militaria-Shop und Bodybuilding-Geschäft finden in Innenstadtnähe monatlich wechselnde Ausstellungen zeitgenössischer Positionen statt. Besonders ausgezeichnet durch den niederschwelligen Charakter des Projektraumes, der ohne Eintrittskarte, ohne Öffnungszeiten, ohne Schwellenangst rund um die Uhr den Betrachter:innen zur Verfügung steht.",Germany,2.783111,,,
Black Flamingo,951092.0,"Germany, Berlin, Berlin, 40-43 Herzbergstr., 10365",https://www.linkedin.com/company/black-flamingo-agency,blackflamingo.eu,"black flamingo is dedicated to the realization of commercial and non-commercial art ventures for artists, galleries and brands. Our goal is to couple artists with appropriate funds from sponsors, foundations or companies supporting the realization of projects across commercial and non-commercial ventures. Our office is located at Fahrbereitschaft where we showcase artists during Gallery Weekend and art berlin contemporary when the Haubrok foundation and art collection as well as the 30 artists residing in the compound open their spaces to the public. balck flamingo supported artists during the pandemic, we helped collecting 60.000,-€: On July 24, 2020, an enormous festival has taken place in Berlin where a stunning amount of artists, ensembles and culture makers working in all fields took part - by not showing up.  Over 1.800 tickets were sold for Berlin’s (non) festival of the year and nobody showed up! Our donations provided real support  to many artists and culture makers. Check out www.niemandkommt.de for more information. In November 2014 black flamingo launched the website berlin-artist.info, a rich platform dedicated to supply information for visual artists and art production in Berlin. To date our Newsletter has almost 2.000 subscribers.",Germany,0.951092,,,
Smart-TEC GmbH & Co. KG,5743532.0,"Germany, Bavaria, Oberhaching, 3 Kolpingring, 82041",https://www.linkedin.com/company/smart-tec-rfid,www.smart-tec.com,"We, the smart-TEC GmbH & Co. KG, are a company of the RATHGEBER Group in Oberhaching near Munich. Our goal is to make objects identifiable and connect them to the digital world. We develop and produce customized RFID/NFC solutions and have been supporting our customers on the path to Industry 4.0 and digitalization for more than 25 years.  In close cooperation with our certified system partners, we offer comprehensive project planning, support and implementation.    We make your world identifiable and connect it - precisely, digitally and sustainably.  Our Core Expertise: * Specializes in robust, durable and weather-resistant industrial tags and RFID/NFC labels - printed, blank and with a wide range of security features   * Materials, design, shape, printing, chip technology, chip programming, format and adhesive properties are specially tailored to the project requirements   * Comprehensive project support, from customized consulting, technical feasibility studies, project design, selection of suitable RFID hardware and software components to project implementation and support  Our products: * RFID/NFC labels  * RFID/NFC industrial tags  * RFID/NFC digital name plates  * RFID/NFC cards & tickets  * EX protection tags * Software solutions for DPP, digital twin and digital customer loyalty Imprint: https://www.smart-tec.com/en/legal-information The smart-TEC imprint shows responsibilities, the address, the disclaimer, the analytics disclaimer and data protection information.",Germany,5.743532,,,
Workationclub,2461692.0,"Germany, Hamburg, Hamburg",https://www.linkedin.com/company/workationclub,workationclub.com,"Bringe dein Unternehmen auf das nächste Level …indem du mehrere Tage in Masterminds und Workshops mit starken Online-Unternehmern zusammenarbeitest. Dabei erweiterst du dein Netzwerk in einer Umgebung, die sich anfühlt, wie Urlaub. Werde jetzt Club-Mitglied, um Einladungen zu unseren Workations zu erhalten. Mindestvoraussetzung: Du bist Vollzeit-Unternehmer. 10 Vorteile des Workationclubs in Kürze: 1. 100 % Unternehmer, die schon ein etabliertes Business haben. 2. Anfängerfreie Zone. 3. 30 angenehme Teilnehmer, die sorgfältig ausgewählt werden. 4. Steuerlich absetzbarer Urlaub. 5. Tiefere Gespräche als bei jeder Konferenz. 6. Workshops und Masterminds als Impulse – aber kein vollgepacktes Programm. 7. Freundschaftlicher Rahmen. 8. Kein Konkurrenzdenken. 9. Viele Branchen, ein Ziel: Online-Business. 10. Horizont und Netzwerk erweitern. Bist du bereit, dein Unternehmerleben für immer zu verändern? Dann werde Mitglied im Workation-Club. Die jährliche Mitgliedschaft im Club kostet dich monatlich nur 49,75 Euro. Als Mitglied bekommst du: 1. Mindestens eine Einladung zu einer unserer exklusiven Workations innerhalb der 12 Monate. 2. Zugriff auf Frühbucherrabatte in Höhe von 500 Euro pro Workation. 3. Du bekommst ein Ticket für unsere jährliche Sommer-Konferenz (Wert: 250 Euro) Bewirb dich jetzt als Club-Mitglied, um dir einen exklusiven Platz bei unseren Workations zu sichern!",Germany,2.461692,,,
AERTiCKET Conso GmbH,10519505.0,"Germany, Berlin, Berlin, 10 Boppstr., 10967",https://www.linkedin.com/company/aerticket-conso-gmbh,www.aerticket.de,"Der größte Consolidator der AERTiCKET Firmengruppe ist die AERTiCKET Conso GmbH mit Hauptsitz in Berlin und Büros in Hamburg, Hannover, Frankfurt und Saarlouis. Hier arbeiten rund 105 erfahrene Airlinespezialist:innen im Service Center, kümmern sich um Flugbuchungen, Umbuchungen, Ticketing, ADMs und Refundanträge, betreuen Gruppenbuchungen und bieten einen 24/7 Service an 365 Tagen im Jahr. Die AERTiCKET Conso GmbH ist ein außergewöhnlicher Consolidator: Sie vertreibt Tickets und Tarife aus  über 100 Ländern, arbeitet mit allen großen GDS-Systemen und bietet  exklusive Airline-Tarife, u.a. über 40 Direktanbindungen (inkl. NDC) - z.B. von Lufthansa, Air France/KLM, British Airways/Iberia, Oman Air, Eurowings, Singapore Airlines - und durch die Anbindung lokaler GDS-Systeme wie Travelsky (China) und Troya (Türkei).",Germany,10.519505,,,
CORACO GmbH,5214241.0,"Germany, Baden-württemberg, Karlsruhe, 5c Wachhausstraße, 76227",https://www.linkedin.com/company/coraco-solutions,www.coraco.solutions,"CORACO GmbH is a trading company engaged in marketing and supplying mainly commodities like billets and slabs and raw materials such as HBI and DRI. Furthermore, we trade steel and provide trade finance as well as shipping and warehouse solutions to our customers. We generate our ongoing success from our many years of experience and knowledge of markets as well as profound technical know-how and competence in marketing, sales, finance and logistics. Constantly we are driven by the will to adjust, develop and improve our sense of business to make our mutual business a success.",Germany,5.214241,,,
Eurocoin Group,18210052.0,"Germany, Bavaria, Haar",https://www.linkedin.com/company/eurocoin,www.eurocoincomponents.com,"Eurocoin Group is a leading provider of components and solutions for cash handling and payment systems, specializing in products such as currency validation, ticketing, and display technologies. Founded in 1973, the company has established a strong presence across Europe, with headquarters in Munich and regional offices in several countries, including Hungary, Spain, and the Czech Republic. Eurocoin is committed to corporate social responsibility, emphasizing ethical business practices, diversity, and sustainability throughout its operations and supply chain. The company serves a diverse clientele, including manufacturers and operators in sectors such as retail, gaming, and industrial automation, and partners with top producers to deliver high-quality solutions. Eurocoin's mission is to foster a transparent and inclusive environment while providing exceptional technical support and innovative products to meet the evolving needs of its customers.",Germany,18.210052,,,
Tante Enso,12492160.0,"Germany, Bremen, Bremen, 40 Auf Der Muggenburg, 28217",https://www.linkedin.com/company/tanteenso,tanteenso.de,"Tante Enso ist dein 24/7-Versorger vor Ort oder online im Netz. Wir gehen dorthin, wo die anderen verschwinden, um deutschlandweit eine sichere Nahversorgung auf dem Land zu garantieren. Zusammen mit unserem Online-Shop bilden unsere Tante Enso-Filialen ein unschlagbares Doppel zur Versorgung von Lebensmitteln, Getränken und Alltagsprodukten. Wir sind genossenschaftlich organisiert und setzen auf eine gemeinsame Idee, geteilte Werte und eine starke Gemeinschaft. Unsere Kunden dürfen aktiv an der Weiterentwicklung unseres Sortiments und Unternehmens mitgestalten: Der Mensch steht bei uns im Mittelpunkt. Ob zu personalbesetzten Zeiten, 24/7-Zugang durch Tante Enso-Karte oder Bestellung im Online-Shop – bei uns kann unabhängig von Feier- und Sonntagen rund um die Uhr eingekauft werden. Online oder über unsere Wünsch-dir-was-Tafeln in den Filialen können sich Kunden jederzeit neue Produkte in unser Sortiment wünschen. Wir geben kleinen Herstellern, Start-ups und Manufakturen eine echte Chance auf dem Markt, als Produktalternative zu herkömmlichen Produkten. Dabei setzen wir auf Nachhaltigkeit, Umweltbewusstsein und Gesundheit. Vom bekannten Preiseinstiegsprodukt bis hin zu Besonderheit von regionalen Herstellern bieten wir ein umfassendes Produktsortiment an – 15.000 Artikel sind in unserem Online-Shop zu finden.",Germany,12.49216,,,
Qualitätsstahl GmbH,3734469.0,"Germany, North Rhine-westphalia, Hagen, 195 Eckeseyer Str., 58089",https://www.linkedin.com/company/qualit-tsstahl-gmbh,www.qualitaetsstahl.com,"Roundbars, hot rolled, acc. EN Standard Roundbars, hot rolled, tested Roundbars, hot rolled, rough turned Roundbars, hot rolled, rough turned, tested drawn roundbars Billets ( rcs) hot rolled, us tested, surface tested Wirerod, hot rolled Flatbars, hot rolled",Germany,3.734469,,,
Simyo,2589102.0,Germany,https://www.linkedin.com/company/simyo,www.simyo.de,"simyo macht das mobile Leben einfach. Als Mobilfunkmarke für die Smart Digitals bietet simyo alles Wesentliche, was man für die mobile Kommunikation benötigt und ist dabei immer fair und günstig.  Als erster, reiner Onliner-Player im deutschen Mobilfunkmarkt setzt simyo bereits seit 2005 erfolgreich immer wieder neue Impulse, um mobile Kommunikation für Jedermann erlebbar zu machen. simyo bietet auch nach zehn Jahren innovative Mobilfunkleistungen für Kunden mit einer klaren Zielsetzung: günstiger Mobilfunk ohne komplizierte Tarifstrukturen, dafür mit einfachen und transparenten Preisen. Heute gehört die Marke zu Telefónica Deutschland. Dadurch profitieren Kunden mit simyo Tarifen auch vom „National Roaming“ und können mit einer simyo Karte sowohl das UMTS/3G Netz von E-Plus als auch das Netz von o2 nutzen. simyo. Weil einfach einfach einfach ist.",Germany,2.589102,,,
