Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Golden Fleece Travel & Translation Services,1054924.0,"Greece, Central Macedonia, Thessaloníki",https://www.linkedin.com/company/golden-fleece-travel-&-translation-services,goldenfleece.gr,"Golden Fleece Travel & Translation Services - 20 years of high-quality services, reliability and irreproachable reputation! Golden Fleece Travel & Translation Services provides a wide range of translation and legalization services. The irreproachable quality of translations, high speed of the work, highly qualified personnel, reasonable prices and possibility of documents legalization at the Consulates and Ministries both in Greece and abroad, are the keystones to to the success of our company which will celebrate its 20th anniversary next year. We are ready to provide a full support of any transactions in Greece, oral interpretation services for meetings and events, translations of promotional materials & websites. In addition, Golden Fleece Travel & Translation Services provides air tickets & hotels booking worldwide. We offer special terms and conditions of cooperation for our regular customers and partners. Golden Fleece – the golden name in the field of translations and travel services!",Greece,1.054924,,,
Home Life Real Estate,3438480.0,"Greece, Macedonia, 120 Konstantinoupoleos Salonica Central",https://www.linkedin.com/company/home-life-real-estate,www.home-life.gr,"HomeLife is a real estate aghttp://www.home-life.gr/templates/cmsimages/2117/image/karta%203.jpgency located at Thessaloniki, konstantinupoleos 120. Welcome to the internet location of our office. Take your time to browse our properties. In our website at the moment, you will find properties in: Thessaloniki - Center, Thessaloniki - Suburbs, Pref. Thessalonikis, abroad, Pref. Chalkidikis.",Greece,3.43848,,,
National Theatre Of Northern Greece,5607834.0,Greece,https://www.linkedin.com/company/ntngreece,www.ntng.gr,"The National Theatre of Northern Greece is one of the country’s largest theatre institutions. With its five indoor and two outdoor stages, plus the appearances it makes on tour and at festivals both in Greece and internationally, it has been a driving force on the cultural scene since 1961. The NTNG is a private legal non-profit entity and is governed by a seven-member Board of Directors along with the Artistic Director. It is supervised and funded by the Hellenic Ministry of Culture and Sport. As a public theatre which repays citizens for the funding it receives through the art, education and entertainment it provides, and which seeks to remain open and accessible to society at large, the National Theatre of Northern Greece has forged a strategy which revolves around the following axes: •   a wide-ranging repertory •    high-quality productions for children and young people •    a focus on theatre education and educational activities •    strong ties and partnerships with cultural institutions, municipal authorities, bodies and social institutions •    an emphasis on social policy •    social activities which raise public awareness •    low ticket prices with a wide range of concessions •    a powerful international presence.",Greece,5.607834,,,
Relate,4846744.0,Greece,https://www.linkedin.com/company/relate_2,www.relate.gr,"Relate is offering Contact Center services through outsourcing model. It operates since 2004 in Athens and it's current capacity is 70 positions which can be staffed 24X365. Services offered include outbound and inbound traffic for customer service, order taking, telemarketing, help desk, ticketing etc.",Greece,4.846744,,,
Alphabet Web,1258668.0,"Greece, Peloponnese, Patras",https://www.linkedin.com/company/alphabet-web,,"Company's solutions include: - Social Media Marketing: Facebook, Twitter, Google+, LinkedIn, Pinterest, Instagram, Tumblr. - Campaigns: Google AdWords (Search, GDN, YouTube, GMail) - Certified, Microsoft Bing/Yahoo Ads - Certified, Yahoo Gemini Ads, Facebook Ads, Instagram Ads, LinkedIn Ads, Twitter Ads. - Design/Development of websites, eshops, e-booking, e-learning, e-ticketing websites, administration applications, blogs, mobile apps (Android, iOS) - Advanced services: CDN and SSL certificates - Domain names registration - Accredited .gr domain names registrar by E.E.T.T. - Website hosting services - Traffic statistics and analysis (Google Analytics), SEO, Web promotion - E-mail and SMS marketing - Google AdSense and affiliate programs. - Google Apps for Work services - Advertising gifts and printings - Graphic design",Greece,1.258668,,,
Εξέλιξις - Κέντρο Ειδικών Θεραπειών,1709663.0,"Greece, Peloponnese, Kalamata, 1 Mitropetrova, 241 33",https://www.linkedin.com/company/exelixis-kalamata,www.exelixis.com.gr,"Το Κέντρο Ειδικών Θεραπειών ""Εξέλιξις"" έχει ως στόχο την παροχή ολοκληρωμένων υπηρεσιών Ειδικής Αγωγής και Ψυχικής Υγείας σε παιδιά, εφήβους και ενήλικες που αντιμετωπίζουν δυσκολίες στην καθημερινότητά τους. Για τον σκοπό αυτό, το Κέντρο μας διαθέτει Λογοθεραπευτές, Εργοθεραπευτές, Ειδικούς Παιδαγωγούς και Ψυχολόγο και εφαρμόζει εξατομικευμένα και αποτελεσματικά θεραπευτικά προγράμματα, που αποσκοπούν στην ποιοτική και ολοκληρωμένη λειτουργία του ατόμου στο οικογενειακό, σχολικό και κοινωνικό του περιβάλλον. Η προσέγγισή μας, τοποθετεί στο επίκεντρο τόσο το άτομο, όσο και την οικογένειά του, αντιμετωπίζοντας αφενός με ευαισθησία και αφετέρου με επιστημονικότητα τις ιδιαιτερότητες και ξεχωριστές ανάγκες που υπάρχουν σε κάθε περίπτωση. Στόχος μας, να πετύχουμε πάντα το μέγιστο δυνατό αποτέλεσμα, προσφέροντας για τον σκοπό αυτό, τον καλύτερό μας εαυτό. Παρεχόμενες Υπηρεσίες: ΛΟΓΟΘΕΡΑΠΕΙΑ ΕΡΓΟΘΕΡΑΠΕΙΑ ΕΙΔΙΚΗ ΔΙΑΠΑΙΔΑΓΩΓΗΣΗ  ΨΥΧΟΘΕΡΑΠΕΙΑ ΣΥΜΒΟΥΛΕΥΤΙΚΗ Δεκτά όλα τα ασφαλιστικά ταμεία.",Greece,1.709663,,,
THERMOGRAFICA HELLAS LTD,2165444.0,"Greece, Attica, Athens",https://www.linkedin.com/company/thermografica-hellas-ltd,www.thermografica.gr,"THERMOGRAFICA is the leading Greek Manufacturer and Distributor of diagrammed paper for Medical and Scientific use. With a history of over 90 years, THERMOGRAFICA serves all Greek Public and Private Hospitals, Clinics and Physicians with high-quality products. Our company produces products for the healthcare sector, the industrial sector, for the transport industry, as well as innovative products and solutions for security applications (e.g. RF ID labels and turn-key solutions). The products we supply are aimed at four specific sectors: Health care, Security, Transport and Industry. Our products portfolio include:  - Recording chart papers for all electro-diagnostic instruments (ECG, EEG, CTG, LAB, etc)  - Imaging and Printing materials for ultrasound systems (Sony, Mitsubishi, etc.)  - ECG electrodes, gels and creams, and other consumables  - Self-adhesive labels for laboratory, clinical, logistics and special applications use  - Paper for industrial recording instruments;  - Rolls, Z-folds and special papers for printers, parking systems, ticketing , lotteries, etc.  - RFID electronic tags (labels and tickets) and other integrated solutions. Our products follow international quality standards (such as ISO 13485, Medical CE) and our company is certified based on the ISO 9001  and ISO 13485 standards. It is also certified by the Greek Ministry of Health for distributing products for Medical and Hospital use.",Greece,2.165444,,,
AFGroup,1005006.0,"Greece, Attica, Athens",https://www.linkedin.com/company/z-enterprises-group,www.afgroup.gr,"AFGroup was created by the merger of standalone startup companies (skiathoshotels, hellasferries) and operates in a variety of different areas such as  Management consulting Luxury Hotels management (www.kanapitsamare.com) Architectural Services Online Ferry boat ticketing services (www.hellasferries.net) Web Design, Support, SEO Yachting (chartering, port agency) (http://yachting.zeg.gr) Investments in Greece We invite you to visit our website and familiarize yourselves with our services.",Greece,1.005006,,,
Proopsis Consulting SA,1814763.0,Greece,https://www.linkedin.com/company/proopsis-consulting,proopsis.gr,"Η εταιρία ΠΡΟΟΨΙΣ ΣΥΜΒΟΥΛΟΙ ΕΠΙΧΕΙΡΗΣΕΩΝ ΑΕ (δτ Proopsis Consulting SA), ιδρύθηκε στην Αθήνα το 2009 από έμπειρα στελέχη με μεγάλη επαγγελματική εξειδίκευση και σταδιοδρομία με στόχο να παρέχει συμβουλευτικές υπηρεσίες σε φορείς του δημοσίου και του ιδιωτικού τομέα. Καθιερώθηκε σύντομα στο χώρο των συμβούλων, παρέχοντας υπηρεσίες υψηλού επιπέδου. Η εταιρεία ξεκίνησε τις δραστηριότητές της στις 12-03-2009, με κύριο αντικείμενο δραστηριότητας την παροχή συμβουλευτικών υπηρεσιών (καταστατικό σύστασης αρ. 6438/09-03-2009, ΦΕΚ 2189/23-03-2009, βεβαίωση έναρξης εφορίας αρ. 297/28-04-2009). Το 2015 αποτέλεσε σημαντικό σταθμό με την δημιουργία του συνεδριακού της τμήματος αναλαμβάνοντας την διοργάνωση πανελλήνιων και πανευρωπαϊκών συνεδρίων. Η αρχική έδρα της εταιρίας ήταν στο Δήμο Αθηναίων (Χαλκοκονδύλη 50) και τον Δεκέμβριο του 2009 μεταφέρθηκε στη σημερινή της έδρα, Τρεμπεσίνας 32, 121 36 Περιστέρι (ΦΕΚ 14043/07-12-2009). Εκτός του μόνιμου προσωπικού της έχει αναπτύξει ένα ευρύ δίκτυο εξειδικευμένων συνεργατών το οποίο την καθιστά ικανή να παρέχει αποτελεσματικά τις υπηρεσίες της τόσο στην ελληνική επικράτεια όσο και στο εξωτερικό με εστίαση στις χώρες της ΕΕ. Δραστηριοποιούμενη στο δημόσιο και στον ιδιωτικό τομέα της οικονομίας οι υπηρεσίες της ομαδοποιούνται ως εξής: - Παροχή Συμβουλευτικών Υπηρεσιών - Παροχή Εκπαιδευτικών Υπηρεσιών - Παροχή υπηρεσιών προβολής και δημοσιότητας - Παροχή υπηρεσιών διοργάνωσης συνεδρίων και εκδηλώσεων Η χρηματοδότηση της οικονομίας επί σειρά ετών από τα ταμεία της ΕΕ μέσω των διαφόρων κοινοτικών πλαισίων στήριξης, οδήγησε την εταιρεία στην ανάληψη πλήθους έργων, συγχρηματοδοτούμενων και μη, με αποτέλεσμα τη απόκτηση συσσωρευμένης γνώσης. Η PROOPSIS είναι πιστοποιημένη κατά ISO 9001:2015 και ELOT 1435:2009 για την υψηλή ποιότητα παροχής των υπηρεσιών της προς τους πελάτες της.",Greece,1.814763,,,
Takt Tours Ltd.,587188.0,"Greece, Attica, Néa Mákri, 21 Leof. Marathonos",https://www.linkedin.com/company/16237437,www.takt-tours.gr,"The company TAKT TOURS Ltd. has been active in all areas of the tourism market in Greece and abroad for 37 years (founded in May 1980). The company offers comprehensive services for private and commercial customers, scientific and educational institutions, organized groups and companies. Cautiously selected and experienced employees of the company provide integrated support solutions for business travel and business travel management. With reliability, new ideas, innovative products and a high level of service, the team at TAKT TOURS Ltd. sets qualitative criteria that place it at the top of the Greek tourism market. The structure of the company is formed according to current market requirements and covers all areas of tourism services, including: • Flight and ferry tickets • Hotel bookings in Greece and abroad • Worldwide car rental • Transfer with private buses • Organization of conferences and events • Incentives • Incoming and outgoing tourism services The company is member of the larger Greek and international organizations such as: • IATA (Member No .: 27209921) • UFTAA (Ver # 5300033595) • HATTA (Association of the Greek Tourist Office) For effective and efficient customer service, modern reservation systems are used, such as: • SABER (CRS for flights) • WORLDSPAN (CRS for flights) • FORTH-CRS(CRS for ferries) • HotelsPro, HOTELBEDS Tourico, HOTELAIR (computer reservation systems for hotel rooms) For over five years now the company expanded its activities in the field of online ferry booking systems in order to offer its first class services worldwide. Soon online systems for flight bookings will follow. With the online software application ""TICKET B2B"" - currently in the test faze - the company will enforce a more direct and efficient cooperation with business customers.",Greece,0.587188,,,
