Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Urban Betyár Restaurant & Visitor Center,1888002.0,"Hungary, Pest, Budapest",https://www.linkedin.com/company/urbanbetyar,www.urbanbetyar.com,"We proudly present ourselves as the sister restaurant of the First Strudel House of Pest, located in the very same street in the heart of Budapest. Our mission is to become one of the highlights for locals and travelers in the Hungarian capital city, near the St. Stephen's Basilica and to offer an extraordinary gastronomic and ethnographical experience that is one of a kind in Hungary. The á la carte restaurant, VIP meeting room, conference and event halls with their breathtaking interiors offer an undoubtedly unique food and drink selection. Our renowned Betyár-Chefs, apart from preparing a wide variety of smoked products and grilling first quality steaks, they bring back the famous tradition of campfire cooking in our open-view kitchen using delicate ingredients not only from Hungary, but from everywhere around the world. It is our vision to shed some light on the traditions of Hungarian and international wine, ’pálinka’ and craft beer making, by bringing their finest products to everyone’s table. Our ‘Conference Hall’ and ‘Mirror Room’ can seat up to 120 people. We offer conference services with catering and personalized light decor on the walls. We have a state of the art ‘Barco-ClickShare’ technology and a professional sound system to fit all your needs. Our VIP room can seat up to 20 people and it offers the highest quality environment and services for a business meeting, press conference, exclusive lunch or dinner. We gladly host family events with personalized menu and drink offers.  Tourist groups can experience the colorful world of Hungarian ethnography in our Visitor Center, and also taste the local cuisine. We are happy to help you in case you have a request for lunch, dinner or even just for an afternoon brunch! We can offer discount tickets for groups visiting our interactive museum.",Hungary,1.888002,,,
Codex Security Printing House Ltd.,11132528.0,"Hungary, Pest, Budakeszi, 5 Szüret Utca, 2092",https://www.linkedin.com/company/codex-zrt.,codex.hu,"1989 óta töretlenül azon dolgozunk, hogy a legmodernebb technológiával a nyomdaipari megoldások széles palettáját kínáljuk azoknak a cégeknek, akiknek a minőség az első. Egyedi megoldásainkkal minden igényt teljesíteni tudunk, mert az évek alatt már több tucat terméket előállítottunk. Ilyen termékek például: - címke termékek, pl. lapozható booklet címke - hamisítás ellen védett termékek pl., postai bélyegek, közlekedési jegyek, kaparós sorsjegyek - értékpapírok Több évtizedes szakmai tapasztalatunk, kiemelkedő színvonalú technikai hátterünk, és folyamatos innovációs tevékenységeinknek köszönhetően nem ismerünk lehetetlent az unikális megoldások és az egyedi igények kiszolgálása terén. Iparágunk egyik legmeghatározóbb, WorldStar Packaging Awards nevezetű minősítésével is több évben büszkélkedhetünk, amit saját fejlesztésű termékeinkkel, az Extended CODEX Label ® booklet-címkékkl nyertünk el. Többek között elégedett partnereink között tudhatunk olyan cégeket, mint Nestlé, EGIS, Richter Gedeon Nyrt., BMW, Naturland, Chemark.",Hungary,11.132528,,,
DiverGen,2551055.0,Hungary,https://www.linkedin.com/company/divergen,www.divergen.com,"DiverGen Ltd. is in the IT outsourcing business for more than 10 years now. From the very basic level of desktop management service to the highest IT system reengineering, we provide a complex solution of various IT services to our partners. Service management is organised upon ITIL v3, and over the standard SLA, we provide value added services like 24/7 helpdesk, trouble ticketing, spam-filtering, virtualization, monitoring or customized reporting. Nowdays DiverGen Ltd.'s IT Support team takes care of more than 2400 desktop computers and the connecting 150 servers nationwide.",Hungary,2.551055,,,
Ferenczy Múzeumi Centrum,11413104.0,"Hungary, Pest, Szentendre, 2-5 Fő Tér, 2000",https://www.linkedin.com/company/ferenczymuseumcenter,femuz.hu,"Képzőművészet ⋆ Néprajz ⋆ Régészet ⋆ Irodalom ⋆ Helytörténet ➙ 1 jegy, 7 múzeum, 9 aktuális kiállítás",Hungary,11.413104,,,
Procontrol Electronics Ltd.,4916152.0,"Hungary, Csongrád, Szeged, 9/b Cserepes Sor, 6725",https://www.linkedin.com/company/procontrol_electronics,www.procontrol.hu,"Established in 1981, Procontrol is devoted to technical research and development, especially in the field of custom embedded systems, microelectronics, industrial and healthcare target systems. Procontrol is one of the few Hungarian enterprises which develops the results of its own R+D activities until product level and markets its own innovative products. Our portfolio includes over 500 products across the following key lines: access control and attendance control systems,  access gates,  intelligent safety key and value storage cabinets, remote supervision systems, paying machines, parking solutions, etc. A range of Procontrol products: • Access control and time and attendance control systems • RFID proximity reader and biometric reader technology • Digital and led matrix displays, centralized GPS clock system • Access gates, turnstiles, revolving and speed gates • Automatic payment machines, parking systems • Intelligent key- and value storage systems • Queue control systems • Building Monitoring System • Industrial processing control devices • Sensors, gauge taxes, wireless sensor networks • Intrusion Detection System • Person and object trackers (Real Time Location System) • Video supervising camera system • Intelligent interactive displays, net kiosks, informative stations • Ticket vending systems • Payment and sales machines • Measuring devices for Ethernet network and unique tasks.",Hungary,4.916152,,,
Anteus Ltd.,2887185.0,"Hungary, Budapest, Budapest, 48 Veres Péter Út, 1163",https://www.linkedin.com/company/anteus-ltd-,www.anteus.eu,"Anteus Development Commercial and Service Ltd. is located in Budapest, Hungary. We have been designing and manufacturing access control solutions since 1996. Our products are high quality and affordable, combining the reliability with competitive prices and conditions. We offer full range of products and services, from the simplest to the most sophisticated access control systems for ticketing, office buildings, pay-parking, time attendance, etc. References cover all areas, like swimming pools, thermal baths, all kinds of sport utilizations, amusement park, law enforcement facilities, office buildings, pay-parking sites, etc. Beside complete solutions we provide turnstiles, gates, barriers and all kinds of accessories too. Main productlines: - TicketControl® integrated ticketing access control system, with POS terminals, automatized wristband collection, on and off-line locker locks, automatic pay-stations. - ParkControl® integrated pay-parking access control system, with POS terminals, entry and exit columns, RFID passes, automatic pay-stations. - IDtech integrated office acccess control and time & attendance solution with visitor management, badge production, on-line monitoring, guard tour, remote sites, web interface.  - Turnstiles and gates – half-height, full-height, waist-height, tripod, automatic and speed gates, barriers, roadblockers. Anteus Ltd. is dedicated to the development and integration of security systems, therefore we are able to provide unique, state of art solutions according to the customers specifications.",Hungary,2.887185,,,
Expo Travel Ltd.,557518.0,Hungary,https://www.linkedin.com/company/expo-travel-ltd-,www.expotravel.hu,"We always have the quality in mind...   Expo Travel Ltd. is a company specialized in the MICE business-meetings, incentive congress & events and is on the market since 1997. Our employees have more than 30 years of travel experience. We are dynamic team dedicated to delivering a personalized service, offering competitive rates without compromising on quality. Our aim is to deliver a hassle-free travel experience by utilizing local partners who are tried and tested experts in their fields.  We are dealing with business groups in- and outgoing all over the world. We are the member of the Hungarian Tourist Association. We arrange special and professional tours to all of the tourists spots of the worlds as VIP meetings, conferences, incentive tours, sightseeing tours, transportation in air-conditioned comfortable luxury vehicles, hotel room reservations, domestic and international air ticket issue. We already have the skill staffs, well trained, long term experienced   and professional tour guides. We are available 24 hours a day for anything, from enquires to emergencies, keeping you informed with a keen attention to details and efficiency. We are constantly revising our product list, taking part regularly on the greatest Travel Fairs and always on the lookout for something different or special to offer our new and regular clients. Our company policy is to improve the quality of services and provide the best care for our clients during their travel with our purpose to leave all the clients the great and beautiful impression after their trip. Our slogan: we are your partner in business and leisure. Expo Travel offers excellent services to ensure your safety and comfortable trip in Hungary and on abroad. The best endorsement we have for our Journeys is the feedback we get from our satisfied clients.  Our reputation has been established by word of mouth and that’s the greatest compliment we could achieve.",Hungary,0.557518,,,
Hungaria Concert Ltd,3748032.0,Hungary,https://www.linkedin.com/company/hungaria-concert-ltd,budapestxplore.com,"Hungaria Koncert Ltd. is the leading event and tourist program organiser of Hungary, with more than 2.000 guaranteed programs organised annually. Since its inception in 1995, the company acquired great experience in serving the needs and desires of travellers with different demands and cultural background. Hungaria Koncert organises cultural concert programs and river cruises both for FIT clients and groups. Our main goal is to introduce our customers to the long and exciting history and enchanting culture of Hungary, through its various historical monuments, UNESCO sites and centuries-old dance and music heritage.  We aim to give our guests an original Hungarian cultural experience, with instructive walking tours, a wide variety of unforgettable boat cruises and theatre shows, featuring classical music and folklore performances. We also provide special entry tickets and massages to the most famous and luxurious thermal spas of Budapest, private flights over the city, a large amount of tailor made program packages and excursions outside the capital.",Hungary,3.748032,,,
Amigo Group Budapest,5038330.0,"Hungary, Budapest, Budapest, 51 Akácfa Utca, 1074",https://www.linkedin.com/company/ultimate-budapest,amigogroupbp.com,"The ULTIMATE all-in-one booking service for travelers to buy tickets and entry passes to Budapest’s best tours and experiences. From tours to river cruises, spa packages to pub crawls, we make it easy for you to create your own holiday here in Budapest.",Hungary,5.03833,,,
Nagypihenés.hu Bt.,1029415.0,Hungary,https://www.linkedin.com/company/nagypihenés.hu-bt.,www.nagypihenes.hu,"Offer flight tickets, accomodation all ower the world. Car rental, travel insurance is an extra service to our customers.",Hungary,1.029415,,,
Touriam - Everything 4 YOU,5699890.0,"Hungary, Pest, Budapest, 1074",https://www.linkedin.com/company/bat-budapest-airport-transfer,www.touriam.com,"⭐️Our goal is to provide you with everything you might need during your journey. Transfers, taxis, tours, activities, services, entrance tickets, car rentals, and more. As a provider, accommodation host, or network builder, you can also earn passive income on multiple levels. 📱Touriam Application:  Autumn 2023 📲Currently available countries: •Hungary Minibuses 🚌 | Minivans 🚙 | Luxury types 💎 Normal types 🚗 References:  • Accent Hotels (Ambra, T62, Monastery Boutique, etc.)  • Mellow Mood Hotels (Promenade, La Prima, Estilo Fashion, etc.)  • Maverick Hostels (Maverick, City Lodge, Student Lodge, Leo Boutique, etc.)  • Hive Hostel  • KVI Hotel  • Six-Inn Hotel • Budapest Residence (400+ apartments)  • ManagAir (300+ apartments)  • Apartment Service (50+ apartments)  • Hostmyflat (300+ apartments)  • Hostie (100+ apartments)  • Budapest Luggage Storages (6 storages)  • etc",Hungary,5.69989,,,
Invia.hu Kft.,4789152.0,"Hungary, Budapest, Budapest",https://www.linkedin.com/company/invia.hu-kft.,www.invia.hu,"Invia.hu is the biggest internet travel agency in Hungary providing vacation packages from over 100 renowned tour operators on the Hungarian, German and and Austrian market. Furthermore, Invia offers flight tickets, accomodation in Hungary & worldwide and other services and useful information related to travelling. Since 2006, the Prague based company operates on the Polish and Hungarian market as well and continues expanding to Eastern Europe, namely Russian and Romanian markets.",Hungary,4.789152,,,
Air Partner Kft.,1029415.0,"Hungary, Borsod-abaúj-zemplén, Miskolc, 2 Mártírok U., 3530",https://www.linkedin.com/company/air-partner-kft,repulojegy-repjegy.hu,"Air Partner Repülőjegy Iroda Ltd. began operation in September 1997, as the first office in Hungary engaged solely in air ticket sales. The Company is a member of the International Air Transportation Association - IATA, and the exclusive Hungarian representative of the GlobalStar Travel Management business travel association. Air Partner Repülőjegy és Utazási Iroda Ltd. (GlobalStar Travel Management Hungary), providing a full range of travel services, is among the 15 business travel management agencies having the highest turnover. The Company’s annual sales turnover is over USD 10 million with a staff of 20 professionals. Our Company places great emphasis both on corporate and incentive travel management, conference organization, and organization of leisure trips, both concerning incoming and outgoing travel arrangements. Over 100 satisfied companies, institutions, multinational companies, small and medium-sized companies, as well as our returning private customers, the ISO certificate, our qualified staff, and experienced management all demonstrate our commitment to quality and expertise over the past 27 years. Customer satisfaction and trust have been important for us from the start. Thanks to the 22 years of experience gained in the Hungarian market and customized services, we are proud of our many long-standing customer relationships. Currently, we have two tenders ongoing involving one large and two medium-sized companies, in business travel. As a result of our stable and balanced teamwork, at our office the concept of fluctuation is unknown, we have been available to our partners with the same staff since 1997.",Hungary,1.029415,,,
