Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
UAB Prekybos Namai BMZ-Baltija,1210548.0,"Lithuania, Siauliai, Šiauliai, 10 Metalistų G., 78151",https://www.linkedin.com/company/bmz-baltija,bmzbaltija.com,"Wholesale of billet, round steel bars, reinforcing bars, steel wire rod, seamless pipes, wire, steel cord, steel fiber.",Lithuania,1.210548,,,
ZIP TRAVEL Kazakhstan,416448.0,"Lithuania, Vilnius, Vilnius, 7 B 12 Klaipėdos G.",https://www.linkedin.com/company/-zip-travel-kazakhstan-llc---subsidiary-company-of-uab-zip-travel-work-programs-recruiting-agency,www.ziptravel.lt,"Apie ZIP Travel  “ZIP Travel” - tai nuo 1993 metų turizmo rinkoje dirbanti kelionių agentūra, kuri kiekvienais metais plečia savo paslaugų asortimentą, tobulina klientų aptarnavimą bei kelia darbuotojų kvalifikaciją. Esame nuolat auganti, atsakinga, paslaugi bei kūrybinga profesionalų komanda. Jau daug metų esame akredituota Tarptautinės oro transporto asociacijos (IATA) narė, didžiausių turizmo operatorių bei jaunimo kultūrinių – darbo programų atstovai Lietuvoje. Didžiuojamės būdami Jūsų kelionių partneriu Lietuvoje ir 15 biurų aštuoniose Rytų, Centrinės Europos bei Azijos šalyse! Misija ir vertybės: “ZIP Travel” misija – profesionaliai atliekant savo darbą tapti patikimu Jūsų kelionių draugu ir partneriu, padedančiu atrasti kitų kultūrų žavesį bet kurioje pasaulio šalyje. ""ZIP Travel"" vertybės – profesionalus ir dėmesingas aptarnavimas bei paslaugų įvairovė, atitinkanti Jūsų poreikius.   ZIP Travel paslaugos: • Lėktuvų, autobusų, traukinių ir keltų bilietai. • Viešbučių rezervavimas Lietuvoje ir užsienyje. • Poilsinės ir pažintinės kelionės. • Specialūs bei individualūs pasiūlymai VIP klientams. • Australijos turai. • Nepalo turai. • Programos jaunimui užsienyje. • Sveikatos draudimas. • Vizų tvarkymas. • Automobilių nuoma. • Tarptautiniai ISIC (moksleivio/studento), IYTC (jaunimo) bei ITIC (dėstytojo) pažymėjimai.   Jūsų, ZIP Travel",Lithuania,0.416448,,,
UAB Lietuvos Spaudos Vilniaus Agentūra,629334.0,Lithuania,https://www.linkedin.com/company/uab-lietuvos-spaudos-viilnliaus-agent-ra,www.lspauda.lt,"______________________________________________________________________________________________ Convenience retail, coffee, snacks, transport tickets, press, e-services and other in most convenient locations for urban inhabitants. ______________________________________________________________________________________________",Lithuania,0.629334,,,
UAB Indigo Print ​,1495948.0,Lithuania,https://www.linkedin.com/company/uab-indigo-print-,www.indigoprint.lt,"KAS MES ESAME? „Indigo Print“ – tai šiuolaikiška ir energinga profesionalių specialistų komanda. Savo patirtyje esame sukaupę dvi dešimtis metų darbo, tad save galime drąsiai vadinti spaudos senbuviais. Nuolat atnaujiname savo technikos arsenalą ir plečiame savo paslaugų spektrą, siekdami pateisinti net išrankiausių klientų lūkesčius. Rinkos draugų ir konkurentų esame vertinami už didelę patirtį poligrafijoje ir gebėjimą realybe paversti net sudėtingiausius klientų užsakymus. KODĖL MES DIRBAME? Suprasdami, jog turime ilgametę įvairiapusišką patirtį dirbame tik su profesionalia įranga tam, kad rinkai pasiūlytume tik aukščiausios vertės spaudos gaminius. Stengiamės nuolat tobulėti ir atsinaujinti. Suprasdami spaudos technologijas, visada išklausome, patariame ir padedame priimti teisingus sprendimus klientams kuriant dizainą, pasirenkant spaudos gaminių konstrukcijas ir medžiagas. KUO MES NORIME BŪTI? Kasdien savo darbe siekiame aukščiausių rezultatų tam, kad kiekvienam užsakovui taptume patikimu partneriu, visuomet pasiruošusiu padėti. Žinome, jog pasitikėjimas ir ilgalaikis bendradarbiavimas – raktas į sėkmingus projektus ir aukščiausios kokybės rezultatus. PRIPAŽINIMAS Esame sertifikuoti: ISO 9001 : 2008 ir ISO 14001 : 2004 Stipriausi Lietuvoje: 2011 - 2016m 2013 metais gavome sertifikatą ""Gazelė"", kuriame esame pripažinti kaip ""VIENA IŠ SĖKMINGIAUSIAI DIRBANČIŲ IR SPARČIAUSIAI BESIVYSTANČIŲ LIETUVOS BENDROVIŲ"" MŪSŲ PASLAUGOS IR DARBO PROCESAS: Profesionalios konsultacijos spaudos klausimais - dizainas ir maketavimas - paruošimas spaudai - spaudos darbai - pospaudiminiai darbai - gaminių pristatymas - LAIMINGI KLIENTAI. MES GAMINAME: Katalogai | Knygos | Plakatai | Lankstinukai | Blankai | Blonknotai | Aplankai | Maišeliai | Vizitinės kortelės | Dėžutės | Etiketės | Lipdukai | Instrukcijos | Meniu | Kalendoriai | Kvietimai | Atvirukai | Bilietai | Žemėlapiai | Lipnus lapeliai | Laiškas-Vokas | IR VISA TAI KAS SPAUSDINAMA ANT POPIERIAUS.",Lithuania,1.495948,,,
Vaikystės Sodas,9185069.0,"Lithuania, Vilnius, Vilnius, 29 Lukšinės Gatvė",https://www.linkedin.com/company/vaikystes-sodas,www.vaikystes-sodas.lt,"Sujungiame mokslinių tyrimų žinias, 10-ties metų patirtį, neišsenkančią kūrybą ir tikėjimą jaunąja Lietuvos karta.",Lithuania,9.185069,,,
AAT|Artūras Areima Theatre,2517336.0,"Lithuania, Vilnius, Vilnius",https://www.linkedin.com/company/aat-artūras-areima-theatre,www.areimosteatras.lt,"This newly created theatre’s vision is to disturb the typical theatrical posture, break stereotypes, to flee from known and unknown theatrical clichés, get away from knowing. Theatre breaks into „life“(social consequences), theatre takes place not only in theatrical spaces ""black boxes "", but in everyday life environment, e.g.: stairwells, cemeteries, museums, etc. Scenography turns into given space, the environment itself will represent scenography. This theatre is not limited by the expression of dramaturgy. Performances should be light, unobstructed, and ironic. Stage action insulation is systematically destroying. The performance should remind sketch, not the complete picture, so the viewer should be able to feel his own presence, think freely, refuse forced pressure. The aim is to gradually reduce tension so that the viewer could further focus on the actors' being on the stage and their physical actions, conceptual links, rather than alleged, theatrical clichés imposed on acting. Viewers of this theatre should not immediately perceive what they saw. They should accumulate experience and maintain free- floating attention. It is important for us, that the ongoing performance or stage action could be seen not only by the target viewer (who bought the ticket), but also, fell into theatrical action, a casual passer-by, who is not aware of production of the theatre or any ongoing process.",Lithuania,2.517336,,,
Irklavimo Muziejus,470945.0,"Lithuania, Trakai, 93a Karaimu, 21104",https://www.linkedin.com/company/irklavimo-muziejus,www.academia.lt,"The rowing club Academia Remigum has collected lots of rowing exhibits from all over the world. Books, newspapers, magazines, prizes, medals, old rowing simulators, elements of boats, oars and other articles evidence long history of this sport. The clip from a newspaper printed in 1846 and depicting rowing competition is the oldest item. One of the most valuable exhibits is a ticket to the World Rowing Championship of 1884. Alongside with the old items there are also nowadays books about rowing and every visitor can browse them.",Lithuania,0.470945,,,
UAB Kelvita,516202.0,"Lithuania, Vilnius, Vilnius, Geliu Gatve, 01137",https://www.linkedin.com/company/uab-kelvita,www.kelvita.lt,"KELVITA is your trusted tour existing on the Lithuanian market since 1997. The founder of the company is Elena Komockaja. At the moment the captain of the ship is her daughter Irina Šeinker accompanied by amazing, perspective coworkers. KELVITA is very passionate about travel – since it is a family run business agents are creating a stronger emotional bond between the client, giving extra care and a small piece of themselves, QUALITY IS A KEY.  KELVITA is offering a huge variety of services starting from visas; travel insurance; coach, flight, train tickets to the full packages to the most exotic countries. Here at KELVITA, we will create a bespoke itinerary, coordinating the logistics, providing the hotels and booking the attractions. We cater to the group and individual travel  KELVITA is a product expert, most of the destinations are personally visited and hotels are approved by one of the agents. KELVITA‘s tours: -	Sightseeing tour -	Holiday tours -	Sightseeing and holiday tours -	Healing tours (Sanatorium) -	Short trips Since the beginning of 2015 KELVITA is the main representative of the Polish organizer Rainbow tours in Baltic countries. As well as KELVITA is the golden agent of the Tez Tour.",Lithuania,0.516202,,,
Visittaurage,289647.0,Lithuania,https://www.linkedin.com/company/visittaurage,www.visittaurage.com,"Welcome to Taurage county in Lithuania. VisitTaurage is the private tourism and marketing project for Taurage county. It markets and promote the business and leisure markets globally in the Lithuania and Taurage county itself. Planning your Taurage trip? Whether you’re looking for things to do in Taurage such as events and attractions, key traveller information to make your Taurage county visit run smoothly or are planning where to stay, you’ll find everything you need for your holiday on visittaurage.com. Our  guide has the latest events not to miss while you visit Taurage county – there’s always something going on, so don’t miss out on the latest exhibitions, attractions and more on your trip to Taurage by checking out our tickets and offers. If you’re here as a family, you’ll find plenty of things to do in Taurage county. Here you can be sure you’ll find all the information you need. Visittaurage you can find and follow on: Facebook Twitter Instagram Pinterest Youtube Google+",Lithuania,0.289647,,,
BPC Travel,1353060.0,"Lithuania, Vilnius, Vilnius, 12 Konstitucijos Pr., lt-09308",https://www.linkedin.com/company/bpc-travel,www.bpctravel.lt,"BPC Travel - oldest travel agency in Lithuania, provides all corporate and leisure travel services. Our experienced Travel Consultants offer a one-stop-shop for all your corporate travel needs including:   • Airlines tickets • Accommodation • Ground transportation • Travel insurance • Visas",Lithuania,1.35306,,,
