Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Trade Mart Utrecht,1777077.0,"Netherlands, Utrecht, Jaarbeursplein",https://www.linkedin.com/company/trade-mart-live,www.trademart.nl,"Trade Mart Utrecht Trade Mart Utrecht is het inkoop- en inspiratieplatform voor de retail in de Benelux. In ons handelscentrum komen alle relevante marktpartijen samen. Fabrikanten, groothandels, distributeurs, salesagenten, leveranciers, winkeliers, stylisten en pers ontmoeten elkaar en delen kennis en inzichten over relevante trends en marktontwikkelingen. Samen vormen we de schakel van oorsprong naar consument. Bij Trade Mart Utrecht ontdek je al 50 jaar de laatste trends en kun je direct de nieuwste collecties van circa 2.000 merken inkopen. Op de verdiepingen Jewels & Watches, Fashion & Lifestyle en Kitchen & Dining zie, voel en proef je de nieuwste retailontwikkelingen.  Naast de wekelijkse inkoopdagen organiseert Trade Mart Utrecht twee keer per jaar de Retailbeurs Utrecht op de belangrijkste retailmomenten van het jaar.  Toegang is gratis voor retailers, stylisten, trendwatchers en andere professionals in retail. Kijk voor meer informatie of het aanvragen van een ticket op trademart.nl.",Netherlands,1.777077,,,
GiftNation B.V.,7700667.0,"Netherlands, Gelderland, Arnhem, 48 Delta, 6825",https://www.linkedin.com/company/giftnation,www.giftnation.nl,"Supplier for companies in the loyalty, gifting and Christmas industry that desire a competitive edge in their product collection.  Our offering includes a-brand products, sustainable products, experiences/day trips, vouchers/tickets/giftcards, flowers, plants and media products (books/e-books/magazines). We provide unbeatable  margins, exceptional service levels, seamless process integrations... and are a cheerful bunch of people to work with :-)",Netherlands,7.700667,,,
GNX B.V.,16923338.0,"Netherlands, North Holland, Amsterdam, 124 Herengracht, 1015",https://www.linkedin.com/company/globalnetx,gnx.net,"Hi, we are GNX, a provider of global internet and private connectivity on a mission: to simplify global networks, and everything in between.  Because, like you, we got tired of the conservative, non-transparent ways of working in our industry. Instead, we made it straightforward: one single platform to access all the insights, expertise, and tools to source and manage your global WAN. And we called it GNX+. Direct quoting from thousands of local ISPs? Check. Click-to-order services? Check. Monitoring dashboards, service data, customer support? Check. Check Check.  With GNX+, companies can access our portfolio of DIA, broadband, and mobile services in 190+ countries worldwide, evaluate competing vendors, get firm quotes, and order their connectivity services in just a few clicks. What’s more, GNX+ enables you to manage your global WAN estate, monitor performance, raise tickets, and scale at the pace of your business. It’s all you wanted from a connectivity platform – and more. Needless to say, you are not alone in this journey. Next to our platform is our global team of connectivity experts, ensuring your services are up and running–wherever your business is, whenever you need them–and the reason why hundreds of customers already trust us with their global WAN. Pretty straightforward, right?  GNX. Straightforward Connectivity. www.gnx.net GNX Services:  • Global Internet Access: Dedicated Internet Access (DIA), Business Broadband, Mobile, Satellite (LEO) • Private point-to-point: Ethernet, Wavelength • Cloud Fabric and cloud-interconnect services Business Solutions • ISP Aggregation • SD-WAN & SASE underlay • DC & Site underlay • Low-latency services • Partner/Wholesale connectivity services",Netherlands,16.923338,,,
NL-ix,26078526.0,"Netherlands, South Holland, Rotterdam",https://www.linkedin.com/company/nl-ix,www.nl-ix.net,"NL-ix: The Internet platform behind millions of businesses Every day, NL-ix enables countless companies to work at full capacity, transporting data smoothly across the European continent through Peering, dedicated Transport, and direct Cloud connectivity. We don’t do this with flashy advertising, but by focusing on building a robust infrastructure that forms the backbone of business communications. As one of Europe’s leading Internet Exchanges, our customers enjoy a broad spectrum of interconnection services that ensure businesses stay connected in a secure, high-performance environment. Whether they need Peering, Transport, Cloud connectivity, or managed solutions, NL-ix provides a comprehensive suite of services tailored to your needs. Infrastructure You Can Trust Our network is at the heart of everything we do, and we constantly work to improve it, to make it more resilient, faster and more cost-effective. With strategically located interconnection points and resilient architecture, NL-ix provides ultra-reliable, high-performance connectivity for businesses that demand the best. Personalized Business: We Pick Up the Phone At NL-ix, we believe in a hands-on, customer-first approach. When you call us, we answer. We don’t hide behind automated responses or generic support tickets. Our dedicated team of experts is available to provide personalized support, ensuring that any issues are resolved quickly and efficiently. Our customers trust us because we prioritize real relationships and tailored solutions.   With NL-ix, you’re not just connecting to an Internet Exchange—you’re partnering with a team that is dedicated to delivering high-quality, secure, and personalized interconnection services. Join us and experience the difference of a truly customer-centric IX. More information: www.nl-ix.net",Netherlands,26.078526,,,
JOE Het Platform Voor Festivalpersoneel!,1207218.0,"Netherlands, Gelderland, Nijmegen",https://www.linkedin.com/company/joe-festivals,www.joefestivals.nl,"Gaten in je rooster? Goede kaartverkoop en dus toch iets meer personeel nodig?  JOE lost het eenvoudig voor je op. Je vult de datum en tijd in, bepaalt zelf wat de medewerker mag kosten en wat de medewerker moet kunnen. Uit alle aanmeldingen maak je zelf de keuze. Simpel toch?",Netherlands,1.207218,,,
Grand Prix Tours,951092.0,"Netherlands, North Holland, Amsterdam, 131 Contactweg, 1014",https://www.linkedin.com/company/grandprixtours,www.gptours.nl,"Grand Prix Tours organiseert al decennia lang Formule 1-reizen. Of u nu naar de Grand Prix van België of naar die van Australië wilt, Grand Prix Tours voorziet in al uw Formule 1-kaarten en –arrangementen. Al onze verzorgde reizen zijn tevens onder begeleiding van onze professionele reisbegeleiding. In het nieuwe F1 seizoen zijn alle Nederlandse ogen natuurlijk weer gericht op Max Verstappen! Wij helpen u graag bij het vinden van uw tickets of arrangementen, zodat ook u het Formule 1 seizoen van dichtbij kunt volgen. Voor elke Grand Prix bieden wij verschillende Formule 1 tickets op verschillende tribunes aan. Daarnaast hebben wij voor elke Grand Prix Formule 1 arrangementen samengesteld zodat u, met eigen vervoer of met het vliegtuig, naar de Grand Prix kunt afreizen, kunt overnachten in de omgeving en de Grand Prix van dichtbij kunt meemaken. Neem een kijkje in ons assortiment Formule 1 kaarten of bestel een compleet verzorgde reis naar een Formule 1 race. Heeft u vragen of bent u op zoek naar iets speciaals, neem dan contact met ons op!",Netherlands,0.951092,,,
Klimpark Fun Forest,29959398.0,"Netherlands, North Holland, Amstelveen",https://www.linkedin.com/company/klimpark-fun-forest,www.funforest.nl,"Klimpark Fun Forest is dedicated to providing outdoor adventure experiences that foster self-confidence and personal growth in children, particularly those from underprivileged backgrounds. Through their innovative Impact Climbing Ticket program, the company enables individuals and organizations to donate climbing tickets, ensuring that every child has the opportunity to explore nature and enjoy the thrill of climbing. Fun Forest collaborates with various partners focused on supporting vulnerable children, ensuring that donated tickets reach those who need them most. The company's mission is to combat the increasing screen time among children by encouraging outdoor play and exploration, while its vision is to create an inclusive society where every child can experience the joy of adventure. By engaging with both individual and corporate clients, Klimpark Fun Forest aims to make a significant impact on the lives of children, helping them discover their strengths and enjoy moments of pure happiness in nature.",Netherlands,29.959398,,,
AFC Ajax NV,208767188.0,"Netherlands, North Holland, Amsterdam, 29 Arena",https://www.linkedin.com/company/45798,www.ajax.nl,"AFC Ajax NV engages in the management and operation of a football team. The company is headquartered in Amsterdam, Noord-Holland and currently employs 488 full-time employees.  The company owns and operates AFC Ajax, a football team based in Amsterdam. The team plays its home matches at the Amsterdam ArenA. The firm obtains its revenue from five main sources: sponsoring, merchandising, the selling of television and Internet rights, ticket sales and the selling of players. The company reports four segments: Football, Retail, Merchandising and Experience, comprising the museum dedicated to the club’s history. The firm also offers travel and event organization which is specialized in organizing official hospitality packages to home games of AFC Ajax, as well as youth football camps and clinics and Ajax television broadcasting services.",Netherlands,208.767188,,,
Flight Deck 53 BV,1423044.0,"Netherlands, North Holland, Hilversum, 53 Bosdrift",https://www.linkedin.com/company/flight-deck-53,www.flightdeck53.com,"Trampoline Park, Hilversum The Netherlands, Fight Deck 53, for those who want to master the art of flight.  Flight Deck 53 is a state of the art jump school and trampoline park located in the historical Clemenskerk. If you want to improve your .jumping and freerunning skills? Then Flight Deck 53 is the place to be!  Special event, birthday party or school trip? Flight Deck 53 is the perfect venue to host your special event.  Ready to take off and have fun? Take flight and book a tickets online at www.flightdeck53.com",Netherlands,1.423044,,,
Sport-ticket.nl,475546.0,"Netherlands, North Brabant, Bergen Op Zoom",https://www.linkedin.com/company/sport-ticket-nl,www.sport-ticket.nl,"Sport-ticket.nl maakt het voor iedereen mogelijk om een (Top) wedstrijd te bezoeken van bijvoorbeeld Liverpool, Manchester City, Tottenham Hotspur, Barcelona of Real Madrid. Sport-ticket.nl biedt zowel reguliere wedstrijdkaarten aan als verschillende VIP arrangementen. Naast bijvoorbeeld het aanbieden van losse voetbaltickets, biedt sport-ticket.nl ook tickets aan voor andere sportgerelateerde eventementen zoals Darts, Formule 1 en de NFL.",Netherlands,0.475546,,,
