Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Ekvaly Elsikkerhet AS,3926166.0,"Norway, Nordland, Bodø, 85 Jernbaneveien, 8006",https://www.linkedin.com/company/ekvaly-elsikkerhet-as,ekvaly.no,"Vi er Nord-Norges største sakkyndig selskap innenfor vårt felt. Vi har hovedkontor i Bodø og avdelingskontorer i Tromsø og på Finnsnes. Vårt team består i tillegg av dedikert personell som er bosatt, og arbeider i områdene Harstad, Narvik, Lyngseidet, Bardufoss, Fauske og Stavanger. Ekvaly Elsikkerhet er et nyopprettet selskap innen Bodø Energi-konsernet. I dag har vi 18 ansatte, og leverer elsikkerhetsrelaterte tjenester på oppdrag fra nettselskaper i hele Norge.  Hos oss får du muligheten til å vokse faglig, utforske interne karrieremuligheter, og nytte fordelene av en solid eierstruktur. Som en del av teamet vårt, kan du se frem til et inspirerende arbeidsmiljø, svært gode pensjons- og forsikringsordninger, og ekstra ansattegoder som feriehus på Gran Canaria, tilgang til billetter til sports- og kulturarrangementer, og støtte til trening.",Norway,3.926166,,,
Haga Golf AS,5433209.0,Norway,https://www.linkedin.com/company/haga-golf-as,www.hagagolf.no,"Haga Golf is a 27 hole championship course situated in the heart of Bærum, only 15 minutes drive from Oslo city center.  We offer a wide range of corporate packages, ranging from a small golfevent to large cooperation that includes greenfee tickets, club membership, tournament, marketing etc. Haga Golf has a large proshop with club fitting, clothes and golf equipment.",Norway,5.433209,,,
RunAgain,2562846.0,"Norway, Oslo, Oslo",https://www.linkedin.com/company/runagain,www.nestelop.no,"We exist to build the worlds most attractive meeting point for runners and organizers - to find, book tickets and discuss all running events in the world!",Norway,2.562846,,,
Høyt Og Lavt Klatreparker,2568437.0,"Norway, Vestfold, Steinsholt, 3388 Lågendalsveien, 3277",https://www.linkedin.com/company/høyt-og-lavt-aktivitetspark-as,www.hoytlavt.no,"For companies! We offer unique experiences, challenges and team building, whether just for fun or with a focus on communication and teamwork. Meeting rooms, food and lodging can also be provided. The climbing park is situated in beautiful surroundings with the starting point in our red-painted buildings where tickets, equipment rental and the café can be found. Visitors receive compulsory training before being able to continue onto the color-coded courses. The courses have a start and an end, with many of them beginning in the tower. In total, we have 14 courses, 200 obstacles and 1900m of zip lines. One of our most popular courses is the Ormen Lange. This starts in the tower and takes you right onto the longest zip-line, an entire 382 meters from the start, over several fields, over the river and to the other side. It is fantastic fun and not uncommon to hear shouts of excitement from above. Our trails are graded with colors like at a ski resort. Orange is the easiest and black is the most difficult. In between are bright green, dark green, blue and red.",Norway,2.568437,,,
Det Gode Selskap AS,6369765.0,Norway,https://www.linkedin.com/company/det-gode-selskap-as,www.detgodeselskap.no,"Vi møtte hverandre i 2001 og fant raskt tonen i forhold til mat. Vi jobbet sammen i flere prosjekter før Det Gode Selskap ble startet i 2006 og senere omdannet til AS i 2008. Det Gode Selskap ble start med en intensjon om å være garantist for gode matopplevelser og aldri gå på akkord med kvalitet. Vi er begge opptatt av norske råvarer og mattradisjoner, og la vekt på det norske og nordiske kjøkkenet, lenge før det ble et allmenkjent begrep. I vår utdannelse stod det franske kjøkkenet sentralt, og vi mikser gjerne denne erfaringen med norske tradisjoner, nye smaker og metoder, uten at det går på bekostning av den rene nordiske smaken.  For å kunne skape en god matopplevelse må det være kvalitet i alle ledd, også utenfor kjøkkenet. Vi har derfor stort fokus på den totale gjennomføringen og stille store krav til annet personell, servitører og underleverandører.  Vi liker store og nye utfordringer. I 2009 tok vi en stor utfordring som ligger noe på siden av vår ordinære drift. Konsert arrangør med Allan Jackson på Bergen Travpark. Vi solgte 22000 billetter og fikk terningkast 5 i BA og BT.",Norway,6.369765,,,
Palmesus,11405275.0,"Norway, Vest-agder, Kristiansand",https://www.linkedin.com/company/palmesus-as,www.palmesus.com,"Palmesus is a vibrant festival held annually in Kristiansand, Norway, known for its electrifying atmosphere and diverse entertainment offerings. The event features multiple venues, including the energetic Kick Nightclub and the unique Festningen, which provides a stunning view and a relaxed lounge vibe. With a mission to create unforgettable experiences, Palmesus aims to be the benchmark for summer parties in Norway, offering a variety of ticket options, including VIP experiences that enhance the festival atmosphere. The festival caters to a wide audience, primarily targeting young adults aged 18 and over, and collaborates with various partners, including local hotels and transport services, to ensure a seamless experience for attendees. With a commitment to inclusivity, Palmesus also provides facilities for individuals with disabilities, making it accessible to all festival-goers.",Norway,11.405275,,,
ØSTLANDSK LÆRERSTEVNE,265096.0,"Norway, Oslo, Oslo",https://www.linkedin.com/company/østlandsk-lærerstevne,www.ostlandsklarerstevne.no,Østlandsk lærerstevne tilbyr etterutdanning og kompetanseheving til barnehage- og skolefolk for en rimelig penge.  Østlandsk lærerstevne  - tilbyr en stor bredde i kurs og foredrag - omtrent 140 i tallet - drives kun av inntekter fra billettsalg og utstillingen - gjennomføres av et styre på 11 og en sekretær i 50% stilling - arrangeres i nært samarbeid med OsloMet – Storbyuniversitetet - har de siste årene hatt mellom 4700 og 6300 deltakere - blir alltid arrangert fredag og lørdag i uke 44 (5. og 6. november 2021) - ble første gang arrangert i 1931 Stevnet omfatter også en utstilling der et mangfold av aktører i utdanningssektoren er representert.,Norway,0.265096,,,
Atender Group,3029823.0,"Norway, Hordaland, Bergen",https://www.linkedin.com/company/atender-group,www.atender.com,"We’re here to change how the world sees outsourcing. At Atender, we believe that when you put people first (your customers and your team) everything else follows: better service, better relationships, better growth. We specialize in 𝘀𝗰𝗮𝗹𝗮𝗯𝗹𝗲, 𝗵𝗶𝗴𝗵-𝗾𝘂𝗮𝗹𝗶𝘁𝘆 𝗰𝘂𝘀𝘁𝗼𝗺𝗲𝗿 𝘀𝘂𝗽𝗽𝗼𝗿𝘁 outsourcing for 𝘀𝗺𝗮𝗹𝗹 𝗮𝗻𝗱 𝗺𝗲𝗱𝗶𝘂𝗺-𝘀𝗶𝘇𝗲𝗱 𝗯𝘂𝘀𝗶𝗻𝗲𝘀𝘀𝗲𝘀 across Scandinavia and Europe. Whether you're a fast-growing tech company or a well-established brand, 𝘄𝗲 𝗽𝗿𝗼𝘃𝗶𝗱𝗲 𝗳𝗹𝗲𝘅𝗶𝗯𝗹𝗲, 𝟮𝟰/𝟳 𝘀𝘂𝗽𝗽𝗼𝗿𝘁, 𝘁𝗮𝗶𝗹𝗼𝗿𝗲𝗱 𝘁𝗼 𝘆𝗼𝘂𝗿 𝗻𝗲𝗲𝗱𝘀; by real people who 𝘤𝘢𝘳𝘦.   • Omni-channel support: Live chat, email, phone, SMS   • Native-language agents who know your market   • Switch on/off as needed – pay only when you need us   • Dedicated teams or on-demand scaling   • Cloud-based tools & smart workflows We go beyond just answering tickets - 𝘄𝗲 𝗯𝘂𝗶𝗹𝗱 𝗿𝗲𝗮𝗹 𝗰𝘂𝘀𝘁𝗼𝗺𝗲𝗿 𝗿𝗲𝗹𝗮𝘁𝗶𝗼𝗻𝘀𝗵𝗶𝗽𝘀 and represent your brand as if it were our own. Our support specialists are not just employees; they’re 𝗽𝗮𝗿𝘁𝗻𝗲𝗿𝘀 𝗶𝗻 𝘆𝗼𝘂𝗿 𝗺𝗶𝘀𝘀𝗶𝗼𝗻, trained to deliver meaningful and memorable experiences. 𝗪𝗵𝘆 𝗼𝘂𝗿 𝗰𝗹𝗶𝗲𝗻𝘁𝘀 𝗰𝗵𝗼𝗼𝘀𝗲 𝘂𝘀: Because they need a partner who understands that people are everything - not just headcount or KPIs. That’s why leading companies like Zaptec and Fonn trust us with their customer care. If you're looking for a smarter, more human approach to customer support, let's talk. 𝗔𝘁𝗲𝗻𝗱𝗲𝗿: 𝗢𝘂𝘁𝘀𝗼𝘂𝗿𝗰𝗶𝗻𝗴 𝗱𝗼𝗻𝗲 𝗿𝗶𝗴𝗵𝘁 - 𝗯𝗲𝗰𝗮𝘂𝘀𝗲 𝗽𝗲𝗼𝗽𝗹𝗲 𝗮𝗿𝗲 𝗲𝘃𝗲𝗿𝘆𝘁𝗵𝗶𝗻𝗴.",Norway,3.029823,,,
Nordisk Film Kino,804436530.0,"Norway, Oslo, Oslo, 8 Fridtjof Nansens Vei, 0369",https://www.linkedin.com/company/nordisk-film-kino,www.nfkino.no,"Nordisk Film Kino is Norway's largest cinema operator, managing a network of 21 cinemas across the country, including the Askim Kino, which has been a local favorite since 1978. The company is dedicated to providing the ultimate cinematic experience, showcasing the latest films in state-of-the-art facilities equipped with Sony 4K digital projectors and offering both standard and 3D screenings. Nordisk Film Kino aims to entertain and engage audiences of all ages, making it a popular choice for families, film enthusiasts, and casual moviegoers alike. As a subsidiary of Egmont, one of Scandinavia's largest media houses, Nordisk Film Kino benefits from strong partnerships within the film industry, ensuring a diverse and appealing lineup of films. The company is committed to enhancing the movie-going experience with comfortable seating, a wide selection of snacks, and convenient ticket purchasing options through its website and app.",Norway,804.43653,,,
Fredrikstad Kino,3043697.0,"Norway, Østfold, Fredrikstad",https://www.linkedin.com/company/fredrikstad-kino,www.fredrikstadkino.no,"FREDRIKSTAD KINO - kinoen i ""Hællæwood"" som er kåret til Årets Kino 15 ganger! Fredrikstad Kino har gitt folk store opplevelser i over 100 år, siden vi startet som Fredrikstad Kommunale Kinematografer 1. april 1917. Seks moderne kinosaler venter på å gi deg store filmopplevelser. Kinoen er heldigital, med 4K i sal 2, 3 og 4, og 3D (inkl HFR/48FPS) i sal 1, 5 og 6. Sal 1, 2, 3 og 5 har Dolbys Atmos-lydanlegg. Alle saler er bygget etter THX-standard og ble sertifisert av THX til åpningen i 2002. Sal 1 har 68 seter, sal 2 har 333 seter, sal 3 har 215 seter, sal 4 har 117 seter, sal 5 har 112 seter og sal 6 har 50 seter. Sal 2 og 5 har faste seter, mens sal 1, 3, 4 og 6 har seter med rygg som kan skyves bakover. Alle saler har egne plasser for rullestoler. Billettluka selger også billetter til det meste som skjer av teater, konserter og andre arrangementer i Fredrikstad og omegn. Se vårt kulturprogram her på nettet.  Vi leier ut salene på dagtid til konferanser, møter o.l. Bedre sittekomfort og større lerret til seminaret ditt finner du ingen steder! Og hvorfor ikke starte eller avslutte kurset med en film? Kontakt Jørgen Søderberg Jansen på josj@fredrikstad.kommune.no for mer informasjon.",Norway,3.043697,,,
