Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Spandex Portugal,6815848.0,"Portugal, Lisbon, Vialonga, 5 Rua Quinta Dos Álamos, 2625-577",https://www.linkedin.com/company/spandex-pt,www.spandex.pt,"Olhando para o Futuro Durante as últimas cinco décadas, a Spandex evoluiu e cresceu. Integrámos muitas empresas mais pequenas e independentes, adicionamos camadas extra de experiência de mercado e conhecimento do produto e conquistamos novos e valiosos clientes. Em cada entrada na nossa organização aumentamos a nossa presença global, expandimos a nossa infraestrutura de distribuição, aumentamos a nossa oferta e consolidamos a nossa reputação. A nossa visão é oferecer inovação, experiência e oportunidades para o mercado global de comunicação visual. A nossa missão é oferecer uma experiência superior aos nossos clientes através de uma ampla gama de soluções e serviços, disponibilizados por uma equipa de especialistas diversificada e apaixonada. Com mais de 40 anos de experiência no setor e escritórios em 20 países ao redor do mundo, disponibilizamos um extenso catálogo de materiais para impressão digital e sinalização de marcas líderes do setor, especializadas em decoração de viaturas, arquitetura, design de interiores e têxteis. Algumas das marcas que representamos são: Orafol, 3M, ImagePerfect, bergertextiles, baltled, Aslan, Arlon, Avery Dennison, Mactac, Cover Styl, Yupo, Isee2, entre outras. Somos Spandex – Criatividade  Saiba mais sobre nós: https://spandex.group/pt/a-nossa-visao/ Atendimento ao Cliente Tel.: +351 219 737 960 Email: geral@spandex.com",Portugal,6.815848,,,
Mini Armazéns,1983645.0,"Portugal, Lisbon, Lisbon",https://www.linkedin.com/company/mini-armazéns,miniarmazens.com,"Mini Armazéns, dispõe de uma gama elevada de ofertas na área de armazenamento, dispondo de vários tipos de espaços prontos para armazenar todo o tipo de bens que necessitar.  Espaços ideais para guardar: bicicletas, móveis, ferramentas , livros, vestuário, Back-Office de empresas. Óptimos acessos. Acesso 24 horas dia, 365 dias ano  Video vigilância. Sistema de código de segurança na entrada. Sem caução nem período de fidelização. Óptimos descontos para empresas",Portugal,1.983645,,,
Luis MC Branco Unip Lda,1830072.0,"Portugal, Seixal, Lote 1 Loja A Rua Domingos Bomtempo, 2845-102",https://www.linkedin.com/company/luis-m.-c.-branco,,"Especialistas em Telecomunicações e Construção Civil. Empresa fundada em 2008, iniciou-se com apenas um funcionário, dedicando-se principalmente á construção civil. Posteriormente, em 2009, assistiu-se ao incremento de uma vantagem competitiva com a entrada para o sector das telecomunicações. Em 2011, assistiu-se à expansão para a área dos Sistemas Informáticos de Facturação com a comercialização, instalação e manutenção de POS para a hotelaria, comércio/retalho.",Portugal,1.830072,,,
UBINAWEB,3748207.0,"Portugal, Lisbon, Lisbon, Avenida Engenheiro Arantes E Oliveira N°3, 1900-221",https://www.linkedin.com/company/ubinaweb,www.ubinaweb.fr,"UBINAWEB est un centre de relation client et un opérateur d'appels sortants et entrants pour le développement commercial (télévente et prises de rendez-vous), le support client, l'assistance clientèle, le support au chat en ligne, les études et les sondages. Nous sommes installés à Lisbonne afin de proposer des coûts attractifs en nearshoring tout en fournissant une qualité de service optimale aux entreprises françaises et internationales. Véritable complément à vos équipes, nous sommes habilités sur de multiples solutions CRM ou de téléphonie VOIP en SAAS et dans le Cloud, et pouvons intervenir en assistance ou auxiliaire auprès de vos équipes commerciales ou d'assistance à la clientèle lors de montées en charge ou pour sous-traiter certaines opérations ponctuelles. UBINAWEB is a customer relations centre and outbound and inbound call operator for business development (telesales and appointment setting), customer support, online chat support, surveys and polls. We are located in Lisbon in order to offer attractive nearshoring costs while providing an optimal quality of service to international companies. As a true complement to your teams, we are qualified in multiple CRM or VOIP telephony solutions in SAAS and in the Cloud, and can provide assistance or support to your sales or customer support teams during ramp-ups or to subcontract certain one-off operations. A UBINAWEB é um centro de relações com clientes e um operador de chamadas de entrada e saída para o desenvolvimento de negócios (televendas e marcação de entrevistas), apoio ao cliente, apoio de chat online, estudos e inquéritos. Estamos sediados em Lisboa e oferecemos uma óptima qualidade de serviço às empresas portuguesas e internacionais. Como verdadeiro complemento das suas equipas, podemos prestar assistência ou apoio às suas equipas de vendas ou de apoio ao cliente.",Portugal,3.748207,,,
Emprego Mais,235331.0,"Portugal, Viana Do Castelo, Viana Do Castelo, 4905-615",https://www.linkedin.com/company/empregomais,empregomais.com,A Emprego Mais foi criada com a intuição de facilitar a entrada dos nossos visitantes no mercado do trabalho. Nos somos o lar com vários artigos que fornecem conselhos práticos e claros sobre a procura de emprego.,Portugal,0.235331,,,
Allez - Sports Ticketing Marketplace,1433443.0,"Portugal, Lisbon, Lisbon",https://www.linkedin.com/company/allez-app,www.allez.app,"An innovative way to subscribe to sports tickets, with the ability to manage and recover club membership fees.",Portugal,1.433443,,,
Estrela Da Amadora,3402404.0,"Portugal, Lisbon, Amadora",https://www.linkedin.com/company/cfea-estrela-da-amadora,cfeamadora.pt,"Perfil oficial do Estrela da Amadora: Sócios, Formação e modalidades amadoras.  - Futebol (todos os escalões); - Escola de Guarda-Redes Tricolor; - Escola de Futebol Tricolor; - Ténis de Mesa (todas as idades : competição e lazer); - Escola de Ténis de Mesa Tricolor; - Atletismo; - Andebol (séniores, sub18 e sub20); - Escola de Andebol Tricolor (5 aos 17 anos); - Futebol de Praia; - Gestão de Sócios; - Merchandising Oficial; - Deslocações de adeptos aos jogos fora; - Bilheteira e Passes Tricolores (Bilhete Anual);    Também conhecidos por Estrelistas e Tricolores.  Fundado a 22 de Janeiro de 1932.  Secretaria/Loja Tricolor: Dias úteis das 10:00 às 20:30. Whatsapp: 962 390 688 Email: geral@cfeamadora.pt Loja Tricolor Online: loja.cfeamadora.pt/ Estádio José Gomes, Av. D. José l., Amadora",Portugal,3.402404,,,
Million Dollar Hole In One,3146670.0,"Portugal, Faro, Quarteira",https://www.linkedin.com/company/mdhio,www.mdhio.net,"Million Dollar Hole in One is a hole in one challenge on selected par 3's throughout the world. Players of Million Dollar Hole in One achieving a hole in one win an expenses paid trip to #The Masters including flights, accommodation, gala dinner, 2 rounds of golf, day ticket to the Masters plus the opportunity to shoot for a Million US Dollars.",Portugal,3.14667,,,
Onlifarma - Health & Beauty,10116435.0,"Portugal, Aveiro, Oliveira, Rua Da Lagoa Lote 11, 3770",https://www.linkedin.com/company/onlifarma,onlifarma.pt,"A Onlifarma nasce em 2010, iniciando a sua atividade em 2011, com a implementação de vários projetos ligados à saúde, beleza e cuidados de higiene. A entrada nos meios digitais fez parte da sua estratégia desde a fundação.",Portugal,10.116435,,,
INVENTESBOÇO LDA.,5388328.0,"Portugal, Setúbal, Setúbal, Nº6 Rua Vitor Branco, 2840-127",https://www.linkedin.com/company/inventesboço-lda-,www.inventesboco.pt,"A Inventesboço é uma empresa dedicada à montagem de equipamentos comerciais, estanterias, expositores e sistemas de entrada e saída.   Sede na zona Industrial do Casal do Marco e delegação logística em Vila Nova due Gaia. Dado a diversidade de clientes para os quais trabalhamos, ao longo dos anos adquirimos experiência de montagem com as diversas marcas de estanteria existentes no mercado. Produtos: - Estudo, Projeto e Fabricação de Peças por medida (Caixas, Separadores, Placas de corte, Dispensadores, Expositores, Porta-Preços e cestos de vime Sintético). - Sistemas de Entrada e Saída (Portões Eletrónicos, Portões Mecânicos e Baias de Separação). - Sistemas de Gestão de Fila. - Cestos de Compras. - Comercialização de Cacifos e complementos. - Bandejas Gastronorm. Consulte-nos temos soluções para o seu negócio!",Portugal,5.388328,,,
