Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Danny Ungur Racing,1424378.0,Romania,https://www.linkedin.com/company/danny-ungur-racing,www.dannyungurracing.ro,"Daniel (Danny) Ungur is a well-known rally driver and instructor for the National Championship. In the 20 years of experience he has competed in over 220 rallies, won three championship titles in Group H (classes 9 and 11) in 2011, 2012 and 2013 and a National Champion title Group N in 2004. In 2004 he launched his own rally school (Danny Ungur Racing) where he trained and prepared for rally many athletes, with more than 30 drivers and co drivers active in national competitions. He also learned many road users to master the safety rules and to develop a proper behavior to approach the public traffic. Danny Ungur Racing has become a brand, which was relaunched at the end of 2014 with a new concept which aims to contribute to the Romanian Motorsport performance through training and guidance for the athletes involved. Danny Ungur Racing meets the need for economy and efficiency exploitation by companies with car fleet through safety programs, eco and defensive driving. Also, projects and programs of Danny Ungur Racing will share with the national programs to reduce road accidents through defensive driving courses. To attract as many fans of the Motorsport competitions and for public awareness of the dangers to which we expose all road users, Racing Danny Ungur services have also a recreational and social accessible side, through interactive activities for leisure and team-building. Danny Ungur Racing activities consist in: Rally Coaching and Rally School, Defensive Driving Courses and Social Programs, Team-buildings, Sport Car Driving courses and guidance, Off Road Experience, Rally Rent and Service.  Any of our programs or part of them, are easier to acces through gift tickets (voucher) which may be an suitable experience for any car enthusiast: from courses for beginners to advanced level activities of driving.",Romania,1.424378,,,
Sport Business Chain,983790.0,"Romania, Bucureşti, Bucharest",https://www.linkedin.com/company/sport-business-chain,www.sportbusinesschain.com,"Bucharest becomes the capital of Eastern European sport business this September!  We are putting together a sport business conference for Eastern Europe’s sport stakeholders in Bucharest, at Domeniul Stirbey, between 28th – 30th September. 3 days full of speaking slots, workshops and networking. #SBC2018 proposes the following conference theme: ‘Monetisation and Sustainability in Sport Organisations’, aiming to arm the event’s audience with insights, trends, networking and development opportunities. Have a look here at the sport business trailblazers who are taking the stage: https://sportbusinesschain.com/wp-content/uploads/2018/06/SBC2018-Events-Agenda.pdf The conference is for you if you are a: 	sport leader or entrepreneur; 	sport policy maker; 	sport organisations’ management representative; 	sport academia member; 	student; 	athlete.  Our Early Bird Tickets are now live - benefit from our 25% discounts today!  PS: Students will always enjoy an extra 50% off. Sport Business Chain is a non-profit organisation based in Bucharest, Romania, whose aim is to contribute to the development of the Eastern European sport business landscape.",Romania,0.98379,,,
One-Way Ticket Studio,879690.0,"Romania, Bucureşti, Bucharest, Nr. 12 Str. Muntii Tatra, 011021",https://www.linkedin.com/company/one-way-ticket-studio,www.owt-studio.ro,"One-Way Ticket Studio is a bidding platform for early adopters.  We curate the cutting-edge products from today's startups and beyond, making it available for you to purchase using the bidding feature or directly in shop.  We care a great deal about what we do, and we’re willing to to the extra mile to do things beautifully. Hope you can join this beautiful journey.",Romania,0.87969,,,
Astra Sisteme Integrate,1293484.0,"Romania, Bucureşti, Bucharest, 198 Calea Grivitei",https://www.linkedin.com/company/divergent-solutions,www.antiefractie.ro,"Societate cu capital integral privat, am devenit lider naţional în producţia de camere de tezaur. Treptat ne-am extins portofoliul, iar în prezent suntem importatori direcţi pentru 10.000 de tipuri de produse, de la peste 100 de producători recunoscuţi, pentru calitatea şi fiabilitatea, produselor; oferim o gamă, completă de soluţii de securitate, alături de sisteme de transport şi procesare, numerar, soluţii pentru industria hotelieră, sisteme de parking, sisteme ticketing pentru persoane şi autovehicule sau soluţii de arhivare şi depozitare.",Romania,1.293484,,,
Treasure Holidays,951092.0,"Romania, Bucureşti, Bucharest, 17 Str. Veteranilor, 060924",https://www.linkedin.com/company/treasure-holidays,www.treasureholidays.ro,"Agentie de turism Bucuresti, specializata in turism extern, turism intern, corporate, bilete de avion, bilete de autocar, asigurari medicale. Oferim: City breakuri, pachete charter, vacante la mare, vacante la munte, vacante in Delta Dunarii, Circuite.",Romania,0.951092,,,
Executari.com,6669980.0,"Romania, Bucureşti, Bucharest",https://www.linkedin.com/company/5059731,www.executari.com,"Who we are...  We are a unique integrated platform covering the Marketing, Sales & Property Management processes for assets in Foreclosure, Bankruptcy or Repossessed stages.  We have a dedicated sales team – thus insuring a coherent connection between the potential buyers and the Creditors / Liquidators / Executors.  We are constantly managing cca 10,000 real estate assets. We have registered 319 sales in 2017, having a total value of Mio 21.4 €, 417 sales in 2016, totaling Mio 21 €, while in 2015 we've closed 410 sales in 2015, totaling cca 14 Mio €. Our website www.executari.com has 350k monthly unique visitors & 2.5 Mio monthly page visits, 211 k subscribers and 280k Fb likes. What we offer...  Marketing:  Intensive promotion of the real estate portfolio, through our OWN web platform by using the most efficient and creative tools and through all industry related channels;  Own portfolio database of clients: both for small and big tickets / private individuals and institutional investors  Lead Management:  Professional uploading and administration of assets data on the website by a specialized team;  Process: registration  filtering  gradating  prioritize  distribute  contact  follow-up  sale;  Reporting: full reports are periodically presented in regards with the insights of the marketing process;  Sales:  Take over the potential client and assist him throughout the acquisition process;  Obtain a price offer from the potential client and inform the Bank;  Continue negotiations with the potential client in order to reach the best possible price for the Bank;  Provide the Bank with at least one potential client willing to buy the asset (more clients = competition);  -> Success fee charging system based on sales performance.  -> Representing one single side - the Creditor / Seller.  Our new services…  • RE Portfolio acquisition analysis and advisory. • Asset management: legal, field, financial and sales services.",Romania,6.66998,,,
VreauBilet.ro,3965810.0,Romania,https://www.linkedin.com/company/vreaubilet.ro,www.vreaubilet.ro,"VreauBilet este unul dinte principalii organizatori de spectacole din Romania, ce a adus pe scena artisti de renume international . De asemenea oferă soluţii şi servicii complete de management artistic pentru valori incontestabile precum: TUDOR GHEORGHE, FLORIN PIERSIC, RADU BELIGAN, AG WEINBERGER,s.m.a,  precum  şi oportunitatea de achiziţionare de bilete online - www.vreauilet.ro",Romania,3.96581,,,
Label Print | LabelShop.ro,4172248.0,"Romania, Bucureşti, Bucharest, 48th Maior Alexandru Campeanu St., 011238",https://www.linkedin.com/company/labelprint-etichete,labelprint.ro,"Flexographic printing company for labels & labeling, tickets, and packaging.",Romania,4.172248,,,
Sc Oneprinting Silver Srl,2024096.0,"Romania, Bucureşti, Bucharest, 104 Soseaua Giurgiului",https://www.linkedin.com/company/oneprinting,oneprinting.it,"Come sarebe ad avere un unico partner nella vostra zona che offre prezzi competitivi, qualità premium e la tempestività perfetto? Vuoi gestire il proprio account, scegliere i prodotti che avete bisogno e dare il comando in soli 10 secondi? Ora è possibile farlo in modo semplice, economico e veloce, con un partner, un negozio online: oneprinting.it Ciò che ci differenzia dagli altri tipogafii è che realmente capire le esigenze del cliente. Noi siamo vicino alla vostra azienda, l'intestazione del documento per personalizzare le auto della flotta che trasporta i prodotti, ma anche l'immagine della vostra azienda in tutto il paese. Sul nostro sito è possibile ordinare immediatamente: FORMATO PICCOLO:   - Biglietti da visita nel formato più sorprendente ;   -  Inviti a un prezzo accesibile;   - Volantini adatti a tutte le vostre azioni di marketing;   - Carta intestata, che l'eleganza può sempre essere la qualità della vostra attività;   - Locandine personalizzate in ogni caso come si desidera;   - Cartoline per promuovere eventi e luoghi in modo originale. GRANDE FORMATO:   - Locandine classiche da 44 x 64 cm a 120 x 160 cm, ottimo rapporto qualità - prezzo;   - Poster qualità HD su carta fotografica interna ultra fine 1440 o 2880 dpi;   - Maxi manifesto in 8 formati grandi cartelloni tridimensionali; Sticker PVC - per superfici piane, pareti, finestre, e la personalizzazione dell'automobile. Etichette autoadesive in bobina - per tutte le vostre esigenze di business e non solo.   Su oneprinting.it scegliere i prodotti che si desidera, si ha la possibilità di personalizzazione, qualità dei materiali, la quantità e tempi di consegna, calcolo del prezzo automaticamente tramite il nostro configuratore online.  Diventa un cliente in questo momento e godere di sconti su oneprinting.it !",Romania,2.024096,,,
Cryptosphere DAO,908923.0,"Romania, Bucureşti, Bucharest",https://www.linkedin.com/company/rocryptosphere,www.cryptosphere.ro,"Cryptosphere este un eveniment dedicat comunitatilor si industriei crypto din Romania - primul event de tip DAO din Romania, dintr-o serie cat mai lunga de evenimente.   Eveniment liber de networking descentralizat - fara bilete, fara speakeri, fara prententii - just for fun.  Evenimentul se va desfasura la Bran, pe parcursul a 3 zile, in perioada 21-23 octombrie 2022. Vor fi prezente comunitati crypto, si proiecte locale impreuna cu pasionati, specialisti si dezvoltatori din industrie. Primele 1000 de beri in fiecare zi sunt din partea noastra.   Telegram @Cryptosphere2022 Cryptosphere.ro",Romania,0.908923,,,
