Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
ColosseoEAS,11489737.0,"Slovakia, Bratislavský, Bratislava, 27 K Železnej Studienke, 811 04",https://www.linkedin.com/company/colosseoeas,www.colosseoeas.com,"ColosseoEAS, Inc. is the producer of the first completely integrated software platform for content creation, distribution and control for venues. With custom designed LED display systems, center hung scoreboards, timekeeping and scoring systems, mobile applications and IPTV, Colosseo has developed the most complete turnkey solution for sports venues, convention centers, shopping malls and transportation available on the market today. The Single Media Platform solution enables customers to optimize their operational process and resources while increasing media visibility, marketing revenue, fan experience and safety. With more than 80 installations in North America, Europe and Asia in the past 8 years, Colosseo is providing control room operators with cutting edge technology to take multimedia management, interactivity, entertainment and infotainment to a significantly higher level. Colosseo’s most prestigious installations includes famous venues like the Capital One Arena in Washington D.C., Allianz Park in London, AccorHotels Arena Bercy in Paris or VTB Ice Palace in Moscow. Colosseo products and equipment enable stadia owners to put on an excellent show for every single event with the highest-level game presentation ensuring fans enjoy an amazing game experience along with unparalleled stadium security.  Products include:  Game Presentation for Sporting Venues:   Single Media Platform    Production Video Switchers  	   Instant Replays Controllers  	   LED Vision Scoreboards  	   Show Manager  	   Smartphones /Tablets custom-made apps   Interactive IPTV     Infotainment  	 Game Control & Statistics for Sport   Timing & Scoring    Video Goal Judge   Video Assistant Referee for footbal   Sport Accessories     Player Tracking   Security for Sport Venues   Ticketing & Cashless Payment   Biometric Facial Recognition   Turnstiles & Access Control",Slovakia,11.489737,,,
Compass Vacation Club S.r.o.,208224.0,"Slovakia, Bratislavský, Bratislava",https://www.linkedin.com/company/compass-vacation-club-s-r-o-,www.galileocompass.sk,"Sme prvá slovenská spoločnosť, ktorá založila prvý dovolenkový klub na Slovensku. Víziou klubu je napĺňať  Vaše dovolenkové sny a každoročne Vám dopriať nezabudnuteľnú dovolenku v hoteli Galileo alebo vo Vami vybranej exkluzívnej svetovej destinácii. Členstvom v Galileo Compass clube si zakupujete výhradné právo na ubytovanie počas jedného týždňa v roku, vo Vami vybranom apartmáne alebo štúdiu hotela Galileo. Členstvom získate zároveň možnosť  výmeny zakúpeného týždňa za akýkoľvek iný týždeň, v akejkoľvej Vami vybranej svetovej destinácii siete Interval International. Ako člen klubu budete mať možnosť využívať ďalšie  jeho výhody a služby, v podobe exkluzívnych pobytov za klubové ceny v programe GETAWAY. Program Getaway (Last minute)  dáva možnosť využitia neobmedzeného počtu týždňov každoročne, v bezkonkurenčných cenách a v exkluzívnych svetových rezortoch. Zoznam rezortov nájdete po prihlásení na stránke www.intervalworld.com v sekcii Resort directory. Garantujeme Vám vysokú kvalitu ubytovania a hotelových služieb tých najlepších 4 a 5 **** hotelov. Členstvo Vám taktiež umožní čerpať zľavy na ubytovanie pri obchodných cestách, zľavy na lety, golfové kurzy, stravovanie, nakupovanie zvýhodnené vstupenky do vybraných zábavných centier, bezplatné členstvo v Hertz #1 Club Gold s možnosťou zliav na prenájom áut. Členstvom v klube sa bude svet okolo Vás točiť ešte viac......",Slovakia,0.208224,,,
FutbalTour,13185182.0,"Slovakia, Bratislavský, Bratislava, 3972 G2 Galvaniho, 82104",https://www.linkedin.com/company/futbaltour.sk,www.futbaltour.sk,"FutbalTour.sk has been established in 2008. FutbalTour.sk is the largest sport travel company in Slovakia. Since 2014 we have been an official partner of FC Barcelona in reselling tickets. We are offering our services to Slovak, Czech, Hungarian, Romanian, Austrian, Swiss and Croatian clients.",Slovakia,13.185182,,,
FLORA TOUR,3928888.0,"Slovakia, Bratislavský, Bratislava, 6 Kupelna, 81102",https://www.linkedin.com/company/flora-tour-&-travel,www.floratour.sk,"http://www.floratour.sk/en/ Founded in 1991, our travel agency Flora Tour has become the leading tour provider specializing in the Danube River and Central Europe. Aware of the exceptionality of this area, our goal is to provide travellers with high-quality tourist products as well as to create conditions for the development of tourism in the Danube Region. Pursuing our goals, we always keep in mind the preservation of the uniqueness of the cultural and natural environment. We have been acting successfully on the tourist market for over 20 years. Our domain is the Danube River and its surrounding region which is a great inspiration in designing the individual products. Being aware of the significance of the Danube Region, our aim is to provide clients with high quality, creative and authentic experiences as well as to create conditions for regional development and sustainable tourism. Focusing on experience: We offer our clients not only the service itself, but we want to offer a unique lifetime experience with the warmest hospitality they will always remember. The heart of our company is our team, counting 45 members, who speak several languages and always provide services with a smile. And because the work we do is also our hobby, you can expect even something more. Creativity and originality: We prepare the great majority of our products ourselves or in cooperation with our partners. Creativity is another crucial value of ours and this makes our brand recognizable on the market. We do not want to just provide an excellent service, but also pleasantly surprise our clients. Variability and flexibility Our portfolio consists of a wide variety of services: from bus tickets sale to providing complex customized holiday packages. Thanks to our almost limitless offer, we can satisfy every spoken and unspoken desire. Specialization",Slovakia,3.928888,,,
TUCAN S.r.o.,1964444.0,"Slovakia, Bratislavský, Bratislava, 1 Za Kasarnou, 831 03",https://www.linkedin.com/company/tucan-cestovná-kancelária,tucan.sk,"We offer the complete package of passenger air transport services to our clients: from finding the best possible flight connection and ensuring the reservations of free spaces to securing additional baggage, special dietary requirements, airport assistance for immobile travellers or the elderly and transportation of pets as well as many other special services.  Our services do not begin and end with the purchase and issuance of flight tickets, but they also include the handling of visa arrangements, accommodation, car rental, travel insurance, tickets for sports and cultural events, airport transport and much more.  Most of our clients are business passengers or experienced travellers. We pride ourselves in our individual approach towards each customer, while trying to find a tailor-made solution for everyone. Our experience with air travel passengers goes back to 1996 and as an IATA (International Air Transport Association) accredited travel company we fall under the guarantee of the strict financial criteria of UniCredit Bank.",Slovakia,1.964444,,,
SKY 4 U,1473333.0,"Slovakia, Bratislavský, Bratislava, 48 Mlynske Nivy, 82105",https://www.linkedin.com/company/sky-4-u,www.sky4u.sk,Travel agency SKY 4 U was founded in 1999. Since 2008 we are the largest travel services provider for business clients in Slovakia. We constantly bring innovations for our clients. We are first to deploy the best mobile booking application with self ticketing for your Android smartphone or iPhone.,Slovakia,1.473333,,,
Verisoft Slovakia A.s.,312310.0,"Slovakia, Bratislavský, Bratislava, 48 Mlynské Nivy, 82109",https://www.linkedin.com/company/verisoft-slovakia-a.s.,www.verisoft.sk,"Card Management Systems Terminal Management Systems Mobile Payment Solutions Loyalty systems Instant EMV card issuing Data security systems Self service kiosks POS Terminal Solutions CMS - Card Management Systems development TMS - Terminal Management Systems development POS terminal software development Mobile Payment and Loyalty application development Instant EMV Card Issuing and printing Payment security systems based on Thales HSM Our last projects in Slovakia market: Card-Net, a.s. - Project managing and development of Multiaccount Card Management System and instant EMV Dual interface card issuing including Thales security. Gusto karta - Food card. Multiaccount EMV kernel Dual interface cards produced by Card-Net a.s for CES ePlatby and Gusto karta Slovakia. Československá obchodná banka - Development and project managing of ČSOB mPOS project based on FLYPOS - the smalles and lightest payment terminal on the market today. And also our new Android based payment terminal as the most flexible solution for merchants with remote management. Delivery of payment terminals for ČSOB. SW development, connection to new bank processor and solution certification. Distribution and management of payment terminal networks including our own new TMS system.",Slovakia,0.31231,,,
Chat-support.net S.r.o.,1530633.0,"Slovakia, Banskobystrický, Zvolen, 800/2 J. Holleho, 96001",https://www.linkedin.com/company/chat-support-net-s-r-o-,chat-support.net,"Close co-operation with our clients helped us to gain experience in following areas... OUTSOURCED CUSTOMER SUPPORT: - We handle 500 000+ tickets every year - We are the 1st level customer support of leaders in affiliate marketing, online marketing, live help software, ... - Our top clients: Quality Unit, llc ; AgoraPulse, ltd ; ... SOFTWARE DEVELOPMENT: - Projects we helped to create for our clients:  hanecka.com, gorkeho4.sk, okoloslovenska.com, futurefood.sk, spisak-riding.sk, ... -  Projects we created and manage: mailtender.sk, needagents.com, resuman.net, hanvshomer.com, ... IT PROJECT MANAGEMENT: In close cooperation with leaders in IT we were able to cover digital presentations of following brands: Zuno Bank AG, Pilsner Urquell (Frisco), Aupark, Sygic, HRIVIS Group, s.r.o., ... - Our top clients: SmartVikings, Verlag Dashofer, Zaraguza Digital (Placed in TOP 10 of 2012 in Facebook Studio awards) CRM / NEWSLETTERING ADMINISTRATION: - Co-operated with Sabongi AG on CRM & newslettering systems administration. We'd be happy to get in touch with you. For further info please contact hello@needagents.com",Slovakia,1.530633,,,
EDocu A.s.,3571477.0,"Slovakia, Bratislavský, Bratislava, 1/d Sliačska, 831 02",https://www.linkedin.com/company/infones-s-r-o-,www.edocu.com,"We are software company with its top product „Internet of Every Thing”. Our mission is to help people know everything about things and thus to manage them. The attention focus are objects, which are possible to register to cloud and which are linked with information via iTags (QR, NFC, BLE).   After scanning the iTag, people immediately get information to their smartphone. All data are able to picture and change according to access privileges of the user. eDocu develops cloud SaaS (Software as a Service) for easy access to information on the object, such as history, work records of people, responsibilities, tickets, planned events or documents. The system is very suitable for common users and companies without the necessity to create their own IT departments or invest to IT equipment and dispose with product specialists.",Slovakia,3.571477,,,
Micro IT - Global Trade Services,2782781.0,"Slovakia, Bratislavský, Bratislava, 12/a Haanova, 851 04",https://www.linkedin.com/company/2769608,www.microit-gts.com,"Micro IT is a IT consulting company based in Europe and USA, having GTS Consultants and GTS Developers available implementing SAP GTS and supporting customers within Europe, Asia and US. Portfolio of expertise:  Compliance Management: SPL Screening, Embargo, Legal Control Customs Management: Import/Export ATLAS, SAGITTA, AES, CHIEF, Korea, India IGST & ICEGATE Risk Management: Preference processing - EU, NAFTA, APAC Electronic Compliance: Intrastat GTS 7.2, 8.0, 10.0, 10.1, 11.0, GTS4HANA S/4 HANA Micro IT provides to its customers also SAP GTS Support service, based on ad-hoc consulting hours or IT-tickets platform.",Slovakia,2.782781,,,
