Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Air Belgium,146097325.0,"Belgium, Wallonia, Mont-saint-guibert Walloon Region, 2 Rue Emile Francqui, 1435",https://www.linkedin.com/company/air-belgium,www.airbelgium.com,"Air Belgium is a dynamic airline specializing in tailored ACMI/CMI (Wet Lease) and on-demand charter solutions for cargo clients. Committed to sustainability, the company actively participates in the EU Emissions Trading System to offset its carbon footprint, aiming for net-zero emissions by 2050. With a focus on reliability, safety, and customer satisfaction, Air Belgium serves a diverse clientele, including top freight customers, renowned forwarders, and manufacturers, ensuring high-quality service through a modern fleet and experienced aviation professionals. The airline's mission is to provide efficient and dependable services while fostering a culture of diversity and inclusivity within its team. By embracing ecological responsibility and prioritizing operational excellence, Air Belgium positions itself as a leading partner for airlines seeking additional capacity for their cargo operations.",Belgium,146.097325,,,
Brussels Airlines,52080700.0,"Belgium, Brussels Capital, Brussels",https://www.linkedin.com/company/brussels-airlines,www.brusselsairlines.com,"Brussels Airlines is a prominent airline based in Belgium, specializing in providing comfortable and affordable air travel to various destinations, particularly in the United States. The airline's mission is to ensure a pleasant flying experience for its passengers, offering a range of economy and business class fares that cater to individual needs and budgets. With a focus on customer satisfaction, Brussels Airlines provides amenities such as new Economy Class seats, a diverse menu curated by Belgian chefs, and a professional crew dedicated to making each flight enjoyable. The airline collaborates with partner airlines to expand its flight offerings, ensuring a wide selection of destinations for both leisure and business travelers. Targeting a diverse clientele, Brussels Airlines aims to connect travelers to major cities across the globe while promoting a unique piece of Belgian culture in the air.",Belgium,52.0807,,,
Jetairfly,76149414.0,"Belgium, Flanders, Zaventem",https://www.linkedin.com/company/jetairfly-be,www.jetairfly.com,"Jetairfly is now TUI fly! You can find more information on our corporate website: https://corporate.tui.be/nl or on our Linkedin website: https://www.linkedin.com/company-beta/12955310/. This page will no longer be used.  TUI Airlines Belgium is now trading as TUI fly and is the 2nd largest Belgian airline. It operates scheduled and charter passenger flights on a wide panel of short, medium and long haul destinations. TUI fly is a part of the largest leisure fleet in Europe.",Belgium,76.149414,,,
VLM Airlines,49717386.0,"Belgium, Flanders, Antwerpen",https://www.linkedin.com/company/vlm-airlines,www.flyvlm.com,"VLM is the operating name of the Belgian company SHS Antwerp Aviation N.V. is a subsidiary of the Dutch investment company SHS Aviation B.V.  The Slovenian company VLM Airlines d.d. is a subsidiary of SHS Antwerp Aviation. Both SHS Antwerp Aviation N.V. and VLM Airlines d.d. are developing airline activities under the common trading name ‘VLM’.  VLM Airlines operates scheduled flights on the routes Antwerp-London City, Antwerp-Birmingham, Antwerp-Zurich, Antwerp-Munich and Maribor-Munich. As from June 4 VLM will add Cologne, Rostock and Aberdeen to its network.  The aircraft also perform charter, ACMI and private flights from Antwerp and other European airports. VLM employs more than 100 aviation professionals. The fleet consists of 6 Fokker 50 turboprop aircraft, which are all registered in Belgium.",Belgium,49.717386,,,
GALAXIA Space Innovation,27867000.0,"Belgium, Transinne, 2 Rue Devant Les Hêtres, 6890",https://www.linkedin.com/company/galaxia-space-innovation,spacesolutions.be,"It is an incubator that offers a whole program of support to start up & project managers who are trying to develop and create their business with innovative ideas using space technologies. It is the result of a consortium bringing together Skywin, WSL, Liège Space Center and IDELUX.",Belgium,27.867,,,
Thomas Cook Airlines Belgium,16919360.0,"Belgium, Flanders, Zaventem",https://www.linkedin.com/company/thomas-cook-airlines-belgium,www.thomascookairlines.be,Thomas Cook Airlines Belgium is a Belgian airline founded in 2002.  We operates a modern fleet of 5 Airbus A-320 aircrafts. The experienced team of Belgian pilots and flight attendants guarantees high-level on board service. The fact that our customers value our service has been shown time and again through the customer satisfaction surveys which are conducted on every flight. Thomas Cook Airlines Belgium is part of the international Thomas Cook Group.  All airlines within the Thomas Cook Group comply with the strictest standards in terms of safety and guarantee reliability and professionalism.,Belgium,16.91936,,,
The Aviation Factory,15583294.0,"Belgium, Flanders, Antwerpen, 1 Luchthavenlei, 2100",https://www.linkedin.com/company/the-aviation-factory,the-aviation-factory.com,"When scheduled air service does not meet your needs, a charter flight is often the perfect solution. Whether you require a small businessjet or a wide body Jumbo 747 aircraft, we can get what you need fast! The Aviation Factory will arrange aircraft tailored to your specific needs.  You choose the destinations, the schedule; we will assist you in selecting the right aircraft type and guide you in every aspect of aircraft renting. You want to transport cargo? No problem. From 1 kg to 150 Tons, we are able to operate one hour after your confirmation. From the automotive rupture to the humanitarian operation, we have the right solution via our cargo daughter www.zeus.aero We can even help you out if you're an airline with a temporary airplane shortage! Welcome to the world of hassle free aviation!",Belgium,15.583294,,,
ACI EUROPE,14911982.0,"Belgium, Brussels Capital, Brussels, 37-40 Boulevard Du Régent, 1000",https://www.linkedin.com/company/aci-europe,www.aci-europe.org,"We represent over 600 airports in 55 countries. Our members facilitate over 95% of commercial air traffic in Europe. Air transport supports 13.5 million jobs, generating €886 billion in European economic activity (4.4% of GDP). In response to the Climate Emergency, in June 2019 our members committed to achieving Net Zero carbon emissions for operations under their control by 2050, without offsetting.",Belgium,14.911982,,,
CENOR,12586680.0,"Belgium, Nt",https://www.linkedin.com/company/cenor,cenor.co.uk,"CENOR is a cooperative project involving the armed forces of Belgium, the Czech Republic, Denmark, Germany, Norway, Poland, and the Netherlands, and is dedicated to ensuring the seamless and safe execution of military IFR operations.  At the heart of CENOR's mission lies the acknowledgment that the safety of air operations hinges on the availability of standardized, streamlined, and interoperable aeronautical information. Within the framework of CENOR, nations achieve mutual objectives and goals through the application of standards with regards to lay-out; production procedures and disseminating of aeronautical information.   The core of the CENOR initiative comprises three publications, each containing vital information, including aerodrome charts, instrument departure charts, and instrument approach charts. These publications are paramount in upholding the safety of military flight operations in central and northern Europe. The primary objective of CENOR is to standardize aeronautical publications as much as possible, in order to reduce the risk of errors and misunderstandings among pilots, air traffic controllers, and other aviation professionals. Our discussions involve collaboration and input from all member countries, as we work together to improve the effectiveness, reduce the risk of errors, and enhance the overall safety of our military flight Ops.",Belgium,12.58668,,,
Virgin Express,12500752.0,"Belgium, Flanders, Zaventem",https://www.linkedin.com/company/virgin-express-airlines,www.virgin-express.com,"Virgin Express started on 23 April 1996, when the Virgin Group (with chairman Richard Branson) bought the Belgian leisure airline EBA (EuroBelgian Airlines) and rebranded it into Virgin Express. It also took over EBA's fleet of Boeing 737s and operated this type of aircraft from thereon. The airline soon concentrated on low-budget scheduled flights out of its Brussels hub, and became a major competitor for Sabena and later SN Brussels Airlines. In October 2004, the Virgin Group sold its assets to SN Brussels Airlines, and both airlines were integrated into the parent holding company SN Airholding. On 31 March 2006, SN Brussels Airlines and Virgin Express announced their merger into a single company, named Brussels Airlines.",Belgium,12.500752,,,
ASFS BVBA,11995213.0,"Belgium, Flanders, Brucargo-machelen",https://www.linkedin.com/company/asfs-bvba,www.asfs.be,"ASFS is a specialist in International AirFreight & Airmail, with over 10 years experience in the industry. Located at Brucargo the ""Freight-Heart"" off Europe.",Belgium,11.995213,,,
