Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Finnair,3378375280.0,"Finland, Uusimaa, Vantaa",https://www.linkedin.com/company/finnair,www.finnair.com,"Founded in 1923, Finnair is one of the world’s oldest operating airlines. We are a network airline specialised in connecting Europe, North America and Asia via our transfer-friendly Helsinki hub – our purpose is to enrich life by bridging the world. Sustainability is at the core of our strategy. Our long-term target is carbon neutrality: we want to maintain the social and economic benefits enabled by air connections, while dramatically reducing the carbon footprint of air travel. For more information on Finnair, please refer to www.company.finnair.com or www.finnair.com.",Finland,3378.37528,,,
Nordic Regional Airlines Oy N°RRA,165435434.0,"Finland, Uusimaa, Vantaa",https://www.linkedin.com/company/flynorra,www.flynorra.com,"Nordic Regional Airlines, also known as NORRA, is a Finnish airline. The company’s core mission is to provide safe, high-quality regional flight operations for other airlines, agilely, ecologically and cost-effectively. NORRA is a preferred partner of Finnair and operates a significant part of Finnair’s domestic and European traffic. The company operates over 50 000 flights yearly. The company's modern and young fleet consists of 24 aircraft and the airline employs around 600 people in Finland. Norra's headquarters and operations centre are located in Helsinki-Vantaa and financial administration in Seinäjoki.  The company was originally founded in 1993 and has previously served as Finnish Commuter Airlines and Flybe Finland. For more information or to contact us, please go to www.flynorra.com.",Finland,165.435434,,,
FinnHEMS Oy,42522440.0,"Finland, Uusimaa, Vantaa",https://www.linkedin.com/company/finnhems,www.finnhems.fi,"Jokaisella suomalaisella on oikeus ensiluokkaiseen ensihoitoon. Lääkäri- ja lääkintähelikopteritoiminta on suomalaisen ensihoitopalvelun keihäänkärki ja tärkeä osa yhteiskunnan kokonaisturvallisuutta. Hätäkeskuslaitoksen välittämistä tehtävistä suurin osa, vuosittain noin 730 000 tehtävää, osoitetaan terveydenhuollon hoidettavaksi. Näistä noin 14 000 kriittisintä ohjataan FinnHEMSin yksiköille.  Lääkäri- ja lääkintähelikopterin tärkein tehtävä on tuoda tehohoitotasoinen ensihoito mahdollisimman nopeasti potilaan luo. Näin jo tapahtumapaikalla voidaan aloittaa hoito, joka muuten alkaisi vasta sairaalassa. HEMS-toiminta mahdollistaa yhden päivystyspisteen palveluiden ulottamisen laajalle alueelle, jolloin ihmiset ovat yhdenvertaisempia ensihoitopalvelun saajina. Valtakunnallinen HEMS-toiminta parantaa palvelun tasalaatuisuutta ja edistää  ensihoidon laatua valtakunnallisesti.  Brief in English Every citizen is entitled to the best possible emergency care. HEMS services are the spearhead of Finnish emergency care services and play a vital role in maintaining the safety of the society. Yearly, FinnHEMS’ units receive approximately 14 000 assignments.   The mission of HEMS-operations is to transport top-of-the-art emergency care to the patient as fast as possible. Hence, the patient receives care at the scene of emergency, which would otherwise not begin before reaching the hospital. HEMS enable one unit to serve large areas, which again improves the equality of inhabitants in receiving emergency care.  Löydät meidät myös/ Also on: Twitter: @FinnHEMS Facebook: FinnHEMS Oy Instagram: @finnhems",Finland,42.52244,,,
Oy Galvatek Ab,5199224.0,"Finland, Päijänne Tavastia, Lahti, 2 Laiturikatu, 15140",https://www.linkedin.com/company/oy-galvatek-ab,surfacetreatment.johncockerill.com,"Galvatek engineers and supplies automated surface treatment plants to the most demanding industries and environments in the world. In most cases, the solutions we provide for our customers are once in a lifetime purchases. To us this means extra effort in listening and understanding our customers in terms of their needs. It often literally requires going the extra mile to get the facts right.",Finland,5.199224,,,
MyPlane,3295865.0,"Finland, Uusimaa, Helsinki, 00180",https://www.linkedin.com/company/myplane-io,myplane.io,"myPlane is the world’s first online distribution system for commercial charter flights.  A groundbreaking AI-powered B2B technology platform for booking, selling and managing charter flights.  Source & book charter flights from 150+ leading airlines of the world.",Finland,3.295865,,,
NL Tools Finland Oy,3144255.0,Finland,https://www.linkedin.com/company/nl-tools-finland-oy,www.finatco.fi,NL tools Finland Oy has changed the name and is now known as Finatco Oy . Otherwise our operations continues as normal! Pls check our new website:finatco.fi NL tools Finland Oy on vaihtanut nimeään ja on jatkossa Finatco Oy. Y-tunnuksemme ja muut yhteystiedot pysyvät ennallaan. Lisätietoja finatco.fi sivulta ja sekä solid-lock.fi,Finland,3.144255,,,
Euroflite,1352333.0,"Finland, Uusimaa, Vantaa",https://www.linkedin.com/company/euroflite,www.euroflite.com,"There are many options available across the globe when deciding to charter an aircraft. Whether it’s for Private use, Corporate travel or for a Group. The world is full of brokerages. So how do we set ourselves apart to ensure that the customer, is always the focus. Enter Euroflite. Part of one of the oldest and biggest family owned groups in Finland (Wihuri), we have had many years of experience in putting people first. It’s why we are still here today. Around 50 years ago, the group decided to start an Aviation company, called Jetflite. Since then we have grown into a well respected Aircraft Operator (Jetflite), a trusted brokerage (Euroflite) and a go to cargo company (Jetlogistics). Together, we form an alliance that ensures our customers at Euroflite, that we can truly handle any challenge of any size.",Finland,1.352333,,,
AviaFactory,1351208.0,"Finland, Uusimaa, Vantaa",https://www.linkedin.com/company/aviafactory,www.aviafactory.com,"We offer EASA compliant crew training approved by the Finnish Transport and Communication Agency TRAFICOM. The courses a suitable for airlines, colleges, high schools and individuals desiring to work in aviation. If you need cabin crew or want to be a cabin crew member, contact us, and let's make a plan!",Finland,1.351208,,,
Go! Aviation Ltd,1258668.0,Finland,https://www.linkedin.com/company/go-aviation-ltd,www.goaviation.fi,"Go! Aviation is a new innovative aviation company based in Finland. Go! offers inexpensive business flights, tailored routes, medical flights, cargo flights and training services. Go! operates with Pilatus PC-12 NG planes, that are suitable for flights under 2500km.  Go! Aviation is a carbon neutral company! For every gram of carbon dioxide we produce, we counter it with planting enough trees!",Finland,1.258668,,,
Comtiki,1141320.0,"Finland, Uusimaa, Espoo, 4af Tekniikantie, 02150",https://www.linkedin.com/company/comtiki,flyspect.com,,Finland,1.14132,,,
