Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
AirBaltic,635892442.0,"Latvia, Marupes District, 3 Tehnikas Iela, lv-1053",https://www.linkedin.com/company/airbaltic,www.airbaltic.com,"airBaltic is a strong and internationally respected airline with the main hub in Riga and bases in Tallinn and Vilnius. We're connecting the Baltic States to 80 destinations across Europe, the Middle East, North Africa, and the Caucasus region, providing essential infrastructure and global connectivity for the region.    The airline was founded in 1995. The hybrid strategy integrates the best practices of both traditional network airlines and low-cost carriers. airBaltic stands out as one of Europe's most punctual airlines and currently operates one of the world's youngest fleet – Airbus A220-300 exclusively.   airBaltic's commitment to excellence is recognized by numerous prestigious awards, including being named the Best Airline in its region by Skytrax for three consecutive years.  In 2025, airBaltic made its debut in the global rankings compiled by Airline Ratings, which recognized it among the world’s 50 safest and overall best airlines, as well as one of the leading global airlines in sustainability and among the most preferred airlines in Europe and the UK.  The same year, APEX awarded the company the Five Star Major Airline Award for its commitment to providing a high-quality travel experience and before that – the Passenger Choice Award for Best Cabin Service in Europe.    With a workforce exceeding 2800 talented individuals representing over 30 nationalities, airBaltic is not only expanding but also fostering diversity within its ranks. airBaltic proudly holds a position among the TOP3 most desired employers in Latvia, a testament to our positive reputation within the industry.",Latvia,635.892442,,,
Union Aviation,16193534.0,"Latvia, Marupe, 4 Ziemelu, lv-1053",https://www.linkedin.com/company/union-aviation,www.unionaviation.aero,"Union Aviation is an aviation operator based in Riga (Latvia), formed by a group of European companies, specializing in management, operations and aviation charter. The company is focused on effective cooperation with brokerage companies and agents from all over the world. The extensive experience of the company's specialists determines the main business priorities of Union Aviation: favorable pricing for brokerage companies, effective communication at all stages of the charter flight management and customized quality service. The company offers aircraft of all the most demanded categories for commercial charter on exclusive terms with maximum readiness to charter on request.",Latvia,16.193534,,,
Latvian CAA,7899285.0,Latvia,https://www.linkedin.com/company/latvian-caa,www.caa.lv,,Latvia,7.899285,,,
Amber Jet Group,5664006.0,"Latvia, Riga, Riga, 1053 Ziemelu Street 4",https://www.linkedin.com/company/25069349,amberjet.net,"Amber Jet Group deeply understands its client's requirements and offers an unrivalled service they deserve. Safety, Efficiency, Privacy and Comfort. These are the steadfast principles that define us. You decide the direction and the timeframe, we deliver the aircraft and the itinerary suitable for you. Long-lasting and trust-worthy relationships – these are our principles!",Latvia,5.664006,,,
Baltic Business Aviation Center,3776004.0,"Latvia, Riga, Riga, 15 Dzirnieku Street, lv-1053",https://www.linkedin.com/company/baltic-business-aviation-center,www.bbac.aero,"Baltic Business Aviation Centre is the leader in business aircraft charters and aviation management within Eastern Europe. The company’s head office is located in Riga, Latvia (EU). With more than 20 years of successful experience, BBAC has gained the loyalty of its clients all over the world and the reputation of a reliable partner dedicated to its business. Our clients know that we can solve tasks of any complexity, providing a consistently high quality of service.  We pay careful attention to all key aspects of our client’s trip, offering optimal departure and arrival times, including arrangement of lodging for the crew and aircraft parking.  BBAC is not just a business aviation broker. It is your competent partner who values your time highly, taking care of every detail and assuming responsibility for the subtle delight and success of your flight.",Latvia,3.776004,,,
FlyMeAway - Brīvdienu Tūroperators,2517336.0,"Latvia, Riga, Riga, Mukusalas, 41b-4c",https://www.linkedin.com/company/flymeaway---brīvdienu-tūroperators,www.flymeaway.lv,Īso Brīvdienu Tūroperators  Nedēļas nogaļu ceļojumi uz neparastiem galamērķiem ar ērtiem tiešajiem reisiem - tas ir FlyMeAway.lv www.flymeaway.lv,Latvia,2.517336,,,
Airtraining group,1579857.0,Latvia,https://www.linkedin.com/company/airtraining-group,airtraining.eu,,Latvia,1.579857,,,
Baltic Bees Jet Team,1258668.0,"Latvia, Riga, Riga",https://www.linkedin.com/company/balticbees,www.balticbees.com,"BALTIC BEES JET TEAM IS A UNIQUE PROJECT WITH ITS TWO MAIN COMPONENTS - HIGH PERFORMANCE JET AIRCRAFT AND EXPERIENCED, PROFESSIONAL PILOTS. AS WE ARE EXPANDING THE HORIZON EACH DAY.",Latvia,1.258668,,,
Refundor,1258668.0,"Latvia, Riga, Riga, 1 Codes Iela, 1058",https://www.linkedin.com/company/refundor,refundor.com,"We are a travel consulting company with strong emphasis on air passengers’ rights. Our mission is to help you make travelling less stressful.  The core of Refundor team is made of passionate travellers and world explorers. Each one of us has caught up with unplanned inconveniences while travelling. We know the frustrating feeling when your flight is cancelled after a long time of planning or have been delayed for hours, affecting your connected flight. Stress, a ruined vacation and additional expenses. That's why we decided to start Refundor, a company consulting clients about travelling and adventures, starting with a focus on air-passenger rights. The founders of the company have more than 15 years experience in legal, IT and customer care industries.  We started small - helping our friends and family to claim compensations for delayed or cancelled flights, and have since grown into a well-known and respected company, helping clients from all around the world. Questions? Suggestions? Reach us at hello@refundor.com.",Latvia,1.258668,,,
Airkargo,1130405.0,Latvia,https://www.linkedin.com/company/airkargo,airkargo.lv,,Latvia,1.130405,,,
