Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Small Planet Airlines,270801910.0,"Lithuania, Vilnius, Vilnius, 15 Basanavičiaus, lt-03108",https://www.linkedin.com/company/small-planet-airlines_1003578,www.smallplanet.aero,"Small Planet Airlines was a European leisure carrier who at this time is operating in different European bases (including Lithuania, Poland, Germany, France, the Netherlands, etc.) and Asia. We are headquartered in Vilnius (Lithuania), but our approach was to have separate localized strong operations in different countries. We have air operator’s certificates (AOC) in Lithuania, Poland, Germany, and Cambodia.",Lithuania,270.80191,,,
Avion Express,128220186.0,"Lithuania, Vilnius, Vilnius, 21a Dariaus Ir Gireno St., lt-02189",https://www.linkedin.com/company/avion-express,www.avionexpress.aero,"Avion Express is the leading narrow-body ACMI and charter operator successfully working with clients in Europe as well as Africa, Asia-Pacific, South America. Avion Express was awarded ACMI Operator of the Year 2019 at Air Transport Awards by International Business News and reached the 22nd position among Lithuanian Business Leaders Top 500 in 2019 according to Verslo Žinios, the leading business newspaper in Lithuania. The company was also recognized by Verslo Žinios as one of the Top 20 Lithuanian Most Desirable Employers of 2019.",Lithuania,128.220186,,,
Skycop.com,30412247.0,"Lithuania, Vilnius, Vilnius, 10 Smolensko Str., 03201",https://www.linkedin.com/company/18042182,www.skycop.com,"Skycop is here for one main reason - to restore the justice between air passengers and airlines. By educating flyers that it is actually never ‘ok’ to cancel, delay or over-book a flight without any legitimate reason, standing up for their rights and fighting till the end for what rightfully belongs to them according to the law - this is our main priority.  Our global online platform www.skycop.com offers a hassle-free claim management for disrupted flights to passengers across the world. So if you had a problematic  flight  related with travelling to or from Europe - take couple minutes to check if you're eligible for something more than just a voucher.",Lithuania,30.412247,,,
Jump Air,18250686.0,"Lithuania, Vilnius, Svitrigailos Gatve",https://www.linkedin.com/company/jump-air,jump-airways.com,European ACMI airline with ATR 72-500 fleet.,Lithuania,18.250686,,,
AviaAM Leasing,16992018.0,"Lithuania, Vilnius, Vilnius, 21a Dariaus Ir Girėno St., lt-02189",https://www.linkedin.com/company/aviaam-leasing,www.aviaam.com,"AviaAM Leasing is a global aviation holding company engaged in commercial aircraft acquisition, leasing and sales. The company specializes in mid-life mainline narrow-body aircraft as well as high-potential regional jets. Based on our long-term expertise and business experience in Europe, the CIS and other regions, we have developed the following features, which distinguish our services offered and guarantee a prominent position in this highly competitive marketplace.",Lithuania,16.992018,,,
Air Lituanica,6922674.0,"Lithuania, Vilnius, Vilnius",https://www.linkedin.com/company/air-lituanica,www.airlituanica.com,"Air Lituanica is a new Lithuanian airline. The company plans to begin convenient direct flights from Vilnius, the capital of Lithuania, and to improve air travel links with Lithuania. In preparation for the start of flights, Air Lituanica is presenting to the public its company brand, which is inspired by Lithuanian history and aviation tradition. The new company’s name commemorates the non-stop flight of Lithuanian pioneer pilots Steponas Darius and Stasys Girėnas across the Atlantic Ocean in a small aircraft named Lituanica in 1933. The company’s logo features an old-style Lithuanian cross with two transepts, a symbol which was often used in Lithuanian aviation in the inter-war period. In the Air Lituanica logo this cross is modernised and it becomes stylised aircraft propeller blades. Air Lituanica company symbols also make use of the ducal seal of Vytautas Magnus, Grand Duke of Lithuania, to symbolise the Lithuanian origin of the airline. The company symbol is presented on a rich red background. Historically, red was the most important colour for symbols of nationhood of the Grand Duchy of Lithuania, representing energy and vitality. Air Lituanica, our new airline, will base its services on the fundamental values of flight safety, reliability and convenience.",Lithuania,6.922674,,,
Charter Jets UAB,5529499.0,"Lithuania, Vilnius, Vilnius",https://www.linkedin.com/company/charter-jets-uab,,"Charter Jets, UAB is an airlines/aviation company based out of 4 A. Tumėno g., Vilnius, Vilnius County, Lithuania.",Lithuania,5.529499,,,
AB DFDS Lisco,5034672.0,"Lithuania, Klaipėda County, Klaipėda",https://www.linkedin.com/company/ab-dfds-lisco,www.lisco.lt,,Lithuania,5.034672,,,
LAVIA | Nacionalinė Aviacijos Asociacija,4172248.0,"Lithuania, Vilnius, Vilnius, 21a Dariaus And Gireno Street, 02890",https://www.linkedin.com/company/lietuvosaviacijosasociacija,www.lavia.lt,"2010 metais įkurta Nacionalinė aviacijos asociacija LAVIA dalyvauja kuriant ir vystant Lietuvos aviacijos strategiją nacionaliniu mastu. Asociacija atstovauja visas jai priklausančias aviacijos verslo (komercinio pervežimo oru, infrastruktūros, gamybos ir paslaugų teikimo) bendroves, registruotas Lietuvos Respublikoje. Stiprindama savo narių integraciją šalies susisiekimo, transporto ir visos šalies ekonomikos srityje, LAVIA padeda nariams savarankiškai plėtoti teikiamas paslaugas ir kitas veiklas bei užtikrina nuolatinį sektoriaus augimą bei tobulėjimą.",Lithuania,4.172248,,,
RUDENTA,3146670.0,Lithuania,https://www.linkedin.com/company/rudenta,rudenta.lt,,Lithuania,3.14667,,,
Aviation Voice,2517336.0,"Lithuania, Vilnius, Vilnius, 21 Streer, lt-02189",https://www.linkedin.com/company/aviation-voice,aviationvoice.com,"Aviation Voice echoes with up-to-date news gathered from the whole world of aviation. No matter if you are a professional or an enthusiast, the news delivered are oriented towards everyone. Consequently, steadily growing audience proves that our team is on a right track.",Lithuania,2.517336,,,
Cirrus Aero,1709663.0,"Lithuania, Vilnius, Vilnius, 21b Konstitucijos Pr., 08130",https://www.linkedin.com/company/cirrus-aero,www.cirrusaero.lt,Aviation,Lithuania,1.709663,,,
LaikasKi.lt,1258668.0,"Lithuania, Vilnius, A. Stulginskio Gatvė",https://www.linkedin.com/company/laikaski-lt,www.laikaski.lt,"LaikasKi.lt is a small aviation project aiming to inform and inspire people to try out flying.  Contact us: Algirdas Šimoliūnas, algirdas@laikaski.lt Ieva Šimoliūnienė, ieva@laikaski.lt",Lithuania,1.258668,,,
