Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
KLM Cityhopper,891766229.0,"Netherlands, North Holland, Amstelveen",https://www.linkedin.com/company/klmcityhopper,www.klm.com,"KLM Cityhopper is a regional airline and a subsidiary of KLM Royal Dutch Airlines, specializing in short-haul flights across Europe. The company aims to enhance the travel experience by providing efficient and reliable air services, focusing on operational excellence and innovation in technology. KLM Cityhopper serves a diverse clientele, including business travelers and leisure passengers, and partners with various organizations to expand its network and improve service offerings. With a commitment to becoming the most data and technology-driven airline, KLM Cityhopper is dedicated to modernizing its operations and enhancing customer satisfaction through data-driven insights and agile methodologies. The airline's mission is to lead in quality and digital leadership within the aviation industry, ensuring a seamless travel experience for its customers.",Netherlands,891.766229,,,
KLM Royal Dutch Airlines,24765538317.0,"Netherlands, North Holland, Amstelveen",https://www.linkedin.com/company/klm,klmf.ly,"Welcome to our LinkedIn page! KLM was founded in 1919 and is the oldest airline in the world. With a vast network of European and intercontinental destinations, KLM can offer direct flights to major cities and economic centres all over the world.  Through our LinkedIn account, we make sure you are kept up-to-date about KLM and other developments in the air transport industry.  For all COVID information, please see https://klmf.ly/COVID19. See all our community standards here: https://social.klm.com/standards",Netherlands,24765.538317,,,
Transavia,1646869641.0,"Netherlands, North Holland, Schiphol, 15 Piet Guilonardweg, 1117ee",https://www.linkedin.com/company/transavia,www.transavia.com,"Transavia is a low-cost airline founded in 1965, with a commitment to providing affordable and accessible air travel to over 110 destinations across Europe and North Africa. Operating from bases in the Netherlands and France, Transavia aims to make flying enjoyable and budget-friendly for both leisure and business travelers. The airline's mission is to ensure that every passenger can find a flight that fits their budget, while its vision focuses on enhancing the travel experience through reliable service and digital accessibility. Transavia caters to a diverse clientele, including families, solo travelers, and business professionals, and partners with various travel service providers to offer comprehensive travel solutions, including hotel bookings and car rentals. With a strong emphasis on customer satisfaction, Transavia continues to innovate and adapt to the evolving needs of its passengers.",Netherlands,1646.869641,,,
Corendon Dutch Airlines,46656021.0,"Netherlands, Badhoevedorp",https://www.linkedin.com/company/corendon-dutch-airlines-b-v-,www.corendonairlines.nl,"Corendon Dutch Airlines is a prominent airline based in the Netherlands, specializing in providing affordable and enjoyable travel experiences to various destinations, primarily in Europe and beyond. As part of the Corendon Group, the airline aims to make vacations worry-free for its customers, offering a range of services that include flexible baggage options and innovative solutions like mobile internet access through partnerships with tech startups. The company's mission revolves around enhancing the travel experience by ensuring connectivity and comfort for its passengers, while its vision emphasizes sustainability and responsible tourism. Corendon Dutch Airlines caters to a diverse clientele, including leisure travelers and families, and collaborates with various partners in the travel industry to expand its offerings and improve service quality. With a commitment to transparency and sustainability, the airline actively engages in initiatives that benefit local communities and the environment, reflecting its dedication to responsible travel practices.",Netherlands,46.656021,,,
Garuda Indonesia Netherlands,188744814.0,"Netherlands, North Holland, Amsterdam",https://www.linkedin.com/company/garuda-indonesia-nl,www.garuda-indonesia.com,"Garuda Indonesia Netherlands is a key player in the aviation industry, dedicated to connecting Indonesia with global destinations while embodying the essence of Indonesian hospitality. The company's vision is to become a sustainable aviation group, focusing on strong revenue growth, cost leadership, and organizational effectiveness, all while maintaining high safety standards and customer-oriented services. Garuda Indonesia serves a diverse clientele, including corporate partners who benefit from exclusive offers such as ticket discounts, flexible ticket changes, and dedicated check-in services. The company emphasizes collaboration with its partners to enhance travel efficiency and safety for business travelers. With a commitment to delivering exceptional service through professional and passionate employees, Garuda Indonesia Netherlands aims to strengthen its position in the market while fostering a culture of excellence and sustainability.",Netherlands,188.744814,,,
Fokker Elmo B.V.,157994254.0,"Netherlands, South Holland, Papendrecht",https://www.linkedin.com/company/fokker-elmo-b.v.,www.fokkerelmo.nl,"Fokker Elmo B.V. is an airlines/aviation company based out of Aviolandalaan 33, HOOGERHEIDE, Netherlands.",Netherlands,157.994254,,,
FlyUs Aviation Group,70310289.0,"Netherlands, Schiphol, 401 Pelikaanweg, 1118dz",https://www.linkedin.com/company/flyus,www.flyus.aero,"FlyUs Aviation Group is an independent, privately-owned GSSA. Our focus is our customers, staff, airlines and partners, for whom we constantly strive for industry innovation and advancement. Our people are our strongest assets and we promote and enjoy a family culture around the globe.   Established partnerships with more than 34 airlines across 30 locations allow us to pioneer collaborative projects and investment into digital solutions, a partnership approach for airline clients, analytics, information flow and the customer experience.",Netherlands,70.310289,,,
Sfpc Bv,46656000.0,"Netherlands, Utrecht, Utrecht, 121 Van Deventerlaan",https://www.linkedin.com/company/sfpc-bv,www.sfpc.nl,,Netherlands,46.656,,,
Avy,32096034.0,"Netherlands, North Holland, Amsterdam, 21 Donauweg, 1043",https://www.linkedin.com/company/avy,www.avy.eu,"Avy develops innovative self-flying aircraft for humanitarian, life-saving and professional applications.",Netherlands,32.096034,,,
AELS,31466700.0,"Netherlands, Overijssel, Enschede, 100b Vliegveldstraat, 7524",https://www.linkedin.com/company/aels---aircraft-end-of-life-solutions,aels.nl,"AELS is a team of passionate aircraft specialists and engineers. Supplying the aviation industry with the best aircraft parts and services is our goal. Looking for aircraft parts? We offer over 20,000 stock parts from A320, A330, A340, 737 and 747 aircraft from our own disassemblies. Both AR and SV/OH. Full trace, complete paperwork, same day delivery. We list it, we stock it. Looking to sell your aircraft? We offer operators and lessors an avenue to  optimize the value of their aircraft.",Netherlands,31.4667,,,
