Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
TAP Air Portugal,10763247202.0,"Portugal, Lisbon, Lisbon, 25 Rua C Edf.",https://www.linkedin.com/company/tap-air-portugal,www.flytap.com,"TAP is a Portuguese airline market leader, founded in 1945. The airline is a member of the Star Alliance, the largest global alliance of airlines in the world. With its Hub in Lisbon - a privileged access platform to Europe – at the crossroad with other Continents, the Company currently flies to Africa, North and South America; a region in which TAP stands out as being the leading operational European transportation company to Brazil. Continuing a strategic direction whose priority is Client expectation satisfaction, TAP continuously seeks to provide its clients with the best and easiest solutions for their trips, continuously adding additional value to the product they offer. With this objective, the Company also establishes the best of partnerships, on land and in the air; offering, thus, an increased number of destinations served in code-share with similar companies, in addition to a diversified group of advantages and associated fringe benefits. TAP intends to turn itself into, ever more, a reference airline on the international scene, taking advantage of business opportunities of markets in which it competes and differentiating itself with its operational efficiency and quality of service. The Company aims to build, at every moment the best choice for its client’s trips, as well as to assure its Shareholders with the most adequate levels of profitability and its employees with the best conditions of professional development.",Portugal,10763.247202,,,
France Air Portugal,24286719.0,"Portugal, Lisbon, Lisbon",https://www.linkedin.com/showcase/france-air-portugal,www.france-air.pt,"France Air Portugal is a leading provider of HVAC (Heating, Ventilation, and Air Conditioning) solutions, dedicated to delivering excellence in service and technical expertise to its clients. The company’s mission is to ensure total customer satisfaction by investing in specialized technical knowledge and providing tailored solutions for each project. With a strong focus on innovation and ecological sustainability, France Air Portugal serves a diverse clientele, including residential customers seeking energy-efficient solutions and industrial sectors requiring robust and efficient equipment. The company has established itself as a trusted partner in the industry, recognized for its commitment to quality and continuous improvement, as evidenced by its certification as a Great Place to Work for three consecutive years. Through its comprehensive online platform, the company offers easy access to technical documentation and resources, reinforcing its vision of proximity and support for its clients and partners.",Portugal,24.286719,,,
Societe Air France,10698678.0,"Portugal, Lisbon, Lisbon, Nº 6 Rua Ivone Silva, 1050-124",https://www.linkedin.com/company/societe-air-france,afkl.com.br,"Societe Air France is an airlines/aviation company based out of Portugal, Portugal, Portugal.",Portugal,10.698678,,,
Portugalia Airlines,838239430.0,"Portugal, Lisbon, Lisbon",https://www.linkedin.com/company/portugalia-airlines,www.portugalia-airlines.pt,"Even though it was created in 1988, the Company only began operating in 1990. The first official flight departs from Lisbon heading to Porto on July 7th of that same year, operated by a Fokker 100. With its internationalization in June 1992, and the acquisition of new aircraft, Portugália Airlines asserted itself on the European market as a private and innovative airline, guided by high level service standards and recognized internationally (Best Regional Airline in Europe, 2001-2006, and the Skytrax Award for Best Cabin Staff in Europe, in 2005). In 2007, it integrates the TAP Group and takes on a new business model, working under a Group logic now. In 2016, the Company renewed its fleet, and is now operating with a fleet of 9 Embraer 190 and 4 Embraer 195, with a new image, an increase in passenger capacity and greater flexibility while maintaining the same consistency and service quality. The Company's aircraft now fly under the TAP express brand, supporting TAP's commitment to the regional market.",Portugal,838.23943,,,
OPTIMAL GROUP,43065512.0,"Portugal, Lisbon, Cascais, 50 Rua Do Moinho Vermelho, 2645-449",https://www.linkedin.com/company/optimal-structural-solutions,www.optimal.pt,"OPTIMAL GROUP   - OPTIMAL STRUCTURAL SOLUTIONS: Solutions for engineering and prototyping of lightweight products; - OPTIMAL HIGH VOLUME: Composite high-volume series; - OPTIMAL COMPOSITES: Composite prototypes and low-volume series; - OPTIMAL TOOLING & SERVICES: Production of tooling and jigs and provision of machining services; - OPTIMAL MARINE: Composite solutions for civilian maritime applications; - OPTIMAL PROTECTION: Composite solutions for defence applications, comprising air, land and sea; - OPTIMAL SPACE: Composite and metallic components for space launchers and satellites; - OPTIMAL VENTURES:     ASC - Space access services for launcher OEMs;     SHAPE - Tooling and machining services for the UK market. Present in the complete value chain of composite structure production, from Engineering to Quality Control. Engineering:  - Automation; - Materials; - CFD; - FEA; - Design. Tooling:  - Primary tools;  - Assembly tools; - Automated lines; - Special equipments. Composites: - Prototyping / Serial; - Autoclave; - Infusion & Wet; - Hot Press; - RTM; - CNC trimming. Quality: - Testing; - NDT Inspection; - CMM Inspection. Our Group DNA is lightweight and is made of composites! Contact us Portugal Phone: +351 210 997 788 (Call to national fixed network)  Website: www.optimal.pt General enquiries: info@optimal.pt Commercial team: guilherme.bastos@optimal.pt Follow us Linkedin: optimalgroup-pt Instagram: optimalgroup.pt Facebook: optimalgroup.pt",Portugal,43.065512,,,
WHITE AIRWAYS S.A.,21314311.0,"Portugal, Lisbon, Porto Salvo",https://www.linkedin.com/company/white-airways-s.a.,,"A WHITE AIRWAYS, S.A. é uma empresa portuguesa licenciada e certificada segundo as normas nacionais e europeias para o transporte aéreo não regular de passageiros e carga (regularmente designado de charter).",Portugal,21.314311,,,
Aeroporto Do Porto,12304432.0,"Portugal, Porto, Maia",https://www.linkedin.com/company/aeroporto-do-porto,aeroportoporto.pt,,Portugal,12.304432,,,
CLA Catering,10910514.0,"Portugal, Porto, Maia",https://www.linkedin.com/company/cla-catering,www.clacatering.pt,"Estamos no mercado do catering há mais de 40 anos, perseguindo a paixão pela comida e o saber-fazer.  Possuímos know-how e capacidade produtiva que nos permite responder com a máxima flexibilidade às necessidades de cada cliente e de cada segmento, sempre cumprindo prazos e todos os requisitos pedidos.  Somos especialistas em fornecer refeições individuais já embaladas, que respondem às especificações dos nossos clientes, quer em termos de qualidade, valor nutricional, Higiene e Segurança, logística, etc.  Gostamos de desafios. Ponha-nos à prova!",Portugal,10.910514,,,
Agência Espacial Portuguesa,10766378.0,"Portugal, Azores, Vila, Bairro De Bela Vista Nº.1, 9580-406",https://www.linkedin.com/company/portugal-space,ptspace.pt,"A Agência Espacial Portuguesa é uma organização criada pelo Governo português para implementar a Estratégia Nacional para o Espaço, Portugal Espaço 2030. O seu principal objetivo promover e fortalecer o ecossistema e a cadeia de valor do setor espacial em Portugal, para benefício da sociedade e da economia nacional e internacional.",Portugal,10.766378,,,
Valair Private Jets,7071160.0,"Portugal, Tires S. Domingos De Rana, Nº 118 Rua Bartolomeu De Gusmão, 2785-269",https://www.linkedin.com/company/2426250,www.valairprivatejets.com,"Valair is an aviation company focused on transporting executives and managing aircrafts. We consider executive aviation to be more than just flying... It is redimensioning your time, leaving behind the concerns and complications of a commercial flight and guaranteeing you real Quality Time. No headaches or delays... directly from home or the office. We take care of all the details. We take care of the details... because they make all the difference.  24 hours a day, 365 days a year. We plan ahead, tailoring your journey according to your needs, for every hour and every minute of your trip. No flight cancellations, bad connections, lost luggage or endless hours of waiting. The advantage of our executive flight service is that you won't waste time at airports and you'll even benefit from the total flexibility that these flights have to offer. You'll just have to decide on the place, destination and departure time.  Valair will take care of managing your flight...",Portugal,7.07116,,,
