Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Iberia,9755192002.0,"Spain, Madrid, Madrid",https://www.linkedin.com/company/iberia,www.iberia.com,"Iberia is Spain's leading airline, renowned for its extensive domestic and international flight services. The company is committed to enhancing air travel through innovative solutions, including the integration of cloud technology and artificial intelligence to improve customer experience. With a mission to achieve annual profitability between 13.5% and 15% by 2030, Iberia is investing €6 billion in its strategic flight plan, which aims to adapt to evolving market demands and customer needs. The airline serves a diverse clientele, including business travelers and leisure passengers, and has established partnerships with various organizations, such as the National Transplant Organization, to facilitate critical services like organ transport. Iberia's target market encompasses both individual travelers and corporate clients, with tailored offerings like the Iberia Club loyalty program and specialized air shuttle services between major cities.",Spain,9755.192002,,,
Iberia Express,1075099746.0,"Spain, Madrid, Madrid",https://www.linkedin.com/company/iberia-express,www.iberiaexpress.com,"Iberia Express is a low-cost airline that operates as a subsidiary of Iberia, focusing on providing affordable air travel options primarily within Europe and to select destinations in North Africa. The company aims to deliver a seamless travel experience, emphasizing punctuality and customer satisfaction, as evidenced by its recognition as the most punctual low-cost airline for five consecutive years. Iberia Express caters to a diverse clientele, including leisure travelers and business professionals, and partners with various travel platforms to enhance its service offerings. The airline's mission is to make air travel accessible and enjoyable, while its vision includes leveraging digital transformation to improve customer engagement and streamline operations. With features like the Club Express Onboard, Iberia Express enhances the in-flight experience by providing entertainment options and exclusive discounts for its members.",Spain,1075.099746,,,
TUI Spain,22125254.0,"Spain, Madrid, Madrid",https://www.linkedin.com/company/tui-spain,www.tui.com,"TUI Spain is a leading travel and tourism company that specializes in providing a comprehensive array of holiday packages, including flights, accommodations, and tours to various destinations worldwide. The company is dedicated to creating memorable travel experiences for its clients, with a mission to deliver exceptional customer service and innovative travel solutions. TUI Spain offers a wide range of services designed to cater to the diverse needs of its clientele, which includes families, couples, and solo travelers.  By collaborating with numerous partners in the hospitality and transportation sectors, TUI Spain enhances its offerings, ensuring that clients enjoy seamless and enjoyable vacations. The company places a strong emphasis on customer satisfaction and sustainable tourism, striving to be a trusted choice for travelers seeking both adventure and relaxation in popular destinations. TUI Spain's target market primarily consists of Spanish-speaking travelers who are looking for leisure and adventure in their holiday plans.  With a commitment to creating unforgettable memories, TUI Spain continues to innovate and adapt its services to meet the evolving needs of its clients, making it a prominent player in the travel industry. The company’s vision is to be recognized as a leader in providing personalized travel experiences that resonate with the desires and expectations of modern travelers.",Spain,22.125254,,,
Volotea,833845250.0,"Spain, Catalonia, Barcelona",https://www.linkedin.com/company/volotea,www.volotea.com,"Volotea is a low-cost airline that specializes in connecting medium-sized European cities, offering affordable flights to a variety of destinations. The company aims to provide travelers with the best price guarantee while ensuring a convenient and enjoyable flying experience. Volotea's mission is to make air travel accessible to a broader audience, focusing on customer satisfaction through flexible booking options and a range of services, including their Combo packages that bundle various travel amenities at reduced rates. The airline primarily serves leisure travelers looking for budget-friendly options to explore popular European destinations, and it partners with local tourism boards to promote regional travel. With a commitment to operational efficiency and customer service, Volotea continues to expand its network, catering to a diverse clientele eager to discover new places.",Spain,833.84525,,,
Vueling Airlines,6086080000.0,"Spain, Catalonia, Viladecans, 83 Carrer De Catalunya, 08840",https://www.linkedin.com/company/vueling-airlines,www.vueling.com,"Vueling, part of IAG and celebrating its 20th anniversary in 2024, is one of the main low-cost airlines in Europe and a key carrier in Spain.  It is the leading airline operating from its main base at Barcelona-El Prat, as well as in other important markets in Spain, such as Bilbao. It is also the leading airline between mainland Spain and the Balearic and Canary Islands. Internationally, it is working to strengthen its presence in major hubs such as London-Gatwick, Paris-Orly, Amsterdam, Florence and Rome.  With more than 4,600 employees, Vueling is the first airline in Europe to be certified as a Top Employer.  Mission: We love connecting people and places, creating value for our shareholders, employees, customers, and society while building a sustainable future. Vision: Together we will be the leading LCC in all the markets we choose to serve by unlocking our full potential through Vueling Transform.",Spain,6086.08,,,
Air Europa Express,130901472.0,"Spain, Balearic Islands, Llucmajor",https://www.linkedin.com/company/air-europa-express,www.aeronova.eu,Compañía fundada en Valencia en el año 1996 bajo el nombre de Aeronova SLU. En 2015 se incorpora al grupo empresarial Globalia operando rutas de corto y medio radio bajo la denominación comercial de Air Europa Express.,Spain,130.901472,,,
KLN Iberia,28769512.0,"Spain, Madrid, Madrid",https://www.linkedin.com/company/klniberia,www.kln.com,"We offer a broad range of supply chain solutions from integrated logistics, international freight forwarding (air, ocean, road, rail), industrial projects and customs solutions for all types of sectors and industries.  Coverage throughout the Iberian Peninsula, with 6 offices in Madrid, Barcelona, Valencia, Alicante, Oporto and Lisboa, and an extensive global network.",Spain,28.769512,,,
BINTER CANARIAS,1691859400.0,"Spain, Canary Islands, Las Palmas De Gran Canaria",https://www.linkedin.com/company/binter-canarias,www.bintercanarias.com,"Binter Canarias is a regional airline that commenced operations on March 26, 1989, focusing on providing air connectivity between the islands of the Canary archipelago. With a commitment to sustainability and customer satisfaction, Binter aims to connect emotions and enhance travel experiences for its passengers. The airline has established itself as a vital link for both residents and visitors, offering direct flights to various destinations, including a notable route between Santander and the Canary Islands, which has seen significant growth in passenger numbers. Binter's mission revolves around delivering exceptional service while fostering a sustainable future, making it a preferred choice for travelers in the region. The company collaborates with various partners to ensure seamless travel experiences and caters to a diverse clientele, including tourists and local residents seeking reliable air travel options.",Spain,1691.8594,,,
World2Fly,386051554.0,"Spain, Madrid, Madrid",https://www.linkedin.com/company/world2fly,www.w2fly.es,"World2Fly is a dynamic airline specializing in providing affordable flights to popular Caribbean destinations, including Punta Cana and Havana. With a mission to enhance the travel experience, the company focuses on comfort, entertainment, and customer service, ensuring that every journey is enjoyable and memorable. World2Fly aims to connect travelers with the rich cultural and natural beauty of the Caribbean, offering a range of onboard entertainment options and personalized services. The airline caters to a diverse clientele, including solo travelers, families, and those celebrating special occasions, such as birthdays in-flight. Partnering with various travel agencies, World2Fly is committed to making travel accessible and sustainable, while promoting the unique experiences that the Caribbean has to offer.",Spain,386.051554,,,
Wamos Air,234647691.0,"Spain, Madrid, Madrid",https://www.linkedin.com/company/wamos-air,www.wamosair.com,"Wamos Air, S.A. is a dedicated airline company based in Spain, specializing in charter flights for a variety of operators, including airlines, travel agencies, and businesses. Operating under the brand name Wamos Air, the company is committed to providing reliable air transport services while adhering to international regulations, such as the Montreal Convention. Wamos Air's mission is to ensure safe and efficient travel for its passengers, and its vision emphasizes a commitment to quality service and operational excellence. The airline primarily serves clients who book flights through partner airlines and travel agencies, catering to a diverse market that includes both leisure travelers and corporate clients. By maintaining strong partnerships with various operators, Wamos Air aims to enhance its service offerings and expand its reach within the aviation industry. The company provides air transportation services for both passengers and cargo, ensuring high-quality travel experiences while prioritizing safety and compliance with aviation regulations. Wamos Air is dedicated to meeting the diverse travel needs of its clientele, which includes tour operators, travel agencies, and corporate clients. The airline's focus on operational excellence and customer care positions it as a leading choice for chartered air travel in Europe and beyond. Through its commitment to seamless service delivery and customer satisfaction, Wamos Air continues to strengthen its presence in the competitive aviation market.",Spain,234.647691,,,
Plus Ultra Líneas Aéreas,205042556.0,"Spain, Madrid, Madrid",https://www.linkedin.com/company/plus-ultra-l-neas-a-reas,www.plusultra.com,"Plus Ultra Líneas Aéreas is an airline dedicated to providing quality air travel services, connecting various destinations with a focus on customer satisfaction. The company aims to foster strong connections among travelers, offering a range of services including flight bookings, hotel reservations, car rentals, and excursions. Plus Ultra's mission is to enhance the travel experience by ensuring convenience and reliability for its clients. The airline caters to a diverse clientele, including leisure travelers and business professionals, and partners with various service providers to offer comprehensive travel solutions. With a commitment to excellence, Plus Ultra Líneas Aéreas strives to be a preferred choice for those seeking seamless travel experiences.",Spain,205.042556,,,
LEVEL Airlines,192256750.0,"Spain, Catalonia, Barcelona",https://www.linkedin.com/company/flywithlevel,flylvl.co,"LEVEL is International Airlines Group's low cost airline brand that took to the skies in June 2017. Operating A330 aircraft between Barcelona and New York, Boston, Los Angeles, San Francisco, Santiago de Chile, Buenos Aires and Miami.  LEVEL brings a stylish and modern approach to flying at prices that are even more affordable. LEVEL is IAG's sixth main airline brand alongside Aer Lingus, British Airways, Iberia, Iberia Express, and Vueling.",Spain,192.25675,,,
Spanair,184394862.0,"Spain, Catalonia, L'hospitalet De Llobregat",https://www.linkedin.com/company/spanair,,"Spanair S.A. operates as an airline company in Spain. It offers daily flights to various destinations. The company operates a fleet of aircrafts. Spanair was founded in 1986 and is based in Palma De Mallorca. The company’s priorities are to offer the best levels of safety, punctuality, comfort and excellence in service. With 327 daily flights (42 charter and 285 scheduled), a fleet comprising 58 aircraft and 3,524 employees, Spanair is a dynamic company that relies on experience and constant growth.",Spain,184.394862,,,
HLA | Hispano-Lusitana De Aviación,96897402.0,"Spain, Madrid, Madrid",https://www.linkedin.com/company/hla-hispano-lusitana-de-aviación,www.h-la.es,,Spain,96.897402,,,
ESSP SAS,65547093.0,"Spain, Torrejón De, 28850",https://www.linkedin.com/company/essp-sas,www.essp-sas.eu,"ESSP SAS, established in 2009, is a dynamic pan-European service provider specializing in safety-critical services certified by the European Union Aviation Safety Agency (EASA). The company’s mission focuses on operating and delivering Communication, Navigation, and Surveillance (CNS) services, with a primary emphasis on the European Geostationary Navigation Overlay Service (EGNOS) on behalf of the European Agency for Space (EUSPA). ESSP serves a diverse clientele within the aviation and space sectors, collaborating with various partners to enhance air traffic management and navigation systems across Europe. The company is dedicated to fostering cultural diversity, gender equality, and the inclusion of disabled workers, reflecting its commitment to social responsibility and community engagement. With a strong emphasis on innovation and system engineering, ESSP is poised to contribute significantly to the advancement of space-based services in the aviation industry.",Spain,65.547093,,,
SERPISTA SA,52864056.0,"Spain, Madrid, Madrid",https://www.linkedin.com/company/serpista-sa,serpista.com,"SERPISTA SA is an airlines/aviation company based out of CALLE CARDENAL MARCELO SPÍNOLA, 10, MADRID, Madrid, Spain.",Spain,52.864056,,,
Aeria Aviación Y Turismo,33837000.0,"Spain, Balearic Islands, Marratxí, 11 Cami De Cas Capellers, 07141",https://www.linkedin.com/company/aeria-aviacion-y-turismo-slu,www.aeriabae.es,"Air charter management for tour operation, groups, events, ACMI. Aeronautical and tourist consultancy. Service provider associated with commercial aviation and tourism companies.",Spain,33.837,,,
GENAIR SPAIN,32299134.0,"Spain, Madrid, Madrid",https://www.linkedin.com/company/genair-spain,ecsgroup.aero,"ECS Group es el líder mundial en el negocio de GSSA y presta servicios a aerolíneas. Representando a cientos de empresas en más de 48 países a través de sus 171 oficinas, el grupo ECS sabe que puede contar con sus 1114 empleados en todo el mundo para ofrecer un servicio de alta calidad adaptado a cada uno de sus socios. Gracias a esta red cada vez mayor, el Grupo ECS ha transportado este año más de 1.400.000 toneladas en nombre de las aerolíneas que representa y de esta manera contribuye a su crecimiento y desarrollo en el escenario internacional, en el sector de carga aérea. ECS Group ha recibido muchos premios de sus pares y es el socio favorito y el favorito de GSSA en la industria de carga. Para obtener más detalles, visite el sitio web del Grupo ECS: www.ecsgroup.aero",Spain,32.299134,,,
STAR UC3M,31978688.0,"Spain, Madrid, Madrid, 30 Avenida De La Universidad, 28911",https://www.linkedin.com/company/star-uc3m,www.staruc3m.com,"STAR UC3M is one of the only student rocketry teams in Spain. Founded in 2018, we are working hard towards becoming a major player in the European rocketry scene. Pushing the limits on what is possible at this scale is our specialty.",Spain,31.978688,,,
Faasa Aviación S.A.,30208032.0,"Spain, Andalusia, Palma Del Río, Km 4,5 Ctra. Fuente Palmera, 14700",https://www.linkedin.com/company/faasa-aviación-s.a.,faasa.org,"Faasa Aviación, S.A. is an airlines/aviation company based out of AERÓDROMO SEBASTIÁN ALMAGRO, CTRA. FUENTE PALMERA KM 4,5, APTDO. DE CORREOS, 45, PALMA DEL RÍO, Spain.",Spain,30.208032,,,
EGILE,28364642.0,"Spain, Gipuzkoa, Mendaro, 20850",https://www.linkedin.com/company/egile,www.egile.es,"“Egile” in Basque means “a doer or a creator”. And that is the Mission of the Egile Group, namely, to enable and create business opportunities in the field of high precision mechanics, our technological and business specialisation. Egile therefore acts as a platform for intrapreneurship activities and the generation of new companies. We are a Technology-Based Enterprise Corporation that develops Products, Services and High Value Solutions for its Customers based on High Precision Mechanics as our core competence. We have established our operations through different companies with one common denominator-they are leaders in their field, standing out for strategic orientation, management and the promotion of Opportunities, continuously evolving with a focus on improvement and a search for Products and services based on Knowledge. Our extensive team that is the foundation of our Corporation is dedicated to achieving this, as well as capturing, generating and promoting this type of knowledge. EGILE Innovative Solutions’ R & D unit supports the different companies from the Corporation in the development of new products or processes and develops tailor-made solutions for our customers.",Spain,28.364642,,,
Immfly,26083844.0,"Spain, Catalonia, Barcelona",https://www.linkedin.com/company/immfly,immfly.com,"Immfly is a global leader in digital onboard solutions, dedicated to transforming the passenger experience through seamless connectivity, retail, and entertainment. Founded in 2013 and headquartered in Barcelona, Spain, we partner with over 50 airlines across Europe, Latin America, North America, and Asia Pacific—ensuring travelers remain connected and engaged throughout their journey. With technology deployed on more than 2,500 aircraft and reaching over 400 million passengers annually, our flexible, modular solutions are designed to meet the unique needs of full-service, low-cost, and regional carriers, empowering airlines to deliver superior digital services from takeoff to landing.",Spain,26.083844,,,
AeroAvance S.L.,25866667.0,"Spain, Andalusia, Puerto Real, Nº 26 C/ Francia, 11510",https://www.linkedin.com/company/aeroavance-sl,www.aeroavance.com,"AeroAvance S.L., es una empresa cuyas operaciones relacionadas con el sector Aeronáutico-Aeroespacial, se basa en el corte, mecanizado, conformado y diversas operaciones auxiliares de piezas avionables y utillaje aeronáutico. Para ello dispone de diferentes tecnologías como recanteadoras, fresadoras, centros de mecanizado, corte por chorro por agua, plegadoras, prensa de elastoconformado y diversas máquinas auxiliares con las que realizar los diferentes procesos de fabricación. Nuestro know-how se enfoca en la chapistería aeronáutica siendo este nuestro CORE, teniendo la capacidad de gestionar integralmente la fabricación de elementales aeronáuticas.",Spain,25.866667,,,
GroupEAD Europe S.L.,25555019.0,"Spain, Madrid, San Fernando De Henares, 2 Avenida De Castilla, 28830",https://www.linkedin.com/company/groupead-europe-s-l-,www.groupead.com,"GroupEAD Europe S.L. - we are an Aeronautical Information Service Provider What is our mission? Our mission is to serve our customers by maintaining aeronautical data in a correct, accurate, timely and verified way and assuring that derived products or services are consistent. Our know-how and our procedures allow us to comply with this daily challenge in a highly efficient way. We are working 24 hrs and 365 days for solutions to the problems of our clients.  What is our focus? The world is a global village. Neither our customers nor we ourselves know borders. We are processing worldwide aeronautical information. We have staff members from 14 different countries with the background of 16 different Service Providers.  What GroupEAD can do for you? We offer a wide range of Training Services in the field of AIM. This includes NOTAM, AIP, Charts, PIB, etc. Our trainers and partners are operational experts bringing added value to every course we deliver. We were founded in April 2001 by Aeropuertos Españoles y Navegación Aérea (today ENAIRE) DFS Deutsche Flugsicherung GmbH and Frequentis AG. The aim was to answer a call for tender launched by EUROCONTROL to provide the European AIS Database (EAD) – Services. Today GroupEAD Europe S.L. is providing a range of services in the context of the Aeronautical Information Management with a great record and experience.",Spain,25.555019,,,
Precision Casting Bilbao S.A.U.,22656024.0,"Spain, Basque Country, Barakaldo",https://www.linkedin.com/company/precicast-bilbao-sa,www.pcb.es,"PCB es una empresa innovadora de proyección internacional, ubicada en el Pais Vasco (España), dedicada a la producción de superaleaciones especiales mediante el proceso de fundición de precisión a la cera perdida. PCB provee soluciones en productos de microfusión adecuados a las necesidades de empresas suministradoras de turbinas de gas e industriales",Spain,22.656024,,,
AVISLAND,19316319.0,"Spain, Balearic Islands, Palma, 07121",https://www.linkedin.com/company/aviation-island-sl,www.avisland.es,"Aviation Island is born to incorporate leading IT tools for the aircraft airworthiness management. Founded in February 2013 by a group of 4 aeronautical engineers with more than 65 years combined experience in commercial aviation, Aviation Island seeks to incorporate latest technologies into day to day aircraft management. We have our main office located in Palma de Mallorca, Spain. With a broad international experience we are focused on the global scale of the business being able to attend our customer requests. Aviation Island is an EASA approved Continuous Airworthiness Management Organization (CAMO ES CAMO.020).  Our goal is to maximize customer satisfaction on every single deliverable. Data policy:  www.avisland.es/data/",Spain,19.316319,,,
ASOCIACIÓN DE ESTUDIANTES DE AERONÁUTICA Y ESPACIO - AEAE,18250686.0,"Spain, Madrid, Madrid, 1 Y 2 Plz. Cardenal Cisneros, 28040",https://www.linkedin.com/company/aeae,aeroespaciales.org,"AEAE es el acrónimo de la Asociación de Estudiantes de Aeronáutica y Espacio. Es una asociación sin ánimo de lucro de estudiantes españoles de todas las facultades que imparten las titulaciones relacionadas con el ámbito aeronáutico y espacial. Aunque no seamos tantas facultades ni estudiantes como en otros ámbitos, seguimos necesitando la ayudas de los compañeros de todo el país para que nuestros estudios sean cada día mejores. Es por ello que surge en el año 2009, durante el I Encuentro Intersectorial de Representantes Universitarios, la iniciativa de crear una asociación para los estudiantes aeroespaciales y, después de más de 25 Congresos, continuamos nuestra actividad.",Spain,18.250686,,,
