Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Via Biler A/S,125032376.0,"Denmark, Højbjerg, 203 Chr. X's Vej, 8270",https://www.linkedin.com/company/via-biler-a-s,www.viabiler.dk,"Hos Via Biler handler det om mere end biler   Alle kan sælge biler. Kunsten er at levere en service, der er så god, at du som kunde har lyst til at komme igen, næste gang du skal købe bil, lease eller have din bil på værksted. Kunsten er at skabe en arbejdsplads, hvor du som medarbejder møder glad ind på arbejde og gør dig umage for at nå vores mål og hjælpe vores kunder. Kunsten er at skabe en virksomhed, hvor du som vores samarbejdspartner og leverandør er så tilfreds, at du gerne vil fortsætte samarbejdet med os. Det er det, vi vil hos Via Biler. Og derfor handler det om mere end biler hos os – det handler også om mennesker. Via Biler er autoriseret forhandler og værksted inden for Toyota, Ford, Mazda og Suzuki i Østjylland, Toyota og Volvo i Storkøbenhavn og Toyota på Fyn. Derudover har vi to Polestar Spaces i henholdsvis Aarhus og Vallensbæk. Vi tilbyder et bredt udvalg af modeller inden for nogle af Danmarks absolut mest populære bilmærker – både på personbiler og varebiler. Derudover har vi et stort udvalg af gode, brugte biler af alle mærker. På vores værksteder er vi autoriseret inden for Toyota, Ford, Volvo, Mazda, Suzuki og Lexus, og vi kan naturligvis også servicere alle andre bilmærker. Derudover er vi hovedfranchisetager for Hertz Biludlejning i Danmark.",Denmark,125.032376,,,
GoMore,51242016.0,"Denmark, Capital Region, Copenhagen",https://www.linkedin.com/company/3092399,gomore.com,"GoMore is a dynamic car rental and leasing platform that facilitates a seamless experience for both car owners and renters. The company aims to promote resource sharing and sustainability by allowing individuals to rent out their vehicles when not in use, while also providing flexible leasing options for those in need of a car. GoMore's mission is to simplify car access and ownership, making it easier for users to manage their transportation needs without the burdens of traditional car ownership. The platform caters to a diverse clientele, including individuals looking for short-term rentals, long-term leases, and those interested in renting out their cars. With features like Keyless technology for contactless rentals and comprehensive insurance included in leasing agreements, GoMore partners with users to ensure a fair and enjoyable experience for all involved.",Denmark,51.242016,,,
SIXT Denmark,24986360.0,"Denmark, Kastrup, 42 Kystvejen, 2770",https://www.linkedin.com/company/sixt-denmark,www.sixt.dk,"SIXT er en af verdens største koncerner indenfor biludlejning, månedsleje, leasing, bilpleje, limousineservice og bilsalg. Vi har kontorer i mere end 105 lande og overalt står dedikerede og kompetente medarbejdere parat til at hjælpe dig med at komme videre i et af vores mange kvalitetskøretøjer. Læs mere om SIXT på www.sixt.dk eller kontakt vores serviceteam på info@sixt.dk / telefon 32 48 11 00.   SIXT is one of the world's largest companies dealing with car rental, leasing, car service, limousine service and car sales. We are represented in more than 105 countries and our dedicated and competent employees are ready to help wherever you are. You can read more about SIXT at www.sixt.dk or you can contact our service team at info@sixt.dk / telephone +45 3248 1100",Denmark,24.98636,,,
Mamma's Pizzeria,15104016.0,"Denmark, South Denmark, Odense, 4 Klaregade, 5000",https://www.linkedin.com/company/mammaspizzeria,www.mammas.dk,"Hos Mammas møder du Italien med alle sanser: Her dufter og smager af det autentiske Italien.  Vi bruger kun nøje udvalgte råvarer til vores klassiske, italienske opskrifter. Det hele startede, da Franco i 1976 tog en lille del af hjemlandet med til Odense. I 2015 åbnede Mamma’s også restauranten i Esbjerg, udover vores takeaway afdeling på Hjallesevej i Odense der åbnede i 2014.  Grundet den store efterspørgsel, udvider vi stadig, men vi gør vores bedste for at give vore gæster den samme gode oplevelse de altid har fået på Mammas. Konceptet er nemlig stadig det samme: venlig, personlig betjening og klassiske, italienske retter. Med venlig hilsen Mammas",Denmark,15.104016,,,
Schmit International Transport A/S,13216014.0,"Denmark, Padborg, 3 Kilen, 6330",https://www.linkedin.com/company/schmit-international-transport-a-s,www.schmit.dk,"SCHMIT  International Transport A/S med hovedsæde i Padborg,  er lig med optimal service og moderne logistik på højeste plan med kunden i centrum. Vores mangeårig erfaring giver dig altid den optimale transportløsning. Hvert år tilbagelægger firmaets vognpark, der for øjeblikket består af 150 trækmaskiner, over 20 millioner kilometer på de europæiske veje. Vi transporterer udelukkende industrigods over hele Europa, dog hovedsagligt mellem Danmark og Tyskland, men også til/fra Benelux, Frankrig, Italien og ikke mindst Skandinavien. Vi udfører ligeledes cabotage kørsel i de enkelte lande. Vores moderne vognpark råder over det nyeste udstyr ligesom de opfylder alle EURO krav. For at optimere og holde vognparken ved lige, har vi eget værksted, som er døgnbemandet. Sammen med vores søsterselskab Norway Express ApS er vi specialister i transporter til og fra Skandinavien. Vores ydelser omfatter følgende.: Daglige afgange med industrigods som part eller full-loads. Specialtransporter med udtrækstrailere, på  op til 19 meters længde og 3 meters bredde. Transport af coils i specielle  coiltrailere. Topkvalitet! SCHMIT International Transport A/S med hovedsæde i Padborg, er en moderne transport og logistikvirksomhed. Vi yder altid optimal service på højeste plan med kunden i centrum.Vi tilbagelægger dagligt kilometer nok til i teorien at nå jorden rundt og mere til. Ingen strækning er for lang for os. Vores mangeårige erfaring kombineret med vores moderne vognpark, udstyret med den nyeste teknik, gør os i stand til altid at opfylde kundens ønsker. Vort professionelle team af disponenter sørger for et problemfrit transportforløb , 24 timer i døgnet. Sammen med vort datterselskab Norway Express ApS udgør vi et professionelt alternativ. Schmit the movie https://lnkd.in/d9t3GCd",Denmark,13.216014,,,
All Things Live Denmark,11259230.0,"Denmark, Capital Region, Copenhagen",https://www.linkedin.com/company/all-things-live-denmark,www.allthingslive.dk,"Velkommen til All Things Live – Norden største koncertarrangør med afdelinger i Danmark, Norge, Sverige, Finland, Belgien, Italien og Holland. All Things Live dækker det fulde spektrum af oplevelser og artister fra lokale norske acts over svenske musical produktioner og danske standup shows til finsk festival og koncerter med internationale artister som The Rolling Stones, Taylor Swift og Eminem. All Things Live repræsenterer 140 lokale artister, promoverer omkring 3000 lokale og internationale events med mere end 1 million solgte billetter på årsbasis og fortsætter med at øge det nuværende portefølje med 15 partnerskaber med store virksomhedskunder. All Things Live Denmark er tidligere ICO Concerts, som er en af Nordens største og ældste koncertarrangører, og er gennem mere end 30 år en af de førerende selvstændige nordiske promoters. All Things Live Denmark promoverer årligt mere end 1000 shows på tværs af Danmark, Skandinavien og resten af Europa med hovedfokus på koncerter samt national og international comedy. Vi beskæftiger os med alle typer kunstnere, og vores repertoire spænder bredt fra alternativ rock, over opera til de allerstørste pop-navne, og vi har arrangeret koncerter med blandt andre The Rolling Stones, Rammstein, Justin Bieber, Take That, Kraftwerk, Sam Smith, Andrea Bocelli, Michael McIntyre, Kevin Hart, Den Gale Pose, MORTEN og Katy Perry. All Things Live Denmark har produceret en lang række koncerter med Prince herunder den totalt udsolgte tour “Piano & Microphone” i Australien og Canada og Prince’s sidste koncert nogensinde i Atlanta, USA. All Things Live Denmark er i dag europæisk tour promoter for Diana Krall og James Taylor og repræsenterer nogen af Danmarks største komikere som Simon Talbot, Ruben Søltoft, Adam & Noah og mange flere.",Denmark,11.25923,,,
Højmark Rejser A/S,11032938.0,"Denmark, Central Jutland, Ringkøbing, 37 Vasevej, 6950",https://www.linkedin.com/company/h-jmark-rejser-a-s,www.hojmark.dk,"Højmark Rejser er Danmarks førende arrangør af skirejser og skiferier for bl.a. familier, grupper, skoler og virksomheder. Derudover er Højmark Rejser kendt for sine temature, guideservice og ikke mindst vores Alpeffect Hotels, vores egne hoteller i Østrig. Vi arrangerer skiferier og skirejser til Østrig og Italien. Vi har 10 forskellige rejsemål fordelt i de østrigske Alper de italienske Dolomitter og Alper. I 2017 kunne Højmark Rejser fejre 25 års jubilæum, hvilket betyder mere end 30 års erfaring i at arrangere skirejser for vores gæster. De 30 års erfaring betyder ligeledes, at vi, fra både kontoret i Danmark og hos guiderne på vores destinationer, yder vores gæster den bedste rådgivning og service. Udover skirejser arrangerer Højmark Rejser også AKTIVE SOMMERREJSER på udvalgte egne hoteller i Østrig. Medlem af rejse-garantifonden 1226",Denmark,11.032938,,,
Koch Biler A/S,10910429.0,Denmark,https://www.linkedin.com/company/kochbiler,www.kochbiler.dk,"Welcome to Koch Biler A/S. Ae are a family-owned company, which was founded in 1966 and today we sell and service cars in our two garages in Egå and Viby. We are exclusive dealer of CUPRA & SEAT in Aarhus, Denmark's oldest Honda dealer and we are Škoda Service partner in Egå. In addition, we sell used cars, offer private and commercial leasing, car rental and much, much more.",Denmark,10.910429,,,
Indkilde Auto A/S,10430620.0,"Denmark, North Denmark, Aalborg",https://www.linkedin.com/company/indkilde-auto-a-s,www.indkilde.dk,"Indkilde – fullservice bilhus i Aalborg Indkilde er Autoriseret forhandler af Ford, Fiat og Alfa Romeo og har derudover et stort udvalg af bedre brugte biler. Vi har et attraktivt bredt udvalg til både privat- og erhvervskunder - til både køb og leasing. Som Transit Erhvervscenter har vi et særligt afsnit til vores varevognskunder. På værkstedet udfører vi autoriseret service af Ford, Fiat og Alfa Romeo med stor ekspertise, og vi servicerer også andre bilmærker. Vi er udvalgt som Scalepoint værksted. Vores stærke faglighed suppleres med et højt niveau for værktøj og hælpemidler, så vi kan udføre arbejdet særligt hurtigt og kvalificeret. Vi samarbejder med alle de store leasingselskaber og alle forsikringsselskaber. Indkildes kerneværdier er kompetence og pålidelighed - vi brænder for at skabe meget tilfredse kunder. Salg – Leasing - Erhvervscenter - Biludlejning - Servicerådgivning – Teknisk værksted - Skadecenter – Dækcenter  – Autolak center",Denmark,10.43062,,,
One Pint A/S,10069344.0,"Denmark, Mariager, 1 Klostervej, 9550",https://www.linkedin.com/company/one-pint-a-s,www.onepint.dk,"One Pint A/S - Beer with passion Vi importerer, distribuerer og eksporterer kvalitetsøl, cider, spiritus og læskedrikke fra England, Danmark, Belgien, Frankrig, USA, Tyskland, Litauen, Italien, Spanien og Tjekkiet med flere Historie Med udgangspunkt i en stor lidenskab for specialøl, blev One Pint A/S i 2003 grundlagt af Nick Sharpe og Henrik Kirkegaard. Med øje for kundernes behov for lækkert kvalitetsbryg og med næse for gode og stabile leverandører, voksede firmaet sig større, samtidig med at danske forbrugere fik øjnene op for det gode øl. Fra lille garagevirksomhed til 10 års jubilæum i 2013 er One Pint A/S vokset til 20 ansatte, en stor bilpark med direkte distribution og over 400 specialøl, samt andre lækre specialiteter i sortimentet. One Pint A/S er en vigtig leverandør til alle, som elsker smagsoplevelser og god kvalitet. Idégrundlag One Pint A/S vil tilbyde markedets bedste og bredeste sortiment af høj kvalitets specialøl, cider og læskedrikke. Ydmyghed Vi er taknemmelige for vore kunders loyalitet og vore leverandørers tillid til os som distributør. På grund af dem er vi i dag i stand til at tilbyde nogle af verdens bedste brands og produkter indenfor specialøl.",Denmark,10.069344,,,
