Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Estravel Group,41812389.0,"Estonia, Harjumaa, Tallinn, 15 Suur-karja",https://www.linkedin.com/company/estravel,www.estravel.ee,"ESTRAVEL is the largest, oldest and most trusted travel agency in the Baltic States. The company’s most important values are reliability and responsibility. Estravel offers the best travel solutions with high-quality customer service for private and business clients. Thanks to our experienced employees and large network of partners, and our memberships in global groups such as American Express GBT, we are able to fulfill the most complex travel wishes. Be it an exotic holiday in a jungle, or a tight-schedule business trip, Estravel consultants ensure that all the objectives are met without a hitch. We offer all kinds of support from the planning phase of a trip to the time the client returns home. Our 24/7 professional call centre assists with existing and new bookings around the clock. Estravel sells airline tickets, hotel accommodation, holiday packages, cruises, ferry and rail tickets, travel insurance and bus and car rental services. In addition to outgoing trips Estravel is also involved in inbound tourism (DMC) and selling trips to the Baltic States and Scandinavia. We organise conferences, incentive travel trips, seminars and other events. Estravel has a total five representations in four Estonian towns, a 24/7 operating Call Centre, a representation in Latvia and subsidiaries in Lithuania, Australia, Finland and USA. Estravel is the largest tourism services employer in Estonia, employing ca 200 people.  From 1995 to 2015, Estravel was majority owned by Finnair Plc, but since January 2016, the company is 100% privately held again.  See more about our international group at www.estravelgroup.com",Estonia,41.812389,,,
AVIS Baltics,24963953.0,"Estonia, Harjumaa, Tallinn, 47c Peterburi Tee, 11415",https://www.linkedin.com/company/avis-baltics,idealbaltic.eu,"Boasting exceptional automotive industry expertise, AVIS® has over 25 years of experience providing full-service leasing and car rental services in Baltic states and more than 90 emerging global markets.  We have a well-knit network of partners and employees, comprising national mobility firms with a proven track record of vehicle and infrastructure management. We can help navigate regulatory challenges, contract mechanism issues, and institutional voids seamlessly, recommending viable solutions.  AVIS is an integral part of several local and global customers’ supply and value chains. Whether you want to expand your business in Baltic states or are already operating one, we’re excited to establish a long-term partnership with you.      Our Awards  Thanks to our customer-centric approach, high service standards, and industry expertise, AVIS has won numerous awards in 78 different countries. It was recently recognised as the Leading Car Rental Company 2021 in Estonia, Latvia, and Lithuania for the fourth consecutive year. It also received the Best Car Rental Company Worldwide and in Europe award at the Business Traveller Awards 2020. AVIS Preferred is considered the World’s Leading Car Rental Rewards Program. Furthermore, the AVIS app was awarded the World’s Best Car Rental Company App for two years in a row.          Our Team  Our team comprises passionate, dedicated, and technology-driven professionals who take pride in building connections that acknowledge the whole ecosystem of your firm. Our experts will understand your mission, vision, and values and determine your unique requirements and key mobility objectives before laying out an effective action plan. No matter how complex your vehicle leasing or fleet management needs are, we’ll investigate the best approach and deliver custom-tailored solutions.  A True Multimodal Experience We’re a total mobility firm delivering 1-minute to 5-year vehicle solutions to meet global corporate and business travel needs.",Estonia,24.963953,,,
Mobire,9889138.0,"Estonia, Harjumaa, Tallinn",https://www.linkedin.com/company/mobire-group,mobire.eu,"We offer a wide variety of services including full-service car leasing, long-term car rental and fleet management services across the Baltics. Mobire currently manages over 3000 vehicles. Full service leasing is car leasing that includes all the additional services and ownership costs of the vehicle. A car will be completed and ordered according to customer's needs and wishes. The full service package can include a wide variety of services, for example insurance, regular maintenance, winter tires, fuel card, road assistance, replacement car and other support services.",Estonia,9.889138,,,
OMNICOMM,9848548.0,"Estonia, Ida-virumaa, Narva, 1 Soldina Tn, 21004",https://www.linkedin.com/company/omnicomm,www.omnicomm-world.com,"The global telemetry and fleet management solution experts Omnicomm is a leading developer and manufacturer of complete fleet and fuel management solutions. Our fleet management solution includes Omnicomm high-precision LLS fuel-level sensors, GPS trackers, displays and fleet management service Omnicomm Online, all supported by our unique fuel data processing algorithms which ensure that fuel-level data recordings are completely reliable and return exceptionally high accuracy of 99,5%.  The company was founded in 1998 and is headquartered in Vietnam with sales and support offices in Estonia, India, Mexico & Brazil. The company is 100% channel-oriented, its products are delivered to customers via extensive dealer network working under the umbrella brand. International customers access Omnicomm products via system integration partners.  The company’s global sales and distribution channels delivering Omnicomm products to more than 150 countries worldwide include over 3,000 partners.  The company is actively working in Europe, Mexico & Latin America, Brazil, India, MENA and Africa.   Omnicomm products are used by both enterprise and SMB companies working in the following industries: logistics & transportation, passenger transportation, mining, construction, car rental & leasing, agriculture, oil & gas, etc.  More than 1,5 mln vehicles from various industries are now equipped with Omnicomm technology. These vehicles range from sea-vessels, community transport, locomotives, fuel tankers and heavy tracks till passenger transportation and delivery vehicles.",Estonia,9.848548,,,
Forus International,9375621.0,"Estonia, Harjumaa, Tallinn",https://www.linkedin.com/company/forus-platform,www.forus.eu,"Forus is here FOR all of US.  The Forus platform has been created and developed in Estonia, a leading tech hub country for startups. Forus started a ride-hailing service operation in April 2022 and has already completed more than 3000000 rides through application by 2024, providing its service in all Baltic countries.  Today the following services can be found in the Forus app: ride-hailing (Estonia/Latvia/Lithuania), instant delivery (Estonia), person-to-person car rental (Estonia/Finland), E-scooters (Estonia/Latvia), traditional taxi fleet (Estonia). The founder of Forus Group is one of the most successful Estonian businessmen, Urmas Sõõrumaa.  Forus Group is the biggest provider of real estate maintenance, energy efficiency, and security services in Estonia. Forus Group also owns Forus Takso, one of the oldest traditional taxi service companies in Estonia.",Estonia,9.375621,,,
Localrent.com,9291642.0,"Estonia, Harjumaa, Tallinn, 137 65 Kadaka Tee, 12915",https://www.linkedin.com/company/myrentacar-com,localrent.com,"Localrent.com is an aggregator of local car rental companies. We find small car rentals that work only in their city, carefully choose the best ones and later on, track the quality of their work. So that customers could get the best service for the lowest price. We have been operating since 2011 and annually serve more than 30,000 customers from all around the world.",Estonia,9.291642,,,
Elmo,4678759.0,"Estonia, Harjumaa, Tallinn",https://www.linkedin.com/company/elmo-rent-2-0,info.elmorent.ee,"The driving force behind Elmo is technological innovation. Elmo is the company behind the world's first teledriven car sharing service and tech development since 2022 We have reached many important milestones: 2013 Elmo creates a keyless and contactless short term electrical car rental. 2018 The idea to develop remotely controlled cars is born. 2021 We drove our test car remotely for the first time! 2022 First road legal teledrivable car driving on city streets. 2023 launching teledriving service in the second city and opening service in another country 2024 cross border teledriving with 2100km distance Why teledrivable vehicle? The technology enables us to deliver short term rental cars to our clients doorstep contactlessly and with incredible efficiency. The result is the ability to service a large client base with a small fleet of cars and drivers. This greatly optimizes personell costs, saves fuel and reduces CO2 emissions. In the summer of 2022 we teledrove our car to the first client. Today we have over 20 000 clients and 140 environmentally friendly cars Tehnoloogiline innovatsioon on Elmo mootoriks. Elmo on ettevõte, mis on esimesena maailmas toonud kaugjuhitavad autod autojagamis teenusesse. Oleme esimestena jõudnud mitmete oluliste tähisteni: 2013 Elmo loob võtmevaba elektriauto rentimislahenduse. 2018 Sünnib idee luua kaugjuhitava auto lahendus. 2021 Tegime esimese kaugjuhitava sõidu. 2022 jõudsid esimesed kaugjuhitavad rendiautod linnatänavatele. 2023 teenus kahes linnas ja sisenemine välisriiki Miks kaugjuhtimine? Tehnoloogia võimaldab meil seniolematu efektiivsusega rendiautosid tellimuse peale kontaktivabalt otse inimesteni toimetada. Tulemuseks on võimekus väikese autopargiga suurt kliendibaasi kiirelt teenindada, tööjõudu optimeerida, suurel hulgal kütust kokku hoida ja päriselt keskkonnasõbralikku tehnoloogiat kasutada. 2022. aasta suvel kaugjuhisime auto esimese kliendini – täna on meil juba 20 000 klienti ning 140 sõidukiline autopark.",Estonia,4.678759,,,
Trevento.com,4671000.0,"Estonia, Harjumaa, Tallinn, Harju, 11616",https://www.linkedin.com/company/40698119,www.trevento.com,"Trevento inspires to discover new destinations, new ways of travel and upgrades the quality of traveling. Search & compare more than 900 airlines and 800 000 hotels, book airport transfers and car rentals in advance. Tickets for activities, attractions and theme parks. Luxurious and world's biggest cruisers and more... Pre-planning and booking things to do, activities and transfers in advance, enables your trip to be a success. Searching things in advance such as attraction sites to visit, an amusement or theme park, a museum...all this is already a part of the whole travel experience. In today’s world, people intend to seek more memories and experiences from their trips, rather than bring materialistic things back to home with them. Time is getting more and more valuable and travel planning might be time consuming. We provide a helping hand for our users to get most of the travel elements and experiences together in one place, instead of searching them from several different web sites. Trevento operates with leading travel brands and search engines to offer a large variety of hotels and accommodation, flights, things to do and activities and other travel related services around the world. Key vision All-In-One, more travel elements in one place helps you to plan your next trip easier than before. You may create your a trip which is less stressful but more secure, exciting, and cost effective. We aggregate the search results, and show you the available online prices, you decide and book. We hope to make your trip unforgettable, not only interesting and full of exciting adventures, but also cost-effective. We wish you pleasant flights and stays!",Estonia,4.671,,,
Movitronic Technology,4065870.0,"Estonia, Harjumaa, Tallinn, 50/2 Tuukri, 10120",https://www.linkedin.com/company/movitronic,movitronic.com,Movitronic is developing connected car and digital car key platform.  With Movitronic solution you can: * connect any car which has OBDII port * provide contactless service for car rental and P2P car share  * have your car key in your smartphone * share remotely car access  * track your vehicle and much more! Contact for more information kenneth.pohl@movitronic.com,Estonia,4.06587,,,
A+ Autorent,2517336.0,"Estonia, Harjumaa, Tallinn",https://www.linkedin.com/company/aplus-carrent-oü,www.apluss.ee,"A+ Rent A Car offers all traditional car rental services and accessories, making your life easier and more comfortable. Our services  Car rental is the most convenient way to discover Tallinn and Estonia on your own.    Chauffeur drive is a good solution if you would like to host foreign guests, organise private tours or celebrate festive events.     Transfer is a specific type of chauffeur-driven car rental, i.e. drive from point A to point B, for instance, from the airport to a hotel, from a hotel to a meeting, etc.     Luxury car rental enables you to rent elegant cars both with and without a driver.     One-way rental is the best option if you would like to begin your journey from one city and conclude it in another city.",Estonia,2.517336,,,
