Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Europcar Mobility Group SA,868257167.0,"France, Île-de-france, Paris, 13 Ter Boulevard Berthier, 75017",https://www.linkedin.com/company/europcar-mobility-group,www.europcar-mobility-group.com,"Europcar Mobility Group is the European N°1 in vehicle rental, with the ambition to become a leader in dedicated, sustainable mobility services in the years to come.  The Group offers a wide range of car and van rental services: be it for a few hours, a few days, a week, a month or more, on-demand or on subscription, for businesses and individuals, relying on a fleet equipped with the latest engines including more and more ""green"" vehicles (EVs, PHEVs). It operates distinctive brands, responding to differentiated needs, use cases and expectations in terms of level of service: Europcar® - the European leader of car rental and light commercial vehicle rental, Goldcar® - the lowcost leader in Europe, and Ubeeqo® – one of the European leaders of roundtrip car-sharing (BtoB, BtoC). Customers’ satisfaction is at the heart of the Group’s ambition and that of its more than 8,000 employees, everywhere Europcar Mobility Group delivers its mobility solutions, thanks to a strong network in 140 countries (including 16 wholly owned subsidiaries completed by franchisees and alliance partners).",France,868.257167,,,
Edenauto,630688392.0,"France, Nouvelle-aquitaine, Pau",https://www.linkedin.com/company/edenauto,www.edenauto.com,"Edenauto est une entreprise spécialisée dans la location de véhicules, offrant des solutions flexibles de courte et longue durée pour répondre aux divers besoins de mobilité de ses clients. Avec une mission axée sur la simplification de l'accès à la mobilité, Edenauto permet à ses clients d'éviter les contraintes liées à l'achat d'un véhicule personnel, tout en offrant la possibilité de tester un véhicule avant son acquisition. L'entreprise collabore avec des marques renommées telles que Kia, Peugeot, Opel, MINI et BMW, et propose des services de location en agence ou en libre-service, garantissant un service sur mesure et accessible. Edenauto s'adresse à un large éventail de clients, allant des particuliers aux professionnels, en leur fournissant des options adaptées à leurs besoins spécifiques, y compris des services de location longue durée et de gestion de parc automobile. Grâce à son expertise de plus de 30 ans dans le secteur, Edenauto s'engage à offrir une expérience client de qualité, soutenue par une équipe de conseillers disponibles pour aider à choisir le véhicule idéal.",France,630.688392,,,
SCOP Titi Floris,412275765.0,"France, Pays De La Loire, Orvault",https://www.linkedin.com/company/scop-titi-floris,www.les-titis.fr,"Les Titis est un groupement coopératif composé des SCOP Titi Floris et Titi Services. Titi Floris est une société coopérative et participative spécialisée dans le transport et l'accompagnement de personnes en situation de handicap. - Location de véhicules et vente de véhicules d'occasion. - Développement de projets d'innovation sociale et de mixité des usages : tiers-lieux ESS, maisons partagées seniors, restauration solidaire, gîtes adaptés, autopartage coopératif... Siège social à Orvault, en périphérie nantaise. Agences départementales Titi Floris dans tout le Grand Ouest.",France,412.275765,,,
RENT A CAR SA,170969759.0,"France, Auvergne-rhône-alpes, Lyon",https://www.linkedin.com/company/rent-a-car,www.rentacar.fr,"RENT A CAR SA is a leading car rental company that specializes in providing a wide range of vehicles, including cars, trucks, and utility vehicles, to meet the diverse needs of its clients. The company aims to simplify the car rental process by offering transparent pricing, including options for reducing or eliminating franchise fees, which limits customers' financial responsibility in case of accidents. With a commitment to customer satisfaction, RENT A CAR SA serves a broad target market, including both individual renters and businesses, and partners with various organizations to enhance its service offerings. The company operates numerous locations across major cities in France, ensuring convenient access for customers seeking reliable transportation solutions. Through its dedication to quality service and sustainable practices, RENT A CAR SA strives to be a trusted partner in mobility for its clients.",France,170.969759,,,
Groupe CITADELLE,152586600.0,"Martinique, Martinique, Le Lamentin, 97232",https://www.linkedin.com/company/groupe-citadelle,www.groupecitadelle.com,"Le groupe CITADELLE, ainsi dénommé depuis 2001, a vu le jour il y a un siècle. Il est en effet une filiale du Groupe Comte-Serres, entreprise familiale par excellence, dont la première pierre fut posée par Louis Serres en 1919 à Alger. Cette première société « L. Serres & Cie », avait pour objet le transport des primeurs et agrumes de l'Algérie vers la métropole. Le groupe Citadelle possède aujourd'hui plusieurs sociétés dans le secteur auto-moto, réparties sur la Martinique, la Guadeloupe, la Guyane, la Réunion et Mayotte. Parmi ces sociétés, on trouve le CCIE (Comptoir Caraïbe d'Importation et d'Exportation, représentant les marques TOYOTA, LEXUS, SUZUKI), SODIVA (qui distribue les marques CITROEN, DS, FIAT, ALFA ROMEO et JEEP), GT Distribution (Autodistribution Martinique), PNEUS CASH, PNEUDEAL.COM, Auto Hall Center Distribution Guyane (Sud Motors en Guyane), GSA-PDK, le Monde de l'Occasion, CARMEN (location de véhicules courte et longue durée), Mécanique Plaisance Services, ainsi que MMCD à Mayotte, Kaizen Moto en Martinique et en Guadeloupe, et Kaizen Motors en Guyane. La stratégie du Groupe est axée sur la mise en synergie des métiers de l'automobile et du nautisme dans les Départements Français d'Amérique et plus récemment à la Réunion.",Martinique,152.5866,,,
GROUPE PORTMANN,129794220.0,"France, Sausheim, 3 Avenue Konrad Adenauer, 68390",https://www.linkedin.com/company/groupeportmann,www.transports-portmann.com,"Bienvenue dans le Groupe PORTMANN ! Depuis 1946, nous proposons des solutions transports et logistiques complètes et avons ainsi bâti une réputation solide et inégalée. En octobre 2023, nous avons franchi une étape supplémentaire dans la robustesse de notre structure et de notre offre, en nous adossant, à LA POSTE SUISSE. Tout en conservant notre indépendance opérationnelle, nous restons fidèles à notre mentalité d’entrepreneur et de PME qui nous caractérise si bien. Le service client est notre ADN, via des prestations de transport routiers, en moyens propres, affrètement, lots complets, lots partiels, messagerie palettes ou location de véhicules. Mais aussi, en allant plus loin dans l’intégration de la supply-chain de nos clients, par la mise en place d’unités de pilotage de flux 3-4 PL, in situ, mais aussi par un réel savoir-faire en matière de prestations logistiques. Nous sommes heureux de pouvoir vous accompagner dans l’optimisation de vos schémas, avec un état d’esprit de constant ré-engineering. Plus que jamais, nous sommes tous confrontés à de nombreux défis. Au-delà de la maîtrise des coûts et de la performance de nos unités, nous nous devons de négocier le virage de la transition environnementale. Ce n’est qu’ENSEMBLE, que nous réussirons, alors, oui, nous vous invitons à nous rejoindre dans ce formidable élan !",France,129.79422,,,
GROUPE AUBERY,70496880.0,"France, Le Lamentin, 97232",https://www.linkedin.com/company/groupe-aubery,www.groupe-aubery.com,"Entreprendre sur le long terme en recherchant l’excellence pour nos clients, dans le respect des personnes et de nos territoires. Le groupe Aubéry trouve son origine en 1944 en Martinique. Il opère aujourd’hui aux Antilles et en France hexagonale dans les secteurs de l’automobile, l’agroalimentaire, l'immobilier, l’agriculture, les services et la location de véhicules. Familial et indépendant, le groupe assure sa croissance et sa pérennité autour de trois valeurs : la quête constante de l’excellence, le respect des personnes et de l’environnement, l’esprit d’entreprise et de transmission. Fort des compétences et de l’engagement de plus de 2000 salariés, le groupe cultive un esprit entrepreneurial au quotidien, s'engage dans le développement socio-économique des territoires où il opère, tout en intégrant des enjeux de durabilité et de responsabilité dans sa vision à long terme en tant qu'entreprise familiale. Rejoignez-nous pour progresser au sein de nos différents univers !",France,70.49688,,,
Bony Auto-mobile,56643548.0,"France, Auvergne-rhône-alpes, Clermont-ferrand",https://www.linkedin.com/company/bony-automobiles,www.bonyauto-mobile.com,"La mobilité est une force qui nous relie et nous pousse à explorer le monde.  Depuis 1945, nous incarnons la passion du service et du travail bien fait, évoluant d’un petit atelier de vélo à un réseau de 31 points de vente et 6 marques : Renault, Dacia, Mobilize, Alpine, Nissan, Silence Nous sommes des multispécialistes et nous proposons toutes les expertises intégrées au sein de notre Groupe, pour accompagner nos clients sur toute la durée de vie de leur véhicule : - Vente de véhicules neufs. - Vente de véhicules d’occasion toutes marques. - Entretien et réparation de véhicules toutes marques.  - Location de véhicules.  - Vente d’accessoires et pièces de rechange. - Services dédiés aux professionnels. - Assistance 7J/7 - 24h/24. Oui, l’automobile est notre cœur de métier. Mais notre vocation profonde est de servir la mobilité, qu’elle soit traditionnelle ou innovante.  Alors que les enjeux écologiques et les évolutions sociétales bousculent l’usage de l’automobile, nous continuons d’avancer. Nous sommes la génération auto-mobile.",France,56.643548,,,
ADA Socit Anonyme,47323187.0,"France, Île-de-france, Clichy, 22-28 Rue Henri Barbusse, 92110",https://www.linkedin.com/company/ada-location,www.ada.fr,"Créé en 1984, ADA est aujourd’hui un acteur reconnu et incontournable sur le marché de la mobilité. Le Groupe ADA est implanté partout en France, proche de ses clients pour leur offrir le meilleur service de location de véhicules de tourisme et utilitaires. ADA c'est le n°1 :  - de la location de véhicules utilitaires - de la location de proximité avec plus de 1200 agences  - des réseaux de franchise de location de véhicules  L’ADN d’Ada repose sur 3 axes :   -La proximité de ses agences sur tout le territoire et pas seulement dans les grands centres urbains -La modernité et la simplicité de son offre de mobilité connectée, innovante et numérique, conçue pour répondre aux attentes de ses clients, toujours plus digitalisés -L’état d’esprit convivial et sympathique, qui transparaît dans le concept des nouvelles agences.  ADA, 35 ans d’histoire à votre service!",France,47.323187,,,
GROUPE ROUSSELET,43149995.0,"France, Île-de-france, Clichy, 22-28 Rue Henri Barbusse, 92110",https://www.linkedin.com/company/groupe-rousselet,www.grouperousselet.com,"Présidé et dirigé par Nicolas Rousselet, le Groupe G7 est spécialisé dans les métiers du taxi, de la location de véhicules et de la logistique. En 2010, il a passé le cap des 500 millions d’euros en volume d’activités et des 2000 collaborateurs au sein de ses filiales réparties sur l’ensemble du territoire français.",France,43.149995,,,
Groupe La Perrière,41837302.0,"Réunion, Réunion, Le Port, 83 Rue Jules Verne, 97420",https://www.linkedin.com/company/groupe-la-perriere,laperriere-group.com,"Le Groupe La Perrière, c’est avant tout une entreprise familiale dont l’histoire est liée à celle du développement maritime et portuaire de l’île de la Réunion.  Assurant aujourd’hui une présence mondiale, le Groupe a su au fil des années, gérer et développer une entreprise historiquement ancrée dans le paysage réunionnais depuis près de deux cents ans.  Aujourd’hui, le Groupe La Perrière, c’est de nombreux domaines d’expertise et secteurs d’activité : métiers du maritime -activité de manutention avec les sociétés SGM et GMC et enfin innovation et développement de solutions de mobilité dans l’activité location de véhicules, avec les deux marques Avis et Budget, qui sont également présentes sur les territoires de Mayotte et Maurice.",Réunion,41.837302,,,
Virtuo,37636255.0,"France, Île-de-france, Paris, Rue Cardinet, 75017",https://www.linkedin.com/company/virtuo-technologies,www.govirtuo.com,"We're putting car freedom in your pocket to discover a world outside your city with our digital car rental app. Designed for city dwellers, we provide a range of cars on demand, that can be unlocked all with your phone thanks to our digital car key. Available to pick up from over 100 locations across Europe, or delivered to your chosen address, get all the freedom of driving without the burdens of owning or renting a car on you, our cities, and the planet.",France,37.636255,,,
CLICAR,27203184.0,"France, Hauts-de-france, Lille",https://www.linkedin.com/company/clicar,www.clicar.fr,"Clicar est une entreprise Lilloise qui a su se faire une place dans le service de location de véhicules.  Comment ?  - En proposant des tarifs imbattables (sans engagement pour les particuliers).  - Des véhicules écologiques (hybride et électrique)  - Deux agences ouvertes 7j/7 sur Lille et Paris.  - Une équipe entièrement à votre écoute. - Un traitement rapide et efficace des demandes. - Professionnels ou particuliers, CliCar dispose de véhicules adaptés à vos besoins.  - Un service de livraison de véhicules à votre disposition.  Vous êtes professionnel ?  - Une flotte de véhicules est mise à votre disposition (véhicules hybrides disponibles). - Un devis personnalisé est réalisé. Notre entreprise propose aux particuliers et aux professionnels un service de location de véhicules. - Accès à un outil de gestion de flotte de vos véhicules. Notre équipe commerciale vous accueille du lundi au vendredi de 09h00 à 13h00 et de 14h00 à 19h00.",France,27.203184,,,
TravelCar,25740610.0,"France, Île-de-france, Paris, 45 Rue De La Chaussée D'antin, 75009",https://www.linkedin.com/company/travelcar,free2move.com,"2020 update : TravelCar Changes Its Name and Becomes Free2Move, Initiating a New Phase to Accelerate Its Development -------- TravelCar is a global mobility platform for the travel and automotive industries with  two innovative products:   >>>> T-Park: Global parking booking solution Available in 50 countries on 5 continents with 30 different languages and 25 currencies, travelers easily find the right spot at a great rate whether parking at an airport, train station, cruise port, or city center. Through a seamless booking experience, customers compare rates, reviews, locations and amenities in full transparency. They drop-off and pick-up their cars using our automated gating and proprietary self-service kiosk technology, enabling our partners’ lots to be operated independently at unmanned locations (e.g., hotels).     We serve the needs of: 1/ Airlines, OTAs and SBTs by adding parking as a new ancillary revenue  2/ Auto OEMs by featuring our global parking platform in their connected vehicles 3/ Parking operators, airports and hotels by listing their parking on our system to reach new customers and increase revenue   >>>> T-Rent: Unique car sharing platform Thousands of car owners leave their cars idle in long-term lots every day.  With T-Rent, instead of paying to park, travelers benefit from a guaranteed free parking spot and earn money when they share their car with other trusted users. Beyond a simple online sharing marketplace, we deliver a turnkey customer experience, manage the vehicles from A to Z during their absence and provide auto insurance that protects owners and renters. Renters, with this smarter car rental solution, save 50% compared to traditional car rental agencies. -------------------------------------   And we're growing fast! Founded in 2012, TravelCar has offices in beautiful France and sunny California. We’ve raised more than $22M in funds and we are aggressively continuing to expand our global footprint.",France,25.74061,,,
Groupe DUBREU,22656024.0,"France, Houplines, Pavé De La Chapelle Bp19, 59116",https://www.linkedin.com/company/groupe-dubreu,dubreu.fr,"Spécialiste inconditionnel des activités inhérentes au véhicule utilitaire et industriel depuis plus de 80 ans, notre groupe familial est présent sur 4 sites : Houplines, Hazebrouck, Dunkerque et Burbure.  Distributeur et réparateur agrée Renault Trucks, nous assurons la commercialisation des véhicules neufs de la marque, du 3,5 tonnes au 44 tonnes.  Nous assurons également la commercialisation de véhicules et ensembles routiers d’occasion de toutes les marques.  Enfin, nous disposons d'un service de location de véhicules utilitaires et poids lourds pour compléter nos activités.   Dévoués à répondre à l’ensemble des besoins et exigences de nos clients, nous sommes attentifs à leur offrir un service complet et de qualité dans les meilleurs délais.  Afin de respecter cet engagement fort, nous sommes dotés d’un matériel performant, à la pointe de la technicité et répondant aux évolutions technologiques.  Nos techniciens sont formés tout au long de leur parcours professionnel et nous veillons scrupuleusement au développement des compétences nécessaires à l’exercice de leur métier.",France,22.656024,,,
Groupe Grasser,21779167.0,"France, Bas-rhin, Schweighouse / Moder, 21 Rue De La Sablière, 67590",https://www.linkedin.com/company/groupe-grasser,groupegrasser.fr,"Fort de plus de 75 ans d’expérience, le groupe Grasser est implanté dans le nord du Bas-Rhin comme acteur majeur et reconnu sur son secteur. Profitez de notre expérience et de notre engagement à satisfaire notre client, que ce soit en voitures neuves, voitures d’occasions, service après-vente, pièces de rechange ou location de véhicules. Découvrez également notre nouveau label éco-responsable « Green by Grasser » qui nous place comme le spécialiste des véhicules électriques et hybrides du secteur en termes de vente, réparation et dépannage.",France,21.779167,,,
Autocars Faure,18910416.0,"France, Saint Martial De Gimel, 19150",https://www.linkedin.com/company/autocars-faure,faure-autocars-19.com,"La société Autocars Faure va rechercher ses racines en 1929. Depuis notre entreprise corrézienne de transport de voyageurs n’a cessé de se développer. Le fruit de cette expérience nous permet aujourd’hui de répondre vos besoins de mobilité : transport à la demande, transport scolaire et périscolaire, location de véhicules, transport de personnes à mobilité réduite, voyage longue distance ou encore transport régulier régional et international.",France,18.910416,,,
Groupe Gladius,16774023.0,"New Caledonia, South Province, Nouméa, 12 Rue Lavoisier Zi Ducos, 98800",https://www.linkedin.com/company/groupe-gladius,www.gladius.nc,"Gladius est une holding dynamique et innovante, basée principalement dans la région du Pacifique. Notre expertise s'étend sur plusieurs secteurs d'activité, avec une concentration majeure dans l'industrie automobile. En tant que revendeur officiel de la marque Toyota en Nouvelle-Calédonie, nous nous engageons à offrir des véhicules de qualité et un service client irréprochable. Parallèlement à notre activité automobile, nous disposons d'une société spécialisée dans le développement web, créant des solutions numériques sur mesure pour répondre aux besoins spécifiques de nos clients. Notre agence immobilière est également là pour accompagner nos clients dans leurs projets immobiliers, que ce soit pour la vente, l'achat ou la location. Gladius propose également un service de location de voitures, permettant à nos clients de disposer de véhicules fiables et adaptés à leurs besoins. Notre gamme de solutions professionnelles en téléphonie, sécurité et systèmes d'impressions est conçue pour aider les entreprises à optimiser leurs opérations, en leur offrant des produits et services de pointe. Chez Gladius, nous mettons l'innovation et la satisfaction client au cœur de nos préoccupations, en œuvrant constamment pour proposer des solutions performantes et adaptées aux défis du marché. Rejoignez-nous pour façonner l'avenir ensemble.",New Caledonia,16.774023,,,
Lerat Location,16362684.0,"France, Normandy, Mondeville, 8 Rue Denis Papin, 14120",https://www.linkedin.com/company/11224949,www.lerat-location.fr,"Depuis plus de 65 ans, Lerat Location met à votre disposition son savoir-faire dans la location de véhicule. Que vous soyez une entreprise, une administration ou une association nos équipes sont à votre écoute pour vous apporter un service de haut niveau dont vous pouvez profiter au quotidien pour louer vos voitures de tourisme, voitures commerciales, minibus, utilitaires de 2 à 30m3, fourgon 20/22m3 avec hayon élévateur, benne, pick’up, porte voiture, porte engin, véhicule frigorifique de 2 à 15m3, remorque et poids lourd 7T500 👉🏻LERAT Location c'est un parc de presque 1000 véhicules maintenus au plus haut niveau de qualité. Des prix sans concessions sur la qualité et des personnes qualifiées à votre écoute.  Et parce que chaque entreprise est différente, nous sommes en mesure de vous proposer des offres de location de véhicules packagés ou sur mesure selon vos besoins.  ✅Nous fournissons un service tout inclus, pour chaque location vous retrouvez les services suivants:  - Une assurance tous risques - Une assistance technique et médicale - L'entretien et la maintenance des véhicules - La gestion des pneumatiques - La préparation du véhicule - Le marquage du véhicule à vos couleurs. - La livraison des véhicules à l’adresse de votre choix. Retrouvez toutes les informations sur nos services sur notre site internet: www.lerat-location.fr  Rencontrons-nous dans l'une de nos 7 agences (Caen/Mondeville, Rouen, Cherbourg, Paris, Plaisir, Moutiers et Courchevel). - Location courte durée  - Location moyenne durée sans engagement. - Location longue durée « full services » - Location longue durée de véhicule industriel avec chauffeur. - Location de véhicule sur cahier des charges. Qui sont nos clients : - Industrie de l’automobile - Industrie de l’audiovisuel et du Cinéma - Hôtellerie / Loisirs - Institut de sondage  - Industrie médical  - Métier de bouche  - BTP - GMS / GSB - Banque - Administration - Association - Métier de l'environnement",France,16.362684,,,
Carrefour Services,15801270.0,"France, Île-de-france, Massy, 93 Avenue De Paris, 91300",https://www.linkedin.com/company/carrefour-services,www.carrefour.com,"At Carrefour Services, we offer a comprehensive suite of services to our customers across eight integrated countries (Brazil🇧🇷, Argentina🇦🇷, Spain🇪🇸, France🇫🇷, Belgium🇧🇪, Italy🇮🇹, Poland🇵🇱, and Romania🇲🇩). With over 50 services provided globally, we take pride in our flagship offerings such as Carrefour Travel, Carrefour Entertainment, and Carrefour Car Rental. We either operate directly or collaborate with the finest partners in the markets we serve. If you have a service proposal for Carrefour Services, do not hesitate to get in touch with us. #services #carrefourservices",France,15.80127,,,
Transports Cobigo,15728880.0,"France, Brittany, Baud, Za De Ty Ar Douar, 56150",https://www.linkedin.com/company/transports-cobigo,www.cobigo.com,"La société Transports Cobigo, installée à Baud, au cœur de la Bretagne, propose à sa clientèle des services de transports, de logistique, et de location de véhicules avec et sans chauffeur.  Son adhésion de la première heure au groupement Astre, lui permet de déployer ses solutions sur l’ensemble du territoire Français et européen, avec l’appui d’un réseau fort de plus de 120 PME indépendantes.",France,15.72888,,,
Cars Delbos,14612594.0,"France, Occitanie, Figeac, 330 Rue De Lafarrayrie, 46100",https://www.linkedin.com/company/cars-delbos,www.cars-delbos.com,"Cars Delbos est présent sur l'ensemble des modes de transports routiers de voyageurs et propose également la location de voiture, minibus, autocar et véhicule utilitaire. Cars Delbos assure l'exploitation du service urbain de la ville de Figeac.",France,14.612594,,,
