Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Sixt GmbH & Co. Autovermietung KG,4263968800.0,"Germany, Berlin, Berlin",https://www.linkedin.com/company/sixt-gmbh-&-co-autovermietung-kg,www.sixt.jobs,"Sixt GmbH & Co. Autovermietung KG is a leading global mobility service provider, specializing in car rental, car sharing, and chauffeur services. With a mission to enhance customer experiences and provide exceptional mobility solutions, Sixt aims to redefine how people move by offering a diverse fleet of over 222,000 vehicles across more than 110 countries. The company prioritizes outstanding customer service and innovative technology, ensuring a seamless and user-friendly experience for its clients. Sixt's target market includes both individual consumers and corporate clients, supported by a robust network of 2,098 rental stations and partnerships with 1,500 service providers. The company fosters a collaborative and inclusive workplace culture, known as ""Team Orange,"" which emphasizes diversity, innovation, and continuous improvement. Sixt is committed to sustainability, actively expanding its electric vehicle offerings and aiming for net-zero emissions by 2030. Generating sales of €3.07 billion and employing around 9,000 individuals worldwide, Sixt operates a comprehensive mobility platform known as ONE, which encompasses various services including car rental (SIXT rent), car sharing (SIXT share), chauffeur services (SIXT ride), and car subscriptions (SIXT+). With a focus on true entrepreneurship and long-term stability, Sixt aligns its corporate strategy with foresight to revolutionize the world of mobility. The company is dedicated to providing flexible and innovative transportation solutions, ensuring that a first-class customer experience remains at the forefront of its mission. Through its extensive offerings and commitment to excellence, Sixt continues to set the standard in the mobility services industry.",Germany,4263.9688,,,
DEUFOL,325781400.0,"Germany, Hesse, Hofheim Am Taunus, 3-5 Johannes-gutenberg-straße, d-65719",https://www.linkedin.com/company/deufol,www.deufol.com,"Wir sind Global Player in Supply Chain Lösungen und Industrieverpackung mit 91  Standorten in 12 Ländern auf 3 Kontinenten.  Kundenorientierung, Flexibilität und der stetige Einsatz, Lösungen erfolgreich umzusetzen und weiter zu treiben zeichnen uns aus. Deufol strebt danach, die Märkte und Bedürfnisse unserer Kunden zu verstehen und so auch deren schwierigsten Herausforderungen zu meistern.  Um den Anforderungen des Marktes und der Bedürfnisse unserer Kunden gerecht zu werden entwickeln wir einen einzigartigen Mix aus Verpackungs-Services und Produkten, unterstützt  von Technologie, Programmplanung und Automatisierung.  Länderstandorte: Deutschland, Belgien, Österreich, Italien, Niederlande, Tschechische Republik, Slowakei, Frankreich, Singapur, China, Ungarn, USA ______________________________________________ We are Global Player in Supply Chain Solutions and Industrial Packaging with 91  Locations in 12 countries on 3 continents.  Our hallmarks are customer focus, flexibility and a constant endeavour to create and refine successful solutions. Deufol strives to understand our clients  markets and needs to solve their toughest challenges. To meet the market and needs of our clients we will design a unique mix of packaging services and products that are underpinned with technology, programming and automation.    Country Locations  Germany, Belgium, Austria, Italy, Netherlands, Czech Republic, Slovakia, France, Singapore, China, Ungarn, United States Unser Impressum finden Sie mit folgendem Link:  https://www.deufol.com/de/impressum",Germany,325.7814,,,
Carlo Gavazzi Deutschland,168936000.0,"Germany, Hesse, Darmstadt, 10-14 Pfnorstraße, 64293",https://www.linkedin.com/company/carlo-gavazzi-gmbh,www.gavazzi.de,"Carlo Gavazzi ist eine internationale Gruppe, die in der Entwicklung, Herstellung und Vermarktung von elektronischen Geräten tätig ist. Automation Components ist das Kerngeschäft der Carlo Gavazzi Gruppe. Automation Components entwickelt und fertigt in seinen nach ISO 9001 und ISO 14001 zertifizierten Fabriken in Italien, Litauen, Malta und China elektronische Steuerungskomponenten für die weltweiten Märkte der Gebäude- und Industrieautomation. Die Produkte (Sensoren, Halbleiterrelais, Energiezähler, Energiemanagementsysteme, Überwachungsrelais, Softstarter, Zeitrelais, Sicherheitsmodule und Feldbussysteme) bieten Automatisierungslösungen für den Industrie- und Gebäudeautomationsmarkt. Typische Kunden sind in den Bereichen EV-Ladestationen, PV-Energiespeichersysteme, Lebensmittel und Getränke, Halbleitern, HVAC, mobilen Geräten, Landwirtschaft, Kunststoffmaschinen, Zugangskontrollen, Energie- und Gebäudeeffizienz, Rechenzentren und Förderanlagen zu finden. Systemintegratoren und Distributoren sind weitere effektive Kanäle zum Markt. Die Produkte werden in Europa, Amerika und im asiatisch-pazifischen Raum über ein Netz von 23 eigenen Vertriebsgesellschaften und rund 60 unabhängigen nationalen Händlern vertrieben.",Germany,168.936,,,
Sunny Cars GmbH,168476270.0,"Germany, Bavaria, Munich",https://www.linkedin.com/company/sunny-cars,www.sunnycars.de,"Sunny Cars GmbH is a leading car rental company that specializes in providing a comprehensive ""RundumSorglosPaket"" (all-inclusive package) for travelers seeking hassle-free mobility solutions. With over 8,000 rental stations in more than 120 countries, the company aims to ensure that customers enjoy maximum flexibility and peace of mind during their journeys, offering services such as full insurance coverage, free cancellation, and 24/7 emergency support. Sunny Cars is committed to fostering a positive workplace culture characterized by open communication, teamwork, and social responsibility, which is reflected in its long-standing employee retention and satisfaction. The company targets a diverse clientele, including leisure travelers and business professionals, and partners with various local rental agencies to deliver high-quality service. Sunny Cars also emphasizes sustainability, having achieved the ""GreenSign Office"" certification, showcasing its dedication to environmentally responsible practices.",Germany,168.47627,,,
MAGNET-SCHULTZ GmbH & Co. KG,167542070.0,"Germany, Bavaria, Memmingen, 30 Allgäuer Str., 87700",https://www.linkedin.com/company/magnet-schultz-gmbh-&-co.-kg,magnet-schultz.com,"Mache Deine Kunden erfolgreich!  Magnet Schultz Memmingen ( MSM ) ist eine international dynamische Firmengruppe mit rund 2.450 Mitarbeitern und Betrieben in Deutschland, der Schweiz, den USA, Großbritannien, Italien und China. Wir sind Spezialisten für elektromagnetische Aktorik, Sensorik und Ventiltechnik und entwickeln individuelle High-Tech-Lösungen gemeinsam mit unseren Kunden aus den Branchen Aerospace, Automotive, Elektromechanik, Hydraulik, Medizintechnik, Pneumatik u.v.a. Unsere Philosophie: Qualität seit 1912 sichert Spitzentechnologie für das 21. Jahrhundert – Wir wollen unseren Kunden professionelle und langjährige Partner mit Erfahrung, Know-How, Innovationskraft und Entwicklungskompetenz sein. MSM wurde 1912 gegründet und ist zum nachhaltigen Generationenwerk geworden. Bereits der Gründer Adolf W. Schultz stellte die Kundenzufriedenheit in den Mittelpunkt. Die Unternehmer Schultz verstehen sich als Treuhänder ihrer Generation (Eduard W. Schultz). Wir können nur sozial bleiben, wenn wir auch wettbewerbsfähig bleiben (Wolfgang E. Schultz).  Management: Als inhabergeführtes Familienunternehmen in der 4. Generation setzen wir nachhaltig auf hohe Kompetenz, Professionalität und Ethik. Aus unserem Kodex (»Corporate Governance«) und unseren Executive Rules ergibt sich die Verantwortung unserer Gesellschafter und Führungskräfte gegenüber der Firma, Kunden, Lieferanten und Gesellschaft als Treuhänder ihrer Generation. Ein professionelles Familienunternehmen kann seine Vorteile von kurzen Entscheidungswegen bei langfristiger Planung und über 100 Jahren Fachkompetenz weltweit erfolgreich in den Märkten platzieren. >> Wir wollen mit Spitzentechnologie nachhaltig, unabhängig und diversifiziert weiter wachsen. << (Dr. Albert W. Schultz) Impressum: https://www.erfolgsmagnet.de/impressum/ Datenschutzerklärung: https://www.erfolgsmagnet.de/datenschutz/",Germany,167.54207,,,
STIHL France,142112366.0,"Germany, Baden-württemberg, Waiblingen",https://www.linkedin.com/company/stihl-france,www.stihl.fr,"STIHL France, une filiale de la célèbre entreprise familiale allemande STIHL, est spécialisée dans la conception et la fabrication d'outils de jardinage et d'équipements forestiers. Fondée en 1926, STIHL s'est rapidement internationalisée, établissant un réseau de production et de distribution dans plus de 160 pays, ce qui lui permet de garantir la qualité de ses produits à l'échelle mondiale. La mission de STIHL est de se surpasser dans tout ce qu'elle entreprend, en innovant constamment pour répondre aux besoins de ses clients, qui incluent des professionnels du jardinage, des paysagistes et des particuliers passionnés par le jardinage. L'entreprise s'engage également en faveur de la durabilité, intégrant des pratiques respectueuses de l'environnement dans ses processus de production et ses produits. Avec une forte présence sur le marché français, STIHL France vise à promouvoir l'harmonie entre la technologie et la nature, tout en soutenant la biodiversité et en favorisant des solutions durables.",Germany,142.112366,,,
SIXT,139920970.0,"Germany, Bavaria, Pullach, 1 Zugspitzstraße, 82049",https://www.linkedin.com/company/sixt,www.sixt.com,"Sixt SE with its registered office in Pullach near Munich, is a leading international provider of high-quality mobility services. With its products SIXT rent, SIXT share, SIXT ride and SIXT+ the company offers a uniquely integrated premium mobility service across the fields of vehicle and commercial vehicle rental, car sharing, ride hailing and car subscriptions. The products can be booked, among others, through the SIXT App, which also contains the services of its renowned mobility partners. SIXT has a presence in more than 100 countries around the globe. The company offers its customers experiences that inspire and exceed their expectations – through a lived culture of innovation, a consistent premium offering in terms of fleet and service, and an attractive price-performance ratio. In 2024, SIXT achieved consolidated earnings before taxes of EUR 335.2 million and a significant increase in consolidated revenue to reach for the first time EUR 4.00 billion.",Germany,139.92097,,,
Auktion & Markt AG,136349720.0,"Germany, Hesse, Wiesbaden",https://www.linkedin.com/company/auktion-&-markt-ag,auktion-markt.de,"Auktion & Markt ist eine Aktiengesellschaft mit Sitz in Wiesbaden. Unter diesem Dach vereint sie die Marken Autobid.de auto-auktionen, Classicbid automobile, Propertybid Immobilien, ClassicX Café und Restaurant, ClassicX Landhaus & Hotel und ClassicX Nahetal-Arena. Die Marke Autobid.de ist einer der größten und erfolgreichsten Gebrauchtwagenvermarkter in Europa. Mit Erfahrung und Expertise von über 30 Jahren werden täglich Gebrauchtwagen-Auktionen für den gewerblichen Kfz-Handel durchgeführt und setzt dabei mit seiner international ausgerichteten, anwenderfreundlichen Auktionsplattform Maßstäbe. 25.000 registrierte Händler aus 40 Ländern, sowie mehr als 140.000 verkaufte Fahrzeuge im Jahr machen Autobid.de zu einem starken Partner in Sachen professionelles Remarketing. Einlieferer wie namhafte Hersteller, Banken, Leasinggesellschaften, Autovermieter und Flottenbetreiber zählen ebenso zum Kundenkreis wie zahlreiche Autohändler, die ihr Gebrauchtwagenportfolio einfach und zielgerichtet ergänzen möchten. Die Vermarktung läuft kundennah über 19 eigene Auktionshäuser und Logistikzentren innerhalb Deutschlands. Ein Profi im Bereich Auktionen und klassischem Handel mit Youngtimern und Oldtimern ist die Marke Classicbid. Hier treffen automobile Besonderheiten auf einen leidenschaftlichen Kundenkreis mit dem Blick für einzigartige Fundstücke. Der Geschäftsbereich Propertybid ist Spezialist für die Vermittlung gewerblicher Immobilien. Auktion & Markt beschäftigt insgesamt mehr als 400 Mitarbeiter und steht in allen Geschäftsfeldern für Innovation, Nachhaltigkeit und Effizienz sowie Transparenz und Revisionssicherheit. https://auktion-markt.de/impressum.html (Über diesen Link erreichen Sie unser Impressum)",Germany,136.34972,,,
Aviko Deutschland GmbH,113019000.0,"Germany, Bavaria, Rain Am Lech, 40 Mittelstetter Str., 86641",https://www.linkedin.com/company/aviko-deutschland,www.aviko.de,"AVIKO Deutschland GmbH Seit seiner Gründung im Jahr 1962 hat sich Aviko zu einem der vier größten kartoffelverarbeitenden Unternehmen der Welt entwickelt. Seit 2002 ist Aviko eine Tochtergesellschaft von Royal Cosun. Mit einem Marktanteil von 50% sind wir weltweit Marktführer für gekühlte Pommes frites. Dies verdanken wir unserer langjährigen Erfahrung, unserem umfassenden Fachwissen und einer guten Logistik. Mit unseren modernen Produktionseinrichtungen bieten wir Ihnen ein breites Sortiment hochwertiger Kartoffelprodukte, von tiefgekühlten Pommes Frites und frischen Pommes Frites bis hin zu frischen Spezialitäten und Tiefkühl-Spezialitäten. AVIKO in Zahlen     Wir beschäftigen über 1.700 fortlaufend geschulte Mitarbeiter.     Täglich genießen rund 8,5 Millionen Verbraucher unsere Produkte.     Wir verarbeiten über 1,7 Millionen Tonnen Kartoffeln pro Jahr.     Diese Kartoffeln beziehen wir von über 2.000 sorgfältig ausgewählten europäischen Landwirten. AVIKO weltweit Niederlande, Deutschland, Italien, Großbritannien, Polen, Ungarn, Russland, China",Germany,113.019,,,
Choice AG,97149175.0,"Germany, Bavaria, Nürnberg",https://www.linkedin.com/company/choice-ag,www.choice.de,"Choice AG is a leading mobility service provider that has been facilitating vehicle mobility since its establishment in 2002. The company specializes in offering innovative and customized solutions designed to optimize the business models of car rental companies and car dealerships through its two main offerings: Mobility Partnership and mobilityOS. Mobility Partnership provides attractive vehicle purchasing and rental options, while mobilityOS serves as a comprehensive platform that integrates all aspects of vehicle mobility, from consulting to booking processing. With over 20 years of experience, Choice AG is committed to helping its clients, which range from small startups to large corporations, achieve sustainable success in the mobility sector. The company's mission is to empower its partners to become successful mobility providers by delivering tailored solutions that meet their specific needs, all while focusing on innovation and customer satisfaction.",Germany,97.149175,,,
