Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Hertz Autohellas,257993269.0,"Greece, Attica, Kifisiá",https://www.linkedin.com/company/9352493,www.hertz.gr,"Discover a world of advanced mobility with AUTOHELLAS HERTZ, your trusted partner in car rentals and leasing. Operating across 9 countries with 164 strategic locations, we bring over 55 years of expertise as a HERTZ franchisee to ensure your travel needs are met with excellence and sustainability. Boasting the most modern and extensive fleet in Greece, with over 55,000 vehicles, we cater to every preference, from versatile city cars to luxurious SUVs. Our commitment to the environment is unwavering; we champion eco-friendly travel through a growing range of electric and hybrid vehicles, offering both electric and hybrid car rental options. At HERTZ, we offer a variety of high-quality mobility solutions, from daily car rentals to monthly options, subscription services, and operational leasing deals that promise flexibility and value. Our customers enjoy exclusive benefits, bolstered by our alliances with top-tier companies like AEGEAN. Join us in driving towards a greener future, where sustainability and a superior driving experience go hand in hand. Let’s drive together into the future of mobility.",Greece,257.993269,,,
Autohellas Group,41016087.0,"Greece, Attica, Kifisiá, 31 Viltanioti, 145 64",https://www.linkedin.com/company/autohellas-group,www.autohellas.gr,"Autohellas is a leading force in the automotive industry, shaping the future of mobility in Greece and beyond for over 50 years. Our mission is to provide flexible, reliable and integrated mobility solutions for every need. As a member of the Th. Vassilakis Group and a publicly listed company on the Athens Stock Exchange since 1999, we operate as a Group across two main pillars: Car rentals & leasing As the exclusive franchisee of Hertz in Greece, Cyprus, Bulgaria, Romania, Serbia, Montenegro, Ukraine, Croatia, and Portugal, we offer a diverse fleet and a full range of services — from short-term rentals to long-term leasing and fleet management. Car imports, sales & after-sales We are the exclusive importer and distributor of leading automotive brands in Greece, including HYUNDAI, KIA, SEAT, CUPRA, FIAT, JEEP, ALFA ROMEO and more. Through our Velmar brand, we provide authorized sales and after-sales services for a wide portfolio, while also expanding into the electric mobility space as importers of innovative brands like XPENG, Leapmotor, and Changan. With our strong presence and commitment to sustainable mobility, Autohellas is one of the largest and most dynamic companies in the automotive sector. Learn more about our services, career opportunities, and how we drive the future of mobility on our website.",Greece,41.016087,,,
Europcar Greece,39861621.0,"Greece, Attica, Athens, Leoforos Athinon, 104 47",https://www.linkedin.com/company/europcargreece,www.europcargreece.com,"From October 2021, Europcar will be managed in Greece by Kinsen Hellas, which is the beginning of a new era for Europcar. Our rental stations have been recently remodeled for your convenience, and our customers can expect high-quality, consistent service. You can explore and save more when you book online with Europcar, whether you are traveling for business or pleasure. Eco-friendly vehicles are available. Our online booking process takes just a few seconds. Our roadside assistance is available 24 hours a day. We guarantee the best price. We offer single-trip and monthly car rentals with risk reduction coverage and a free loyalty program. With Europcar, you can drive 24 hours a day. Our new renovated spaces are waiting for you to serve you! Explore the different treasures of Greece, enjoy the Europcar travel service experience, as we offer a wide variety of quality products and special privileges. To find out more about Europcar's Media Terms and Conditions, visit: europcargreeece.com/en/social-media-termsandconditions",Greece,39.861621,,,
Travelplan.gr,35432552.0,"Greece, Attica, Athens, 17 Vrana & Katechaki Streets, 115 25",https://www.linkedin.com/company/travel-plan,www.travelplan.gr,"travelplan.gr is one of the most modern Tour Operators in Greece with on-line services & the largest retail network, with branches in Athens & Thessaloniki. WORLDWIDE TOUR OPERATOR - ACTIVITIES: - All Travel & Tourism Arrangements - Incoming & Outgoing Tours & Services - Quality Tailor made organized Individual (For Independent Travellers-FIT) & Group Travel - Air/Boat Ticketing - Hotel Reservations - Cruises - Car Hire - Business Travel - Incentives Congress & Events BRIEF HISTORY Travel Plan is one of the most modern Tour Operators in Greece, founded in 1981 by Lambrakis Press SA, the largest Media Business Group in the country. Since October 2000, that seceded from Lambrakis Press, operates under the name EUROSTAR SA as a company of tourist activities, which holds the management of the travel agency Travel Plan and uses today the trademark travelplan.gr. In 2009 Mr George Daskalakis With Mr Restis Victor bought 49% of Eurostar, Mr Restis Victor in 2011 bought again 36% , and in 2014 the 99% of the company is bough from Global Investment Tourism in Dubai and Mr Daskalakis George resigned from the position of President & CEO of Eurostar’s group / Travel Plan . Selected travel agent in Greece for: CLUB MED, SILVERSEA CRUISES, SEA CLOUD CRUISES, LUFTNER CRUISES, THE YACHTS OF SEABURN Sales distributor for: REGENT SEVEN SEAS CRUISES & DISNEY CRUISE LINE EOT License: 0206E61000088400",Greece,35.432552,,,
SIXT Greece,30208032.0,Greece,https://www.linkedin.com/company/sixt-rent-a-car-greece,leasing.sixt.gr,"Η SIXT δραστηριοποιείται στον χώρο της κινητικότητας από το 1912. Με παρουσία σε περισσότερες από 100 χώρες και 2.200 σταθμούς παγκοσμίως, αποτελεί έναν από τους κορυφαίους, διεθνείς παρόχους υπηρεσιών κινητικότητας υψηλής ποιότητας, βραχυχρόνιων και μακροχρόνιων μισθώσεων, τόσο για εταιρικούς πελάτες όσο και για ιδιώτες.  Στην Ελλάδα, η SIXT έχει παρουσία από το 1998. Από τον Δεκέμβριο του 2018, o Όμιλος ΜΟΤΟΔΥΝΑΜΙΚΗ ΑΕΕ απέκτησε το 80,5% της εταιρείας Λάϊον Ρένταλ Α.Ε., ενώ από τον Απρίλιο του 2023 απέκτησε το σύνολο της εταιρείας, οδηγώντας την σε μία νέα πορεία και το brand SIXT σε μία νέα εποχή, με προσανατολισμό στη διαρκή βελτίωση των υπηρεσιών της και την επανατοποθέτησή της στην αγορά. Tο δίκτυο της SIXT αποτελείται από σταθμούς εξυπηρέτησης στα σημαντικότερα αεροδρόμια, στις μεγαλύτερες πόλεις και στα πιο δημοφιλή νησιά της Ελλάδος. Αξιοποιώντας το δίκτυο της SIXT, ο ενδιαφερόμενος μπορεί να αποκτήσει το αυτοκίνητο που του ταιριάζει, επιλέγοντας ένα από τα πιο εξελιγμένα και premium μοντέλα της αγοράς, στις πιο συμφέρουσες τιμές και με το αίσθημα ασφάλειας και αξιοπιστίας που διακρίνει την εταιρεία.  Μένοντας πιστή στο όραμά της για συνεχή εξέλιξη και μετασχηματισμό, η SIXT προσφέρει καθημερινά ολοκληρωμένες και πρωτοποριακές λύσεις, μετατρέποντας την μετακίνηση σε μία μοναδική εμπειρία για όλους.   Το χαρτοφυλάκιό της έχει δομηθεί γύρω από 3 βασικούς άξονες, καλύπτοντας τις ανάγκες ακόμα και των πιο απαιτητικών: - SIXT Rent a Car: Βραχυχρόνια ενοικίαση αυτοκινήτου από μία μέρα έως έναν μήνα - SIXT Plus (+): Μηνιαία μίσθωση αυτοκινήτου από έναν μήνα και για όσο χρόνο επιθυμεί ο πελάτης - SIXT Leasing: Μακροχρόνια μίσθωση αυτοκινήτου που απευθύνεται τόσο σε εταιρείες όσο και σε ιδιώτες Για περισσότερες πληροφορίες, επισκεφθείτε το leasing.sixt.gr ή καλέστε στο 211 95 50000.",Greece,30.208032,,,
Rodos Cars - Rent A Car,28701628.0,Greece,https://www.linkedin.com/company/rodos-cars---rent-a-car,www.rodoscars.gr,"With an impressive fleet of over 1800 cars, we are the leading car rental company in Rhodes. Our success is based on our commitment to excellent customer service, our Special Offers & Frequently renewed fleet of cars. We understand that travel can be stressful, which is why we strive to make the rent a car in Rhodes process as smooth and hassle-free as possible. Rodos Cars rent a car is proud to announce that our Rhodes Car Rentals have received a 4.7-star rating on Google Reviews. We are honored that many customers choose our company again and again, proving their confidence in our quality services. In fact, about 30% of our customers are visitors who return to Rhodes every year and continue to choose Rodos Cars car rental for their transportation needs. Rent with us, and you will see why so many customers trust Rodos Cars for their car hire needs in Rhodes. Car Rental in Rhodes made easy! We developed a user-friendly online booking system that allows you to reserve your car in minutes. With our online car rental platform, you can get a quote in minutes when looking for a car rental in Rhodes. We pride ourselves on our fast car delivery service. We offer free delivery to all areas of Rhodes, including the airport. This means you can collect your car quickly and easily and start exploring the island in no time. Our team is always on hand to help if you have any questions or concerns, to ensure a stress-free experience. We offer a wide choice of cars to suit all budgets and needs for Car Hire in Rhodes. From small economy cars to minivans, convertibles and luxury cars, we have it all. We also have a range of comfortable first class cars to allow you to explore the island in luxury. All our cars are fully insured, so you can have peace of mind during your holiday. Rent a car and Discover the beauty of Rhodes in comfort & style with RODOS CARS! The safest choise!",Greece,28.701628,,,
Papadopoulos Automotive Group,24544026.0,"Greece, Thessaly, Lárisa",https://www.linkedin.com/company/papadopoulos-s-a,www.papadopoulos-sa.gr,"Papadopoulos SA is a Multibrand Automotive Dealer, with world class facilities in Thessaloniki and in Larissa representing BMW, MINI and VOLVO brands in the areas of new and used cars sales and services. We also operate four car stations in Larissa, Thessaloniki, Skiathos and Volos under World's Leading AVIS Car Rental brand. With more than 20 years experience, continuing education and the use of state-of-the-art technology, our teams are committed to exceed customer expectations by providing services fully tailored to their needs.",Greece,24.544026,,,
Airtickets,19930810.0,Greece,https://www.linkedin.com/company/airtickets-gr,www.airtickets.gr,"airtickets® is an online travel agency specialised in providing quality services to help you find and purchase air tickets, hotel accommodation, car rental, transfer, as well as tours & activities worldwide.  Our goal is to ensure excellent customer experience and offer innovative tools and services to simplify the process of finding, planning and purchasing the right product at the lowest price. Our team consists of experienced agents with excellent knowledge of the travel market, as well as the special needs of the modern traveller. airtickets® operates under the management of Airtickets Travel Services S.A. . Having accumulated more than 10 years of experience and know-how in providing travel services, it has a leading role in the development of online travel in South-eastern Europe.  With headquarters in London and local presence in Greece, Cyprus, Russia, Poland and Turkey, Airtickets Travel Services S.A. guarantees top quality travel services, excellent customer service and the best prices the market has to offer.",Greece,19.93081,,,
Avis Greece,17419251.0,"Greece, Attica, Piraeus, 50a Vasileos Georgiou",https://www.linkedin.com/company/avis-greece,www.myavis.gr,"We offer innovative products and tailored mobility solutions to meet unique customer needs. Avis Greece is the leading mobility company in the Greek market, offering cutting-edge leasing and car rental services. With an extensive fleet exceeding 60,000 vehicles and a robust network spanning over 60 stations nationwide, Avis Greece has been a driving force in the industry since its establishment in 1960. Guided by passion, innovation, integrity, and ownership, Avis infuses these values into every aspect of its operations and develops original and competitive mobility solutions that guarantee an exceptional customer journey. A pioneer in the industry's energy transition, Avis Greece is actively spearheading efforts towards achieving zero-emission objectives. By integrating electric and hybrid vehicles into its fleet, Avis not only reduces its carbon footprint but also establishes new benchmarks for sustainable mobility practices. Through consistent investments in modern automotive technology, Avis continues to evolve, all while remaining vigilant on its social and environmental impact. With each stride forward, Avis reaffirms its dedication to driving positive change in the automotive sector, ensuring a greener, more sustainable future for all. To be informed about Avis Social Media T&Cs, please visit: avis.gr/en/social-media-termsandconditions",Greece,17.419251,,,
Surprice Car Rentals,15616800.0,"Greece, Attica, Athens",https://www.linkedin.com/company/surprice-car-rentals,www.surpricecars.com,"Surprice Car Rentals is a day to day growing car rental network, which provides high quality services to its customers. Our priority as a company is to provide quality services at affordable rates and flexible terms and conditions, combined with real 24 hours support that has established us as one of the most competitive companies in the market. Surprice Car Rentals combines service, technology and professionalism required nowadays at the rent a car market. During the last years, we have made major steps in order to ensure a dynamic and a leading position in the car rental market, by expanding our business in other countries. Our franchisees use our trademarks, support, technology and mostly business philosophy. Surprice Car Rentals is constituted of highly trained and well experienced personnel and it uses the latest technology in order to achieve its targets. Our in office IT department has developed a main reservation and car rental management system, in which our partners have the opportunity and the accessibility to manage their reservations in real time, easily and effectively. We are offering to our associates a warm, friendly and professional cooperation, acting and responding quickly and responsibly to any issues arising. Surprice Car Rentals cooperates with tour operators, travel agencies and online reservation systems, from all over the world and every year provides service to thousands satisfied customers, as our complaints percentage is lower than many multinational companies in the market.",Greece,15.6168,,,
Parc Animalier De Sainte-Croix,15123406.0,Greece,https://www.linkedin.com/company/parc-animalier-de-sainte-croix,parcsaintecroix.com,"Avec près de 360 000 visiteurs par an, le Parc Animalier de Sainte-Croix est devenu une référence en France et en Europe pour la présentation de la faune européenne et des espèces mondiales menacées 🐻🐺🐱🐵 Dans un écrin de verdure de 130 hectares, 4 sentiers de découverte emmènent les visiteurs à la rencontre de plus de 1 500 animaux issus de 100 espèces vivant en semi-liberté 🦌🍃 Pour prolonger sa visite, 52 Lodges Nature permettent aux amoureux de la nature de vivre une expérience unique : dormir au cœur d'un grand parc animalier au plus près des animaux sauvages. Le parc fait parti du top 5 des parcs et zoos préférés des Français (TripAdvisor), du top 5 des parcs et zoos européens (Diamond ThemePark Awards 2020) et a été élu meilleur ""zoo et parc animalier"" de France 2 fois par le magazine Capital suite à une enquête nationale auprès de 20 000 consommateurs ! 🏆",Greece,15.123406,,,
AutoUnion Car Rental International,14576481.0,"Greece, Attica, Athens",https://www.linkedin.com/company/auto-union-car-rental,autounioncarrentals.com,"AutoUnion Car Rental has been in the car rental business for more than 30 years. The company operates in over 400 locations with a strong franchise network. Through our many years of experience, we offer exceptional customer service to both leisure and business travelers by offering seamless service delivered by our people and technology. Our technology has helped us to: Enhance communications, increase the speed of customer interactions, boost business growth and productivity.",Greece,14.576481,,,
JOY TOURS,12527501.0,"Greece, Attica, Athens, 125 Patission Str., 11251",https://www.linkedin.com/company/joy-tours-greece,joytours.gr,"JOY TOURS is a travel agency with over 40 years of experience, with a steady upward course, which now has to offer the most complete range of travel services.  In brief, we offer:  -Excursions in Greece & Abroad -Tickets: Air, Ferry, Rail -Hotels: Reservations with more than 80,000 hotels worldwide -Cruises -Special travels: for conferences - corporate bonuses -Sports trips, individual trips, wedding trips -Conferences organization -Transports by private buses (9-56 seats)  -Car rentals  Our extensive experience, the organization system, our interest for the customer, the selection of the most appropriate partners, our specialized and helpful staff and our work ethic are the values that place us at the top.",Greece,12.527501,,,
Eparking,10069344.0,"Greece, Attica, Koropí, 97 Agion Anargyron, 19400",https://www.linkedin.com/company/eparking,www.eparking.gr,"Eparking was created in order to fill the market gap, for valuable and affordable proposals regarding parking lots. Eparking provides enclosed & open car parking spaces in specially designed places, strictly guarded near the 4 major airport stations in Greece: Athens, Heraklion, Chania and Rhodes. Choose Eparking for its reliable, direct and personalized services: 1. 24-hour service 365 days a year (call center: 210 6020 003) 2. Closed parking spaces  3. Closed circuit vehicle tracking 4. Security guard 24/7 operating 24-hours 5. Transportation, delivery and collection from the airport with Eparking luxurious van 6. Luggage transhipment 7. Storage of motorcycle helmets & accessories in special luggage lockers 8. Professional car & motor wash (in / out)     9. Luggage scales 10. Lobby with free WiFi Spot 11. Valet services 12. Payment methods 13. Car rentals 14. Vehicle insurance 15. Biological cleaning 16. Oil change 17. Tires change 18. Battery change",Greece,10.069344,,,
Deltanet Travel S.A.,10069344.0,"Greece, Crete, Irákleion",https://www.linkedin.com/company/deltanet-travel,www.deltanet.travel,"Deltanet Travel is one of the leading Destination Management Companies in Greece and Cyprus, having an extended network of offices in all major destinations. Based in Heraklion - Crete with branches in Rethymno, Rhodes, Kos, Karpathos, Athens, Corfu, Zakynthos, Lesvos, Santorini, Paphos and Ayia Napa.  Having a serious and well – established infrastructure and skilled team with long experience in tourism and strong access to the local market, Deltanet can provide high level services at the most competitive conditions. Our quality standards, certified by ISO quality control, as well as our commitment to quality can ensure clients`​ satisfaction. We are serving more than 300.000 passengers per season from various markets and are dealing with back – to – back charter operations, Groups & Incentive handling as well as with Internet bookings and FIT’s. Our spectrum of services includes an extended portfolio of accommodation (we are co – operating with all major hotel chains, as well as individual hotels and have an extended bed – bank of guarantee beds in hotels of all classes), transfers, excursion organizing, cruises, car rental, leisure group travel, congress and incentive groups organizing as well as special holiday packages for special interest guests and VIP’s.  In addition we dispose about a state of the art B2B system with XML Interface. The B2B System Deltanet Travel offers a state-of-the art B2B Internet Booking system, specially designed for use of partner Tour Operators & travel agencies, providing online bookings with real time availability for accommodation, transfers & excursions in all the Greek & Cypriot destinations we operate. Depending on the needs of our partners, we have the possibility to offer 3 different methods namely Back office bookings via the “ Web Booking System”, White Label Affiliation and the automated bookings via “XML connection Services”.",Greece,10.069344,,,
EXER Car Rental International,8789161.0,"Greece, Attica, Athens, Markopoulou Avenue 479",https://www.linkedin.com/company/exer-rent-a-car,www.exercars.com,"""EXER"" a family group of companies with a strong presence in the Greek market over the last 33 years. ""EXER Rent-A-Car"" has one of the largest corporate car rental networks in Greece and a strong international footprint in countries such as Cyprus, Malta, Albania, Morocco, Jordan, Romania, Bulgaria, Serbia, Turkey, Georgia, Iceland, Mauritius and the USA.",Greece,8.789161,,,
MTS City Breaks,7552008.0,"Greece, Attica, Athens, 35 Kapnikareas, 10556",https://www.linkedin.com/company/mts-city-breaks,www.mtscitybreaks.eu,"MTS TOURISM SOLUTIONS SA is a global, on-line hotel accommodation, car rental, transfers and tours wholesale supplier, offering its services exclusively to travel agencies and tour operators. Since our inception in 1997, we have developed a fully integrated, most complete and reliable network of content suppliers with the objective of providing to our customers access to the best-priced hotel availability and product choice worldwide and the vision of becoming the most preferred, “one-stop on-line shop” regarding hotel accommodation, car rental, transfers and tours bookings, by the travel trade & tourism professionals.",Greece,7.552008,,,
Budget Greece,7324301.0,Greece,https://www.linkedin.com/company/budget-rent-a-car-greece,www.budget.gr,"Budget combines the strength of one of the world's largest car rental brands together with the detailed local knowledge, flexibility and great value for money you need. You can find Budget car rental stations all around Greece and our global network includes approximately 3,150 locations in more than 120 countries.",Greece,7.324301,,,
Institut Français De Thessalonique - Γαλλικό Ινστιτούτο Θεσσαλονίκης,7168722.0,"Greece, Central Macedonia, Thessaloníki, 2a Leoforos Stratou, 54640",https://www.linkedin.com/company/institut-français-de-thessalonique,www.ift.gr,"L’Institut français de Thessalonique est un établissement d’enseignement et de culture. Aujourd’hui, ses activités se décomposent en quatre grands secteurs : 1.    Un centre d’enseignement et de certification de langue française 2.    Un espace de culture et de dialogue interculturel 3.    Un ensemble de services aux publics enseignants, élèves, étudiants :     •    coopération éducative pour l’enseignement du français     •    coopération universitaire et scientifique 4.     Médiathèque L’Institut abrite aussi les bureaux du Consulat Général de France et l’Ecole française de Thessalonique Το Γαλλικό Ινστιτούτο Θεσσαλονίκης είναι μορφωτικό και πολιτιστικό ίδρυμα.",Greece,7.168722,,,
ATHENS CAR RENTAL - ACR,6643603.0,"Greece, Attiki, Leoforos Markopoulou-paianias Koropi, 19400",https://www.linkedin.com/company/athens-car-rental-acr,www.athens-carrental.com,"Rent new cars at airport-athens deliver car at your place. CONTACT INFORMATION Athens Car Rental - ACR 3rd km Markopoulou Avenue - Paiania (Koropi, PC 19400) Tel: +30 2106022220 Fax: +30 2106624887 E-mail: info@acr.gr Skype: Athens Car Rental",Greece,6.643603,,,
Green Motion Greece,6643603.0,"Greece, Attiki, Leoforos Varis-koropiou Koropi, 19400",https://www.linkedin.com/company/green-motion-greece,www.greenmotion.gr,"Green Motion has presence in various location all over Greece. Green Motion is a world-leading brand in the provision of lower CO2 car rental. Green Motion's ever increasing 100% franchised network is currently present in 54 countries worldwide, across over 550 operational locations. Green Motion's brand ethos is not only to provide a vehicle rental experience that is better for the environment, but also deliver openness, honesty and transparency through our one-brand, multi-product strategy to each and every one of our customers. Green Motion is also at the forefront of mobility innovation for the car rental industry, pioneering the latest technology to deliver truly frictionless mobility services.",Greece,6.643603,,,
Cretan Holidays,6535967.0,"Greece, Crete, Irákleion, 74 Miltiadi Karatzi St. Nea Alikarnassos, 71601",https://www.linkedin.com/company/2352062,www.cretanholidays.gr,"CRETAN HOLIDAYS, an established company in the Greek Tourism industry with 50 years of operation, is active in 12 major Greek destinations and serving more than 500.000 guests annually.   Our unparalleled experience and extensive know-how in the field, enable us to constantly deliver high level products & services at the most competitive rates.  Our service portfolio includes but is not limited to Hotel Contracting , Yield Management, Transfers (own bus fleet), Excursions & Activities, Groups & MICE, Shorex,  Special Interest Travel, Car Rental and Representative Services. Our mission is to offer authentic holiday experiences & professional support to our customers allover Greece, along with innovative technologies and a sustainable approach.  Cretan Holidays is a member of K. BADOUVAS S.A – privately owned Group of Companies, which operates in multiple segments of the Greek travel industry.",Greece,6.535967,,,
Greeka.com,6391146.0,"Greece, Attica, Piraeus, 26a Makrigianni, 18537",https://www.linkedin.com/company/greeka-com,www.greeka.com,"WHO ARE WE? We are a team of people with one common passion: traveling to Greece and the Greek islands. In 1999, we decided to create www.greeka.com, a travel guide about Greece and the Greek islands in order to share this passion with the world. After years of hard work, we managed to collect information and thousands of photos of Greece and the Greek islands.  Today, Greeka.com is considered one of the top web resources in order to organize a trip to Greece and the Greek islands. More than 10 million people visit our website every year and thousands of people use our travel services. OUR MISSION Our mission is to promote the beauty of Greece around the world and to help people choose their dream destination in our sunny country. We offer information and photos for more than 90 locations in Greece and the Greek islands and for more than 3,000 beaches, villages and sightseeing.  Our goal is to create the most complete website about Greece and the Greek Islands. In fact, a huge effort is made on a daily basis in order to offer the most accurate information and to make travel in Greece the experience of a lifetime.  OUR SERVICES > Travel services Greeka is a company licensed by the GNTO (Greek National Tourism Organization) with the No 0207E6100025560. We propose high quality booking services to help people organize their holidays in the best way: Hotels, Ferry tickets, Car rental, Island hopping packages, Transfers, Tours and more. > Hotel services Creation of quality websites, online booking engines and management tools. WE ARE HIRING We are getting bigger and we are looking for new talents to join our team in several departments. Check out our career opportunities on http://www.greeka.com/career.htm",Greece,6.391146,,,
Economy Car Rentals,6117620.0,"Greece, Crete, Irákleion",https://www.linkedin.com/company/economy-car-rentals,www.economycarrentals.com,"Economy Car Rentals is amongst Europe's largest car rentals companies. Economycarrentals.com is one of the first online car hire booking portals in the world with a long history in excellent  customer service. We are focused on providing our customers with the best rates for car rental services worldwide, as well as market-leading customer service levels.  Economycarrentals.com offers economic prices for car rental in over 160 countries around the world. The business is supported from our offices in Helaklion Crete. Economycarrentals.com  is providing cars to its clientele from all all the major international car hire companies, including Avis, Alamo/National, Budget, Europcar, Dollar, Hertz, SIXT and others. Our mission is to provide clients the best possible price for the best car available without any hidden fees. Specialties Online Travel Agent - Car rental, Multi-lingual booking support, car rental reservations. Website http://www.economycarrentals.com Industry Travel & Tourism, Car Rental Services, Leisure Type",Greece,6.11762,,,
GoldRent,5859441.0,"Greece, Attica, Athens, 58 Ag. Paulou, 12132",https://www.linkedin.com/company/goldrent,www.goldrent.gr,"GOLDRENT – RENT A CAR IN GREECE provides economical and reliable solutions in the rental car in Athens and throughout Greece, with a variety of car rental. In our possession are the following categories: Mini / Economy, Compact / Hatchback, Sedan / Intermediate, Mini Bus, OFF Road / SUV, Luxury / Premium.",Greece,5.859441,,,
Service Car Rentals,5859441.0,Greece,https://www.linkedin.com/company/service-car-rentals,www.servicecarrentals.com,We are a car rental network based on Greece and providing service at the most popular destinations,Greece,5.859441,,,
