Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
EconomyBookings,29939735.0,"Latvia, Marupe, 4 Ziemelu, lv-1053",https://www.linkedin.com/company/booking-group-ltd,www.economybookings.com,"EconomyBookings.com has been a trusted player in the online booking market since 2008. Today, we are proud to hold a leading position in worldwide online car rental booking industry, offering a wide range of services available in over 160 countries. With a team of over 100 skilled professionals, many of whom bring valuable experience from leading distribution companies across the United States, the UK, Spain, and Germany, we are well-equipped to meet the evolving needs of our clients. Our philosophy is simple: to make car rentals easy and accessible anywhere in the world. Our motto, “Providing quality service at an affordable price,” guides everything we do. At EconomyBookings.com, we’re committed to supporting our customers throughout the entire booking process and beyond. Our specialists are always available to assist with reservations, ensure peace of mind, and enhance the car rental experience for our clients.",Latvia,29.939735,,,
Latvia Tours Business Plus,17550879.0,"Latvia, Riga, Riga",https://www.linkedin.com/company/latvia-tours,www.bplus.lv,"At the heart of Latvia Tours is a very simple principle: Latvia Tours exists to enable its customers, be it corporations, travel partners,governments or private individuals to meet their varied and ever changing traveling needs.We work with our clients to help them select their travel destinations, organize optimal travel plans and handling at their destination, be it for leisure, business or for conference and congresses. OUR BRANDS AND SERVICES: LATVIA TOURS BUSINESS PLUS - WWW.BPLUS.LV Business Plus guarantees you savings, 100% control over all your business-travel expenses and the provision of travel services all over the world. Studies show that 97% of all business-travel expenses are made up of service-provider costs (e.g. air tickets, hotels) and only 3% of agency service fees. We help you to reduce the service-provider costs though our specially negotiated rates and complimentary services. Our corporate travel consultants are professionally trained, internationally certified business-travel service agents who provide a full range of business-travel services and will work in accordance with your company’s travel policy. We also offer several online tools for your convenience. LATVIA TOURS LEISURE - WWW.LATVIATOURS.LV For all your holiday needs, we are at your disposal by phone, e-mail or at any of our 6 Travel Shops across Latvia. Charter trips, Escorted Tours, Spa breaks, Ferries & Cruises as well as tailor-made holidays are offered by our competent Travel Consultants. LIDOT.LV The online ‘self-service’ portal, where you can book flights, hotels, car hire and travel insurance. Our modern technology provides a convenient booking process with local after-sales support in Latvian, English and Russian. WWW.LIDOT.LV Con-ex DMC & PCO - WWW.CON-EX.COM B2B inbound travel services for Tour Operators, Travel Agencies and Cruise Companies as well as Professional Congress Organizing services. We also organize Incentives & Events across the Baltic states and beyond.",Latvia,17.550879,,,
Carguru.lv,6922674.0,"Latvia, Riga, Riga, Kungu Iela, 1050",https://www.linkedin.com/company/carguru-lv,carguru.lv,"CARGURU is the first car sharing service in Latvia offering short term car rentals with insurance, fuel, and parking costs included in the fee.  Our efficient and easy-to-use car sharing system gives an economically and environmentally friendly way to share a ride and save your time, money, and the environment, one drive at a time.",Latvia,6.922674,,,
Estravel Latvia,6293340.0,"Latvia, Riga, Riga, 63 Elizabetes Str",https://www.linkedin.com/company/ftb-latvia---as-estravel-affiliate-in-latvia,www.estravel.lv,"The company Estravel Latvia is the branch of the biggest travel agency in the Baltic States – Estravel AS Group, and a member of Estravel group of companies operating in Estonia, Latvia. Lithuania, Australia, Finland and united States of America The company operates over 20 years in Latvian market – founded in 27 November 1996 (as the agency Norvista Rīga). The branch office of the Estonian company Estravel A/S in Latvia Estravel Latvia belongs to the network of the traditional travel agencies and tour operators and offers full range of travel-related services for out bound and inbound clients.  Our direct cooperation partners are world-wide recognized airline, ferry, cruise, railway, and car rental companies, and other transportation organizations, as well as the hotels, conference and event centres, resorts,  catering companies, etc. The annual sales volume of the group enterprises exceeds 150 million EUR. International partnership of Estravel Latvia:    American Express Global Business Travel – Partner Licence    IATA (International Air Transport Association)    ALTA (Association of Latvian Travel and Operators Agents)    ECTAA (European Travel Agents ́ and Tour Operators ́Association) ASTA - American Society of Travel Agents LCB - Latvian Convention Bureau LTRK - Latvian Chamber of Commerce Swiss Chamber of Commerce in Latvia",Latvia,6.29334,,,
SIXT Baltics,5810829.0,"Latvia, Mārupe, Mārupe, 2 Malduguņu Iela, lv-2167",https://www.linkedin.com/company/sixt-baltic-states,www.sixt.lv,"SIXT Baltics began its activity in June, 2010 when fleet management company Transporent became the official franchise partner of SIXT rent a car and SIXT Leasing in Baltic States. The company for more than ten years provides the rent a car, leasing and car subscription services, services and consults the major company fleets as well as the companies with the small fleets. SIXT rent a car stations are located in all capitals of Baltic’s - Riga, Tallinn and Vilnius as well as the airports of these cities.",Latvia,5.810829,,,
DiscoverCars.com,4997282.0,"Latvia, Riga, Riga, 2 Karla Ulmana Gatve, lv-1004",https://www.linkedin.com/company/discover-car-hire,www.discovercars.com,"DiscoverCars.com helps travelers around the world discover the joy of traveling by car. Honored by the WTTA as the World's Best Car Rental Booking Website for four consecutive years, we’re the go-to choice for tens of millions of users a year, connecting them with unbeatable car rental deals from over 1000+ suppliers across more than 164 countries and at more than 52,000 locations. Together as a diverse team of over 200 professionals, we share a passion for making it easy and affordable for users to find the perfect rental car to make their trip unforgettable. Joining us means getting to help craft tomorrow’s car experiences. If you’re ready to be part of bringing fresh, innovative ideas to an industry eager for change, take a look at our open roles or head to www.discovercars.com/careers. Looking to add mobility products to your travel business? DiscoverCars.com has perfectly tailored solutions for you. Bringing our inventory of high-quality car rentals at excellent rates to your customers couldn’t be easier. Want to learn more about what DiscoverCars.com can do for your business? Get in touch with our B2B team.",Latvia,4.997282,,,
Mobire Latvija SIA,2770751.0,Latvia,https://www.linkedin.com/company/mobire-latvija,www.mobire.lv,"Mobire Latvija SIA has been providing service lease in Latvia since 2011 in B2B and B2C segments. We offer full-service car lease, long-term car rental and fleet management in Latvia and across the Europe.  Full service leasing is a car leasing that includes all additional services and the ownership costs of the vehicle. The car will be completed and ordered according to customers needs and wishes. The service package can include wide variety of services, for example insurances, regular maintenance, winter tires, fuel card, road assistance, replacement car etc.  Mobire Latvia offers its full service leasing to all vehicle brands sold in the Baltics.",Latvia,2.770751,,,
Toprent Baltics,1290439.0,"Latvia, Mārupe Municipality, Dzirnieku Iela Mārupe, lv-2167",https://www.linkedin.com/company/toprent-baltics,www.toprent.lv,"Car rental company TOPRENT was founded in 2015. Company provides car rental services in 3 Baltic countries Latvia, Lithuania and Estonia. TOPRENT provides high quality customer service , with 24/7 working hours and support. We provide wide selection of car classes that are not more than two years old.",Latvia,1.290439,,,
Travel Agency Spare / Ax Group,1258668.0,"Latvia, Riga, Riga, 41 Tērbatas Iela",https://www.linkedin.com/company/travel-agency-spare-ax-group,www.spare.lv,"AX Group is a business chain which also includes Travel agency Spare and Spare sport. It means more than 20 years of successfully providing tourism services both in Latvia and in the international market. Our related businesses offer services for individual tourists or VIP clients and sport or medical tourism alike. AX Group offers luxury car rental with or without driver. For our clients we provide transfers wherever necessary, even transfers with a helicopter. What should be emphasized is our specialization and successful experience in the area of VIP customer services:  faster reception in the embassies of Republic of Latvia for acquiring a visa or an invitation,  booking of VIP terminals in airports,  transport from the terminal,  plane rental,  transfers and excursions with a helicopter,  cars with or without a driver,  booking of hotels or VIP apartments,  booking of tickets and restaurants and organization of business meetings.  Because of the large amount of interest, we also offer obtaining of residence permits in Republic of Latvia. Spare Sport is successfully providing services for sport tourism - football, volleyball, basketball and fencing game organization for commands, clubs and training camps around the world. For the sportsmen we offer obtaining of visa, booking of hotels, transfers, uniform cleaning, rental of the best sport halls and fields. Medical services are also available by the best specialists in Latvia. Our clients return to us because they are satisfied with the quality of our services and individual handling of each client's requirements.",Latvia,1.258668,,,
Palidosim.lv,1258668.0,"Latvia, Riga, Riga, 67 Gustava Zemgala, lv-1039",https://www.linkedin.com/company/palidosim-lv,www.palidosim.lv,"Palidosim.lv is travel agency that provides individual and non-standard travel itineraries. We help people to reach most remote parts of the world. Long knowledge in arranging travel needs for corporate business and individual clients let us provide wide range of services, including flights, trains, cruise, ferries, busies, car rental, transfers, hotels and insurance.",Latvia,1.258668,,,
