Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Vauban Ecole Et Lycée Français De Luxembourg,18023199.0,"Luxembourg, Luxembourg, Luxembourg",https://www.linkedin.com/school/lycée-vauban-lycée-français-du-luxembourg,www.vauban.lu,"Vauban Ecole et Lycée Français de Luxembourg is a prestigious educational institution that offers a comprehensive curriculum for students from middle school through high school. The school is dedicated to providing a high-quality French education, fostering academic excellence, and preparing students for higher education both in France and internationally. With a mission to cultivate a supportive and engaging learning environment, Vauban emphasizes the importance of parental involvement through regular meetings and presentations, ensuring that families are actively engaged in their children's educational journey. The school serves a diverse community of students and collaborates with various educational partners to enhance its programs, including specialized workshops and preparatory courses for higher education. Vauban's target market includes families seeking a rigorous French education in Luxembourg, with a focus on developing well-rounded individuals equipped for future challenges.",Luxembourg,18.023199,,,
Travel Pro,13845348.0,"Luxembourg, Luxembourg, Luxembourg, 430-434 Route De Longwy",https://www.linkedin.com/company/travelproluxembourg,www.travel-pro.lu,"'Our goal is to put our expertise in travel management to the benefit of our clients, providing personalised travel related services exceeding our customers expectations.'  Department with over 35 highly qualified staff speaking several languages: English, French, German, Luxemburgish, Dutch, Spanish, Portuguese and Italian. The products for which we supply reservations and travel documents:  ✓ Airlines (incl. Low-cost carriers) ✓ Executive Lane ✓ Hotels  ✓ Cars  ✓ Trains  ✓ Boats  ✓ etc… Application of smart ticketing techniques realising substantial cost savings on air fares compared to the official market fares. Access to special negotiated corporate rates for airlines, hotels, car rentals, etc… >>> 24 / 24 hours assistance service <<<  >>> Passport & Visa service <<< Travel Management advise supported by MIS reports: Contracting on your behalf with our major travel suppliers (airlines, hotels, etc.). Training & seminars for assistants, travel managers, travel coordinators and travellers. Corporate payment solutions in cooperation with all major credit card companies.",Luxembourg,13.845348,,,
LUXITH G.I.E.,12755275.0,"Luxembourg, Bertrange, 5 Rue Des Mérovingiens, l-8070",https://www.linkedin.com/company/luxith-g-i-e-,www.luxith.lu,"LUXITH est un Groupement d'Intérêt Economique créé en décembre 2012 par des hôpitaux luxembourgeois et la Fédération des Hôpitaux Luxembourgeois. Le Groupement a pour objet la mise en œuvre et l’exploitation des services, logiciels et infrastructures informatiques mutualisés de ses membres.",Luxembourg,12.755275,,,
Ministère De L'Intérieur,12169451.0,"Luxembourg, Luxembourg, Luxembourg",https://www.linkedin.com/company/minist-re-de-l'int-rieur-et-la-grande-r-gion,www.mint.gouvernement.lu,"Le Ministère de l'Intérieur du Grand-Duché de Luxembourg est une institution gouvernementale essentielle, chargée de la gestion des affaires intérieures du pays, notamment la sécurité publique, la gestion des crises et la protection civile. Sa mission principale est de garantir la sécurité et le bien-être des citoyens tout en promouvant la cohésion sociale et la diversité. Le ministère collabore étroitement avec d'autres entités gouvernementales, des organisations non gouvernementales et des partenaires internationaux pour développer des politiques efficaces en matière de sécurité, de migration et d'intégration. Son public cible inclut les citoyens luxembourgeois, les résidents étrangers, ainsi que les acteurs communautaires et sociaux.  En s'engageant à respecter les droits de l'homme et à favoriser l'égalité, le Ministère de l'Intérieur vise à construire une société inclusive et sécurisée pour tous. Il joue également un rôle clé dans la coordination des efforts de sécurité nationale et de gestion des urgences, contribuant ainsi à la résilience de la société luxembourgeoise face aux défis contemporains. Le ministère s'efforce de sensibiliser le public sur des questions de sécurité et d'encourager la participation citoyenne dans la prévention des risques.  En outre, le Ministère de l'Intérieur est impliqué dans la gestion des infrastructures essentielles et la sécurité d'approvisionnement du pays, garantissant la résilience des infrastructures face aux défis climatiques et économiques. Il collabore avec divers partenaires, y compris des collectivités locales et des entreprises, pour développer des solutions innovantes et durables. En intégrant des considérations de décarbonation et de digitalisation dans ses projets, le ministère s'engage à construire un avenir durable pour le Luxembourg, tout en répondant aux besoins croissants d'une population en expansion.",Luxembourg,12.169451,,,
Patrimundi 1869 s.a.,11949898.0,"Luxembourg, Luxembourg, Luxembourg, 20 Boulevard Emmanuel Servais, l-2535",https://www.linkedin.com/company/patrimundi-1869-s-a-,www.patrimundi1869.com,"Professionnel du secteur financier (PSF) agréé et controlé par la Commission de Surveillance du Secteur Financier Luxembourgeois (CSSF) Gestion et structuration de patrimoine financier, Family office, etc.",Luxembourg,11.949898,,,
EAL Electricity Application Luxembourg,10696948.0,"Luxembourg, Oberkorn, 75 Rue De La Gare, 4571",https://www.linkedin.com/company/eal-electricity-application-luxembourg,www.eal.lu,"Depuis plus 10 ans, une étroite collaboration avec ses partenaires complétée par le professionnalisme de ses équipes, ont permis à EAL de s'imposer sur le marché luxembourgeois des installations électriques en courant fort et courant faible. Au-delà de l’activité principale en électricité générale dans les secteurs résidentiel, tertiaire, et industriel, l’équipe d’EAL est en mesure de faire toute étude de réalisation techniques électronique sur demande dans tous les domaines de la sécurité.  Basés à Oberkorn, Luxembourg, les techniciens d’EAL sont prêts à intervenir rapidement pour la maintenance et le dépannage électrique de tous types d’installation électrique avec une disponibilité 24h/24h.  En chiffres:  +10 ans d’activité  48 personnes  ~7 mil € chiffre d’affaire  165 % croissance/5ans  Spécialités:  Gestion projets électricité, installations électriques, courant faible, sécurité, vidéosurveillance, systèmes de sécurité incendie, contrôle d’accès, systèmes de reconnaissance biométriques, maintenance, domotique.",Luxembourg,10.696948,,,
Stoll Hydraulics,10454709.0,"Luxembourg, Bettembourg, 148 Zae Wolser Zone A, 3225",https://www.linkedin.com/company/stoll-hydraulics,stollhydraulics.lu,"Stoll Hydraulics est une société de services dans l'industrie, la construction, les travaux publics. Grâce à nos techniciens hautement qualifiés, nos véhicules d’intervention et notre atelier entièrement équipé nous vous assurons une réactivité optimale et un service de qualité. Notre société gère aujourd’hui un parc de plusieurs centaines de matériels de location pour vous offrir la solution la plus adaptée à vos besoins. Nous représentons les marques #Mecalac, #Doosan, #Bobcat, #Ausa, #Deutz et #Cummins, officiellement sur le territoire Luxembourgeois.",Luxembourg,10.454709,,,
ELWE,10454709.0,"Luxembourg, Luxembourg, Luxembourg, 12 Rue John L. Mac Adam, 1113",https://www.linkedin.com/company/elwe-luxembourg,www.elwe.lu,"Fort de plus de 70 ans d’expérience dans les domaines de la manutention, du BTP et des grues, ELWE est un acteur incontournable sur le marché luxembourgeois. Des services complets : - achat et location de matériel de chantier, - maintenance préventive ou périodique d’engins du secteur industriel ou TP, - vente au comptoir de pièces de rechange et petits matériels (plus de 1200 références en stock) et une équipe polyglotte qui s'appuie sur des valeurs fortes : pragmatisme - proximité - performance, pour vous faire bénéficier de son savoir-faire dans la réalisation de tous vos projets.",Luxembourg,10.454709,,,
Intralux Locations,9440010.0,"Luxembourg, Luxembourg, Luxembourg, 20 Rue De Cessange, 1320",https://www.linkedin.com/company/intralux-locations,www.intralux.lu,"La référence en location de véhicules au Luxembourg! Spécialiste de la location de camionnettes et de voitures depuis 40 ans, Intralux vous propose une gamme complète de véhicules pour répondre à tous vos besoins.  Notre équipe est à votre écoute pour vous conseiller et vous garantir la mise à disposition d'un véhicule qui répondra au mieux à votre demande. Avec une flotte comprenant plus de 500 véhicules, nous nous engageons à vous fournir un service irréprochable à un prix compétitif! Intralux propose les services de nettoyage/séchage à la main de vos véhicules pour une résultat de qualité inégalable!  Notre installation comprend également un portique pour le nettoyage des camionnettes de toutes tailles. Tous les accessoires nécessaires à votre projet de déménagement sont disponibles chez Intralux: cartons, sangles, couvertures... Professionnels, n'hésitez pas à nous contacter pour connaître nos avantages en location longue durée et ainsi prendre en charge votre mobilité. N'hésitez pas à nous contacter pour un devis ou pour nous faire part de vos demandes!",Luxembourg,9.44001,,,
LEON KREMER S.à R.l.,9325784.0,"Luxembourg, Soleuvre, 1a Um Woeller, 4410",https://www.linkedin.com/company/leon-kremer,www.leonkremer.lu,"#BestInClass - Depuis notre création en 1960, notre objectif est d’être votre premier choix en solutions de levage et de protection antichute. Notre gamme de produits comprend entre autres des ponts roulants, potences, palans, monte charges, manipulateurs et lignes de vie. Avec des partenaires de longue date comme DEMAG Cranes & Components, STAHL CraneSystems, Liftket, Comege, Chainmaster, HYMO, BÜTER Hebetechnik, PETZL, KRATOS Safety , nous vous proposons des produits des leaders technologiques. L’envie de compléter cette offre par des services d’une qualité équivalente, nous a guidée à développer continuellement ce segment. Aujourd’hui nous nous composons d’une équipe de 45 experts et nous réalisons les entretiens sur plus que la moitié des installations de levage luxembourgeoises.  #FromTheCradleToTheGrave - Nous vous accompagnons tout au long du cycle de vie de votre équipement de levage quel qu'en soit la marque ou le fabricant. Afin de partager notre savoir faire avec vous, nous avons créé en 2015, ensemble avec LUXCONTROL l'organisme de formation LC ACADEMIE SA qui est rapidement devenu le premier organisme de formation privé et multisectoriel sur le marché luxembourgeois. Avec nos sociétés EUROPIECES LUXEMBOURG, spécialisée dans les solutions de chariots élévateurs et nacelles et OHIS INDUSTRIE, société spécialisé dans le levage et établie en Belgique, nous avons complété notre gamme et élargie notre rayon d'action pour encore mieux vous servir.",Luxembourg,9.325784,,,
Promopharm SA,9214670.0,"Luxembourg, Alzingen, 4 Rue Nicolas Wester, 5836",https://www.linkedin.com/company/promopharm-sa,www.promopharm.lu,"Depuis 1992 présents sur le marché luxembourgeois au service de partenaires de renomée internationnale dans le domaine pharmaceutique.Equipe expérimentée Equipe de délégués médicaux et pharmaceutiques expérimentés et bien intégrés sur le marché luxembourgeois.Prendre soin de sa santé, de son bien-être, s’informer et acheter des produits de soins et de santé en ligne, dorénavant avec masante.lu c’est possible au Grand-Duché de Luxembourg, dans la grande région et au-delà. Sur masante.lu vous allez découvrir des marques et des produits de qualité, ainsi que des informations précieuses dans les domaines suivants: - Soins dentaires : dentifrice (blanchissant pour dents jaunies, tâchées), brosses à dents médicales (gencives sensibles), brossettes interdentaires et fil dentaire pour prévenir la parondite, bains de bouche, gratte-langues, produits pour palier à la mauvaise haleine (halitose), et brosse à dents Sonic. Tous ces produits sont conseillés par les dentistes. - Douleurs musculaires et articulaires : Gel refroidissants, décontractants pour les muscles et antidouleurs, cold sprays et cold packs pour les sportifs et pour toute la famille en cas de contusions, accidents sportifs, foulures, tendinites, douleurs articulaires, crème magnésium (crampes). - Produits bébés et jeunes mamans : les biberons anti-coliques Dr Brown, gobelets, tétines, sucettes et anneaux de dentitions, tire-lait, coussinets d’allaitement, le thermomètre à distance frontal et des produits anti-moustiques. - Bien-être, antistress, Découvrez le complexe de multivitamines et oligoéléments intelligents qui prend soin de votre système immunitaire, des vitamines énergisantes pour booster votre forme, du sélénium, du tryptophane pour prévenir burnout et troubles du sommeil. masante.lu est une marque de Promopharm S.A.",Luxembourg,9.21467,,,
Groupe Nascht,8705130.0,"Luxembourg, Rumelange, 20 Rue Dr Flesch, 3725",https://www.linkedin.com/company/groupe-nascht,nascht.lu,"Un groupe luxembourgeois 🇱🇺 dédié au bien-être des enfants. Depuis 2012, nous fournissons des services de qualité exceptionnelle dans 15 structures, grâce à une équipe de 250 employés passionnés. 💪 Notre engagement envers la qualité, la sécurité et le respect de chaque individu est au coeur de notre mission. ❤️ Nous croyons que chaque enfant mérite un environnement sûr, stimulant et bienveillant pour grandir et s'épanouir. 🌱 Joignez notre page pour suivre nos actualités et partager notre engagement envers l'excellence pour le bien-être des enfants. 👨👩👧👦",Luxembourg,8.70513,,,
Assistance.lu,8344496.0,"Luxembourg, Leudelange, l-3364",https://www.linkedin.com/company/autorent-sos-d-pannage,assistance.lu,"Assistance.lu : Votre expert mobilité au Luxembourg Née de la fusion entre SOS Dépannage et Autorent, Assistance.lu est votre partenaire de référence pour tous vos besoins d'assistance et de mobilité au Luxembourg et en Grande Région. Fort de plus de 40 ans d'expérience, nous vous proposons : •	Dépannage automobile 24/7 •	Location de véhicules de remplacement •	Assistance routière •	Services de mobilité sur mesure Notre équipe d'experts est à votre disposition pour vous conseiller et vous accompagner. Optez pour la tranquillité d'esprit et choisissez Assistance.lu. #AssistanceLu #Dépannage #LocationDeVéhicules #AssistanceRoutière #Mobilité #Luxembourg",Luxembourg,8.344496,,,
Gotra S.A.R.L,7152040.0,"Luxembourg, Wasserbillig, 84 Grand Rue, 6630",https://www.linkedin.com/company/gotra,www.steil.de,"Für den Transport Ihrer Eisen- und Nichteisenmetalle bzw. sonstige Stoffströme wie Papier, Pappe, Glas, Bauschutt, etc. bieten wir Ihnen mit unserem firmeneigenen Fuhrpark sowie unseren ausgewählten Subunternehmern auf Sie zugeschnittene Konzepte. Die Steil Gruppe verfügt über einen Fuhrpark von über 100 Fahrzeugen. Alle nach neuesten Standards, Euro 5 und 6 Norm. Pro Jahr werden über 4 Mio. km gefahren. Durch die verschiedenen Fahrzeugtypen können wir unseren Kunden verschiedene Logistikleistungen anbieten.  Von der Gestellung von Containern bis hin zur Abwicklung von Schwerlastverkehren können wir Ihnen alles aus einer Hand anbieten. Wir arbeiten grenzüberschreitend mit Einzugsgebieten BeNeLux sowie Deutschland, Frankreich und Italien und sind dadurch in der Lage, Ihre Transportgüter zur richtigen Zeit an den richtigen Ort zu bringen. Unsere Kompetenz und jahrelange Erfahrung im Transport- und Logistikbereich können auch Sie sich zum Vorteil machen. Fordern Sie uns und profitieren Sie noch heute von unseren innovativen logistischen Fähigkeiten.  Logistik steht in der heutigen Zeit als moderner Begriff für Transportorganisation hinter vielen Tätigkeitsfeldern. GOTRA hat sich im Bereich Logistik auf folgende Bereiche spezialisiert:",Luxembourg,7.15204,,,
Réussit'School,6964104.0,"Luxembourg, Luxembourg, Luxembourg, 93 Rue De La Faiencerie, 1510",https://www.linkedin.com/company/r-ussit'school,www.reussitschool.lu,"Forte de son expérience de plus de 19 ans dans le soutien scolaire, Réussit’School fait partie de ces institutions qui sont à même de concilier qualité et diversité. Que ce soit sur le plan pédagogique ou humain, elle se distingue par l’exhaustivité des services qu’elle propose et par l’implication et l’engagement de ses professeurs. Réussit’School place toujours l’élève au centre de sa réflexion pédagogique et se penche avec attention sur le parcours scolaire de chacun de ses élèves pour proposer une aide adaptée, et ce, quelle que soit la matière ou la classe suivie. Son ancrage au Luxembourg favorise un partage de connaissances propices à la consolidation des apprentissages scolaires. Réussit School est reconnue comme l’un des acteurs principaux dans de le domaine du cours particulier et des stages intensifs, grâce à :  • Sa capacité à encadrer des élèves de tous les niveaux (Primaire, secondaire, supérieur) issus de divers systèmes d’enseignements : luxembourgeois, français, européen ou international. • La définition précise des besoins de chaque apprenant par le biais d’entretiens individuels et de bilans pédagogiques réguliers. • Une connaissance parfaite des programmes scolaires et des socles de compétences attendus.  • La mise en œuvre de programmes de cours sur-mesure ou encore la personnalisation accordée à chaque situation scolaire spécifique. La réussite d’un cours de soutien scolaire repose sur la relation de confiance et de compétence établie entre l’élève et son professeur. Fort de ce constat et conviction, Réussit’School compte parmi ses rangs des professeurs sélectionnés sur base de critères rigoureux et dès lors, nous sommes fiers d’avoir mené des milliers d’élèves vers la réussite. Réussit’School ne laisse rien au hasard afin que l’aide scolaire apportée demeure la plus efficace et la plus durable possible.",Luxembourg,6.964104,,,
RMS.lu IoT,6407515.0,"Luxembourg, Ettelbruck, 16 Rue De La Gare, 9044",https://www.linkedin.com/company/rms-lu,www.rms.lu,"RMS.lu est spécialisé dans le développement, l’installation et le support de solutions d’identification automatique, d’infrastructures Wifi et de mobilité. Que ce soit pour les services publics, les industries ou les commerces, nous sommes disposés à contribuer à l’essor de votre productivité et de la qualité de votre entreprise. Au service des clients luxembourgeois et de la Grande Région depuis 1992, nous mettons tout en place afin que nos équipements soient adaptés à votre société : développement d’applications sur mesure, intégration de produits d’identification à votre infrastructure…Nous mettons à disposition et assurons le suivi de nombreux équipements : • Terminaux mobiles pour la gestion d’entrepôts, de chantiers, d’interventions • Infrastructures Wifi performantes, complètes et sécurisées • Infrastructures RFID pour la traçabilité de colis, la gestion de stock et d’archives • Imprimantes pour l’impression de vos étiquettes codes à barres • Imprimantes à cartes plastiques • Scanners à main ou sur chaînes de production pour la lecture de codesbarres • Solutions de gestion d’entreprise, de stock et d’inventaires RMS.lu vous propose également des services avant et après-vente avec des contrats à la carte afin de prendre en compte votre valeur patrimoniale et de maintenir les capacités opérationnelles de vos moyens de production. Ces services incluent ainsi l’audit Wifi, le développement logiciel, le déploiement, la réparation et la maintenance de nos équipements. En gage de notre sérieux, nous effectuons les réparations en atelier ou sur site. Bien plus qu'un service, la consultance est pour vous la garantie de bénéficier de spécialistes dans les domaines de l'informatique mobile et de l'intégration logicielle. Afin d’éviter que la mise en place de solutions ne devienne une activité chronophage, notre département Intégration et développement vous épaule dans vos projets en mettant à votre disposition des formations professionnelles.",Luxembourg,6.407515,,,
