Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Avis Malta - Leasing | Car Rental | Used Car Sales,14648602.0,Malta,https://www.linkedin.com/company/avis-malta-leasing-car-rental-used-car-sales,www.avis.com.mt,"Operating the Avis brand in the territory of Malta and Gozo and offering Rent a Car, Leasing, quality Used Car Sales. Represented at Malta International Airport and major 5 star hotels, catering to a variety of corporate clients' mobility requirements. Enquiries can be directed as hereunder: Leasing -                   lease@avis.com.mt Car Rental -               info@avis.com.mt Avis used car sales -  info@aviscarsales.mt Join our team -         careers@avis.com.mt Avis | We try harder.",Malta,14.648602,,,
SMS Tourism,8858138.0,"Malta, St, 65 Birkirkara Hill",https://www.linkedin.com/company/smstourism,smstourism.com,"Established in the 1960s, SMS Tourism is your destination specialist on the Maltese Islands committed to delivering consistent, high-quality and tailor-made travelling experiences that last a lifetime. We specialise in providing any form of tourism-related services including accommodation arrangements, excursions, transport, weddings, leisure and MICE groups organisation, car hire, shore excursions, English language courses and a full range of services for online travel agents, tour operators, cruise companies and specialised travel agents.",Malta,8.858138,,,
Mayjo Car Rentals & Airport Transfers,8858138.0,Malta,https://www.linkedin.com/company/mayjo-car-rentals,www.mayjocarhire.com,Mayjo auto rentals is the leading car hire company in the island of Gozo offering discounted car hire rates in Gozo and Malta Airport and cheap airport transfers to and from Gozo.  The company also provides private tours around Gozo and Malta and vehicle leasing in Gozo.,Malta,8.858138,,,
Europcar Malta,5536336.0,Malta,https://www.linkedin.com/company/europcar-malta,www.europcar.com.mt,"No matter where you are or need to go, with Europcar you can expect service on a global scale.  Europcar is proud to be recognised as the World's leading car rental company. Europcar became available in Malta in 1992 and has enjoyed the same level of growth and success as seen overseas. Europcar owns and operates a fleet of over 350 vehicles which are available for hire both in Malta as well as Gozo. One may choose from a wide selection of vehicles, ranging from mini cars to saloons to 4x4 SUV's. Europcar Malta is headed by its Managing Director, Mr Nicholas Zahra employs a staff complement of 22 employees, including mechanics. The Head Office and Main Station are centrally located in San Gwann from which all operations are supervised. Satellite rental stations are located at the Malta International Airport, and in the resorts of St. Julians, Bugibba, Mellieha and a further one in Victoria on the island of Gozo.",Malta,5.536336,,,
Malte Conseils,5194764.0,"Malta, St, 1062 St. Julian's Ramp Stj",https://www.linkedin.com/company/10610600,www.malte-conseils.com,"Malte Conseils est une agence maltaise francophone spécialisée dans la création et le développement international d'entreprise, le conseil juridique et fiscal et l’expatriation à Malte. Ses conseillers francophones bénéficient d’une longue expérience en matière de création d’entreprise, d'expatriation, d’investissement immobilier et de gestion de patrimoine.  Malte Conseils est à l'origine de nombreux ouvrages sur Malte comme Le guide de la création d'entreprise, Le guide de la fiscalité, Réussir son expatriation à Malte. Un cabinet d’experts maltais francophones à votre écoute pour vous offrir tous les conseils et les services dont vous avez besoin pour créer, gérer et maintenir votre entreprise ou votre holding à Malte ! De par notre expérience, nous savons que créer et gérer sa société dans un pays anglophone comme Malte peut s’avérer compliqué si l’on ne maitrise pas l’anglais. Pourtant, de par son appartenance à l'Union Européenne, Malte offre un cadre très favorable pour créer une entreprise. Ainsi, notre équipe pluridisciplinaire francophone aide tout créateur d’entreprise ou chef d’entreprise à optimiser et à accélérer leur projet de création d’entreprise à Malte. Vous bénéficiez d’un interlocuteur privilégié unique pour coordonner les démarches entre les différents experts nécessaires (juristes spécialisés en droit des sociétés, fiscalistes, comptables,…) à l’atteinte de vos objectifs et qui vous accompagneront dans vos différentes formalités, en toute confidentialité, tout au long de votre projet entrepreneurial ou d'expatriation à Malte. Nous vous accompagnons également dans votre recherche de logement (achat ou location) et vos projets d'investissement immobilier à Malte. Gagnez du temps pour votre création d'entreprise ou votre expatriation à Malte grâce au professionnalisme et aux compétences de nos consultants spécialisés.",Malta,5.194764,,,
Hamilton Travel,5038330.0,"Malta, Floriana, 2c Pinto Wharf",https://www.linkedin.com/company/hamiltontravel,www.hamiltontravel.com.mt,"At its start in 1992, Hamilton Travel had organised about six tours and carried around 250 passengers abroad.  Since then the company has expanded steadily, sending Maltese tourists to more and more new destinations. During 2011 and 2012, 150 tours were successfully organised and the annual figure of Maltese tourists travelling with Hamilton Travel grew to over 20,000.  The most popular and successful tours have always been to Paris and Disneyland, to the UK, Costa Brava in Spain, Sicily and Italy.  However, tours available today range from trips to New York, Los Angeles, Las Vegas, the West Coast and Orlando in America, including cruises in the Caribbean and Bahamas, to Istanbul and Antalya in Turkey, to North Africa, to cruises around Europe and the Mediterranean, and to various other countries, including Scandinavia, Holland, Belgium, Germany, Switzerland, Spain, Portugal, the Czech Republic, Slovenia, France, Italy and the UK. Our offices are situated on the Granaries in Floriana, just outside the capital city of Valletta. In Gozo, we are represented by Links Travel in Rabat, for the convenience of our clients on Malta’s sister island.  Our staff are highly trained, motivated and experienced in this line of business and we are familiar with the latest technologies relevant to the industry.  We employ the best tour leaders on the island, who are hand picked, trained and assigned to their specialised destinations.  The company now boasts 15 full-time staff, six part-timers and over 40 tour leaders. We keep an eye on the latest trends in international travel, and do our best to cater to market needs.Our motto, which is included in our mission statement, has always been “quality affordable tours” and our aim is being met, as can be evidenced by the positive feedback we receive from our clients. Hamilton Travel, in essence, is an incoming and outgoing tour operator, organising its own tours, constantly in search of great deals with airlines, cruise liners, hotels, cars and coach companies.  We also cater for individual travellers who may opt to travel alone for leisure or business purposes, and are also equipped to help soon-to-be-wed couples organise their dream honeymoon. Flights, accommodation, car hire, trains, football and concert and theatre tickets may all be booked through Hamilton Travel. The company is one of the top three outgoing travel enterprises on the island. Since 1996, Hamilton Travel has been the exclusive Malta General Sales Agent for one of the world’s top cruise line companies – MSC Crociere.  Over 8,000 Maltese people travel on cruises out of Malta each year.  Our company also carries out shore excursions for the foreign passengers on board the MSC ships. We are one of the leading companies in MICE and are the local representatives for several European travel agents for group and individual travel, organising flights, hotel and private apartment accommodation, sightseeing tours, transfers and private chauffeur and self drive cars for people attending MICE conferences. We also provide a personal meet and greet service at the airport or/and sea port. Air Malta, our island’s national carrier, counts Hamilton Travel as its number one partner in the Maltese travel business, both in the incoming and outgoing sectors. We specialise in outgoing and incoming tours together with ensuring the requirements of individual travellers are met. We are proud to form part of the main tour and individual travel operators in Malta.",Malta,5.03833,,,
Hertz Malta,2852671.0,"Malta, Qormi, Qormi, Triq Daniel Spiteri Sacco, qrm4000",https://www.linkedin.com/company/hertz-malta-rent-a-car-and-leasing,www.hertz.com.mt,"United Garage Limited has been the franchisee of Hertz since 1961, making it the oldest European franchisee of this international car-hire brand, which has been the leader in its sector since its inception. Being entrusted with and keeping a leading franchise for over half a century is proof enough of the serious way business is conducted by the Organisation. Hertz Malta offers a variety of services and products related to the rental and leasing of vehicles and owns one of the largest, modern fleets in Malta.Our experience in fleet management has established us as front runners in the industry providing various vehicle fleet services to various businesses. Our commitment is to provide a consistent service to all customers whether operating a vehicle to an entire fleet. Hertz Lease provides its customers a complete fleet management solution from the fleet planning stage, its financing and management ensuring a trouble-free experience. Today the company has expanded its offering and is a multi-brand franchise operator of the Hertz brand portfolio namely Hertz, Thrifty, Dollar and Firefly.",Malta,2.852671,,,
John's Group,1890099.0,"Malta, Il-ħamrun, Ħamrun, 38 Triq Villambrosa",https://www.linkedin.com/company/john's-group,www.johns.com.mt,"Established in 1958 John’s Garage is one of Malta’s leading service companies offering an array of prestige chauffeur driven cars. During the years JOHNS have maintained the position of one of Malta’s leaders in the service industry with our principal objective to provide our clients with a first class service, based on quality cars, experienced chauffeurs and a professional attitude from beginning to end. Our services include: • Airport transfers • Personalized tours • Executive VIP service • Point to point transfers • Classic car transfers • Leasing • Car Hire Service (through our sister company First & Active Car Rental) Having a fleet of more than 65 chauffeur drive vehicles, including cabs, executive cars to include Mercedes & BMWs, selection of 7,10,14 & 18 seaters, enhanced with the vast selection of classical & vintage cars on the island. JOHNS your ideal partner.",Malta,1.890099,,,
Butterfly Car Rentals,1464860.0,"Malta, Birkirkara, Birkirkara, Triq Dun Karm Ce House",https://www.linkedin.com/company/butterfly-car-rentals,www.butterflycarrentals.eu,"Established in 1974, Butterfly Car Rentals has been in the business for the last 45 years. Thanks to our continuous commitment, we have now placed ourselves as one of the leaders in this sector by offering the cheapest car-rental rates and a personalized service to our esteemed clientele. As an established member of the Rent-a-Car Association, the company adheres to strict professional standards and practices. When you rent a car from Butterfly Car Rentals, you are assured of an efficient, friendly and speedy service. We assure you that our fleet is guaranteed as regards to safety features, car servicing and appearance.",Malta,1.46486,,,
Labarile English,1226532.0,"Malta, Tas-sliema, Sliema",https://www.linkedin.com/company/labarile,labarileenglish.com,"Parle anglais couramment.  Nos accompagnements personnalisés sont adaptés à tes objectifs, que ce soit améliorer ton anglais pour débloquer de nouvelles opportunités professionnelles ou pour explorer l'étranger sans la barrière de la langue. Chez Labarile, tu suis une méthode qui a fait ses preuves depuis maintenant 5 ans.  Elle m'a permis d'être aujourd'hui capable de parler 7 langues. Elle a permis à plus de 400 professionnels de parler anglais couramment en moins de six mois. Elle peut te permettre de faire de même. Pour en savoir plus, envoie-moi un message privé",Malta,1.226532,,,
Epic Car Hire,1218091.0,Malta,https://www.linkedin.com/company/epic-car-hire,www.epiccarhire.com,"Powered by a giant in the car rental industry, Epic Car Hire offers the largest selection of car rental from over 500 leading suppliers in 135 countries. EpicCarHire.com has one main purpose -  to enable travelers to make a simple, fast, secure and discounted car rental. Added to this, our dedicated team is committed to provide you with full service; constant fresh content that includes car hire tips and information on beautiful cities, must-visit landmarks and seasonal hot locations.",Malta,1.218091,,,
